UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
40.842;14.234;1596.906;118.369;-51.799;1543.689;-30.326;-60.016;1539.336;101.739;61.092;1447.967;-22.842;52.777;1450.266;37.663;89.217;1277.212;50.478;86.429;1112.131;101.152;103.793;1190.734;-20.397;97.679;1174.837;48.179;-90.538;1274.815;37.272;-166.744;1085.914;93.668;-129.570;1203.598;-26.364;-122.038;1214.701;208.173;-61.141;1231.185;205.434;13.011;1300.543;211.793;73.223;1235.392;261.586;40.744;1148.425;223.678;54.000;974.246;276.455;8.266;1002.664;282.178;-87.114;978.110;228.570;-213.994;1049.572;223.629;-223.336;979.480;251.999;-190.271;1012.887;-135.342;-64.956;1241.261;-124.777;-0.196;1310.228;-134.951;69.994;1249.136;-192.521;-13.011;1156.642;-171.635;52.679;983.588;-215.901;3.571;1017.240;-190.173;-67.842;1045.463;-156.619;-212.086;1053.338;-151.483;-219.032;984.860;-177.456;-189.342;1015.675;150.114;-146.739;865.366;-116.657;-122.233;869.670;127.516;52.239;939.518;-66.815;65.250;951.991
40.647;14.038;1596.906;118.125;-52.043;1543.640;-30.522;-60.065;1539.287;101.690;60.994;1448.065;-22.940;52.826;1450.315;37.565;89.266;1277.212;50.478;86.478;1112.131;101.103;103.891;1190.832;-20.446;97.777;1174.789;47.983;-90.440;1274.815;37.174;-166.695;1085.914;93.521;-129.472;1203.598;-26.511;-121.940;1214.653;208.075;-61.141;1231.283;205.287;13.011;1300.592;211.744;73.223;1235.440;261.488;40.744;1148.522;223.629;53.951;974.295;276.406;8.266;1002.762;282.129;-87.114;978.355;228.472;-213.994;1049.914;223.727;-223.336;979.822;252.048;-190.222;1013.278;-135.489;-64.810;1241.163;-124.923;-0.098;1310.130;-135.048;70.141;1249.087;-192.668;-12.913;1156.593;-171.929;52.826;983.539;-216.097;3.668;1017.338;-190.320;-67.646;1045.659;-156.766;-211.793;1053.729;-151.141;-218.787;985.349;-177.358;-189.097;1016.017;150.065;-146.690;865.415;-116.706;-122.184;869.670;127.467;52.288;939.518;-66.815;65.299;951.991
40.451;13.793;1596.955;117.782;-52.337;1543.591;-30.864;-60.114;1539.189;101.592;60.896;1448.162;-23.087;52.875;1450.412;37.418;89.413;1277.261;50.331;86.625;1112.180;100.956;104.038;1190.930;-20.592;97.924;1174.886;47.886;-90.293;1274.864;37.027;-166.548;1085.963;93.375;-129.326;1203.647;-26.657;-121.695;1214.701;207.977;-60.994;1231.381;205.140;13.109;1300.592;211.597;73.369;1235.489;261.292;40.793;1148.571;223.825;53.560;974.295;276.602;8.022;1002.958;282.374;-87.407;978.893;228.374;-214.140;1050.843;223.923;-223.581;980.800;252.195;-190.418;1014.159;-135.586;-64.663;1241.310;-125.021;0.049;1310.228;-135.195;70.239;1249.185;-192.863;-12.913;1156.789;-172.418;52.483;983.588;-216.488;3.424;1017.583;-190.564;-67.598;1046.343;-157.108;-211.646;1055.343;-150.456;-218.885;987.110;-177.309;-189.244;1017.338;149.967;-146.592;865.464;-116.755;-122.038;869.670;127.418;52.386;939.567;-66.864;65.445;951.991
40.255;13.549;1596.955;117.342;-52.826;1543.494;-31.304;-59.967;1539.140;101.543;60.554;1448.260;-23.087;53.070;1450.461;37.369;89.608;1277.457;50.185;86.967;1112.327;100.809;104.429;1191.028;-20.837;98.266;1175.033;47.739;-90.000;1275.060;36.831;-166.157;1086.110;93.228;-128.983;1203.745;-26.853;-121.402;1214.897;207.733;-60.848;1231.430;204.994;13.304;1300.397;211.499;73.369;1235.392;261.390;40.304;1148.425;225.097;51.945;973.855;277.776;6.799;1003.398;283.890;-88.581;980.947;228.668;-214.678;1054.365;226.320;-224.559;984.322;253.662;-191.102;1017.681;-135.733;-64.467;1241.848;-125.119;0.342;1310.473;-135.391;70.337;1249.283;-193.206;-13.255;1157.229;-173.396;50.918;983.588;-217.271;2.152;1018.267;-191.102;-68.233;1047.909;-157.304;-212.037;1059.012;-150.603;-220.059;990.827;-177.603;-190.173;1020.713;149.820;-146.298;865.659;-116.804;-121.695;869.817;127.418;52.777;939.567;-66.913;65.788;951.942
40.304;13.647;1596.857;116.706;-53.511;1543.445;-31.989;-59.331;1539.238;101.885;59.869;1448.065;-22.793;53.462;1450.363;37.369;90.000;1277.603;49.989;87.456;1112.474;100.712;104.722;1191.174;-21.033;98.755;1175.229;47.739;-89.657;1275.353;36.587;-165.374;1086.256;93.130;-128.396;1203.794;-26.951;-120.961;1215.191;207.488;-60.554;1231.919;204.847;13.696;1300.397;211.499;73.369;1235.049;261.733;39.179;1148.327;228.276;47.299;973.023;280.906;3.620;1004.963;288.292;-91.663;986.914;229.401;-216.390;1063.952;234.341;-227.347;994.056;258.260;-192.912;1027.708;-135.537;-64.369;1242.973;-124.874;0.880;1311.011;-135.586;70.434;1249.381;-193.988;-14.380;1158.452;-176.526;46.956;983.637;-219.961;-0.978;1019.979;-193.108;-70.288;1051.186;-158.429;-213.700;1066.251;-153.391;-223.140;998.066;-179.999;-192.863;1027.463;149.673;-145.614;865.855;-116.951;-121.108;869.964;127.271;53.511;939.518;-67.060;66.521;951.942
40.304;14.478;1596.760;115.875;-53.853;1543.591;-32.869;-57.864;1539.483;102.423;59.185;1447.673;-22.353;54.391;1450.119;37.223;90.489;1278.092;49.793;88.239;1113.012;100.516;105.260;1191.566;-21.375;99.635;1175.767;47.690;-89.266;1275.989;36.489;-164.151;1086.403;93.130;-127.711;1204.087;-27.049;-120.423;1215.631;207.293;-60.310;1233.484;204.456;14.527;1300.984;211.206;73.614;1234.854;261.977;37.320;1148.669;234.586;37.174;972.192;287.216;-2.935;1008.729;296.999;-97.581;999.925;230.184;-219.374;1082.539;249.896;-232.140;1015.382;266.722;-195.847;1048.985;-135.244;-64.027;1244.587;-124.532;1.516;1311.842;-135.880;70.532;1249.332;-195.602;-16.141;1160.799;-183.179;39.032;984.028;-226.026;-6.701;1023.892;-198.097;-74.250;1058.278;-161.999;-217.124;1079.898;-163.271;-229.108;1011.762;-187.238;-197.706;1041.012;149.527;-144.537;866.197;-117.048;-120.130;870.306;127.173;54.733;939.518;-67.206;67.646;951.942
40.109;16.092;1596.711;114.798;-53.462;1543.885;-33.994;-55.761;1539.874;102.668;59.136;1447.331;-22.109;55.810;1449.825;37.223;91.467;1278.484;49.842;89.217;1113.501;100.516;105.945;1191.908;-21.522;100.956;1176.109;47.543;-88.532;1276.723;36.440;-162.293;1086.648;92.934;-126.586;1204.576;-27.147;-119.054;1216.022;207.146;-60.114;1237.152;203.673;15.848;1302.549;211.157;73.467;1234.511;262.662;33.261;1150.185;245.983;18.783;972.974;297.732;-15.310;1016.849;309.716;-106.777;1023.452;230.282;-221.820;1109.539;273.031;-238.841;1054.267;276.553;-198.977;1085.033;-134.951;-62.853;1247.473;-123.749;3.277;1313.261;-136.271;70.728;1248.353;-200.200;-19.174;1166.424;-199.467;25.141;986.817;-239.624;-17.364;1032.941;-207.195;-81.538;1071.338;-162.929;-221.869;1101.615;-176.380;-238.157;1035.142;-195.505;-205.238;1064.588;149.429;-143.070;866.589;-117.097;-118.614;870.600;127.076;56.397;939.420;-67.304;69.261;951.991
39.424;18.049;1596.955;113.576;-52.092;1544.178;-35.168;-53.266;1540.119;102.375;60.505;1447.575;-22.402;58.060;1450.021;37.516;93.424;1278.337;50.331;90.440;1113.550;101.005;106.923;1191.859;-21.375;102.668;1175.914;47.103;-87.065;1277.701;35.902;-160.483;1087.381;92.299;-125.119;1205.457;-27.587;-116.902;1216.805;206.559;-60.407;1242.826;202.548;17.560;1304.701;211.548;72.098;1233.729;265.646;26.657;1154.245;265.841;-5.380;978.257;313.776;-33.359;1030.838;322.923;-120.423;1054.218;229.450;-223.385;1141.185;287.314;-243.439;1102.789;280.564;-201.325;1127.294;-134.706;-61.092;1252.315;-122.478;6.652;1315.119;-136.027;70.630;1246.103;-207.586;-24.212;1176.354;-225.782;5.527;995.083;-259.483;-33.505;1049.083;-218.445;-91.956;1090.218;-157.988;-226.320;1126.805;-189.537;-249.504;1068.843;-201.130;-213.553;1097.311;149.184;-141.603;867.029;-117.293;-116.608;870.991;127.320;58.060;939.420;-67.060;71.315;951.942
38.299;20.984;1597.151;112.304;-49.451;1544.472;-36.391;-50.331;1540.461;101.298;63.049;1447.722;-23.478;60.896;1450.168;37.907;95.771;1278.044;50.820;91.858;1113.550;101.837;107.951;1191.761;-21.130;104.722;1175.571;45.831;-85.304;1278.728;34.924;-158.624;1088.311;91.027;-123.456;1206.484;-28.467;-114.456;1217.881;204.749;-61.288;1249.234;200.934;18.636;1307.245;211.303;68.967;1232.359;272.004;18.734;1161.680;290.053;-31.402;989.751;331.923;-53.070;1050.256;335.151;-134.119;1087.430;229.401;-225.537;1172.783;294.944;-245.298;1149.598;281.885;-202.401;1166.865;-134.951;-58.598;1259.261;-121.059;11.397;1317.125;-135.684;71.511;1244.049;-215.608;-29.641;1190.147;-254.591;-18.147;1010.295;-280.417;-52.092;1071.729;-231.651;-103.793;1113.696;-157.646;-231.309;1154.832;-202.255;-261.390;1109.637;-207.586;-221.869;1134.044;148.793;-140.331;867.420;-117.586;-114.505;871.284;127.760;59.429;939.567;-66.521;73.369;951.991
