UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23.130;7.417;1597.233;100.864;-59.679;1545.703;-47.724;-68.755;1541.800;83.687;50.505;1447.084;-40.795;41.478;1449.622;24.350;77.197;1279.465;39.721;75.685;1115.116;89.592;91.739;1194.216;-31.279;87.494;1176.503;32.792;-103.206;1276.245;24.447;-176.597;1085.642;78.905;-142.147;1205.001;-40.648;-133.314;1213.931;191.822;-74.074;1236.182;190.358;-0.830;1306.255;199.874;59.484;1240.135;250.477;23.618;1154.056;215.684;31.328;978.825;265.653;-14.981;1008.689;267.165;-112.039;980.875;206.364;-238.668;1050.850;207.047;-245.255;980.484;233.495;-214.318;1012.203;-148.637;-71.732;1240.574;-139.072;-8.979;1310.452;-147.612;62.607;1249.357;-205.632;-20.690;1156.496;-182.209;41.039;984.583;-228.079;-6.002;1017.570;-208.364;-82.907;1038.309;-190.261;-230.421;1028.794;-188.406;-229.787;959.794;-209.926;-201.435;995.758;141.707;-151.760;864.981;-124.970;-127.166;867.567;119.407;45.674;941.398;-74.709;58.947;952.377
23.081;7.124;1597.233;100.864;-59.874;1545.557;-47.773;-68.999;1541.751;83.590;50.408;1447.084;-40.892;41.331;1449.719;24.301;77.637;1279.612;39.721;76.173;1115.360;89.592;92.129;1194.460;-31.425;88.030;1176.601;32.645;-102.621;1276.342;24.301;-175.622;1085.594;78.759;-141.415;1205.001;-40.843;-132.533;1213.882;191.090;-73.733;1237.256;190.017;-0.293;1306.792;199.825;59.582;1240.086;250.769;21.520;1154.544;219.783;24.789;978.728;268.580;-21.178;1011.080;269.215;-118.577;988.048;200.557;-242.864;1059.780;210.512;-250.037;990.195;233.202;-219.002;1023.084;-148.051;-71.634;1241.550;-138.926;-8.442;1310.891;-148.002;62.461;1249.065;-206.559;-22.691;1157.911;-187.723;35.866;984.681;-231.787;-11.419;1019.912;-208.706;-86.957;1042.896;-182.014;-233.983;1037.919;-189.431;-234.910;969.114;-207.193;-206.510;1005.712;141.610;-151.320;865.127;-125.116;-126.580;867.665;119.407;46.211;941.349;-74.757;59.582;952.328
23.081;6.880;1597.185;100.669;-60.313;1545.557;-47.870;-69.195;1541.800;83.639;49.968;1447.035;-40.843;41.039;1449.670;24.301;78.515;1279.709;39.672;76.905;1115.458;89.641;92.861;1194.558;-31.474;88.909;1176.698;32.597;-101.742;1276.830;24.155;-174.353;1085.789;78.564;-140.390;1205.293;-40.941;-131.362;1214.175;189.870;-72.952;1239.647;189.382;1.025;1307.963;199.679;60.021;1239.891;251.111;18.153;1155.667;226.371;13.761;979.216;272.972;-31.669;1015.716;271.508;-129.410;1000.296;190.895;-248.573;1073.346;213.830;-258.187;1006.786;231.104;-226.371;1040.359;-147.026;-71.000;1243.648;-138.389;-7.027;1311.867;-148.295;62.705;1248.381;-207.633;-26.009;1160.546;-196.116;25.960;985.022;-237.009;-21.471;1023.963;-208.560;-94.228;1050.801;-169.375;-239.546;1052.704;-186.942;-243.743;985.754;-201.338;-214.952;1021.913;141.463;-150.491;865.323;-125.165;-125.604;867.860;119.407;47.138;941.349;-74.806;60.606;952.328
22.984;6.392;1597.380;100.425;-60.850;1545.655;-48.114;-69.341;1541.800;83.687;49.676;1447.377;-40.795;41.087;1449.963;24.252;79.930;1279.758;39.721;77.978;1115.750;89.641;94.081;1194.704;-31.474;90.177;1176.747;32.548;-100.571;1277.709;23.959;-172.986;1086.374;78.320;-139.170;1205.928;-40.892;-130.191;1215.004;188.504;-71.927;1243.209;188.455;3.123;1309.573;199.532;60.801;1239.598;251.697;13.810;1157.667;235.301;-1.610;981.314;278.633;-46.309;1023.036;272.289;-143.464;1017.912;174.206;-253.356;1088.912;214.659;-267.946;1031.770;224.175;-234.373;1064.660;-145.562;-70.171;1246.918;-137.511;-4.929;1313.282;-148.588;62.949;1247.454;-208.804;-31.181;1164.694;-205.973;10.979;986.486;-242.718;-36.110;1030.111;-206.852;-103.938;1061.829;-150.832;-245.109;1071.638;-181.916;-255.259;1010.397;-191.139;-225.004;1044.994;141.317;-149.515;865.713;-125.311;-124.336;868.202;119.456;48.212;941.544;-74.709;61.875;952.475
22.984;5.660;1597.770;100.230;-61.436;1545.557;-48.358;-69.439;1541.604;83.834;49.920;1448.109;-40.648;41.673;1450.549;24.106;82.077;1279.709;39.770;79.344;1115.946;89.641;95.789;1194.704;-31.669;91.690;1176.698;32.597;-99.059;1278.685;23.813;-171.669;1087.253;78.076;-137.755;1206.855;-40.697;-128.971;1216.224;186.601;-70.854;1247.454;187.284;5.807;1311.330;199.435;61.338;1239.061;252.819;8.198;1160.985;246.524;-20.300;985.852;284.537;-64.461;1033.332;270.288;-159.811;1037.919;154.931;-256.967;1103.307;209.292;-276.583;1060.512;211.341;-241.400;1090.620;-143.562;-69.487;1251.114;-136.486;-2.391;1314.892;-148.832;62.900;1246.283;-209.584;-38.013;1170.062;-215.879;-7.808;989.756;-247.451;-54.116;1038.260;-203.778;-115.210;1074.273;-130.533;-249.452;1090.571;-172.645;-266.775;1038.309;-177.720;-234.471;1069.686;141.171;-148.393;866.103;-125.360;-122.969;868.494;119.553;49.383;941.788;-74.611;63.290;952.719
23.130;5.319;1597.917;100.132;-61.729;1545.167;-48.505;-69.195;1541.360;84.029;50.310;1448.499;-40.502;42.405;1450.988;23.959;84.615;1279.661;39.721;80.857;1116.043;89.592;97.643;1194.558;-32.060;93.496;1176.552;32.450;-97.155;1279.563;23.715;-170.156;1088.082;77.880;-136.047;1207.782;-40.404;-127.507;1217.249;184.307;-70.122;1251.797;185.967;8.296;1313.233;199.288;61.241;1238.622;254.820;1.464;1165.865;258.089;-38.940;993.074;288.978;-83.541;1045.531;265.848;-175.475;1056.364;136.974;-259.309;1114.628;197.336;-283.756;1084.325;195.775;-246.963;1111.163;-141.073;-68.609;1255.555;-135.559;0.244;1316.307;-149.125;62.949;1244.868;-209.780;-45.528;1176.405;-225.151;-28.595;995.172;-250.916;-73.684;1048.215;-199.776;-126.971;1087.009;-110.623;-252.575;1107.455;-159.372;-276.290;1064.269;-162.593;-242.523;1092.230;141.122;-147.221;866.494;-125.409;-121.652;868.787;119.553;50.652;941.886;-74.562;64.656;952.719
23.423;5.514;1597.770;100.034;-61.582;1544.679;-48.602;-68.609;1541.263;84.029;50.798;1448.402;-40.453;43.186;1451.183;24.203;87.006;1279.807;39.965;82.516;1116.434;89.982;98.961;1194.900;-32.304;95.350;1176.503;32.157;-95.350;1280.197;23.667;-168.400;1088.668;77.490;-134.339;1208.368;-40.404;-125.848;1217.932;182.014;-69.927;1255.457;184.893;9.662;1315.185;199.581;60.509;1238.964;257.064;-5.124;1171.331;266.238;-53.921;1000.882;291.076;-98.619;1056.510;260.822;-187.479;1070.125;123.262;-259.358;1124.485;183.234;-289.319;1100.038;182.892;-250.916;1124.388;-138.536;-67.633;1259.849;-134.534;2.977;1317.722;-149.417;63.388;1243.843;-208.950;-52.652;1183.286;-232.568;-49.236;1002.541;-252.087;-93.008;1059.243;-194.213;-138.438;1098.720;-91.251;-254.478;1119.752;-144.001;-283.854;1085.984;-146.099;-248.866;1110.627;141.122;-146.148;866.835;-125.360;-120.481;869.031;119.651;51.920;941.788;-74.465;66.023;952.621
23.374;6.002;1597.575;99.839;-61.387;1544.484;-48.797;-67.877;1540.970;84.273;51.091;1448.255;-40.258;43.966;1450.939;24.545;89.006;1280.246;40.502;84.468;1116.922;90.568;100.766;1195.436;-32.353;96.716;1176.893;32.304;-93.886;1280.880;23.569;-166.887;1089.205;77.344;-132.973;1209.002;-40.209;-124.531;1218.713;180.940;-69.195;1258.043;184.259;11.126;1316.356;200.362;60.850;1239.500;258.138;-9.467;1175.137;270.971;-66.462;1007.616;291.466;-110.184;1065.782;254.868;-196.360;1081.934;110.965;-255.942;1134.245;168.497;-291.857;1113.799;170.937;-251.794;1135.855;-136.144;-66.950;1263.801;-133.314;5.026;1319.284;-149.661;63.632;1243.697;-207.193;-58.898;1190.069;-237.594;-67.291;1011.373;-251.209;-110.184;1070.369;-187.626;-149.320;1108.236;-74.416;-256.967;1126.779;-128.191;-290.393;1099.159;-130.338;-255.064;1121.996;141.122;-145.270;867.177;-125.311;-119.407;869.373;119.846;52.994;941.642;-74.269;67.243;952.523
23.276;6.539;1597.282;99.644;-61.143;1544.484;-48.992;-67.047;1540.433;84.810;51.384;1448.206;-39.672;44.747;1450.451;24.643;90.763;1280.636;40.111;85.737;1117.361;90.275;102.474;1195.534;-33.036;97.692;1177.723;33.036;-92.568;1281.661;23.911;-165.520;1089.839;77.783;-131.606;1209.588;-39.428;-123.896;1219.689;180.696;-67.682;1259.995;183.966;13.517;1316.844;200.801;62.168;1239.256;257.747;-12.053;1177.333;274.826;-78.905;1014.350;291.222;-120.676;1075.200;247.354;-202.899;1095.109;97.448;-247.842;1144.394;152.784;-289.319;1129.414;157.420;-248.134;1148.737;-133.705;-67.047;1267.803;-131.850;5.953;1321.431;-150.149;63.144;1244.868;-205.095;-64.266;1196.608;-240.571;-82.077;1020.693;-248.573;-124.775;1080.812;-179.623;-159.177;1115.360;-58.264;-259.602;1127.559;-112.380;-295.907;1104.820;-114.576;-260.773;1127.023;141.171;-144.489;867.421;-125.165;-118.626;869.666;119.993;53.872;941.593;-74.123;68.121;952.475
