UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30.376;17.854;1597.916;106.929;-50.040;1545.430;-41.774;-58.111;1543.718;89.124;59.970;1446.670;-35.317;51.752;1451.121;25.338;88.732;1282.706;38.496;89.564;1117.323;89.906;105.364;1196.615;-32.088;100.668;1179.641;36.197;-90.298;1275.956;28.762;-162.888;1085.430;83.792;-126.691;1204.001;-36.686;-121.261;1214.127;196.199;-60.068;1233.742;193.313;12.327;1304.424;199.232;73.960;1240.052;250.691;44.464;1153.912;211.265;62.074;979.871;264.779;16.436;1006.628;274.513;-76.014;972.338;231.223;-209.798;1034.265;222.369;-217.526;964.805;250.446;-183.873;994.399;-147.382;-63.688;1241.030;-137.745;-1.272;1312.691;-146.648;70.878;1253.161;-202.998;-8.365;1157.923;-181.427;68.775;988.774;-225.793;17.952;1020.422;-203.047;-55.617;1043.314;-178.590;-198.694;1039.303;-167.584;-204.417;971.556;-194.536;-173.845;1000.709;145.278;-133.881;869.127;-121.359;-119.109;870.546;116.761;63.834;942.353;-77.482;70.047;953.799
30.670;18.392;1597.818;107.124;-49.600;1545.381;-41.578;-57.573;1543.816;89.319;60.313;1446.572;-35.121;52.193;1451.072;25.436;89.026;1282.608;38.496;89.760;1117.225;89.906;105.559;1196.468;-32.040;100.961;1179.543;36.197;-90.004;1275.956;28.664;-162.692;1085.479;83.743;-126.446;1204.001;-36.686;-120.968;1214.175;196.199;-59.823;1233.644;193.362;12.620;1304.277;199.281;74.156;1239.856;250.691;44.611;1153.716;211.167;62.171;979.724;264.730;16.533;1006.481;274.366;-75.965;972.192;231.027;-209.700;1034.167;222.173;-217.428;964.756;250.251;-183.775;994.301;-147.333;-63.345;1241.079;-137.697;-0.929;1312.691;-146.550;71.221;1253.161;-202.950;-8.022;1157.923;-181.427;69.019;988.774;-225.793;18.245;1020.471;-203.145;-55.323;1043.363;-178.688;-198.449;1039.352;-167.779;-204.172;971.605;-194.732;-173.551;1000.807;145.132;-133.881;869.127;-121.555;-118.962;870.594;116.712;63.883;942.304;-77.531;70.145;953.750
30.914;18.930;1597.769;107.320;-49.160;1545.332;-41.333;-57.035;1543.865;89.515;60.704;1446.425;-34.926;52.633;1451.072;25.583;89.368;1282.510;38.545;89.955;1117.128;90.004;105.804;1196.321;-31.942;101.206;1179.495;36.246;-89.613;1275.907;28.567;-162.448;1085.479;83.743;-126.153;1204.001;-36.735;-120.625;1214.224;196.248;-59.628;1233.546;193.460;12.865;1304.131;199.379;74.351;1239.709;250.691;44.806;1153.521;211.118;62.318;979.529;264.681;16.631;1006.285;274.219;-75.868;971.996;230.929;-209.553;1034.069;221.978;-217.331;964.659;250.104;-183.677;994.154;-147.333;-62.954;1241.177;-137.599;-0.489;1312.740;-146.452;71.612;1253.161;-202.950;-7.631;1158.021;-181.427;69.313;988.774;-225.842;18.539;1020.520;-203.194;-55.030;1043.412;-178.932;-198.156;1039.450;-168.024;-203.879;971.702;-194.927;-173.258;1000.856;144.985;-133.881;869.127;-121.701;-118.864;870.643;116.663;63.932;942.206;-77.580;70.291;953.702
31.208;19.468;1597.720;107.565;-48.622;1545.283;-41.040;-56.497;1543.914;89.711;61.193;1446.327;-34.730;53.122;1451.072;25.681;89.711;1282.412;38.545;90.200;1117.030;90.102;106.048;1196.175;-31.844;101.499;1179.397;36.295;-89.222;1275.907;28.518;-162.203;1085.577;83.694;-125.810;1204.001;-36.686;-120.234;1214.273;196.297;-59.334;1233.448;193.558;13.207;1303.935;199.477;74.645;1239.514;250.740;45.002;1153.325;211.021;62.465;979.382;264.583;16.827;1006.090;274.121;-75.721;971.849;230.831;-209.406;1033.972;221.880;-217.135;964.561;250.006;-183.530;994.057;-147.284;-62.514;1241.226;-137.452;0.000;1312.789;-146.355;72.052;1253.161;-202.950;-7.191;1158.119;-181.476;69.655;988.823;-225.891;18.930;1020.618;-203.292;-54.687;1043.510;-179.030;-197.813;1039.450;-168.171;-203.537;971.751;-195.025;-172.916;1000.905;144.838;-133.881;869.176;-121.799;-118.815;870.692;116.565;63.981;942.206;-77.629;70.340;953.653
31.550;20.006;1597.671;107.809;-48.133;1545.185;-40.746;-55.959;1543.914;89.955;61.682;1446.230;-34.485;53.660;1451.072;25.827;90.151;1282.266;38.594;90.444;1116.883;90.151;106.391;1195.979;-31.746;101.842;1179.299;36.393;-88.830;1275.956;28.420;-161.959;1085.675;83.743;-125.468;1204.001;-36.686;-119.842;1214.322;196.346;-58.943;1233.350;193.705;13.598;1303.788;199.525;74.987;1239.269;250.740;45.344;1153.129;211.021;62.660;979.186;264.583;17.023;1005.894;274.072;-75.525;971.702;230.733;-209.162;1033.825;221.733;-216.988;964.463;249.908;-183.335;993.910;-147.235;-62.025;1241.275;-137.354;0.440;1312.789;-146.257;72.492;1253.161;-202.901;-6.750;1158.167;-181.476;70.047;988.872;-225.891;19.322;1020.667;-203.292;-54.296;1043.510;-179.177;-197.422;1039.450;-168.318;-203.194;971.751;-195.123;-172.573;1000.905;144.740;-133.783;869.176;-121.897;-118.717;870.741;116.467;64.079;942.158;-77.726;70.438;953.653
31.893;20.593;1597.623;108.103;-47.595;1545.087;-40.453;-55.323;1543.962;90.200;62.171;1446.083;-34.192;54.247;1451.023;25.925;90.591;1282.168;38.594;90.787;1116.785;90.200;106.782;1195.832;-31.697;102.233;1179.250;36.442;-88.390;1275.907;28.420;-161.616;1085.724;83.792;-125.076;1204.001;-36.638;-119.402;1214.371;196.395;-58.552;1233.204;193.802;14.039;1303.642;199.623;75.427;1239.073;250.789;45.687;1152.934;210.972;62.905;978.991;264.534;17.218;1005.699;274.023;-75.330;971.507;230.685;-208.966;1033.727;221.635;-216.744;964.365;249.859;-183.090;993.812;-147.137;-61.584;1241.372;-137.256;0.929;1312.887;-146.159;72.982;1253.210;-202.852;-6.310;1158.265;-181.427;70.438;988.921;-225.842;19.762;1020.715;-203.292;-53.905;1043.608;-179.323;-197.031;1039.450;-168.415;-202.803;971.751;-195.270;-172.133;1000.954;144.691;-133.637;869.225;-121.995;-118.620;870.790;116.369;64.275;942.060;-77.824;70.634;953.555
32.235;21.229;1597.574;108.396;-47.008;1544.990;-40.159;-54.736;1544.011;90.444;62.709;1445.985;-33.996;54.785;1451.023;26.072;91.080;1282.070;38.594;91.178;1116.687;90.249;107.222;1195.686;-31.648;102.673;1179.201;36.540;-87.901;1275.956;28.420;-161.225;1085.773;83.841;-124.636;1204.001;-36.589;-118.913;1214.420;196.493;-58.111;1233.106;193.949;14.528;1303.495;199.721;75.819;1238.878;250.789;46.029;1152.738;210.874;63.199;978.844;264.436;17.561;1005.552;273.926;-75.036;971.360;230.685;-208.624;1033.580;221.586;-216.450;964.267;249.810;-182.796;993.665;-147.088;-61.095;1241.470;-137.110;1.467;1312.887;-146.012;73.471;1253.210;-202.803;-5.821;1158.314;-181.427;70.878;988.969;-225.891;20.153;1020.813;-203.341;-53.464;1043.657;-179.372;-196.591;1039.548;-168.513;-202.363;971.849;-195.319;-171.742;1001.003;144.643;-133.490;869.274;-122.044;-118.473;870.888;116.272;64.470;941.962;-77.922;70.829;953.506
32.578;21.816;1597.525;108.690;-46.421;1544.892;-39.866;-54.149;1543.962;90.689;63.394;1445.936;-33.752;55.421;1451.023;26.219;91.667;1281.972;38.643;91.618;1116.541;90.347;107.711;1195.539;-31.550;103.113;1179.103;36.638;-87.363;1275.956;28.420;-160.931;1085.920;83.890;-124.098;1204.050;-36.540;-118.424;1214.567;196.542;-57.622;1233.008;194.047;15.066;1303.348;199.868;76.357;1238.682;250.887;46.518;1152.493;210.776;63.590;978.648;264.338;17.952;1005.307;273.877;-74.596;971.164;230.733;-208.232;1033.482;221.537;-216.059;964.169;249.810;-182.405;993.519;-146.990;-60.508;1241.568;-136.963;2.054;1312.984;-145.914;74.058;1253.210;-202.754;-5.283;1158.461;-181.476;71.270;989.018;-225.891;20.593;1020.911;-203.390;-53.024;1043.755;-179.372;-196.199;1039.695;-168.611;-201.971;971.947;-195.368;-171.301;1001.149;144.545;-133.343;869.323;-122.093;-118.277;870.937;116.223;64.666;941.913;-77.971;71.074;953.457
32.871;22.354;1597.525;108.934;-45.834;1544.794;-39.621;-53.464;1543.914;90.934;64.079;1445.936;-33.458;56.204;1451.121;26.316;92.401;1281.825;38.643;92.059;1116.394;90.444;108.298;1195.294;-31.501;103.700;1178.956;36.784;-86.629;1276.102;28.371;-160.540;1086.115;83.939;-123.511;1204.197;-36.442;-117.886;1214.762;196.688;-56.937;1232.910;194.243;15.849;1303.152;199.966;76.993;1238.437;250.935;47.154;1152.298;210.678;64.030;978.404;264.338;18.441;1005.112;273.828;-74.205;970.969;230.733;-207.792;1033.385;221.537;-215.619;964.072;249.762;-181.965;993.421;-146.893;-59.872;1241.764;-136.816;2.837;1313.082;-145.768;74.694;1253.259;-202.705;-4.745;1158.608;-181.525;71.661;989.116;-225.940;20.985;1021.058;-203.341;-52.633;1043.950;-179.372;-195.759;1039.939;-168.513;-201.629;972.289;-195.270;-170.959;1001.394;144.496;-133.196;869.420;-122.190;-118.033;871.084;116.223;64.862;941.864;-77.971;71.367;953.408
