UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26.594;10.657;1600.314;104.957;-51.867;1543.949;-43.557;-61.938;1539.452;86.674;64.969;1453.462;-37.788;54.752;1455.515;27.034;91.122;1278.061;38.962;87.700;1113.122;91.611;104.028;1191.729;-30.847;100.948;1176.184;33.095;-88.825;1276.888;22.096;-162.544;1087.017;78.852;-127.982;1205.271;-41.553;-118.401;1215.879;193.440;-60.325;1233.478;191.924;12.710;1303.188;201.017;72.937;1237.633;251.907;42.188;1155.847;223.651;66.093;983.771;269.897;12.955;1007.822;264.617;-80.563;963.043;197.399;-213.287;1010.755;188.796;-207.812;941.191;221.647;-184.054;977.807;-151.007;-55.289;1244.623;-136.097;8.262;1313.894;-144.310;79.586;1252.983;-210.647;3.813;1165.918;-199.746;81.394;998.583;-243.645;31.727;1033.292;-216.807;-45.072;1048.544;-174.228;-188.356;1022.097;-224.140;-188.649;978.149;-220.767;-160.784;1013.298;136.439;-140.937;867.570;-129.938;-115.419;870.992;115.370;57.783;940.605;-78.070;71.715;952.875
26.545;10.657;1600.265;104.810;-51.965;1543.949;-43.704;-61.840;1539.403;86.772;64.969;1453.462;-37.740;54.849;1455.515;27.327;91.171;1278.159;39.157;87.652;1113.268;91.905;103.930;1191.827;-30.505;101.095;1176.282;32.949;-88.776;1276.986;21.754;-162.593;1087.163;78.559;-128.080;1205.368;-41.797;-118.303;1216.074;193.440;-60.520;1233.331;192.022;12.319;1303.237;201.310;72.644;1237.779;252.151;42.433;1156.287;224.091;67.706;984.406;270.190;14.275;1008.116;264.812;-78.852;962.652;197.204;-211.772;1009.289;188.942;-205.905;939.725;221.647;-182.440;976.633;-151.203;-54.605;1244.623;-135.999;8.750;1313.992;-143.919;80.270;1253.374;-210.207;5.280;1165.967;-198.670;84.327;999.365;-242.570;34.171;1033.341;-215.585;-42.824;1047.468;-172.810;-185.716;1018.333;-223.846;-185.422;975.754;-219.691;-157.900;1010.951;136.244;-141.035;867.570;-130.133;-115.174;871.041;115.419;57.685;940.556;-77.972;71.910;952.875
26.398;10.706;1600.265;104.566;-52.161;1543.949;-44.046;-61.498;1539.256;86.967;64.871;1453.560;-37.544;55.241;1455.466;27.718;91.367;1278.159;39.499;87.700;1113.268;92.345;103.882;1191.827;-30.065;101.340;1176.282;32.851;-88.629;1277.035;21.510;-162.544;1087.261;78.412;-128.080;1205.466;-41.993;-118.058;1216.221;193.489;-60.618;1233.233;192.169;12.124;1303.237;201.652;72.399;1237.877;252.200;42.726;1156.630;224.286;69.075;984.944;270.385;15.497;1008.311;264.959;-77.386;962.261;197.253;-210.501;1008.116;189.040;-204.292;938.601;221.744;-180.974;975.607;-151.300;-53.872;1244.672;-135.804;9.484;1313.992;-143.479;81.003;1253.423;-209.816;6.600;1165.967;-197.644;86.087;999.707;-241.836;35.931;1033.292;-214.998;-41.406;1046.784;-172.419;-184.200;1016.133;-223.798;-183.418;974.140;-219.251;-156.140;1009.436;135.950;-141.132;867.570;-130.280;-114.832;871.139;115.516;57.636;940.507;-77.875;72.155;952.826
26.251;10.804;1600.216;104.224;-52.210;1543.949;-44.339;-61.058;1539.060;87.163;64.969;1453.658;-37.348;55.778;1455.369;28.109;91.660;1278.110;39.891;87.847;1113.268;92.736;103.979;1191.827;-29.673;101.682;1176.233;32.851;-88.336;1277.181;21.314;-162.495;1087.457;78.314;-128.031;1205.613;-42.041;-117.716;1216.417;193.684;-60.667;1233.282;192.364;12.075;1303.335;201.995;72.253;1237.926;252.200;43.068;1157.070;224.433;70.151;985.482;270.581;16.474;1008.605;265.155;-76.261;962.114;196.862;-209.474;1007.285;189.480;-203.021;937.672;221.744;-179.850;974.971;-151.300;-53.138;1244.819;-135.559;10.217;1314.139;-143.137;81.688;1253.423;-209.670;7.479;1166.162;-197.693;87.016;1000.050;-241.690;36.566;1033.487;-214.216;-40.966;1046.197;-171.197;-183.565;1013.151;-223.749;-182.196;973.065;-218.176;-155.260;1008.213;135.706;-141.279;867.570;-130.475;-114.490;871.236;115.712;57.538;940.458;-77.630;72.448;952.826
26.203;11.097;1600.167;104.126;-52.063;1543.949;-44.486;-60.520;1538.914;87.407;65.262;1453.804;-37.153;56.316;1455.369;28.598;92.051;1278.061;40.282;87.896;1113.219;93.176;104.077;1191.729;-29.331;102.024;1176.086;32.900;-87.994;1277.279;21.216;-162.495;1087.750;78.266;-127.933;1205.808;-41.993;-117.374;1216.661;193.929;-60.716;1233.429;192.609;12.124;1303.433;202.435;72.057;1237.975;252.298;43.264;1157.461;224.775;70.982;986.019;270.923;17.208;1008.996;265.546;-75.430;962.359;195.640;-208.350;1006.502;190.800;-202.044;936.890;221.647;-178.872;974.727;-151.105;-52.503;1245.063;-135.266;10.950;1314.236;-142.843;82.372;1253.374;-209.621;7.919;1166.407;-198.377;87.358;1000.392;-241.983;36.469;1033.829;-213.434;-41.113;1045.611;-169.926;-183.320;1010.120;-223.944;-181.609;971.989;-217.149;-155.065;1006.991;135.462;-141.377;867.521;-130.622;-114.148;871.334;115.859;57.489;940.409;-77.483;72.742;952.875
26.447;11.586;1600.167;104.224;-51.623;1543.949;-44.339;-59.934;1538.865;87.700;65.751;1453.755;-36.860;56.952;1455.320;29.087;92.540;1277.963;40.575;87.896;1113.170;93.616;104.175;1191.632;-29.038;102.366;1175.988;33.047;-87.603;1277.474;21.021;-162.495;1088.043;78.217;-127.738;1206.004;-41.993;-117.032;1217.003;194.124;-60.716;1233.624;192.853;12.270;1303.482;202.923;71.910;1237.926;252.396;43.459;1157.998;225.509;71.617;986.606;271.608;17.697;1009.729;266.328;-74.893;963.972;189.284;-206.688;1005.280;196.226;-201.848;935.912;220.913;-178.090;976.047;-150.909;-51.770;1245.552;-134.826;11.781;1314.530;-142.501;83.056;1253.423;-209.865;8.262;1167.091;-200.430;87.505;1001.272;-242.961;35.540;1034.563;-212.212;-42.188;1044.633;-166.748;-183.369;1004.303;-222.722;-180.827;969.252;-214.314;-155.309;1004.156;135.217;-141.523;867.521;-130.817;-113.903;871.432;115.907;57.392;940.360;-77.386;72.888;952.875
26.985;12.612;1599.972;104.664;-50.890;1543.949;-43.899;-59.005;1539.012;88.238;66.191;1453.364;-36.322;57.587;1455.075;29.527;93.078;1277.963;40.722;87.994;1113.170;93.860;104.370;1191.534;-28.891;102.659;1175.939;33.242;-87.163;1277.621;20.923;-162.642;1088.434;78.266;-127.444;1206.199;-41.846;-116.641;1217.345;194.369;-60.667;1233.722;193.049;12.515;1303.433;203.168;71.959;1237.731;252.493;43.655;1158.438;227.464;72.204;987.193;272.830;17.305;1010.804;267.012;-74.697;968.127;175.743;-203.999;999.756;206.443;-202.044;937.183;218.274;-177.161;979.909;-150.518;-51.427;1245.943;-134.386;12.319;1314.725;-142.306;83.496;1253.618;-210.110;8.066;1167.678;-202.826;87.554;1002.249;-243.743;33.975;1035.003;-210.452;-43.997;1042.042;-163.180;-182.880;995.552;-221.060;-180.143;963.581;-211.136;-155.553;998.436;135.022;-141.670;867.570;-130.915;-113.854;871.481;115.907;57.245;940.409;-77.386;72.937;952.875
27.914;14.421;1599.678;105.397;-49.668;1543.949;-43.215;-57.685;1539.452;88.825;66.680;1452.484;-35.784;58.223;1454.538;29.576;93.225;1278.061;40.819;88.189;1113.219;93.860;104.664;1191.681;-28.842;102.904;1175.744;33.340;-87.163;1277.670;20.825;-162.984;1088.581;78.314;-127.493;1206.199;-41.846;-116.690;1217.394;194.369;-60.716;1233.282;193.000;12.515;1302.895;203.119;72.155;1237.584;252.787;43.850;1158.536;229.762;73.524;987.388;274.052;17.403;1011.929;268.772;-73.719;973.700;165.477;-199.893;988.659;219.887;-201.017;945.151;217.051;-174.912;985.384;-150.127;-51.281;1245.210;-134.337;12.319;1314.187;-142.257;83.692;1253.374;-210.159;7.822;1167.140;-204.488;88.483;1002.445;-244.183;33.682;1034.856;-208.790;-44.192;1040.087;-160.198;-181.169;989.393;-219.887;-178.774;960.648;-208.448;-154.576;994.770;134.924;-141.817;867.521;-131.013;-114.001;871.481;115.810;57.098;940.409;-77.435;72.839;952.875
28.842;16.621;1599.287;106.033;-48.201;1544.047;-42.579;-56.120;1540.185;89.265;67.022;1451.262;-35.344;58.760;1453.853;29.429;92.980;1277.670;40.673;88.043;1112.731;93.616;104.762;1191.289;-28.745;102.757;1175.304;33.144;-87.554;1277.670;20.581;-163.668;1088.630;78.217;-127.835;1206.102;-42.188;-117.032;1217.345;194.466;-59.982;1232.109;192.658;12.710;1302.113;202.679;72.742;1237.095;252.933;45.610;1158.585;235.383;75.430;987.339;278.549;18.870;1014.617;272.585;-72.350;984.406;163.913;-196.568;988.855;228.588;-199.110;961.577;217.149;-171.343;996.970;-150.518;-50.841;1244.330;-134.435;12.368;1313.601;-142.061;84.034;1253.081;-210.599;8.946;1166.700;-206.199;90.291;1002.396;-245.405;35.246;1035.345;-209.132;-41.993;1041.847;-158.389;-178.970;993.010;-218.616;-177.454;965.096;-206.981;-152.669;998.436;134.826;-142.012;867.423;-131.062;-114.245;871.383;115.761;56.854;940.409;-77.532;72.595;952.826
