UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24.972;-3.463;1597.745;103.011;-68.333;1543.703;-45.458;-79.892;1541.996;82.380;43.311;1447.374;-41.897;32.045;1451.813;23.948;69.113;1280.176;37.020;69.796;1115.173;88.818;83.453;1194.529;-33.849;81.843;1177.555;30.338;-111.400;1274.762;19.851;-180.172;1083.372;76.575;-149.981;1202.820;-43.702;-140.518;1213.209;191.000;-83.794;1234.475;188.854;-10.828;1304.710;198.560;49.994;1240.230;250.651;18.193;1156.339;219.874;42.238;983.483;266.600;-10.584;1008.114;263.186;-103.840;965.290;202.998;-237.725;1015.235;186.269;-231.873;946.707;222.947;-208.363;979.873;-151.639;-77.356;1241.352;-139.787;-15.169;1312.172;-147.981;57.456;1252.131;-207.681;-21.656;1159.314;-190.073;57.651;993.335;-232.019;3.073;1020.259;-208.558;-75.990;1026.745;-180.708;-216.606;993.286;-174.173;-208.851;925.490;-200.072;-185.244;960.413;134.666;-155.638;864.327;-131.300;-129.837;868.571;114.619;41.263;941.439;-78.819;55.749;953.633
25.070;-2.683;1597.794;103.060;-67.650;1543.752;-45.409;-79.063;1541.996;82.575;44.043;1447.472;-41.702;32.923;1451.813;24.094;69.942;1280.176;37.117;70.625;1115.173;88.964;84.282;1194.480;-33.703;82.672;1177.555;30.435;-110.522;1274.909;19.900;-179.440;1083.519;76.673;-149.200;1202.918;-43.604;-139.641;1213.307;191.097;-82.965;1234.475;189.000;-9.999;1304.710;198.706;50.823;1240.181;250.748;19.022;1156.339;219.923;43.019;983.483;266.697;-9.804;1008.114;263.381;-103.011;965.339;203.291;-236.945;1015.381;186.561;-231.141;946.902;223.239;-207.583;980.020;-151.541;-76.478;1241.449;-139.641;-14.242;1312.221;-147.786;58.383;1252.131;-207.534;-20.778;1159.363;-189.878;58.480;993.335;-231.824;3.902;1020.259;-208.363;-75.161;1026.794;-180.562;-215.777;993.384;-174.124;-208.071;925.588;-199.974;-184.415;960.559;134.714;-155.053;864.474;-131.300;-129.252;868.668;114.668;41.946;941.391;-78.770;56.432;953.584
25.167;-1.902;1597.794;103.157;-66.869;1543.801;-45.262;-78.185;1541.996;82.770;44.872;1447.520;-41.507;33.849;1451.813;24.192;70.869;1280.176;37.215;71.454;1115.173;89.062;85.160;1194.480;-33.557;83.550;1177.604;30.533;-109.644;1275.006;19.997;-178.562;1083.665;76.771;-148.322;1203.064;-43.507;-138.811;1213.453;191.195;-82.087;1234.524;189.098;-9.072;1304.710;198.804;51.701;1240.181;250.846;19.949;1156.339;220.069;43.848;983.483;266.892;-8.877;1008.114;263.576;-102.182;965.436;203.583;-236.116;1015.527;186.805;-230.361;947.097;223.483;-206.705;980.117;-151.395;-75.551;1241.498;-139.494;-13.315;1312.270;-147.639;59.261;1252.229;-207.339;-19.851;1159.411;-189.634;59.358;993.433;-231.629;4.829;1020.307;-208.217;-74.234;1026.843;-180.513;-214.850;993.481;-173.929;-207.144;925.685;-199.828;-183.537;960.608;134.763;-154.370;864.620;-131.203;-128.569;868.863;114.717;42.677;941.342;-78.722;57.163;953.535
25.314;-1.024;1597.842;103.304;-65.991;1543.849;-45.116;-77.258;1542.045;82.916;45.799;1447.618;-41.361;34.776;1451.910;24.338;71.796;1280.176;37.312;72.332;1115.173;89.159;86.038;1194.431;-33.459;84.428;1177.604;30.679;-108.669;1275.055;20.095;-177.733;1083.811;76.917;-147.396;1203.113;-43.409;-137.885;1213.551;191.341;-81.111;1234.572;189.244;-8.097;1304.710;198.950;52.627;1240.133;250.943;20.875;1156.339;220.167;44.726;983.483;267.039;-7.999;1008.163;263.820;-101.255;965.485;203.876;-235.189;1015.576;187.098;-229.483;947.195;223.776;-205.827;980.215;-151.249;-74.673;1241.596;-139.348;-12.389;1312.318;-147.542;60.139;1252.277;-207.242;-18.924;1159.509;-189.537;60.285;993.530;-231.531;5.755;1020.405;-208.071;-73.308;1026.941;-180.318;-213.924;993.481;-173.782;-206.217;925.783;-199.682;-182.611;960.656;134.812;-153.590;864.766;-131.105;-127.837;868.961;114.766;43.507;941.293;-78.673;57.944;953.487
25.460;-0.146;1597.891;103.450;-65.016;1543.849;-44.921;-76.380;1542.045;83.062;46.774;1447.667;-41.263;35.703;1452.008;24.436;72.771;1280.176;37.361;73.210;1115.173;89.208;86.964;1194.431;-33.410;85.306;1177.604;30.825;-107.693;1275.104;20.241;-176.806;1083.909;77.014;-146.420;1203.210;-43.263;-136.958;1213.697;191.487;-80.136;1234.572;189.341;-7.072;1304.710;198.999;53.603;1240.084;251.041;21.851;1156.339;220.264;45.653;983.434;267.136;-7.023;1008.114;263.966;-100.329;965.485;204.169;-234.311;1015.625;187.342;-228.605;947.195;224.020;-204.900;980.215;-151.151;-73.747;1241.693;-139.250;-11.462;1312.367;-147.444;61.065;1252.277;-207.144;-18.046;1159.558;-189.537;61.212;993.579;-231.434;6.633;1020.454;-207.973;-72.430;1026.941;-180.123;-212.997;993.433;-173.636;-205.242;925.734;-199.535;-181.684;960.608;134.861;-152.858;864.913;-131.056;-127.057;869.107;114.863;44.336;941.244;-78.575;58.822;953.487
25.655;0.732;1597.940;103.645;-64.041;1543.801;-44.726;-75.454;1542.094;83.160;47.799;1447.716;-41.117;36.629;1452.056;24.485;73.747;1280.127;37.410;74.137;1115.173;89.306;87.940;1194.382;-33.313;86.282;1177.604;30.972;-106.718;1275.201;20.290;-175.929;1084.055;77.161;-145.493;1203.308;-43.165;-136.031;1213.746;191.585;-79.112;1234.572;189.488;-6.048;1304.661;199.096;54.627;1240.084;251.090;22.924;1156.290;220.215;46.677;983.434;267.185;-5.950;1008.114;264.063;-99.255;965.485;204.413;-233.287;1015.625;187.586;-227.629;947.195;224.215;-203.925;980.215;-151.005;-72.820;1241.742;-139.104;-10.486;1312.416;-147.347;62.041;1252.326;-207.046;-17.120;1159.606;-189.488;62.138;993.628;-231.385;7.511;1020.551;-207.876;-71.503;1026.989;-179.977;-212.070;993.481;-173.490;-204.315;925.734;-199.389;-180.757;960.656;134.958;-152.029;865.010;-131.007;-126.228;869.205;114.912;45.214;941.244;-78.478;59.700;953.389
25.948;1.658;1597.989;103.938;-63.114;1543.752;-44.433;-74.527;1542.191;83.306;48.774;1447.716;-40.970;37.556;1452.154;24.582;74.771;1280.176;37.507;75.161;1115.173;89.403;88.964;1194.382;-33.264;87.257;1177.653;31.069;-105.694;1275.299;20.388;-174.855;1084.104;77.210;-144.469;1203.357;-43.068;-135.007;1213.843;191.683;-78.087;1234.621;189.585;-4.975;1304.661;199.194;55.651;1240.084;251.138;23.997;1156.290;220.167;47.701;983.434;267.185;-4.877;1008.114;264.161;-98.182;965.436;204.657;-232.263;1015.625;187.781;-226.605;947.244;224.459;-202.852;980.215;-150.956;-71.796;1241.840;-139.006;-9.462;1312.465;-147.249;63.016;1252.375;-206.998;-16.095;1159.704;-189.537;63.114;993.725;-231.385;8.487;1020.649;-207.778;-70.576;1027.136;-179.733;-211.095;993.628;-173.295;-203.340;925.880;-199.194;-179.782;960.803;135.056;-151.249;865.205;-130.910;-125.447;869.302;115.010;46.092;941.196;-78.429;60.578;953.292
26.338;2.390;1598.086;104.230;-62.236;1543.654;-44.092;-73.795;1542.240;83.453;49.798;1447.813;-40.824;38.483;1452.398;24.680;75.844;1280.127;37.507;76.137;1115.124;89.452;90.037;1194.382;-33.215;88.281;1177.653;31.167;-104.621;1275.396;20.485;-173.831;1084.250;77.356;-143.347;1203.454;-42.970;-133.934;1213.941;191.780;-76.917;1234.621;189.683;-3.804;1304.710;199.243;56.822;1240.035;251.187;25.119;1156.241;220.264;48.774;983.434;267.234;-3.804;1008.114;264.259;-97.109;965.388;204.803;-231.287;1015.430;187.927;-225.581;947.048;224.556;-201.828;980.069;-150.810;-70.771;1241.840;-138.909;-8.438;1312.513;-147.152;64.041;1252.424;-206.900;-15.120;1159.753;-189.683;64.138;993.774;-231.434;9.462;1020.746;-207.729;-69.552;1027.331;-179.391;-210.022;994.018;-173.002;-202.364;926.319;-198.950;-178.806;961.144;135.202;-150.420;865.400;-130.764;-124.764;869.449;115.058;46.970;941.147;-78.380;61.407;953.194
26.679;2.878;1598.135;104.621;-61.504;1543.410;-43.702;-73.210;1542.191;83.550;50.823;1447.911;-40.726;39.312;1452.690;24.631;77.063;1280.127;37.556;77.258;1115.076;89.403;91.208;1194.334;-33.264;89.354;1177.507;31.313;-103.401;1275.494;20.729;-172.758;1084.397;77.551;-142.128;1203.601;-42.824;-132.812;1214.038;191.878;-75.551;1234.767;189.683;-2.390;1304.758;199.243;58.188;1240.035;251.333;26.338;1156.339;220.459;49.798;983.483;267.380;-2.878;1008.163;264.454;-96.134;965.192;204.803;-230.458;1014.845;188.025;-224.508;946.463;224.654;-200.852;979.581;-150.712;-69.747;1241.742;-138.909;-7.414;1312.416;-147.152;65.016;1252.375;-206.851;-14.145;1159.606;-189.927;65.309;993.774;-231.531;10.584;1020.990;-207.583;-68.138;1027.965;-178.904;-208.802;995.628;-172.417;-201.389;927.880;-198.413;-177.782;962.559;135.397;-149.639;865.596;-130.617;-124.228;869.546;115.058;47.847;941.098;-78.429;62.090;953.145
