UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.206;6.491;1598.025;100.294;-57.541;1543.070;-48.122;-68.376;1540.191;80.870;56.321;1449.023;-43.485;45.535;1452.391;24.793;84.042;1280.157;37.434;83.457;1115.294;90.143;96.780;1194.797;-32.699;96.878;1177.472;27.624;-96.048;1276.643;17.277;-168.329;1085.718;73.110;-136.020;1204.656;-46.511;-124.063;1214.710;187.753;-74.379;1237.502;188.534;0.439;1305.341;199.808;59.396;1238.917;249.296;19.815;1153.020;212.644;26.843;978.005;260.424;-23.036;1007.288;257.837;-119.084;975.565;201.467;-247.686;1041.891;184.678;-249.736;973.027;221.233;-222.502;1004.262;-153.394;-61.885;1243.163;-141.144;2.196;1311.783;-148.709;73.012;1250.972;-208.886;-10.591;1158.340;-185.264;51.831;986.400;-230.214;3.026;1018.367;-211.131;-74.867;1034.717;-195.123;-221.038;1018.513;-189.413;-220.013;949.796;-212.595;-192.243;985.472;133.824;-144.170;866.290;-132.213;-119.280;869.609;113.423;53.295;941.841;-80.236;67.205;953.554
22.158;6.735;1598.074;100.294;-57.200;1543.022;-48.122;-68.083;1540.142;80.772;56.760;1449.121;-43.583;45.877;1452.439;24.744;84.433;1280.109;37.385;83.652;1115.294;90.094;97.073;1194.749;-32.797;97.171;1177.423;27.575;-95.707;1276.790;17.277;-168.182;1085.962;73.061;-135.727;1204.851;-46.560;-123.819;1214.905;187.704;-74.037;1237.746;188.436;0.878;1305.438;199.759;59.737;1238.966;249.589;19.815;1153.313;214.254;26.550;978.103;261.546;-23.622;1007.727;257.740;-120.012;976.248;202.248;-247.881;1043.502;181.164;-249.248;975.760;220.209;-222.746;1005.580;-153.443;-61.592;1243.310;-141.144;2.587;1311.832;-148.807;73.354;1250.972;-208.935;-10.347;1158.438;-185.362;51.929;986.448;-230.360;3.221;1018.513;-211.326;-74.623;1034.961;-195.562;-220.794;1019.050;-189.852;-219.965;950.333;-212.985;-192.097;985.960;133.824;-143.975;866.388;-132.164;-119.133;869.658;113.423;53.490;941.841;-80.236;67.351;953.554
22.109;6.979;1598.074;100.246;-56.809;1542.973;-48.073;-67.839;1540.093;80.626;57.248;1449.218;-43.729;46.218;1452.586;24.647;84.921;1280.060;37.336;83.896;1115.196;89.997;97.415;1194.651;-32.895;97.464;1177.374;27.526;-95.316;1276.936;17.277;-168.036;1086.206;73.012;-135.385;1204.998;-46.658;-123.526;1215.051;187.509;-73.647;1238.039;188.290;1.367;1305.536;199.710;60.079;1238.917;249.931;19.766;1153.655;216.353;25.964;978.152;263.011;-24.500;1008.264;257.642;-121.329;977.175;202.395;-248.223;1045.259;177.406;-248.808;978.932;218.988;-223.234;1007.093;-153.541;-61.250;1243.456;-141.193;2.977;1311.930;-148.856;73.696;1250.972;-209.032;-10.054;1158.535;-185.459;52.026;986.448;-230.506;3.416;1018.611;-211.619;-74.379;1035.254;-196.050;-220.648;1019.636;-190.340;-219.965;950.967;-213.425;-191.999;986.546;133.872;-143.780;866.486;-132.115;-119.084;869.707;113.374;53.734;941.841;-80.284;67.497;953.554
22.011;7.223;1598.123;100.246;-56.370;1542.875;-48.073;-67.595;1540.045;80.480;57.785;1449.316;-43.876;46.609;1452.683;24.549;85.458;1279.962;37.189;84.140;1115.099;89.899;97.854;1194.505;-33.041;97.854;1177.276;27.477;-94.828;1277.132;17.228;-167.841;1086.499;72.964;-134.995;1205.242;-46.706;-123.184;1215.295;187.216;-73.110;1238.234;188.095;2.001;1305.536;199.564;60.567;1238.722;250.272;19.717;1153.947;219.232;25.086;978.152;265.012;-25.818;1009.045;257.837;-123.038;978.249;202.297;-248.808;1047.016;173.551;-248.320;982.300;217.622;-223.967;1008.655;-153.638;-60.860;1243.651;-141.291;3.514;1311.978;-148.953;74.086;1250.923;-209.179;-9.761;1158.682;-185.655;52.026;986.497;-230.750;3.563;1018.757;-211.912;-74.184;1035.546;-196.636;-220.501;1020.270;-190.974;-220.013;951.602;-214.010;-191.902;987.132;133.872;-143.536;866.583;-132.115;-118.987;869.755;113.325;53.978;941.841;-80.333;67.644;953.505
22.011;7.565;1598.123;100.294;-55.833;1542.729;-47.975;-67.253;1539.947;80.382;58.420;1449.365;-43.973;47.097;1452.732;24.256;86.092;1279.865;37.043;84.530;1115.001;89.704;98.440;1194.407;-33.383;98.147;1177.130;27.380;-94.243;1277.278;17.179;-167.597;1086.694;72.866;-134.409;1205.388;-46.804;-122.745;1215.442;186.923;-72.378;1238.527;187.851;2.880;1305.585;199.369;61.153;1238.527;250.761;19.620;1154.484;223.478;23.378;978.347;268.086;-28.014;1010.265;258.911;-125.624;979.665;201.663;-249.931;1048.626;170.574;-248.320;985.033;216.451;-225.431;1010.217;-153.834;-60.616;1243.895;-141.388;3.904;1312.076;-149.148;74.379;1250.972;-209.423;-9.566;1158.877;-186.191;51.929;986.644;-231.239;3.563;1019.099;-212.400;-74.135;1036.034;-197.270;-220.501;1021.051;-191.658;-220.160;952.382;-214.645;-191.950;987.864;133.824;-143.292;866.681;-132.115;-118.840;869.804;113.228;54.271;941.841;-80.480;67.839;953.505
22.060;7.955;1598.074;100.441;-55.247;1542.631;-47.829;-66.863;1539.849;80.284;59.103;1449.365;-44.022;47.585;1452.781;23.914;86.824;1279.816;36.701;85.165;1114.903;89.362;99.318;1194.358;-33.968;98.586;1177.081;27.380;-93.511;1277.376;17.277;-167.157;1086.938;72.964;-133.580;1205.534;-46.755;-122.257;1215.637;186.582;-71.207;1238.966;187.460;4.051;1305.731;199.076;61.934;1238.234;251.493;19.229;1155.265;229.237;19.864;978.981;272.430;-31.675;1012.950;261.790;-129.724;984.350;196.196;-250.858;1053.799;172.380;-250.712;987.083;215.279;-227.773;1015.292;-153.882;-60.518;1244.286;-141.437;4.148;1312.320;-149.490;74.428;1251.118;-209.959;-9.907;1159.511;-187.851;51.197;987.083;-232.556;2.782;1020.026;-213.376;-74.721;1037.157;-198.002;-221.185;1022.759;-192.487;-220.989;954.091;-215.523;-192.731;989.523;133.824;-142.901;866.827;-132.067;-118.694;869.853;113.081;54.711;941.792;-80.626;68.132;953.456
22.109;8.297;1598.025;100.685;-54.662;1542.436;-47.634;-66.570;1539.556;80.284;59.884;1449.462;-43.973;48.073;1452.781;23.475;87.849;1279.767;36.213;86.043;1114.855;88.874;100.587;1194.260;-34.798;99.123;1177.179;27.575;-92.437;1277.522;17.570;-166.328;1087.133;73.159;-132.213;1205.681;-46.511;-121.427;1215.832;185.850;-69.401;1240.137;186.875;6.052;1306.317;198.783;63.349;1237.843;252.371;18.058;1156.583;238.169;12.104;980.494;278.775;-39.239;1018.172;265.939;-137.582;994.452;183.410;-251.785;1064.683;179.066;-257.056;993.720;213.083;-232.459;1027.591;-153.687;-60.567;1245.555;-141.340;4.295;1313.150;-149.978;74.184;1251.606;-210.789;-11.225;1161.122;-191.121;48.317;988.205;-234.996;-0.146;1022.223;-214.986;-77.258;1040.036;-199.027;-223.869;1026.810;-192.682;-223.918;958.141;-216.402;-195.708;993.281;133.824;-142.267;867.022;-132.018;-118.401;869.951;112.837;55.443;941.743;-80.919;68.571;953.407
22.450;8.443;1598.171;101.124;-53.978;1542.241;-47.146;-66.277;1539.312;80.480;61.006;1449.902;-43.729;48.903;1453.171;22.743;89.362;1279.816;35.188;87.361;1114.903;87.898;102.588;1194.065;-36.165;100.099;1177.423;28.161;-90.924;1277.961;18.155;-165.010;1087.573;73.696;-130.407;1206.120;-46.023;-120.353;1216.272;184.776;-66.717;1242.480;185.899;9.566;1306.951;198.100;65.545;1236.721;253.494;15.715;1158.486;252.664;-2.831;984.350;288.829;-53.344;1027.591;270.624;-152.321;1010.265;162.716;-253.689;1075.078;185.362;-268.623;1009.094;206.934;-240.560;1046.283;-152.760;-60.762;1247.653;-141.047;4.636;1314.516;-150.954;73.500;1251.899;-212.058;-14.446;1163.757;-196.977;40.655;989.133;-239.340;-7.565;1025.346;-218.012;-83.701;1045.454;-200.052;-230.946;1036.083;-191.121;-231.531;967.658;-216.792;-203.566;1001.676;133.921;-141.193;867.364;-131.969;-117.767;870.195;112.447;56.614;941.743;-81.407;69.401;953.359
23.182;9.127;1598.318;101.856;-53.002;1541.997;-46.365;-65.252;1539.117;81.114;62.422;1450.292;-43.046;50.318;1453.562;21.816;91.900;1279.377;34.115;89.020;1114.513;86.775;105.370;1193.333;-37.580;101.612;1177.276;28.844;-88.532;1278.840;18.790;-163.107;1088.353;74.281;-127.723;1206.901;-45.145;-118.792;1217.248;183.117;-63.544;1247.312;184.434;14.642;1308.367;197.221;67.595;1234.915;256.031;10.981;1163.220;272.284;-25.916;993.916;299.712;-75.404;1044.429;272.186;-172.965;1034.619;138.362;-257.008;1080.447;184.434;-283.753;1033.155;193.951;-251.053;1069.075;-151.247;-61.055;1251.216;-140.363;5.905;1316.127;-152.125;72.817;1251.314;-213.376;-19.961;1167.759;-206.055;25.525;990.402;-245.441;-22.060;1030.471;-220.745;-96.195;1054.385;-197.856;-243.733;1052.140;-186.923;-245.929;983.911;-214.986;-218.208;1016.464;133.872;-139.729;867.754;-131.969;-116.644;870.536;111.910;58.273;941.743;-81.944;70.719;953.310
