UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
32.399;26.104;1596.950;110.175;-41.133;1545.425;-38.303;-51.965;1543.864;90.414;67.042;1445.057;-33.862;56.551;1449.546;30.837;91.438;1278.526;43.865;89.584;1113.752;95.391;104.856;1192.797;-27.324;101.441;1176.061;36.741;-88.364;1276.770;25.763;-160.529;1085.989;82.070;-127.692;1204.702;-37.668;-117.982;1215.095;197.466;-62.406;1236.955;196.002;12.442;1303.850;205.224;71.872;1237.247;253.285;34.790;1150.688;211.177;38.644;976.448;264.459;-5.318;1005.139;274.217;-99.782;974.155;226.059;-233.573;1041.685;224.741;-240.209;971.471;249.674;-207.078;1002.504;-145.257;-56.942;1246.372;-133.156;8.636;1313.218;-142.086;78.215;1249.836;-201.613;-7.661;1161.179;-177.217;47.232;985.768;-225.132;3.659;1021.045;-211.225;-71.140;1044.759;-202.833;-221.228;1045.490;-194.929;-224.644;976.692;-218.203;-193.416;1006.798;139.841;-141.061;866.664;-126.228;-113.542;870.860;120.568;57.673;940.000;-72.751;73.287;952.588
32.691;26.153;1596.902;110.516;-40.937;1545.279;-37.912;-52.013;1543.864;90.462;67.237;1444.960;-33.765;56.551;1449.546;30.788;91.634;1278.429;43.767;89.535;1113.654;95.244;104.954;1192.651;-27.471;101.441;1175.963;36.888;-88.218;1276.770;25.958;-160.578;1086.038;82.265;-127.496;1204.702;-37.522;-117.933;1215.144;197.563;-62.114;1236.808;196.051;12.784;1303.704;205.126;72.116;1237.052;253.236;35.131;1150.493;210.982;38.937;976.302;264.312;-4.977;1004.895;274.169;-99.440;973.667;226.156;-233.475;1040.953;224.741;-239.818;970.691;249.723;-206.785;1001.821;-145.062;-57.039;1246.616;-133.059;8.636;1313.316;-142.183;78.069;1249.787;-201.613;-8.246;1161.374;-177.412;45.866;985.768;-225.229;2.440;1021.289;-211.372;-72.116;1045.247;-203.614;-222.253;1046.662;-194.392;-226.107;978.010;-218.300;-194.636;1007.725;139.939;-141.159;866.712;-126.179;-113.834;870.860;120.470;57.576;940.000;-72.848;73.043;952.588
33.082;26.251;1596.804;110.907;-40.742;1545.083;-37.473;-51.965;1543.815;90.609;67.481;1444.862;-33.570;56.649;1449.644;30.788;91.877;1278.331;43.719;89.731;1113.557;95.195;105.198;1192.553;-27.568;101.587;1175.915;37.034;-87.925;1276.672;26.153;-160.383;1086.086;82.460;-127.252;1204.654;-37.327;-117.640;1215.095;197.661;-61.772;1236.711;196.100;13.125;1303.557;205.126;72.458;1237.004;253.285;35.570;1150.444;210.933;39.571;976.351;264.264;-4.440;1004.797;274.022;-98.855;973.130;225.912;-233.231;1039.928;224.546;-239.184;969.666;249.528;-206.346;1000.942;-144.672;-57.039;1247.055;-132.961;8.734;1313.462;-142.281;77.874;1249.641;-201.613;-9.271;1161.813;-178.339;43.231;985.768;-225.766;-0.049;1021.923;-211.518;-74.214;1046.564;-203.858;-224.351;1049.443;-193.367;-228.889;981.035;-217.910;-197.124;1010.115;139.987;-141.207;866.712;-126.130;-114.030;870.909;120.373;57.576;939.853;-72.946;72.946;952.491
33.472;26.251;1596.755;111.200;-40.693;1544.839;-37.180;-51.818;1543.717;90.902;67.725;1444.813;-33.326;56.942;1449.644;30.837;92.268;1278.283;43.670;90.170;1113.557;95.244;105.442;1192.455;-27.763;101.929;1175.866;37.229;-87.437;1276.575;26.299;-159.993;1086.038;82.656;-126.862;1204.654;-37.132;-117.006;1214.998;197.856;-61.431;1236.711;196.148;13.516;1303.557;205.175;72.799;1237.004;253.432;36.058;1150.542;211.128;40.401;976.497;264.410;-3.757;1004.846;273.973;-98.172;972.691;225.424;-232.938;1038.806;224.253;-238.306;968.544;249.235;-205.712;1000.015;-144.037;-56.893;1247.933;-132.717;9.076;1313.853;-142.525;77.483;1249.397;-201.760;-11.369;1162.692;-180.486;37.522;985.670;-226.937;-5.514;1023.290;-211.762;-78.655;1049.735;-202.638;-228.547;1056.274;-190.879;-234.597;988.110;-216.154;-202.443;1016.166;139.841;-141.305;866.761;-126.228;-113.834;870.957;120.373;57.625;939.756;-72.946;73.092;952.442
33.911;26.251;1596.658;111.395;-40.840;1544.595;-36.985;-51.428;1543.473;91.390;67.871;1444.813;-32.838;57.527;1449.693;31.032;92.853;1278.283;43.816;90.658;1113.557;95.439;105.832;1192.358;-27.812;102.612;1175.915;37.522;-86.705;1276.526;26.202;-159.261;1086.038;82.753;-126.277;1204.654;-36.888;-115.932;1214.949;198.100;-60.894;1236.808;196.246;14.004;1303.753;205.322;73.238;1237.150;253.871;36.644;1150.981;212.397;41.572;976.936;265.288;-3.025;1005.236;273.973;-97.684;972.350;223.863;-232.938;1037.537;222.985;-237.037;967.177;248.064;-205.126;999.039;-142.818;-56.844;1250.031;-132.132;9.905;1314.682;-142.866;76.947;1248.714;-201.711;-15.760;1164.692;-184.194;25.421;985.426;-228.547;-17.175;1025.924;-212.055;-87.876;1056.469;-200.491;-236.842;1070.814;-183.706;-245.966;1004.114;-212.006;-213.226;1029.047;139.402;-141.500;866.810;-126.569;-113.054;871.055;120.568;57.625;939.756;-72.751;73.726;952.393
34.448;26.397;1596.658;111.492;-41.084;1544.400;-36.936;-50.842;1543.473;91.975;67.822;1444.716;-32.301;58.210;1449.839;31.325;93.732;1278.283;44.353;91.438;1113.606;95.927;106.174;1192.358;-27.666;103.734;1175.817;37.668;-85.778;1276.575;25.812;-157.846;1086.038;82.802;-125.301;1204.654;-36.741;-114.761;1215.193;198.198;-60.211;1237.101;196.246;14.540;1304.338;205.614;73.726;1237.589;254.993;37.229;1152.103;216.300;43.426;977.961;267.874;-2.635;1006.407;273.778;-97.928;972.301;218.788;-233.378;1035.341;218.691;-234.939;964.982;244.112;-204.590;997.722;-141.012;-57.039;1253.642;-131.351;11.564;1315.609;-143.159;76.068;1246.762;-201.467;-23.421;1168.156;-188.244;2.391;985.670;-230.450;-37.766;1030.706;-211.860;-103.588;1068.423;-197.222;-249.821;1097.553;-172.191;-264.849;1034.902;-205.322;-231.231;1053.395;138.475;-141.646;866.908;-127.252;-111.297;871.348;121.105;57.673;939.609;-72.067;75.239;952.344
34.497;26.299;1596.853;111.053;-41.474;1544.303;-37.473;-50.159;1543.278;92.365;68.018;1445.155;-32.008;59.332;1450.181;31.569;95.195;1277.892;45.036;92.365;1113.411;96.513;106.808;1192.065;-27.373;105.198;1175.329;37.668;-84.412;1276.916;25.031;-156.382;1086.379;82.460;-124.130;1204.849;-36.595;-113.786;1215.925;197.856;-59.528;1237.443;196.100;15.272;1304.924;205.907;74.166;1237.979;256.945;37.376;1153.909;223.765;46.012;979.766;272.412;-3.025;1008.456;273.144;-98.611;972.252;208.786;-233.426;1030.706;210.494;-230.987;960.688;236.549;-203.711;994.941;-138.475;-57.186;1259.546;-130.424;14.394;1316.975;-143.452;75.141;1243.444;-200.735;-34.643;1174.743;-191.806;-32.740;990.013;-231.719;-67.822;1041.001;-210.152;-126.130;1087.940;-190.635;-265.971;1137.661;-158.480;-288.123;1081.012;-196.197;-254.456;1091.893;137.304;-141.695;866.908;-128.131;-108.760;871.738;122.032;57.820;939.463;-70.994;77.386;952.296
33.326;26.007;1597.341;109.638;-41.962;1544.595;-38.937;-49.183;1542.497;92.658;68.798;1446.521;-31.813;61.235;1450.571;31.764;97.001;1277.307;45.426;93.195;1112.971;96.903;107.882;1191.528;-27.373;106.418;1174.695;37.815;-82.802;1277.502;24.153;-155.211;1087.062;82.070;-122.812;1205.288;-36.253;-113.346;1217.389;197.173;-58.552;1237.443;196.002;16.394;1305.021;206.346;74.702;1237.735;259.092;37.034;1155.812;232.597;48.793;981.767;277.340;-3.903;1010.457;272.314;-98.904;971.032;196.051;-232.255;1021.923;201.906;-224.985;952.540;227.815;-201.857;989.134;-135.694;-57.576;1267.548;-129.009;17.273;1319.074;-144.525;73.775;1241.492;-199.125;-49.086;1185.917;-193.318;-75.337;1002.455;-230.743;-103.588;1059.153;-205.956;-151.893;1114.777;-180.095;-280.756;1186.063;-141.305;-308.275;1136.978;-183.609;-277.291;1139.905;136.279;-141.598;867.005;-128.863;-106.369;872.080;122.861;57.966;939.512;-69.969;79.289;952.442
31.569;25.812;1597.926;107.686;-42.255;1545.035;-40.889;-48.012;1541.473;92.756;69.823;1448.131;-31.862;63.480;1450.961;31.081;98.757;1276.770;44.207;94.073;1112.483;95.830;109.199;1190.796;-29.227;106.955;1174.597;38.449;-81.289;1278.136;23.860;-154.723;1088.038;82.314;-121.495;1205.873;-35.082;-113.639;1219.194;196.734;-56.844;1237.394;195.709;18.639;1304.777;205.858;76.068;1236.955;260.653;37.668;1157.324;240.306;51.477;983.816;281.146;-4.587;1011.970;271.583;-98.123;967.763;182.242;-229.230;1006.700;196.197;-217.813;939.121;220.057;-199.076;978.595;-132.522;-58.601;1276.624;-127.350;18.639;1321.708;-146.770;71.043;1241.297;-195.953;-63.431;1200.506;-190.196;-118.079;1023.192;-226.010;-139.109;1083.744;-198.978;-176.387;1146.151;-166.092;-291.246;1236.467;-120.226;-319.790;1195.432;-166.873;-294.808;1190.992;135.645;-141.207;867.152;-129.204;-104.710;872.372;123.154;58.259;939.756;-69.481;80.655;952.686
