UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31.521;18.786;1598.312;108.519;-47.331;1544.150;-40.158;-54.699;1540.197;92.417;66.604;1449.684;-32.107;58.749;1452.075;31.619;96.564;1277.634;46.160;93.978;1113.002;97.003;110.568;1192.781;-25.129;105.640;1174.239;39.816;-82.951;1276.854;32.595;-157.655;1087.287;87.147;-121.498;1205.467;-33.180;-113.789;1214.982;200.009;-56.065;1237.330;197.227;19.323;1304.813;206.498;77.876;1238.404;257.830;42.256;1153.648;221.478;53.186;979.451;271.395;4.148;1006.923;273.932;-90.075;969.692;214.940;-225.626;1023.366;211.378;-224.503;952.468;239.727;-196.544;989.796;-142.773;-55.089;1241.282;-132.477;10.832;1308.668;-140.479;80.364;1247.187;-198.350;-4.343;1155.209;-175.075;61.920;984.428;-218.502;10.052;1013.851;-194.885;-67.288;1028.685;-167.902;-213.671;1008.533;-154.532;-205.327;941.001;-185.175;-183.370;975.987;147.750;-136.234;868.444;-118.278;-116.033;870.932;123.450;63.042;939.342;-70.898;73.192;951.395
31.912;19.176;1598.263;108.909;-46.940;1544.052;-39.719;-54.259;1540.100;92.807;67.092;1449.684;-31.716;59.236;1452.075;31.960;97.101;1277.439;46.404;94.271;1112.807;97.296;111.007;1192.537;-24.836;105.982;1174.092;40.109;-82.365;1276.854;32.741;-157.362;1087.385;87.342;-120.961;1205.516;-32.936;-113.301;1215.080;200.057;-55.479;1237.476;197.520;20.006;1304.764;206.791;78.364;1238.111;258.074;42.012;1153.404;222.405;51.673;979.012;271.980;2.586;1007.215;273.542;-92.173;971.986;212.744;-226.455;1028.246;209.865;-225.967;957.201;238.215;-197.813;994.187;-142.480;-54.552;1241.429;-132.135;11.418;1308.765;-140.138;80.901;1247.187;-198.057;-3.855;1155.355;-174.879;62.262;984.477;-218.306;10.442;1014.047;-194.641;-66.897;1028.978;-167.755;-213.281;1009.167;-154.434;-205.083;941.587;-185.029;-183.077;976.524;147.994;-136.137;868.444;-118.131;-115.936;870.981;123.596;63.189;939.245;-70.703;73.338;951.346
32.351;19.615;1598.165;109.300;-46.550;1544.003;-39.280;-53.772;1540.051;93.295;67.532;1449.635;-31.228;59.773;1452.026;32.204;97.638;1277.342;46.648;94.612;1112.660;97.540;111.447;1192.342;-24.690;106.323;1173.995;40.353;-81.780;1276.902;32.936;-156.923;1087.482;87.537;-120.327;1205.565;-32.790;-112.715;1215.177;200.057;-54.845;1237.720;197.715;20.689;1304.764;207.084;78.901;1237.867;258.415;41.475;1153.306;223.869;49.380;978.573;272.907;0.195;1007.801;272.761;-95.296;975.548;208.792;-227.870;1035.516;207.425;-227.870;964.471;235.482;-199.569;1001.018;-142.333;-54.259;1241.673;-131.843;11.906;1308.912;-139.845;81.292;1247.284;-197.666;-3.513;1155.502;-174.733;62.408;984.624;-218.014;10.637;1014.486;-194.397;-66.409;1029.954;-167.365;-212.890;1011.168;-154.044;-205.083;943.490;-184.687;-182.882;978.329;148.140;-136.039;868.493;-117.936;-115.789;871.030;123.840;63.384;939.147;-70.459;73.533;951.248
32.936;20.055;1598.116;109.836;-46.111;1543.955;-38.743;-53.332;1540.100;93.783;67.873;1449.537;-30.741;60.066;1451.928;32.302;98.126;1277.342;46.696;95.052;1112.660;97.687;111.935;1192.244;-24.690;106.616;1174.092;40.597;-81.145;1276.902;33.180;-156.386;1087.580;87.781;-119.595;1205.565;-32.595;-112.081;1215.129;199.765;-53.918;1238.208;197.764;21.567;1304.959;207.279;79.584;1237.623;258.903;40.353;1153.355;227.041;45.037;978.036;274.859;-4.294;1009.167;271.883;-100.809;981.549;202.448;-229.822;1046.788;203.229;-230.847;975.841;231.091;-202.448;1011.851;-141.943;-54.162;1242.112;-131.599;12.101;1309.204;-139.699;81.389;1247.577;-197.422;-3.708;1155.941;-175.172;61.627;984.819;-218.062;9.856;1015.559;-194.007;-66.214;1032.832;-165.023;-212.695;1017.267;-153.410;-206.157;949.101;-183.272;-183.467;983.843;148.335;-135.746;868.590;-117.692;-115.545;871.128;124.036;63.726;939.050;-70.264;73.826;951.199
33.473;20.640;1597.970;110.422;-45.623;1544.003;-38.157;-52.991;1540.197;94.271;68.068;1449.244;-30.253;60.164;1451.733;32.302;98.809;1277.390;46.550;95.442;1112.709;97.687;112.520;1192.098;-24.934;106.957;1174.239;40.987;-80.316;1277.049;33.522;-155.508;1087.629;88.074;-118.668;1205.662;-32.253;-111.251;1215.226;199.130;-52.893;1239.623;197.666;22.933;1305.545;207.474;80.364;1237.233;259.391;37.865;1153.794;232.018;36.547;977.695;277.738;-12.931;1011.900;269.931;-110.568;991.162;193.519;-232.701;1064.256;195.080;-235.824;993.699;223.723;-207.376;1028.343;-141.162;-54.162;1243.283;-131.208;12.345;1309.985;-139.796;81.243;1247.870;-197.130;-5.026;1157.063;-176.831;58.114;984.819;-218.746;6.538;1017.706;-192.348;-67.141;1039.420;-156.972;-213.378;1032.296;-153.898;-209.865;962.861;-179.905;-186.053;998.286;148.579;-135.258;868.688;-117.448;-115.155;871.176;124.182;64.311;939.001;-70.118;74.265;951.151
34.107;21.177;1597.970;111.105;-45.184;1544.101;-37.523;-52.552;1540.246;94.905;68.361;1449.147;-29.618;60.456;1451.635;32.351;99.785;1277.293;46.404;95.832;1112.709;97.687;113.252;1191.805;-25.129;107.397;1174.239;41.475;-79.193;1277.537;33.912;-154.630;1088.068;88.464;-117.643;1206.053;-31.716;-110.471;1215.812;198.106;-51.771;1242.210;197.471;24.934;1306.423;207.816;81.096;1236.403;260.075;33.229;1154.575;238.166;22.104;977.841;280.666;-27.227;1016.438;266.076;-125.304;1004.580;181.613;-235.872;1087.629;182.199;-243.045;1017.706;212.988;-214.403;1050.008;-139.845;-53.820;1245.381;-130.574;13.272;1311.303;-139.943;81.243;1247.870;-196.690;-7.661;1159.064;-179.466;49.526;984.233;-219.819;-0.927;1021.024;-189.079;-70.215;1050.057;-140.284;-214.647;1056.644;-154.044;-216.599;988.478;-172.781;-190.591;1024.440;148.872;-134.478;868.834;-117.204;-114.569;871.225;124.280;65.141;939.147;-70.069;74.900;951.248
34.693;21.958;1598.019;111.642;-44.598;1544.345;-36.986;-51.673;1540.295;95.832;68.849;1449.293;-28.642;61.237;1451.538;32.887;101.346;1277.049;46.404;96.369;1112.563;98.028;114.277;1191.317;-25.032;108.177;1174.092;42.207;-77.778;1278.317;34.303;-153.703;1088.702;88.806;-116.375;1206.638;-30.936;-109.495;1216.788;196.739;-50.941;1245.723;197.520;27.130;1307.399;208.645;81.194;1235.037;260.660;26.105;1155.746;242.850;1.805;979.354;281.593;-46.550;1022.830;259.635;-143.505;1021.219;167.316;-238.703;1114.710;167.267;-251.975;1045.519;199.911;-222.844;1075.137;-137.747;-52.893;1248.943;-129.354;15.419;1313.205;-139.943;81.584;1247.479;-195.715;-12.394;1162.431;-183.467;33.961;983.794;-220.746;-14.980;1025.904;-183.809;-77.095;1063.329;-118.083;-215.769;1084.311;-149.116;-225.284;1023.854;-160.143;-195.861;1057.425;149.116;-133.404;869.029;-116.960;-113.886;871.372;124.231;66.117;939.342;-70.118;75.631;951.443
35.181;23.177;1598.116;111.935;-43.866;1544.784;-36.693;-50.014;1540.002;97.296;69.678;1449.684;-27.227;62.847;1451.343;33.961;103.395;1276.561;46.794;97.247;1112.270;98.955;115.594;1190.439;-24.495;109.495;1173.653;43.183;-76.071;1279.098;34.644;-152.532;1089.385;89.294;-115.301;1207.224;-29.911;-108.421;1218.007;195.373;-50.746;1249.431;197.959;29.277;1307.838;209.963;80.608;1232.792;260.806;16.785;1156.770;244.607;-23.763;982.672;279.885;-69.874;1031.222;250.511;-163.852;1040.640;151.068;-241.240;1143.450;150.482;-261.538;1075.967;184.785;-231.627;1102.657;-134.575;-52.064;1253.432;-127.598;18.249;1314.913;-139.552;81.584;1246.016;-194.056;-20.006;1166.725;-187.761;11.320;984.136;-220.941;-35.278;1032.296;-177.709;-87.928;1077.284;-96.369;-216.647;1112.026;-137.796;-234.018;1061.572;-144.627;-201.180;1090.312;149.311;-132.087;869.273;-116.716;-112.910;871.616;124.231;67.434;939.489;-70.118;76.705;951.590
35.620;24.836;1598.068;112.130;-42.842;1545.174;-36.547;-47.672;1539.465;99.004;70.850;1450.025;-25.568;65.141;1451.001;35.376;105.835;1275.683;47.331;98.418;1111.489;100.126;117.058;1189.170;-23.909;111.203;1173.019;44.208;-74.070;1279.635;34.839;-151.165;1090.068;89.635;-114.228;1207.761;-28.789;-107.153;1219.130;194.153;-50.893;1252.944;198.740;31.326;1307.643;211.622;79.437;1230.011;260.026;5.904;1158.088;243.533;-51.869;988.332;275.445;-94.905;1041.811;239.190;-184.345;1061.475;134.868;-243.094;1171.653;132.428;-269.492;1106.366;168.731;-239.825;1130.080;-130.476;-51.185;1258.409;-125.597;21.470;1316.426;-138.820;81.389;1243.820;-191.469;-29.472;1172.433;-190.396;-15.517;987.210;-219.331;-58.846;1041.128;-170.781;-101.297;1091.435;-77.778;-217.623;1138.863;-122.425;-242.801;1096.168;-129.110;-207.084;1119.540;149.457;-130.867;869.469;-116.668;-111.739;871.860;124.280;68.703;939.440;-70.069;77.974;951.590
