UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
42.559;10.628;1597.412;118.172;-56.502;1542.519;-30.567;-64.156;1542.909;99.159;55.381;1446.237;-25.302;47.434;1452.233;33.784;83.461;1279.217;47.581;82.925;1114.245;98.281;99.110;1193.952;-24.034;93.357;1176.304;46.021;-95.941;1276.389;37.782;-169.262;1086.262;93.406;-133.479;1204.238;-26.667;-127.580;1215.110;205.581;-67.130;1236.219;201.681;8.044;1304.421;209.384;67.325;1238.656;261.108;32.760;1153.099;221.669;45.094;978.182;272.175;-3.461;1005.141;272.126;-99.061;973.940;209.140;-230.152;1038.048;207.970;-232.199;966.774;236.294;-203.826;1002.021;-136.697;-72.443;1241.191;-128.458;-6.923;1309.442;-138.939;62.791;1248.553;-193.979;-23.888;1155.780;-174.381;42.364;983.447;-215.478;-9.701;1015.817;-188.860;-81.609;1038.145;-155.710;-229.177;1034.147;-144.643;-225.423;965.409;-175.307;-202.071;998.462;150.054;-145.472;866.933;-116.124;-124.802;870.053;126.167;53.041;940.107;-68.056;63.571;951.759
42.608;10.481;1597.364;118.123;-56.648;1542.470;-30.567;-64.205;1542.812;99.208;55.283;1446.188;-25.204;47.434;1452.184;33.784;83.412;1279.266;47.581;82.681;1114.245;98.233;99.061;1193.952;-24.132;93.211;1176.304;46.118;-95.990;1276.438;37.782;-169.555;1086.408;93.455;-133.528;1204.287;-26.618;-127.727;1215.256;205.679;-67.081;1236.365;201.730;8.093;1304.470;209.433;67.325;1238.705;261.206;32.663;1153.148;221.864;44.509;978.230;272.321;-3.998;1005.336;272.126;-99.646;974.428;209.043;-230.639;1038.779;207.629;-232.833;967.603;236.294;-204.363;1002.703;-136.697;-72.687;1241.386;-128.409;-7.069;1309.589;-138.939;62.596;1248.602;-193.979;-24.229;1155.975;-174.625;41.974;983.593;-215.673;-10.091;1016.061;-188.860;-81.999;1038.486;-155.515;-229.469;1034.537;-144.546;-225.813;965.750;-175.210;-202.461;998.754;150.006;-145.618;866.981;-116.124;-125.045;870.053;126.069;52.894;940.156;-68.153;63.327;951.808
42.706;10.286;1597.217;118.220;-56.795;1542.275;-30.469;-64.351;1542.665;99.256;55.234;1446.139;-25.155;47.337;1452.136;33.638;83.607;1279.266;47.483;82.584;1114.245;98.184;99.159;1193.903;-24.570;93.016;1176.256;46.118;-95.746;1276.536;37.831;-169.555;1086.603;93.406;-133.187;1204.433;-26.618;-127.532;1215.354;205.533;-66.691;1236.901;201.535;8.434;1304.762;209.433;67.520;1238.851;261.498;32.127;1153.489;223.034;42.657;978.425;272.955;-6.094;1006.165;271.736;-101.889;976.475;207.629;-232.102;1041.558;205.581;-234.637;970.625;235.076;-206.020;1005.287;-136.697;-72.785;1242.020;-128.458;-7.215;1310.125;-139.086;62.206;1249.040;-194.174;-24.814;1156.755;-175.259;40.951;984.324;-215.917;-11.359;1017.036;-188.519;-82.925;1039.949;-154.150;-229.859;1036.341;-142.791;-226.447;967.603;-173.796;-203.241;1000.266;150.006;-145.667;867.030;-116.075;-125.289;870.053;126.020;52.894;940.156;-68.251;63.132;951.856
42.901;10.043;1597.169;118.367;-56.941;1542.032;-30.225;-64.497;1542.568;99.305;55.234;1446.042;-25.058;47.288;1452.184;33.492;83.949;1279.509;47.191;82.876;1114.537;97.940;99.354;1193.952;-25.302;93.211;1176.646;46.069;-95.210;1276.974;37.635;-168.970;1086.896;93.260;-132.553;1204.726;-26.764;-126.947;1215.646;204.899;-66.203;1237.925;201.194;9.116;1305.299;209.384;67.812;1238.900;261.791;30.225;1153.830;225.813;37.489;978.279;274.417;-11.505;1007.773;271.151;-107.934;981.302;205.386;-235.417;1050.089;201.145;-239.024;979.400;232.492;-210.164;1012.843;-136.356;-72.736;1243.873;-128.312;-6.971;1311.490;-139.476;61.913;1249.869;-194.320;-26.667;1158.559;-176.819;36.612;985.251;-216.355;-15.941;1019.035;-188.177;-86.142;1043.995;-151.030;-232.443;1043.459;-138.452;-229.908;975.013;-170.579;-206.703;1006.603;149.908;-145.423;867.225;-116.075;-125.094;870.150;125.972;53.187;940.156;-68.348;63.376;951.808
43.096;9.994;1596.876;118.464;-57.233;1541.885;-30.177;-64.448;1542.373;99.695;54.844;1445.798;-24.668;47.191;1451.892;33.443;84.875;1279.607;46.898;83.559;1114.635;97.794;99.988;1193.855;-25.887;93.845;1176.889;46.167;-94.186;1277.559;37.392;-167.946;1087.286;93.114;-131.480;1205.067;-26.764;-126.069;1216.329;203.778;-65.423;1239.826;200.950;10.481;1305.981;209.482;68.251;1238.364;261.693;26.472;1154.074;230.298;26.862;977.499;276.952;-22.035;1010.650;270.225;-119.390;991.296;202.461;-240.194;1068.858;194.174;-247.068;998.998;228.348;-217.379;1029.565;-135.283;-72.492;1246.652;-127.824;-5.899;1313.196;-139.866;61.767;1249.967;-194.125;-30.323;1161.143;-180.231;26.277;985.299;-217.769;-25.935;1022.252;-187.251;-93.016;1052.088;-145.716;-237.659;1059.742;-132.651;-238.634;991.491;-165.898;-214.600;1021.375;149.713;-144.838;867.469;-116.222;-124.363;870.345;125.923;53.869;940.107;-68.397;64.205;951.759
43.291;9.896;1596.535;118.415;-57.818;1541.837;-30.225;-64.351;1542.129;100.329;54.016;1445.359;-24.034;46.947;1451.258;33.589;86.484;1279.558;46.898;84.729;1114.635;97.940;101.206;1193.611;-26.228;94.918;1176.987;46.557;-92.577;1278.339;37.245;-166.386;1087.822;93.016;-129.920;1205.603;-26.520;-124.802;1217.206;202.413;-64.107;1243.385;200.658;12.968;1307.249;209.920;69.080;1237.438;261.742;20.719;1154.708;233.662;8.531;977.207;278.512;-38.464;1015.330;267.787;-135.966;1008.115;198.708;-244.046;1101.472;185.789;-257.452;1033.221;223.083;-226.301;1058.767;-133.333;-72.053;1250.990;-126.849;-3.754;1315.439;-140.158;61.816;1249.528;-193.150;-36.124;1165.140;-183.449;8.336;985.348;-218.842;-41.828;1027.371;-185.496;-103.108;1064.714;-137.184;-243.899;1088.651;-124.899;-251.407;1020.546;-158.976;-225.715;1048.041;149.372;-143.912;867.713;-116.514;-123.144;870.589;125.874;54.893;940.059;-68.495;65.472;951.710
43.583;9.116;1596.437;118.367;-58.891;1541.690;-30.323;-64.643;1541.739;101.060;53.284;1445.457;-23.352;46.849;1451.209;33.735;88.775;1279.363;46.801;86.289;1114.537;98.086;103.059;1192.977;-26.715;96.331;1176.987;47.093;-90.530;1279.412;37.197;-164.923;1088.797;93.016;-128.312;1206.530;-25.838;-123.680;1218.620;201.145;-62.645;1248.260;200.219;16.526;1308.516;210.262;70.152;1235.780;261.011;13.163;1155.390;234.783;-17.989;978.815;278.707;-60.353;1023.179;264.521;-155.710;1033.026;192.955;-243.266;1144.470;178.915;-267.592;1079.144;217.477;-233.954;1098.986;-130.652;-71.468;1256.694;-125.533;-0.878;1317.925;-140.451;61.718;1248.407;-191.444;-44.363;1170.649;-184.765;-16.965;986.859;-218.403;-62.791;1035.122;-182.425;-115.052;1081.728;-127.532;-247.263;1128.041;-114.808;-264.570;1061.692;-150.152;-236.441;1084.897;148.982;-142.693;868.005;-116.807;-121.730;870.930;125.777;56.209;940.205;-68.592;66.983;951.905
43.827;7.849;1596.437;118.367;-60.207;1541.300;-30.372;-65.180;1541.105;101.743;52.748;1445.895;-22.669;46.898;1451.404;33.882;91.261;1278.827;46.557;87.702;1114.001;98.086;104.960;1192.100;-27.057;97.940;1176.792;47.532;-88.434;1280.484;37.099;-163.558;1089.918;92.821;-126.800;1207.505;-25.009;-122.657;1220.180;199.731;-61.621;1253.672;199.536;20.134;1309.686;210.505;70.445;1233.586;259.158;3.364;1157.194;234.978;-50.993;984.861;278.025;-86.484;1035.561;259.646;-175.941;1064.422;183.741;-234.881;1191.807;170.384;-271.980;1132.331;209.677;-236.051;1145.299;-127.337;-70.396;1263.373;-123.973;2.633;1320.509;-140.792;61.962;1246.944;-188.860;-53.723;1178.254;-184.472;-49.043;991.832;-216.550;-88.044;1046.823;-177.842;-127.824;1102.545;-115.198;-244.289;1173.818;-101.840;-272.906;1111.563;-138.793;-243.022;1129.406;148.787;-141.279;868.298;-116.953;-120.365;871.223;125.484;57.623;940.351;-68.885;68.397;952.051
44.022;6.533;1596.389;118.318;-61.377;1540.813;-30.372;-65.716;1540.472;102.376;52.358;1446.285;-22.035;47.044;1451.599;34.223;93.747;1278.242;46.508;88.970;1113.416;98.379;106.520;1191.271;-27.300;99.354;1176.548;47.581;-86.484;1281.557;36.709;-162.291;1090.893;91.895;-125.777;1208.626;-24.229;-121.877;1221.740;197.586;-61.133;1260.253;198.513;23.010;1311.051;211.675;69.713;1231.929;257.647;-8.726;1161.777;233.564;-86.532;996.951;275.587;-114.564;1052.916;252.821;-193.881;1098.937;174.966;-220.353;1236.463;159.512;-267.982;1185.372;200.609;-232.346;1190.686;-123.729;-69.080;1270.929;-122.120;6.289;1323.239;-141.328;62.157;1246.310;-185.106;-63.912;1188.346;-181.157;-84.582;1002.265;-212.260;-115.393;1062.813;-171.846;-140.353;1125.409;-102.913;-234.393;1219.010;-87.069;-274.027;1163.678;-125.972;-243.607;1175.086;148.641;-139.914;868.639;-117.099;-119.244;871.418;125.192;58.940;940.546;-69.128;69.518;952.149
