UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
40.045;14.211;1596.176;116.325;-54.353;1544.166;-32.329;-62.118;1542.896;98.549;54.842;1444.591;-25.883;46.931;1449.280;36.040;83.166;1277.819;49.958;81.848;1113.196;101.040;97.573;1192.553;-21.048;93.715;1174.924;44.489;-95.961;1275.866;35.796;-168.628;1085.556;91.273;-133.857;1203.883;-28.862;-125.653;1214.236;204.424;-68.418;1233.819;201.933;5.811;1303.311;210.821;65.439;1237.677;262.928;33.843;1155.536;231.478;55.477;982.416;278.897;3.467;1006.931;276.797;-89.564;963.273;215.900;-223.323;1013.817;203.935;-220.393;943.934;237.876;-195.145;978.607;-137.862;-67.148;1240.216;-127.606;-2.637;1309.465;-136.152;68.223;1248.714;-193.827;-13.527;1156.562;-175.660;60.849;988.960;-216.828;6.837;1017.528;-191.678;-69.395;1030.518;-161.058;-212.823;1009.324;-149.582;-206.377;941.541;-179.664;-184.255;976.507;149.484;-147.384;866.335;-116.618;-123.797;870.095;127.557;51.277;939.685;-66.416;64.120;951.796
39.947;13.918;1596.273;116.276;-54.549;1544.166;-32.378;-62.314;1542.848;98.452;54.842;1444.787;-25.980;46.882;1449.426;36.040;83.215;1277.868;49.958;81.945;1113.245;100.991;97.670;1192.602;-21.048;93.812;1175.022;44.440;-95.912;1275.866;35.796;-168.481;1085.556;91.224;-133.759;1203.834;-28.910;-125.555;1214.236;204.375;-68.320;1233.819;201.884;5.860;1303.360;210.772;65.537;1237.726;262.977;33.989;1155.585;231.381;55.770;982.514;278.848;3.711;1006.980;276.797;-89.222;963.224;215.851;-223.176;1013.719;204.033;-220.051;943.787;237.925;-194.852;978.509;-137.910;-67.099;1240.216;-127.655;-2.588;1309.513;-136.152;68.320;1248.811;-193.827;-13.430;1156.611;-175.709;61.044;989.009;-216.828;7.032;1017.528;-191.678;-69.248;1030.470;-161.058;-212.579;1009.178;-149.484;-206.133;941.443;-179.567;-184.060;976.360;149.484;-147.287;866.335;-116.667;-123.650;870.095;127.508;51.375;939.734;-66.465;64.218;951.845
39.898;13.625;1596.322;116.228;-54.744;1544.117;-32.378;-62.509;1542.750;98.403;54.793;1444.884;-26.029;46.833;1449.524;35.991;83.313;1277.868;49.861;82.043;1113.294;100.942;97.817;1192.651;-21.097;93.861;1175.022;44.440;-95.766;1275.866;35.747;-168.335;1085.507;91.175;-133.613;1203.834;-28.959;-125.457;1214.236;204.326;-68.174;1233.770;201.836;5.958;1303.311;210.723;65.634;1237.726;262.831;34.185;1155.585;231.332;56.014;982.514;278.800;4.004;1006.980;276.797;-88.978;963.224;215.754;-222.981;1013.573;204.131;-219.807;943.641;237.925;-194.608;978.460;-137.959;-67.002;1240.216;-127.704;-2.491;1309.513;-136.201;68.418;1248.811;-193.827;-13.283;1156.562;-175.611;61.239;989.009;-216.779;7.228;1017.480;-191.678;-69.102;1030.470;-161.009;-212.433;1009.129;-149.484;-205.986;941.394;-179.567;-183.864;976.360;149.484;-147.140;866.384;-116.667;-123.553;870.095;127.508;51.521;939.734;-66.465;64.316;951.796
39.898;13.430;1596.322;116.228;-54.891;1544.069;-32.378;-62.655;1542.701;98.403;54.744;1444.933;-25.980;46.784;1449.621;35.943;83.410;1277.868;49.812;82.189;1113.294;100.893;97.914;1192.651;-21.097;93.959;1175.070;44.391;-95.668;1275.817;35.747;-168.139;1085.458;91.175;-133.466;1203.785;-29.008;-125.360;1214.187;204.277;-68.027;1233.721;201.787;6.056;1303.311;210.675;65.732;1237.726;262.782;34.331;1155.585;231.332;56.209;982.514;278.800;4.151;1006.931;276.749;-88.782;963.126;215.802;-222.835;1013.475;204.033;-219.563;943.543;237.925;-194.461;978.314;-138.008;-66.855;1240.168;-127.753;-2.393;1309.465;-136.250;68.516;1248.763;-193.827;-13.185;1156.513;-175.562;61.288;988.960;-216.730;7.276;1017.431;-191.678;-69.004;1030.372;-161.156;-212.384;1009.031;-149.484;-205.889;941.346;-179.616;-183.815;976.263;149.484;-147.043;866.384;-116.667;-123.504;870.095;127.508;51.619;939.734;-66.465;64.414;951.796
39.947;13.283;1596.371;116.179;-54.988;1544.020;-32.427;-62.704;1542.701;98.403;54.744;1445.031;-25.980;46.784;1449.670;35.943;83.508;1277.917;49.861;82.336;1113.294;100.942;98.012;1192.651;-21.097;94.056;1175.070;44.391;-95.570;1275.817;35.747;-167.993;1085.458;91.175;-133.369;1203.785;-29.008;-125.262;1214.187;204.277;-67.978;1233.721;201.787;6.104;1303.311;210.675;65.830;1237.726;262.782;34.429;1155.585;231.283;56.356;982.562;278.751;4.297;1006.931;276.700;-88.636;963.126;215.802;-222.688;1013.426;203.984;-219.416;943.494;237.876;-194.266;978.265;-138.008;-66.758;1240.168;-127.753;-2.295;1309.416;-136.250;68.613;1248.763;-193.827;-13.088;1156.513;-175.562;61.337;988.911;-216.779;7.325;1017.431;-191.678;-68.955;1030.372;-161.302;-212.335;1008.933;-149.582;-205.840;941.248;-179.713;-183.767;976.165;149.484;-146.945;866.384;-116.618;-123.455;870.144;127.508;51.716;939.734;-66.465;64.462;951.796
39.898;13.234;1596.420;116.179;-55.037;1544.069;-32.427;-62.753;1542.652;98.452;54.793;1445.080;-25.980;46.833;1449.670;35.991;83.557;1277.917;49.861;82.385;1113.294;100.942;98.061;1192.651;-21.048;94.105;1175.070;44.440;-95.521;1275.817;35.796;-167.944;1085.458;91.224;-133.320;1203.785;-28.959;-125.164;1214.187;204.326;-67.881;1233.721;201.836;6.202;1303.263;210.723;65.927;1237.726;262.782;34.526;1155.536;231.234;56.453;982.514;278.702;4.444;1006.882;276.700;-88.538;963.175;215.802;-222.590;1013.524;203.984;-219.318;943.641;237.876;-194.217;978.411;-137.959;-66.709;1240.168;-127.704;-2.246;1309.416;-136.201;68.662;1248.763;-193.827;-12.990;1156.513;-175.611;61.483;988.960;-216.828;7.472;1017.480;-191.775;-68.858;1030.372;-161.449;-212.189;1008.933;-149.680;-205.742;941.248;-179.811;-183.620;976.165;149.533;-146.896;866.433;-116.618;-123.406;870.144;127.508;51.765;939.734;-66.465;64.511;951.796
39.898;13.283;1596.371;116.179;-54.988;1544.069;-32.427;-62.704;1542.652;98.452;54.793;1445.080;-25.931;46.833;1449.670;36.040;83.557;1277.966;49.861;82.483;1113.294;100.893;98.207;1192.700;-21.048;94.154;1175.119;44.489;-95.473;1275.768;35.796;-167.895;1085.409;91.273;-133.271;1203.688;-28.959;-125.164;1214.139;204.326;-67.930;1233.428;201.884;6.202;1302.872;210.675;66.025;1237.531;262.831;34.673;1155.243;231.771;56.112;982.172;279.288;4.249;1006.833;277.286;-88.880;963.614;216.193;-223.030;1014.549;204.277;-219.660;944.764;238.511;-194.510;979.339;-137.910;-66.709;1240.070;-127.655;-2.295;1309.318;-136.201;68.662;1248.763;-193.924;-12.990;1156.464;-176.051;61.532;989.009;-217.219;7.569;1017.626;-191.971;-68.662;1030.567;-161.644;-212.042;1009.324;-149.631;-205.596;941.736;-179.957;-183.522;976.507;149.533;-146.896;866.433;-116.618;-123.406;870.144;127.557;51.814;939.734;-66.416;64.511;951.796
40.094;13.283;1596.371;116.325;-54.988;1543.971;-32.231;-62.655;1542.603;98.598;54.842;1445.031;-25.834;46.882;1449.670;36.089;83.508;1278.015;49.763;82.727;1113.245;100.893;98.354;1192.749;-21.097;94.301;1175.070;44.538;-95.424;1275.622;35.698;-167.700;1085.214;91.322;-133.076;1203.395;-29.008;-125.067;1213.943;204.277;-68.125;1232.940;201.884;6.007;1302.188;210.675;65.976;1237.042;263.172;34.233;1154.755;234.995;53.963;981.293;282.462;2.588;1007.224;280.655;-90.931;965.324;221.858;-226.693;1018.066;204.912;-221.223;949.648;242.613;-196.708;982.172;-137.910;-66.855;1239.875;-127.508;-2.491;1308.976;-136.201;68.516;1248.616;-194.657;-13.430;1156.708;-179.225;60.604;989.106;-219.904;6.544;1018.505;-193.631;-69.199;1031.837;-161.547;-212.433;1011.961;-150.705;-206.573;944.032;-180.983;-184.450;978.802;149.533;-146.701;866.433;-116.618;-123.357;870.144;127.508;51.961;939.734;-66.465;64.609;951.796
40.338;13.332;1596.273;116.618;-54.891;1543.824;-31.987;-62.655;1542.652;98.696;54.891;1444.884;-25.736;46.833;1449.621;36.040;83.703;1278.064;49.568;83.069;1113.294;100.747;98.598;1192.749;-21.390;94.545;1175.119;44.684;-95.228;1275.280;35.796;-167.016;1084.823;91.468;-132.587;1202.955;-28.959;-124.725;1213.601;203.984;-67.930;1233.233;201.640;6.349;1301.993;210.430;66.025;1236.358;264.051;32.622;1154.999;245.055;47.517;980.463;291.448;-2.930;1009.715;289.397;-98.256;968.986;233.823;-235.532;1025.000;206.328;-225.423;960.391;251.305;-203.691;987.544;-137.520;-67.002;1240.168;-127.069;-2.637;1309.074;-136.348;68.223;1248.421;-197.196;-14.895;1158.759;-189.383;56.698;990.181;-228.060;2.344;1022.070;-198.564;-72.032;1036.769;-160.912;-214.337;1020.458;-154.563;-210.870;951.992;-183.864;-188.259;987.153;149.582;-146.261;866.481;-116.569;-123.113;870.193;127.362;52.498;939.734;-66.660;64.853;951.747
