UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
36.262;17.228;1597.169;113.177;-51.147;1545.827;-35.432;-59.102;1542.948;96.242;58.126;1446.169;-28.258;50.024;1449.536;34.114;83.407;1279.600;47.584;82.382;1114.837;98.731;98.536;1194.632;-24.158;93.460;1176.769;42.997;-97.072;1277.453;34.065;-169.546;1086.579;89.361;-135.871;1205.271;-30.063;-128.599;1215.666;200.976;-70.132;1238.067;199.610;5.759;1305.125;209.712;64.129;1239.044;260.615;23.133;1153.197;224.256;32.064;979.209;269.790;-20.303;1006.686;266.667;-114.251;966.667;191.410;-244.705;1013.470;201.903;-246.413;943.875;224.695;-218.692;983.407;-137.335;-70.717;1244.705;-128.404;-4.490;1312.445;-139.385;63.836;1249.829;-193.802;-26.745;1158.614;-174.817;36.066;985.310;-212.689;-18.594;1017.423;-180.918;-94.534;1034.309;-135.871;-234.797;1017.326;-143.289;-230.796;949.146;-166.227;-208.687;986.237;147.633;-144.900;866.862;-118.058;-121.620;870.327;125.866;53.392;940.800;-68.228;65.935;952.758
36.310;17.667;1597.218;113.275;-50.610;1545.779;-35.334;-58.712;1542.948;96.242;58.712;1446.218;-28.258;50.512;1449.634;33.968;83.895;1279.600;47.487;82.772;1114.885;98.682;99.024;1194.632;-24.305;93.899;1176.769;42.997;-96.633;1277.599;34.114;-169.253;1086.823;89.409;-135.481;1205.466;-30.063;-128.258;1215.861;200.976;-69.595;1238.214;199.561;6.345;1305.222;209.663;64.666;1239.092;260.566;23.572;1153.294;224.207;32.308;979.258;269.741;-20.010;1006.784;266.715;-114.007;966.862;191.410;-244.461;1013.812;202.001;-246.169;944.217;224.744;-218.399;983.748;-137.384;-70.425;1244.802;-128.404;-4.148;1312.494;-139.483;64.178;1249.927;-193.899;-26.452;1158.712;-175.110;36.213;985.408;-212.933;-18.448;1017.667;-180.966;-94.192;1034.749;-135.676;-234.407;1018.350;-143.045;-230.649;950.122;-166.032;-208.492;987.116;147.584;-144.558;866.960;-118.106;-121.376;870.425;125.769;53.782;940.800;-68.326;66.276;952.709
36.359;18.106;1597.218;113.275;-50.171;1545.730;-35.334;-58.175;1542.948;96.242;59.248;1446.267;-28.258;51.098;1449.732;33.821;84.431;1279.649;47.438;83.260;1114.934;98.585;99.414;1194.680;-24.549;94.339;1176.867;42.948;-96.144;1277.697;34.212;-168.814;1086.921;89.409;-135.090;1205.661;-30.015;-127.721;1215.861;201.025;-69.156;1238.555;199.414;6.881;1305.466;209.566;65.154;1239.288;260.615;23.963;1153.587;224.597;32.552;979.502;270.034;-19.766;1007.125;266.960;-113.812;967.106;191.410;-244.363;1013.909;202.147;-245.827;944.412;224.841;-218.204;983.992;-137.189;-70.083;1244.949;-128.502;-3.758;1312.592;-139.727;64.373;1249.927;-194.143;-26.647;1159.053;-176.476;35.334;985.456;-213.812;-19.327;1018.350;-181.259;-94.436;1036.164;-134.993;-234.456;1021.376;-142.655;-231.479;953.099;-165.691;-209.126;989.898;147.535;-144.314;867.057;-118.106;-120.986;870.522;125.720;54.222;940.752;-68.326;66.667;952.660
36.310;18.594;1597.267;113.080;-49.829;1545.730;-35.530;-57.540;1542.997;96.291;59.688;1446.315;-28.209;51.781;1449.780;33.821;84.968;1279.697;47.584;83.797;1115.081;98.682;99.756;1194.778;-24.597;94.924;1176.818;42.899;-95.608;1277.794;34.261;-168.180;1087.018;89.361;-134.602;1205.808;-30.063;-126.989;1215.910;200.976;-68.814;1239.044;199.317;7.321;1305.857;209.566;65.447;1239.678;260.957;24.158;1154.173;225.671;32.796;980.039;270.815;-19.766;1007.809;267.643;-113.714;967.448;190.971;-244.558;1013.421;202.733;-245.339;944.168;224.988;-218.009;984.041;-136.847;-69.595;1245.388;-128.404;-3.075;1312.738;-139.873;64.617;1249.536;-194.632;-27.477;1159.737;-179.453;32.162;985.212;-215.715;-22.255;1019.668;-181.991;-95.998;1039.385;-133.529;-235.627;1028.258;-142.021;-234.553;960.078;-165.007;-211.664;996.389;147.438;-143.973;867.204;-118.106;-120.400;870.620;125.817;54.661;940.703;-68.277;67.252;952.660
36.164;19.034;1597.365;112.787;-49.536;1545.827;-35.822;-56.808;1542.948;96.388;60.176;1446.559;-28.111;52.611;1449.878;34.017;85.700;1279.649;47.828;84.187;1115.032;98.975;100.098;1194.778;-24.549;95.510;1176.672;42.899;-94.973;1278.038;34.163;-167.545;1087.213;89.361;-134.114;1206.052;-30.063;-126.306;1216.105;200.927;-68.521;1239.434;199.268;7.760;1306.149;209.663;65.739;1239.922;261.591;24.207;1154.807;227.721;32.943;980.625;272.279;-20.010;1008.638;268.716;-113.860;967.594;190.288;-245.193;1011.957;203.026;-244.363;942.899;225.037;-217.960;983.309;-136.359;-69.107;1246.462;-128.160;-2.050;1313.128;-139.922;64.910;1248.902;-195.217;-29.185;1161.054;-183.211;25.866;984.920;-218.253;-27.770;1021.669;-183.016;-99.561;1044.510;-131.576;-238.409;1039.532;-141.093;-240.703;971.547;-164.129;-216.691;1006.930;147.291;-143.582;867.301;-118.253;-119.571;870.766;126.062;55.100;940.703;-68.033;68.033;952.660
35.920;19.473;1597.511;112.347;-49.244;1545.925;-36.262;-55.979;1542.753;96.535;60.761;1446.901;-28.014;53.636;1450.024;34.163;86.579;1279.551;48.072;84.724;1114.983;99.170;100.586;1194.583;-24.646;96.144;1176.525;42.948;-94.192;1278.233;34.017;-166.862;1087.457;89.312;-133.431;1206.296;-30.015;-125.573;1216.496;200.781;-68.033;1239.776;199.268;8.443;1306.442;209.761;66.130;1239.971;262.421;24.207;1155.491;230.503;33.138;981.308;274.134;-20.449;1009.517;270.229;-113.958;967.301;188.970;-246.071;1008.346;204.197;-242.899;939.873;225.134;-217.911;981.308;-135.676;-68.765;1248.170;-127.867;-0.927;1313.665;-140.117;64.959;1248.024;-195.656;-32.260;1162.909;-186.774;16.496;984.578;-220.693;-35.822;1024.353;-183.846;-104.734;1051.586;-129.136;-242.313;1055.442;-139.385;-249.195;987.799;-162.567;-223.524;1021.816;147.047;-143.241;867.399;-118.448;-118.546;870.913;126.306;55.539;940.752;-67.740;68.960;952.709
35.725;20.010;1597.706;112.055;-48.755;1545.974;-36.554;-55.051;1542.655;96.633;61.591;1447.291;-27.965;54.856;1450.269;34.114;87.653;1279.356;48.170;85.359;1114.837;99.170;101.269;1194.339;-24.939;96.925;1176.330;43.094;-93.216;1278.526;33.968;-166.130;1087.848;89.361;-132.504;1206.589;-29.868;-124.890;1216.984;200.634;-67.204;1240.215;199.170;9.517;1306.637;209.712;66.862;1239.922;263.055;24.500;1156.125;233.138;33.236;982.040;275.842;-21.083;1010.347;271.840;-114.007;965.886;186.872;-246.901;1000.586;206.345;-241.191;933.236;225.329;-218.058;976.281;-134.797;-68.570;1250.269;-127.574;0.293;1314.349;-140.410;64.861;1246.999;-195.998;-36.408;1165.203;-189.898;4.344;984.627;-222.694;-46.169;1027.721;-184.236;-111.030;1060.029;-125.915;-246.364;1075.110;-135.676;-258.712;1008.248;-159.688;-231.137;1040.068;146.803;-142.850;867.496;-118.643;-117.521;871.108;126.501;56.027;940.752;-67.545;69.937;952.758
35.627;20.742;1597.902;111.859;-47.975;1545.974;-36.798;-54.124;1542.606;96.584;62.616;1447.535;-28.014;56.027;1450.464;33.919;88.775;1279.112;48.072;86.188;1114.641;99.024;102.099;1194.046;-25.329;97.706;1176.086;43.192;-92.191;1278.868;34.017;-165.398;1088.238;89.458;-131.528;1206.930;-29.624;-124.207;1217.472;200.488;-66.227;1240.654;199.024;10.883;1306.784;209.468;67.838;1239.776;263.397;24.890;1156.467;235.334;33.285;982.821;276.964;-22.011;1010.835;273.158;-113.763;962.421;184.773;-247.828;987.701;208.882;-238.799;922.157;225.671;-218.155;966.960;-133.724;-68.570;1252.562;-127.379;1.513;1314.837;-140.947;64.568;1245.730;-195.949;-41.386;1167.740;-192.484;-10.249;984.920;-224.207;-58.370;1031.625;-183.992;-118.106;1069.790;-121.962;-249.341;1097.804;-129.917;-267.887;1032.016;-155.393;-238.555;1061.005;146.608;-142.362;867.643;-118.741;-116.642;871.254;126.647;56.613;940.752;-67.399;70.815;952.709
35.481;21.669;1597.950;111.615;-47.096;1545.974;-37.042;-53.001;1542.557;96.535;63.641;1447.682;-28.014;57.247;1450.561;33.577;89.995;1278.819;47.828;87.116;1114.349;98.731;103.075;1193.656;-25.866;98.536;1175.793;43.387;-91.118;1279.063;34.065;-164.666;1088.531;89.556;-130.551;1207.174;-29.380;-123.524;1217.911;200.293;-65.154;1240.898;198.878;12.347;1306.637;209.224;68.863;1239.385;263.543;25.232;1156.467;237.238;33.187;983.455;277.696;-23.426;1010.883;273.987;-113.421;957.394;181.454;-248.316;969.839;211.469;-234.846;907.467;225.183;-217.570;954.173;-132.504;-68.619;1255.051;-127.184;2.684;1315.325;-141.679;64.129;1244.412;-195.559;-46.901;1170.620;-194.241;-26.696;985.944;-224.890;-71.840;1036.310;-182.967;-125.427;1080.088;-117.423;-250.610;1122.011;-121.327;-275.256;1057.638;-149.390;-244.851;1083.309;146.511;-141.776;867.789;-118.790;-115.861;871.401;126.696;57.199;940.703;-67.301;71.645;952.660
