UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
39.931;20.821;1598.008;114.513;-47.799;1543.611;-34.310;-52.687;1543.220;98.140;64.221;1446.985;-26.490;58.650;1452.459;33.039;92.227;1277.048;47.702;89.734;1112.536;98.189;106.498;1192.348;-24.437;100.242;1173.727;44.818;-87.437;1276.950;37.096;-161.189;1087.023;92.178;-125.804;1205.642;-28.005;-119.352;1214.977;203.808;-58.308;1237.508;200.044;17.399;1305.688;208.793;75.951;1239.268;260.649;41.299;1154.372;221.794;57.037;978.472;271.890;7.771;1006.917;266.465;-88.561;985.266;202.830;-208.988;1064.980;193.202;-216.955;995.090;226.437;-187.532;1023.681;-136.263;-63.244;1240.490;-128.345;2.786;1308.572;-139.488;71.748;1246.746;-195.059;-17.399;1155.594;-184.502;50.927;983.751;-218.519;-6.500;1016.155;-178.295;-73.459;1040.641;-122.431;-209.673;1038.784;-110.506;-209.624;970.652;-145.158;-189.243;1003.154;149.117;-140.857;867.771;-116.762;-116.908;871.436;127.221;58.405;939.275;-66.616;71.455;951.396
39.931;21.163;1598.057;114.465;-47.555;1543.708;-34.310;-52.394;1543.317;98.140;64.466;1446.985;-26.441;58.894;1452.459;33.088;92.275;1277.146;47.702;89.783;1112.682;98.189;106.547;1192.446;-24.437;100.291;1173.824;44.818;-87.388;1277.097;37.096;-161.335;1087.170;92.178;-125.755;1205.740;-28.005;-119.303;1215.124;203.857;-58.405;1237.606;200.093;17.351;1305.737;208.842;75.902;1239.414;260.649;41.250;1154.470;221.794;56.939;978.521;271.988;7.771;1007.015;266.709;-88.512;985.412;203.368;-208.988;1065.176;193.691;-217.053;995.236;226.974;-187.630;1023.828;-136.263;-63.195;1240.685;-128.345;2.884;1308.670;-139.488;71.748;1246.843;-195.059;-17.399;1155.741;-184.600;50.879;983.897;-218.568;-6.549;1016.350;-178.295;-73.459;1040.836;-122.285;-209.624;1039.223;-110.457;-209.624;971.092;-145.060;-189.243;1003.545;149.117;-140.759;867.820;-116.762;-116.859;871.485;127.221;58.552;939.323;-66.665;71.553;951.444
39.931;21.456;1598.106;114.465;-47.262;1543.757;-34.310;-52.052;1543.415;98.140;64.710;1447.034;-26.441;59.236;1452.508;33.186;92.178;1277.390;47.702;89.783;1112.878;98.238;106.645;1192.690;-24.340;100.486;1174.167;44.818;-87.339;1277.292;36.900;-161.384;1087.463;92.080;-125.755;1205.886;-28.103;-119.254;1215.417;203.857;-58.650;1237.557;200.191;17.204;1305.542;208.939;75.756;1239.414;260.551;40.957;1154.275;221.647;56.499;978.277;272.086;7.722;1006.966;267.589;-88.561;985.608;205.958;-209.282;1065.616;195.059;-217.688;995.823;228.783;-188.021;1023.975;-136.263;-63.195;1241.027;-128.247;3.079;1308.816;-139.440;71.944;1247.137;-195.108;-17.302;1155.936;-184.746;50.976;984.142;-218.763;-6.354;1016.741;-178.491;-73.117;1041.374;-122.431;-209.330;1040.299;-110.799;-209.428;972.118;-145.158;-189.047;1004.522;149.117;-140.515;867.917;-116.713;-116.713;871.534;127.270;58.747;939.421;-66.567;71.699;951.542
39.833;22.140;1598.155;114.367;-46.724;1544.002;-34.310;-51.514;1543.611;98.140;65.003;1447.034;-26.490;59.481;1452.459;33.381;91.982;1277.830;47.702;89.930;1113.318;98.140;106.742;1193.081;-24.193;100.486;1174.704;44.867;-87.535;1277.585;36.705;-161.531;1087.609;91.933;-125.901;1205.935;-28.201;-119.352;1215.661;203.759;-58.601;1237.410;200.289;17.155;1305.200;208.842;75.805;1239.170;260.453;40.615;1153.835;222.967;54.300;977.446;273.650;6.500;1007.113;270.766;-89.832;986.732;213.974;-210.699;1067.669;197.601;-219.448;999.000;233.572;-189.634;1025.245;-136.361;-63.097;1241.614;-128.003;3.177;1309.159;-139.097;72.237;1247.723;-194.961;-16.813;1156.376;-184.649;51.367;984.581;-219.399;-5.278;1017.816;-180.006;-71.992;1043.573;-126.146;-209.233;1044.160;-114.758;-209.917;975.882;-148.726;-188.901;1008.041;149.166;-139.977;868.064;-116.615;-116.420;871.583;127.319;59.236;939.568;-66.616;71.992;951.640
39.589;23.313;1598.253;114.269;-45.747;1544.539;-34.408;-50.732;1543.953;98.092;65.346;1446.936;-26.490;59.774;1452.215;33.528;92.031;1278.123;47.506;89.832;1113.513;98.092;106.694;1193.179;-24.291;100.389;1175.095;45.014;-87.632;1277.976;36.656;-161.384;1087.854;91.933;-125.755;1206.180;-28.201;-119.352;1216.150;203.857;-58.405;1237.899;200.338;17.497;1305.249;208.695;75.902;1238.730;260.551;39.931;1153.688;226.290;49.119;976.468;277.657;3.568;1008.432;277.951;-93.057;990.642;228.489;-213.240;1074.071;205.176;-223.797;1007.699;243.787;-193.055;1030.768;-136.654;-62.609;1242.689;-127.563;3.470;1310.185;-138.804;72.628;1248.554;-196.037;-15.835;1158.136;-186.506;51.123;985.608;-222.624;-3.861;1020.407;-184.795;-70.282;1048.216;-134.748;-208.988;1052.908;-122.724;-211.285;984.679;-156.448;-188.901;1016.008;149.361;-138.951;868.308;-116.371;-115.931;871.730;127.221;60.263;939.763;-66.763;72.579;951.884
39.393;24.779;1598.497;114.269;-44.476;1545.224;-34.408;-49.559;1544.344;98.189;66.128;1447.132;-26.392;60.507;1452.166;33.772;92.569;1278.367;47.360;89.539;1113.855;98.140;106.645;1193.228;-24.437;100.535;1175.486;45.307;-87.339;1278.758;36.705;-161.140;1088.587;91.982;-125.461;1206.864;-28.054;-119.010;1217.030;204.248;-57.770;1239.659;200.240;18.426;1306.079;208.695;76.147;1238.535;261.040;38.855;1154.519;231.324;40.908;976.175;283.669;-0.831;1011.560;288.703;-97.701;998.853;245.693;-215.195;1087.218;219.692;-230.102;1022.508;258.645;-197.112;1043.133;-136.703;-61.680;1244.497;-126.830;4.301;1311.798;-138.511;73.312;1249.434;-198.138;-15.249;1161.361;-191.882;49.363;987.367;-228.831;-3.372;1024.903;-192.615;-68.718;1055.743;-148.139;-208.695;1066.789;-133.135;-213.192;999.244;-167.885;-189.487;1028.715;149.606;-137.680;868.651;-116.077;-115.149;871.876;127.074;61.484;940.154;-66.958;73.361;952.178
39.100;26.783;1598.888;114.416;-42.326;1546.103;-34.212;-48.239;1544.930;97.945;67.692;1447.474;-26.588;61.436;1452.264;34.066;93.595;1278.612;47.408;89.343;1114.197;98.336;106.987;1193.228;-24.486;100.780;1175.828;45.551;-86.753;1279.834;36.754;-160.944;1089.613;92.031;-124.973;1207.890;-27.810;-118.472;1218.252;204.834;-56.744;1242.200;199.947;19.843;1307.204;208.646;76.733;1238.388;261.578;37.780;1155.692;238.362;30.449;976.566;291.342;-6.305;1016.301;301.166;-103.077;1010.925;263.435;-215.391;1106.035;235.478;-235.967;1043.720;274.578;-200.435;1061.168;-136.947;-60.018;1247.039;-125.852;5.816;1313.899;-138.071;74.485;1250.313;-200.973;-13.929;1165.565;-198.187;46.284;989.420;-236.358;-2.737;1030.768;-202.439;-66.323;1066.007;-165.343;-207.278;1086.436;-146.771;-215.342;1019.918;-182.596;-189.536;1046.750;149.850;-136.263;868.895;-115.833;-114.171;872.023;127.025;62.755;940.741;-67.105;74.241;952.715
38.318;29.471;1599.181;114.513;-39.198;1547.081;-34.017;-46.675;1545.566;97.163;69.940;1447.621;-27.272;62.364;1452.117;34.750;94.866;1278.563;47.604;89.245;1114.295;98.874;107.329;1192.983;-24.291;101.415;1176.073;45.600;-86.020;1280.909;36.656;-160.944;1090.835;91.933;-124.435;1208.965;-27.712;-117.837;1219.718;205.274;-56.010;1244.791;199.751;21.261;1308.279;208.891;76.880;1237.850;262.506;36.167;1157.012;246.133;19.354;977.299;299.407;-11.877;1021.335;312.847;-108.111;1024.708;280.003;-211.579;1128.909;248.186;-238.118;1070.650;288.703;-201.168;1083.211;-137.387;-57.379;1250.167;-124.631;8.455;1316.197;-137.436;76.391;1250.949;-203.857;-11.486;1170.501;-205.274;42.179;991.766;-244.520;-1.955;1037.708;-212.507;-62.755;1078.030;-182.058;-202.928;1110.483;-160.162;-215.929;1045.528;-197.161;-187.874;1069.086;150.094;-134.748;869.188;-115.491;-113.047;872.218;127.025;64.124;941.376;-67.105;75.218;953.302
37.682;32.795;1599.377;114.709;-35.532;1548.009;-33.724;-44.623;1546.299;96.381;72.579;1447.572;-28.005;63.635;1451.922;35.630;96.381;1278.416;48.337;89.196;1114.393;99.802;107.671;1192.739;-23.655;102.295;1176.122;45.551;-85.091;1281.984;36.265;-160.651;1092.057;91.591;-123.800;1210.089;-27.761;-116.762;1221.037;205.567;-55.326;1247.576;199.556;22.482;1309.696;209.428;76.929;1237.753;263.875;34.603;1158.771;252.633;8.944;978.912;305.907;-16.471;1026.516;321.840;-110.848;1039.908;291.684;-202.341;1153.688;256.592;-234.990;1100.659;298.673;-197.601;1107.550;-137.876;-54.398;1253.441;-123.311;11.730;1318.249;-136.654;78.542;1251.193;-206.545;-8.651;1175.437;-212.458;37.682;994.308;-252.145;-0.977;1044.795;-221.207;-57.917;1090.298;-195.743;-194.912;1135.849;-170.622;-213.485;1073.387;-208.988;-183.720;1093.035;150.241;-133.330;869.481;-115.247;-111.679;872.365;127.074;65.394;941.865;-67.056;76.440;953.742
