UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
45.388;23.329;1596.015;122.451;-45.047;1544.819;-26.111;-54.661;1543.892;103.173;62.470;1443.744;-21.132;53.100;1448.771;43.632;85.750;1276.929;56.809;82.480;1111.920;108.200;98.586;1191.423;-14.300;95.853;1174.049;49.293;-94.145;1276.539;37.482;-168.816;1086.981;94.340;-134.506;1204.894;-25.232;-124.111;1215.728;209.470;-70.718;1237.105;208.982;5.905;1303.284;217.962;63.788;1236.324;265.791;23.573;1148.866;222.111;26.013;973.217;273.795;-18.936;1003.671;277.699;-114.545;981.416;222.013;-242.706;1056.966;221.623;-251.003;986.199;247.782;-218.450;1017.922;-132.749;-63.251;1242.376;-121.524;2.343;1309.434;-129.235;72.036;1247.939;-187.703;-13.031;1155.942;-166.278;53.148;984.442;-208.885;1.757;1015.970;-183.701;-73.842;1034.272;-150.416;-216.059;1023.144;-145.926;-216.693;954.720;-173.404;-190.876;986.150;149.782;-149.733;865.846;-115.326;-119.523;871.410;132.944;49.049;939.639;-60.420;66.960;952.231
45.535;23.426;1596.064;122.598;-44.900;1544.770;-25.964;-54.564;1543.843;103.320;62.714;1443.744;-21.035;53.246;1448.820;43.729;85.896;1276.832;56.858;82.529;1111.872;108.249;98.732;1191.326;-14.202;95.950;1174.000;49.390;-93.949;1276.539;37.531;-168.718;1087.030;94.437;-134.311;1204.894;-25.134;-124.013;1215.777;209.519;-70.523;1237.056;209.080;6.149;1303.235;218.011;63.983;1236.226;265.889;23.817;1148.817;222.257;26.159;973.168;273.990;-18.741;1003.622;277.846;-114.447;981.416;222.160;-242.511;1056.966;221.769;-250.808;986.199;247.929;-218.304;1017.922;-132.700;-63.056;1242.376;-121.475;2.538;1309.434;-129.138;72.231;1247.891;-187.655;-12.884;1155.942;-166.229;53.246;984.442;-208.836;1.903;1016.019;-183.701;-73.695;1034.321;-150.368;-215.961;1023.193;-145.975;-216.596;954.720;-173.404;-190.778;986.199;149.831;-149.782;865.846;-115.326;-119.523;871.459;132.993;49.000;939.591;-60.372;67.009;952.182
45.633;23.622;1596.015;122.695;-44.754;1544.770;-25.818;-54.369;1543.843;103.369;62.861;1443.793;-20.937;53.441;1448.820;43.729;86.092;1276.783;56.906;82.627;1111.823;108.298;98.830;1191.228;-14.251;96.048;1173.903;49.439;-93.705;1276.539;37.629;-168.474;1087.030;94.486;-134.116;1204.894;-25.134;-123.720;1215.679;209.519;-70.279;1237.105;209.080;6.393;1303.186;218.011;64.178;1236.177;265.986;23.963;1148.817;222.599;26.208;973.168;274.283;-18.741;1003.720;278.090;-114.447;981.319;222.306;-242.658;1056.576;221.867;-250.808;985.809;248.075;-218.402;1017.581;-132.700;-62.958;1242.376;-121.426;2.684;1309.434;-129.138;72.280;1247.842;-187.703;-12.836;1155.991;-166.522;53.148;984.442;-209.031;1.806;1016.165;-183.750;-73.695;1034.516;-150.416;-215.961;1023.584;-145.926;-216.645;955.159;-173.404;-190.827;986.541;149.831;-149.782;865.846;-115.277;-119.474;871.459;133.091;49.098;939.542;-60.274;67.009;952.133
45.681;23.963;1595.967;122.695;-44.461;1544.722;-25.818;-54.027;1543.941;103.320;63.007;1443.647;-20.986;53.637;1448.771;43.680;86.238;1276.881;57.004;82.871;1111.920;108.396;98.879;1191.326;-14.349;96.292;1174.000;49.293;-93.461;1276.393;37.726;-168.035;1086.883;94.437;-133.872;1204.845;-25.183;-123.183;1215.338;209.422;-70.328;1237.300;208.982;6.393;1303.431;217.914;64.130;1236.421;266.279;23.866;1149.256;223.673;26.257;973.559;275.064;-18.985;1004.159;278.578;-114.691;981.172;222.160;-243.243;1055.404;221.623;-250.906;984.589;248.026;-218.792;1016.605;-132.456;-62.861;1242.376;-121.524;2.684;1309.482;-129.333;72.134;1247.744;-188.045;-13.421;1156.333;-168.084;51.587;984.442;-210.105;0.293;1016.897;-184.238;-74.671;1035.931;-150.368;-217.035;1026.512;-146.219;-217.914;958.039;-173.599;-192.193;989.274;149.831;-149.733;865.846;-115.228;-119.279;871.557;133.188;49.195;939.444;-60.176;67.253;952.085
45.535;24.451;1595.869;122.354;-44.266;1544.819;-26.159;-53.588;1544.185;103.125;62.958;1443.354;-21.181;53.783;1448.674;43.924;86.336;1277.222;57.394;83.212;1112.311;108.786;98.439;1191.716;-14.300;96.780;1174.244;48.756;-93.217;1276.197;37.580;-167.108;1086.493;94.096;-133.725;1204.747;-25.525;-122.158;1214.801;208.836;-71.353;1237.788;208.641;5.515;1303.967;217.865;63.300;1237.202;266.865;23.036;1150.623;227.577;26.550;974.828;277.992;-19.668;1005.770;280.140;-115.716;981.026;220.842;-244.561;1052.427;220.110;-250.759;981.563;247.099;-219.671;1014.213;-132.066;-61.885;1243.108;-121.622;3.465;1310.117;-129.626;72.378;1247.354;-188.777;-14.983;1157.553;-171.451;45.486;983.954;-212.496;-5.027;1018.703;-185.361;-78.429;1040.763;-148.855;-221.086;1036.859;-147.683;-223.428;968.288;-174.184;-197.562;999.230;149.684;-149.587;865.944;-115.326;-118.498;871.654;133.481;49.488;939.347;-59.835;67.985;952.036
45.096;24.890;1595.918;121.622;-44.217;1544.966;-26.940;-52.953;1544.478;102.685;62.861;1443.256;-21.669;54.222;1448.722;44.803;86.629;1277.613;58.468;83.505;1112.848;110.006;97.366;1192.302;-13.568;97.805;1174.391;47.536;-92.778;1276.197;36.311;-165.839;1086.200;92.827;-133.628;1204.796;-26.599;-120.743;1214.752;207.567;-73.793;1238.422;208.153;3.270;1304.943;218.255;60.957;1238.325;268.329;20.693;1153.356;237.484;26.647;977.707;285.264;-21.962;1009.381;283.702;-118.303;981.221;215.815;-246.855;1045.643;217.084;-250.125;974.828;244.463;-221.623;1009.430;-131.968;-59.981;1245.694;-121.475;6.198;1311.190;-129.626;73.695;1245.987;-189.997;-18.204;1160.237;-177.942;30.991;983.027;-216.840;-18.058;1022.168;-186.386;-88.044;1049.792;-143.389;-229.920;1057.015;-145.292;-235.874;988.639;-171.549;-209.666;1018.459;149.099;-149.440;866.090;-115.716;-116.741;871.849;134.164;49.830;939.347;-59.054;69.498;952.036
44.217;25.037;1596.211;120.353;-44.315;1545.063;-28.258;-52.270;1544.575;101.953;63.153;1443.647;-22.450;55.101;1449.162;45.877;87.458;1277.906;60.030;84.091;1113.336;111.665;96.194;1192.936;-12.494;99.318;1174.391;45.584;-91.753;1276.295;34.017;-164.277;1086.151;90.631;-133.188;1204.991;-28.404;-118.840;1215.045;205.371;-77.063;1239.545;207.176;0.195;1306.456;218.987;57.150;1239.740;270.964;16.545;1157.797;253.492;25.183;982.588;296.441;-27.331;1015.287;289.120;-123.379;981.221;206.591;-250.320;1032.808;214.156;-249.149;962.382;240.413;-224.844;1000.597;-131.529;-57.883;1250.282;-121.182;10.493;1312.508;-129.626;75.111;1243.157;-191.510;-25.330;1165.118;-187.655;5.661;983.808;-222.306;-41.240;1029.099;-186.044;-105.223;1063.360;-130.260;-243.146;1084.980;-136.654;-254.664;1017.337;-162.959;-228.358;1045.985;147.830;-149.343;866.188;-116.692;-113.862;872.142;135.092;49.976;939.493;-57.883;71.890;952.085
42.851;25.281;1596.650;118.596;-44.266;1545.161;-30.064;-51.343;1544.575;100.880;63.886;1444.330;-23.622;56.565;1449.699;46.609;88.630;1278.052;61.494;85.067;1113.775;113.178;95.560;1193.717;-11.469;101.270;1174.147;43.192;-90.289;1276.441;31.137;-162.178;1086.200;87.897;-132.407;1205.235;-30.503;-116.790;1215.484;202.442;-80.528;1241.253;205.615;-2.782;1308.213;219.475;52.807;1241.156;274.430;10.737;1163.605;274.234;20.205;989.811;309.911;-37.043;1023.144;295.611;-131.773;979.855;195.317;-253.834;1012.505;210.495;-246.513;943.788;235.337;-228.895;986.053;-130.016;-56.321;1256.480;-120.890;15.374;1313.680;-130.260;76.282;1239.691;-192.535;-36.994;1173.268;-198.538;-30.161;989.957;-226.503;-73.988;1042.227;-181.749;-128.601;1082.491;-107.566;-257.153;1118.314;-120.255;-276.626;1052.720;-146.219;-250.222;1080.685;145.926;-149.196;866.334;-118.059;-110.104;872.484;136.214;50.123;939.639;-56.467;74.915;952.182
41.142;26.013;1596.992;116.448;-43.876;1545.258;-32.260;-49.879;1544.526;99.562;64.813;1444.867;-24.988;58.322;1450.138;46.511;89.898;1278.052;62.080;86.629;1114.068;113.422;95.365;1194.401;-11.713;103.222;1173.951;40.508;-88.630;1276.441;28.307;-159.787;1086.054;85.067;-131.334;1205.430;-32.504;-115.326;1215.972;198.782;-83.993;1243.303;203.467;-5.369;1309.726;219.036;48.414;1242.034;278.432;2.782;1170.047;298.149;10.005;999.523;323.283;-52.758;1032.369;301.370;-143.193;977.170;182.432;-253.541;984.979;206.688;-240.949;919.873;228.553;-231.384;966.043;-127.625;-55.247;1263.655;-120.841;19.424;1315.192;-132.700;76.282;1237.007;-191.754;-51.050;1185.225;-206.932;-71.987;1004.403;-226.357;-111.665;1063.311;-171.744;-154.565;1106.552;-75.745;-266.914;1151.013;-95.267;-296.880;1090.544;-120.060;-269.793;1118.411;143.877;-148.855;866.530;-119.572;-106.053;872.826;137.190;50.562;939.737;-55.101;78.234;952.231
