UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20.146;17.756;1597.083;96.976;-50.537;1545.424;-51.756;-56.293;1540.156;83.366;61.122;1447.863;-41.366;54.830;1449.278;26.878;89.269;1278.740;43.366;87.464;1114.105;93.318;101.903;1194.300;-27.951;102.098;1174.007;28.976;-90.488;1275.569;21.415;-164.099;1085.422;75.513;-130.489;1204.544;-44.342;-117.562;1212.447;190.245;-68.635;1234.788;190.587;4.781;1305.228;201.074;65.220;1240.593;252.685;32.049;1155.959;217.075;53.025;982.836;266.246;1.610;1008.202;270.636;-88.781;959.909;212.196;-226.343;1002.543;211.660;-223.855;932.250;237.904;-196.733;967.616;-151.611;-54.488;1236.886;-140.489;9.024;1307.033;-145.172;80.244;1245.959;-205.904;-0.732;1152.739;-184.001;71.366;984.250;-227.221;19.122;1013.519;-203.416;-58.049;1026.982;-170.294;-201.416;1006.202;-170.440;-196.733;937.713;-195.123;-173.074;972.787;140.537;-143.318;867.615;-124.928;-115.513;869.274;121.952;55.317;941.226;-71.854;71.415;951.957
20.244;18.098;1597.132;97.074;-50.098;1545.424;-51.610;-55.854;1540.107;83.562;61.561;1447.960;-41.171;55.317;1449.326;27.171;89.805;1278.740;43.708;88.001;1114.105;93.610;102.440;1194.300;-27.659;102.635;1173.959;29.268;-89.952;1275.569;21.756;-163.464;1085.422;75.854;-129.903;1204.544;-44.049;-116.976;1212.447;190.538;-68.098;1234.886;190.830;5.317;1305.325;201.416;65.757;1240.642;253.075;32.537;1156.105;217.806;53.415;982.933;266.929;2.049;1008.397;271.319;-88.488;960.348;212.733;-225.904;1003.128;212.294;-223.562;932.786;238.489;-196.391;968.201;-151.318;-53.952;1236.788;-140.098;9.610;1306.935;-144.879;80.732;1245.862;-205.660;-0.244;1152.739;-183.952;71.854;984.201;-227.123;19.610;1013.567;-203.270;-57.464;1027.080;-170.001;-200.879;1006.494;-170.147;-196.343;937.957;-194.879;-172.586;973.031;140.879;-142.879;867.664;-124.586;-115.025;869.371;122.293;55.805;941.177;-71.513;71.952;951.957
20.439;18.390;1597.181;97.269;-49.805;1545.424;-51.415;-55.561;1540.059;83.757;62.000;1448.107;-40.976;55.708;1449.424;27.415;90.342;1278.740;44.000;88.488;1114.105;93.903;102.976;1194.349;-27.366;103.171;1174.007;29.561;-89.366;1275.618;22.098;-162.830;1085.422;76.147;-129.318;1204.593;-43.756;-116.391;1212.398;190.830;-67.513;1234.983;191.123;5.902;1305.423;201.660;66.293;1240.691;253.416;33.025;1156.251;218.489;53.708;982.982;267.563;2.390;1008.592;271.953;-88.244;960.738;213.221;-225.465;1003.860;212.879;-223.318;933.616;239.026;-196.099;968.884;-151.025;-53.415;1236.788;-139.855;10.049;1306.886;-144.586;81.269;1245.862;-205.465;0.293;1152.739;-183.904;72.488;984.250;-227.026;20.293;1013.665;-203.123;-56.732;1027.275;-169.757;-200.099;1006.982;-169.904;-195.660;938.445;-194.635;-171.904;973.518;141.172;-142.440;867.762;-124.245;-114.537;869.469;122.635;56.342;941.079;-71.171;72.439;951.909
20.683;18.585;1597.181;97.562;-49.464;1545.424;-51.073;-55.366;1540.010;83.952;62.391;1448.156;-40.781;56.000;1449.473;27.659;90.830;1278.837;44.244;89.025;1114.153;94.147;103.562;1194.447;-27.073;103.610;1174.056;29.854;-88.830;1275.618;22.390;-162.147;1085.422;76.391;-128.684;1204.544;-43.464;-115.806;1212.349;191.074;-66.781;1235.032;191.318;6.488;1305.423;201.953;66.878;1240.740;253.758;33.464;1156.300;219.465;53.708;982.933;268.441;2.390;1008.884;272.685;-88.440;961.421;213.514;-225.319;1004.982;213.367;-223.514;934.689;239.514;-196.148;969.957;-150.781;-52.927;1236.691;-139.562;10.488;1306.838;-144.342;81.708;1245.910;-205.221;0.927;1152.739;-183.952;73.318;984.299;-227.026;21.122;1013.860;-202.977;-55.659;1027.665;-169.513;-199.172;1008.104;-169.513;-194.928;939.567;-194.294;-171.074;974.494;141.513;-141.952;867.908;-123.952;-114.098;869.615;122.928;56.878;941.079;-70.879;72.927;951.909
20.927;18.732;1597.230;97.903;-49.171;1545.376;-50.683;-55.220;1539.961;84.147;62.732;1448.253;-40.537;56.195;1449.521;27.805;91.415;1278.935;44.391;89.708;1114.202;94.245;104.293;1194.495;-27.025;104.147;1174.154;30.098;-88.293;1275.618;22.732;-161.416;1085.324;76.732;-127.903;1204.544;-43.220;-115.269;1212.349;191.270;-65.903;1235.130;191.513;7.268;1305.325;202.148;67.610;1240.642;254.246;33.805;1156.349;221.367;52.781;982.738;270.002;1.463;1009.421;274.148;-89.659;962.738;213.709;-226.148;1006.884;214.392;-224.636;936.591;240.392;-197.221;971.909;-150.586;-52.537;1236.642;-139.367;10.781;1306.886;-144.147;82.049;1246.106;-205.221;1.415;1152.885;-184.538;74.049;984.494;-227.514;21.903;1014.348;-203.270;-54.244;1028.885;-169.367;-198.196;1010.787;-169.562;-194.196;942.250;-194.440;-170.343;976.933;141.806;-141.318;868.006;-123.659;-113.610;869.713;123.123;57.513;941.079;-70.683;73.464;951.909
21.317;18.781;1597.278;98.391;-48.927;1545.327;-50.244;-55.269;1539.961;84.342;63.025;1448.302;-40.293;56.293;1449.619;27.951;92.001;1279.081;44.488;90.537;1114.251;94.342;105.074;1194.642;-27.025;104.830;1174.251;30.488;-87.610;1275.667;23.122;-160.489;1085.275;77.074;-127.074;1204.495;-42.976;-114.537;1212.300;191.318;-64.976;1235.423;191.513;8.146;1305.325;202.294;68.391;1240.496;254.928;33.659;1156.593;225.514;50.000;982.494;273.416;-1.171;1010.787;277.172;-93.074;965.957;214.050;-228.684;1011.080;216.879;-227.758;940.933;242.343;-200.196;976.396;-150.391;-52.098;1236.886;-138.928;11.073;1306.984;-144.001;82.342;1246.203;-205.855;1.512;1153.617;-187.562;73.659;984.933;-230.050;21.610;1016.006;-205.172;-53.659;1032.153;-169.123;-197.709;1017.226;-171.074;-194.587;948.787;-195.709;-170.782;983.226;142.098;-140.537;868.152;-123.318;-112.976;869.810;123.269;58.391;941.030;-70.537;74.196;951.860
21.707;18.683;1597.376;98.781;-48.927;1545.278;-49.805;-55.317;1539.961;84.635;63.171;1448.448;-40.000;56.342;1449.814;28.147;92.732;1279.325;44.537;91.708;1114.446;94.440;105.952;1194.886;-27.073;105.708;1174.544;30.781;-86.927;1275.911;23.366;-159.318;1085.275;77.415;-126.098;1204.495;-42.683;-113.659;1212.447;191.123;-64.049;1236.105;191.465;9.171;1305.569;202.392;69.074;1240.203;255.904;32.586;1157.227;234.392;44.147;982.592;280.490;-7.073;1013.958;282.929;-100.537;972.494;213.318;-233.465;1019.324;220.294;-234.441;949.372;244.977;-206.440;985.031;-149.903;-51.513;1237.910;-138.196;11.659;1307.618;-143.952;82.732;1246.349;-207.904;0.780;1156.056;-196.587;70.293;986.006;-237.172;18.146;1019.958;-209.270;-55.269;1039.031;-167.221;-198.587;1029.616;-171.708;-197.855;961.518;-196.343;-174.050;995.372;142.294;-139.416;868.396;-123.123;-112.049;870.006;123.415;59.610;940.982;-70.488;75.269;951.860
22.098;18.390;1597.522;99.123;-49.171;1545.327;-49.464;-55.415;1539.912;85.171;63.220;1448.741;-39.464;56.488;1450.009;28.537;93.708;1279.520;44.537;93.123;1114.788;94.684;106.976;1195.032;-27.122;106.781;1174.886;31.317;-86.001;1276.350;23.512;-158.001;1085.470;77.757;-124.928;1204.691;-42.439;-112.537;1212.935;190.635;-63.220;1237.374;191.270;10.488;1305.960;202.635;69.610;1239.471;257.709;29.951;1158.739;250.002;34.244;983.860;292.343;-17.171;1020.153;291.416;-113.025;984.299;210.294;-239.319;1033.226;223.123;-244.538;964.494;246.831;-215.953;1000.250;-148.928;-50.878;1240.057;-136.928;12.732;1308.935;-143.952;83.025;1246.252;-211.757;-1.659;1161.129;-214.440;62.439;988.836;-250.148;9.415;1027.470;-215.221;-60.049;1050.397;-160.635;-199.318;1048.982;-167.221;-203.172;981.323;-193.318;-180.001;1014.299;142.391;-138.147;868.688;-122.976;-110.830;870.201;123.464;61.025;941.030;-70.439;76.683;951.909
22.586;18.293;1597.620;99.464;-49.464;1545.424;-49.171;-55.122;1539.815;86.098;63.122;1449.034;-38.586;56.878;1450.156;28.976;95.269;1279.569;44.488;94.537;1114.885;94.879;108.537;1194.886;-27.366;108.001;1175.227;31.951;-84.683;1276.935;23.610;-156.342;1085.861;78.049;-123.269;1205.032;-42.049;-111.171;1213.764;190.050;-61.952;1239.569;191.026;12.488;1306.594;203.026;69.952;1238.398;261.172;26.293;1161.959;271.368;19.805;987.958;308.148;-31.415;1030.543;301.368;-129.562;1002.299;205.172;-244.782;1053.519;224.343;-256.782;987.079;247.124;-227.123;1022.641;-147.611;-50.342;1243.715;-135.172;14.244;1311.082;-144.050;82.683;1246.057;-216.782;-6.634;1168.837;-236.831;48.439;994.543;-265.465;-4.439;1039.177;-221.709;-67.318;1066.592;-151.513;-198.635;1074.982;-161.806;-209.660;1008.592;-188.489;-186.587;1041.031;142.294;-136.635;868.981;-123.074;-109.123;870.542;123.513;62.586;941.128;-70.391;78.342;952.006
