UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31.603;14.777;1596.904;106.025;-56.280;1545.501;-42.917;-58.523;1542.379;93.735;53.988;1445.962;-31.164;50.623;1449.279;33.602;85.054;1281.073;47.306;86.712;1116.623;98.612;98.758;1195.727;-24.092;99.636;1178.316;36.675;-95.539;1277.562;24.921;-166.108;1086.045;81.786;-134.701;1204.847;-37.943;-122.801;1215.088;197.906;-71.252;1236.157;196.833;1.853;1306.238;207.562;62.522;1241.863;258.819;29.603;1156.906;228.875;51.305;981.678;275.108;-2.048;1010.598;263.988;-96.758;986.214;183.909;-214.683;1057.222;186.787;-221.071;986.799;215.365;-193.712;1022.059;-144.113;-57.889;1243.179;-132.360;4.340;1312.871;-138.993;76.763;1252.007;-199.906;-5.852;1160.223;-185.226;62.815;989.433;-225.119;9.754;1022.791;-193.029;-60.474;1048.492;-150.600;-202.344;1048.687;-142.406;-203.319;979.727;-173.034;-180.008;1012.354;139.529;-144.552;867.265;-125.045;-112.999;870.777;124.216;54.232;940.468;-69.301;73.105;952.514
31.310;15.118;1596.904;105.878;-55.890;1545.598;-43.112;-58.279;1542.379;93.491;54.232;1445.962;-31.456;50.915;1449.230;33.456;85.200;1281.122;47.209;86.858;1116.672;98.514;98.904;1195.776;-24.190;99.782;1178.316;36.528;-95.442;1277.659;24.872;-166.060;1086.142;81.640;-134.555;1204.944;-38.089;-122.704;1215.186;197.760;-71.106;1236.303;196.687;2.000;1306.385;207.416;62.669;1242.009;258.770;29.749;1157.053;228.972;51.452;981.825;275.157;-1.902;1010.793;264.037;-96.661;986.506;183.958;-214.439;1057.612;186.787;-220.925;987.140;215.365;-193.517;1022.401;-144.260;-57.792;1243.179;-132.506;4.487;1312.871;-139.139;76.860;1252.007;-200.003;-5.706;1160.174;-185.324;62.912;989.433;-225.217;9.851;1022.791;-193.127;-60.376;1048.541;-150.649;-202.198;1048.785;-142.504;-203.222;979.776;-173.082;-179.910;1012.452;139.432;-144.455;867.314;-125.093;-112.852;870.825;124.167;54.378;940.468;-69.350;73.252;952.514
31.066;15.362;1596.904;105.634;-55.646;1545.647;-43.307;-58.036;1542.379;93.296;54.427;1446.011;-31.554;51.013;1449.181;33.309;85.395;1281.122;47.111;86.907;1116.672;98.417;99.002;1195.824;-24.336;99.928;1178.365;36.382;-95.247;1277.708;24.726;-166.060;1086.240;81.542;-134.457;1205.042;-38.186;-122.606;1215.235;197.711;-70.911;1236.400;196.540;2.195;1306.482;207.318;62.815;1242.107;258.673;29.896;1157.199;228.972;51.549;981.922;275.157;-1.804;1010.940;264.037;-96.515;986.701;183.909;-214.293;1058.002;186.738;-220.730;987.579;215.365;-193.322;1022.791;-144.357;-57.645;1243.179;-132.604;4.633;1312.822;-139.236;77.007;1251.958;-200.149;-5.608;1160.174;-185.421;63.010;989.384;-225.314;9.949;1022.742;-193.175;-60.230;1048.492;-150.697;-202.100;1048.834;-142.455;-203.124;979.922;-173.131;-179.764;1012.452;139.334;-144.308;867.363;-125.142;-112.657;870.825;124.118;54.475;940.517;-69.399;73.349;952.514
30.822;15.557;1596.904;105.391;-55.451;1545.696;-43.551;-57.792;1542.379;93.101;54.622;1446.060;-31.700;51.257;1449.181;33.212;85.541;1281.122;47.014;86.956;1116.623;98.319;99.148;1195.824;-24.433;100.026;1178.316;36.284;-95.100;1277.757;24.677;-165.962;1086.288;81.396;-134.311;1205.091;-38.284;-122.460;1215.283;197.613;-70.764;1236.498;196.394;2.341;1306.482;207.172;62.912;1242.107;258.526;29.993;1157.248;228.923;51.549;981.922;275.108;-1.756;1010.989;263.988;-96.466;986.897;183.860;-214.146;1058.344;186.640;-220.633;987.969;215.317;-193.224;1023.035;-144.455;-57.499;1243.179;-132.750;4.779;1312.822;-139.334;77.153;1251.958;-200.198;-5.413;1160.125;-185.421;63.108;989.335;-225.314;10.095;1022.693;-193.273;-60.133;1048.443;-150.844;-202.003;1048.834;-142.650;-203.027;979.922;-173.277;-179.666;1012.452;139.236;-144.162;867.412;-125.240;-112.560;870.825;124.020;54.622;940.517;-69.496;73.447;952.514
30.676;15.704;1596.904;105.244;-55.304;1545.744;-43.649;-57.645;1542.331;92.954;54.719;1446.060;-31.846;51.403;1449.181;33.114;85.688;1281.073;46.916;87.102;1116.574;98.173;99.294;1195.776;-24.531;100.172;1178.267;36.187;-95.003;1277.757;24.580;-165.865;1086.288;81.347;-134.213;1205.091;-38.381;-122.362;1215.283;197.467;-70.618;1236.498;196.297;2.536;1306.482;207.075;63.059;1242.058;258.380;30.091;1157.199;228.826;51.549;981.873;274.962;-1.707;1010.989;263.891;-96.417;986.994;183.812;-214.097;1058.587;186.543;-220.633;988.213;215.219;-193.175;1023.278;-144.552;-57.402;1243.131;-132.848;4.926;1312.773;-139.432;77.251;1251.909;-200.296;-5.316;1160.076;-185.470;63.254;989.286;-225.363;10.242;1022.644;-193.370;-59.986;1048.395;-150.990;-201.856;1048.834;-142.797;-202.929;979.922;-173.424;-179.569;1012.452;139.188;-144.065;867.412;-125.337;-112.511;870.825;123.874;54.719;940.517;-69.594;73.495;952.514
30.578;15.899;1596.904;105.147;-55.158;1545.744;-43.697;-57.499;1542.379;92.857;54.866;1446.060;-31.944;51.500;1449.181;32.968;85.785;1281.024;46.819;87.200;1116.574;98.075;99.392;1195.776;-24.629;100.270;1178.267;36.089;-94.856;1277.708;24.531;-165.669;1086.288;81.250;-134.116;1205.042;-38.479;-122.265;1215.235;197.370;-70.472;1236.449;196.199;2.682;1306.482;206.928;63.205;1242.058;258.234;30.237;1157.150;228.631;51.598;981.776;274.815;-1.609;1010.940;263.745;-96.368;987.043;183.714;-213.951;1058.783;186.396;-220.535;988.408;215.073;-193.078;1023.425;-144.650;-57.255;1243.082;-132.945;5.023;1312.725;-139.578;77.348;1251.860;-200.393;-5.170;1160.028;-185.567;63.400;989.237;-225.509;10.388;1022.596;-193.468;-59.840;1048.395;-151.136;-201.710;1048.882;-142.943;-202.832;979.971;-173.570;-179.422;1012.452;139.090;-143.967;867.412;-125.435;-112.462;870.825;123.777;54.817;940.517;-69.691;73.544;952.465
30.530;15.996;1596.904;105.098;-54.963;1545.744;-43.746;-57.450;1542.428;92.759;55.061;1446.011;-32.090;51.549;1449.181;32.871;85.883;1280.976;46.672;87.248;1116.525;97.929;99.489;1195.727;-24.726;100.319;1178.219;35.992;-94.759;1277.659;24.433;-165.523;1086.240;81.152;-133.969;1204.993;-38.577;-122.118;1215.186;197.272;-70.325;1236.400;196.102;2.829;1306.385;206.831;63.351;1241.960;258.039;30.383;1157.004;228.338;51.744;981.678;274.571;-1.463;1010.842;263.501;-96.222;987.043;183.617;-213.756;1058.929;186.201;-220.437;988.555;214.975;-192.883;1023.522;-144.747;-57.158;1243.033;-133.043;5.121;1312.676;-139.627;77.494;1251.812;-200.491;-5.072;1159.979;-185.616;63.498;989.189;-225.607;10.534;1022.547;-193.566;-59.694;1048.346;-151.331;-201.564;1048.882;-143.040;-202.685;980.020;-173.716;-179.276;1012.452;138.993;-143.918;867.460;-125.532;-112.462;870.825;123.630;54.866;940.517;-69.838;73.642;952.465
30.481;16.143;1596.904;105.147;-54.817;1545.696;-43.746;-57.402;1542.428;92.613;55.158;1446.011;-32.188;51.598;1449.181;32.773;86.029;1280.927;46.526;87.395;1116.477;97.831;99.636;1195.629;-24.824;100.416;1178.170;35.943;-94.661;1277.611;24.287;-165.426;1086.191;81.055;-133.823;1204.944;-38.674;-122.021;1215.186;197.174;-70.130;1236.303;196.004;2.975;1306.287;206.684;63.546;1241.863;257.892;30.578;1156.906;228.094;51.891;981.532;274.376;-1.268;1010.696;263.354;-96.027;986.994;183.568;-213.561;1059.075;186.104;-220.242;988.652;214.878;-192.688;1023.620;-144.796;-57.060;1242.984;-133.140;5.218;1312.627;-139.724;77.592;1251.763;-200.588;-4.974;1159.930;-185.762;63.595;989.140;-225.705;10.632;1022.498;-193.712;-59.596;1048.297;-151.429;-201.515;1048.834;-143.187;-202.588;979.922;-173.863;-179.179;1012.403;138.895;-143.918;867.460;-125.630;-112.365;870.825;123.533;54.914;940.517;-69.984;73.642;952.465
30.481;16.289;1596.904;105.098;-54.670;1545.696;-43.746;-57.304;1542.477;92.564;55.304;1445.962;-32.237;51.696;1449.181;32.627;86.127;1280.878;46.428;87.492;1116.379;97.685;99.831;1195.532;-24.921;100.514;1178.121;35.894;-94.515;1277.562;24.190;-165.182;1086.093;80.957;-133.677;1204.895;-38.772;-121.923;1215.137;197.077;-69.935;1236.157;195.955;3.170;1306.189;206.587;63.742;1241.716;257.746;30.822;1156.760;227.802;52.086;981.386;274.133;-1.024;1010.550;263.159;-95.783;986.897;183.568;-213.317;1059.075;186.006;-220.096;988.701;214.829;-192.493;1023.571;-144.894;-57.011;1242.936;-133.189;5.267;1312.578;-139.822;77.641;1251.763;-200.637;-4.926;1159.881;-185.860;63.693;989.140;-225.802;10.729;1022.498;-193.809;-59.547;1048.248;-151.526;-201.417;1048.736;-143.382;-202.490;979.776;-173.960;-179.081;1012.305;138.749;-143.870;867.460;-125.776;-112.365;870.825;123.386;54.914;940.468;-70.082;73.739;952.417
