UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
32.110;17.635;1596.081;107.289;-51.988;1543.839;-41.641;-57.136;1542.462;91.540;57.798;1444.552;-33.130;52.141;1449.241;27.421;87.717;1278.241;40.673;87.003;1114.173;91.743;102.243;1192.410;-29.562;99.083;1175.285;34.659;-91.845;1276.151;23.751;-165.036;1085.682;80.581;-130.021;1203.776;-39.857;-120.999;1214.378;195.821;-62.997;1233.185;192.865;10.398;1302.655;200.918;71.509;1237.976;250.256;41.896;1153.521;212.488;60.602;981.145;264.272;11.978;1005.508;267.993;-79.460;963.459;210.449;-219.369;1011.828;209.583;-215.546;941.033;236.290;-189.654;978.750;-148.013;-59.633;1241.340;-136.851;3.313;1311.320;-144.445;75.484;1250.565;-203.467;-5.046;1158.363;-184.353;68.960;990.625;-226.504;15.596;1019.423;-200.612;-60.347;1033.388;-170.133;-205.658;1012.644;-154.180;-197.146;945.620;-186.596;-176.046;977.832;138.940;-144.139;867.434;-126.402;-118.196;869.524;118.808;54.485;940.218;-74.975;69.215;951.634
32.110;17.839;1596.081;107.289;-51.835;1543.839;-41.590;-56.881;1542.462;91.540;57.951;1444.501;-33.079;52.345;1449.190;27.472;87.819;1278.241;40.826;86.749;1114.071;91.794;102.294;1192.359;-29.511;99.185;1175.234;34.659;-91.692;1276.151;23.751;-164.883;1085.682;80.632;-129.868;1203.776;-39.857;-120.847;1214.378;195.821;-62.844;1233.185;192.916;10.550;1302.604;200.918;71.560;1237.925;250.256;42.049;1153.470;212.437;60.653;981.043;264.221;12.080;1005.457;268.044;-79.358;963.459;210.653;-219.216;1012.083;209.685;-215.495;941.186;236.392;-189.552;978.903;-147.962;-59.480;1241.340;-136.800;3.466;1311.269;-144.394;75.637;1250.514;-203.467;-4.893;1158.312;-184.353;69.113;990.625;-226.504;15.749;1019.423;-200.663;-60.143;1033.439;-170.286;-205.454;1012.746;-154.333;-197.045;945.722;-186.749;-175.893;977.883;138.991;-144.088;867.485;-126.402;-118.094;869.575;118.859;54.587;940.167;-74.924;69.215;951.584
32.059;17.992;1596.081;107.187;-51.784;1543.889;-41.641;-56.677;1542.462;91.591;58.002;1444.501;-33.028;52.498;1449.190;27.523;87.921;1278.241;40.826;86.545;1113.969;91.845;102.396;1192.359;-29.460;99.287;1175.234;34.710;-91.540;1276.151;23.751;-164.781;1085.682;80.632;-129.715;1203.776;-39.857;-120.694;1214.378;195.821;-62.742;1233.185;192.916;10.652;1302.604;200.918;71.662;1237.874;250.256;42.151;1153.470;212.437;60.704;981.043;264.221;12.181;1005.457;268.044;-79.307;963.612;210.704;-219.165;1012.338;209.787;-215.495;941.492;236.494;-189.450;979.107;-147.962;-59.327;1241.340;-136.749;3.619;1311.269;-144.343;75.739;1250.514;-203.467;-4.740;1158.363;-184.404;69.215;990.625;-226.555;15.902;1019.474;-200.765;-59.990;1033.490;-170.592;-205.352;1012.797;-154.639;-196.994;945.875;-187.055;-175.791;977.985;138.991;-144.037;867.485;-126.402;-117.992;869.626;118.910;54.689;940.167;-74.873;69.317;951.584
32.008;18.043;1596.081;107.085;-51.733;1543.889;-41.743;-56.626;1542.462;91.591;58.053;1444.552;-33.028;52.549;1449.190;27.523;88.023;1278.241;40.775;86.850;1114.020;91.845;102.498;1192.359;-29.460;99.338;1175.234;34.659;-91.438;1276.151;23.751;-164.680;1085.733;80.581;-129.613;1203.776;-39.857;-120.592;1214.378;195.821;-62.640;1233.236;192.916;10.703;1302.604;200.918;71.713;1237.925;250.256;42.202;1153.470;212.437;60.704;981.043;264.272;12.181;1005.457;268.146;-79.307;963.663;210.857;-219.114;1012.542;209.940;-215.546;941.747;236.647;-189.450;979.310;-147.962;-59.225;1241.340;-136.749;3.721;1311.269;-144.343;75.841;1250.463;-203.467;-4.587;1158.363;-184.455;69.317;990.625;-226.606;16.055;1019.525;-200.918;-59.888;1033.541;-170.796;-205.251;1012.848;-154.894;-196.892;945.926;-187.259;-175.638;978.087;138.991;-143.986;867.485;-126.402;-117.890;869.626;118.961;54.689;940.167;-74.771;69.419;951.584
31.906;17.992;1596.132;106.983;-51.733;1543.889;-41.794;-56.677;1542.462;91.489;58.104;1444.603;-33.130;52.600;1449.292;27.523;88.125;1278.241;40.775;87.105;1114.122;91.845;102.549;1192.359;-29.409;99.440;1175.234;34.608;-91.336;1276.151;23.751;-164.578;1085.733;80.530;-129.511;1203.827;-39.908;-120.439;1214.378;195.770;-62.589;1233.287;192.865;10.805;1302.655;200.969;71.815;1237.925;250.256;42.202;1153.521;212.539;60.653;981.043;264.374;12.181;1005.559;268.248;-79.307;963.816;211.010;-219.063;1012.695;209.991;-215.597;941.899;236.749;-189.501;979.463;-148.013;-59.073;1241.289;-136.800;3.925;1311.218;-144.343;75.994;1250.412;-203.467;-4.383;1158.312;-184.455;69.470;990.574;-226.606;16.259;1019.474;-200.969;-59.684;1033.541;-171.102;-205.098;1012.950;-155.148;-196.790;946.028;-187.462;-175.485;978.138;138.991;-143.935;867.485;-126.402;-117.788;869.677;119.012;54.740;940.167;-74.720;69.521;951.584
31.804;17.890;1596.132;106.881;-51.733;1543.839;-41.896;-56.779;1542.411;91.336;58.206;1444.705;-33.282;52.600;1449.292;27.523;88.227;1278.190;40.826;87.258;1114.071;91.896;102.651;1192.410;-29.358;99.593;1175.183;34.557;-91.183;1276.151;23.700;-164.476;1085.733;80.479;-129.409;1203.827;-39.959;-120.286;1214.327;195.770;-62.538;1233.338;192.814;10.856;1302.706;200.918;71.866;1237.976;250.307;42.202;1153.623;212.641;60.653;981.094;264.476;12.181;1005.661;268.350;-79.358;963.969;211.061;-219.114;1012.899;210.194;-215.597;942.103;236.851;-189.501;979.667;-148.064;-58.869;1241.238;-136.851;4.077;1311.167;-144.292;76.198;1250.361;-203.467;-4.128;1158.261;-184.302;69.623;990.473;-226.555;16.514;1019.372;-201.020;-59.480;1033.490;-171.356;-204.894;1013.001;-155.301;-196.637;946.079;-187.666;-175.281;978.189;138.940;-143.935;867.536;-126.504;-117.737;869.677;119.063;54.791;940.167;-74.720;69.572;951.584
31.702;17.890;1596.183;106.779;-51.733;1543.839;-41.998;-56.728;1542.411;91.234;58.257;1444.756;-33.333;52.651;1449.343;27.523;88.329;1278.190;40.826;87.105;1114.020;91.896;102.753;1192.410;-29.358;99.695;1175.132;34.455;-91.081;1276.151;23.649;-164.374;1085.784;80.428;-129.358;1203.878;-40.010;-120.133;1214.327;195.719;-62.437;1233.389;192.763;10.907;1302.757;200.918;71.917;1238.027;250.307;42.253;1153.674;212.743;60.653;981.145;264.527;12.181;1005.712;268.452;-79.307;964.071;211.112;-219.063;1013.103;210.296;-215.597;942.307;236.953;-189.450;979.871;-148.115;-58.665;1241.136;-136.902;4.281;1311.116;-144.292;76.402;1250.259;-203.467;-3.925;1158.159;-184.150;69.827;990.371;-226.453;16.769;1019.270;-201.020;-59.225;1033.439;-171.560;-204.741;1013.001;-155.403;-196.484;946.130;-187.768;-175.077;978.189;138.940;-143.884;867.536;-126.453;-117.686;869.677;119.063;54.842;940.167;-74.720;69.674;951.584
31.550;17.890;1596.183;106.677;-51.733;1543.889;-42.100;-56.626;1542.360;91.234;58.308;1444.807;-33.384;52.803;1449.343;27.472;88.430;1278.190;40.826;87.411;1114.071;91.896;102.804;1192.410;-29.307;99.796;1175.132;34.404;-90.979;1276.151;23.598;-164.272;1085.784;80.377;-129.256;1203.878;-40.061;-120.031;1214.327;195.668;-62.386;1233.440;192.763;11.009;1302.757;200.918;72.019;1238.027;250.256;42.355;1153.674;212.692;60.704;981.145;264.476;12.283;1005.712;268.452;-79.256;964.173;211.265;-218.961;1013.357;210.449;-215.546;942.562;237.055;-189.399;980.024;-148.166;-58.512;1241.136;-136.953;4.434;1311.065;-144.292;76.555;1250.259;-203.467;-3.721;1158.108;-184.048;70.082;990.371;-226.402;16.973;1019.219;-201.071;-59.022;1033.439;-171.713;-204.537;1013.001;-155.403;-196.331;946.181;-187.819;-174.873;978.189;138.889;-143.884;867.536;-126.504;-117.635;869.728;119.012;54.842;940.167;-74.720;69.674;951.584
31.499;18.043;1596.183;106.575;-51.631;1543.889;-42.253;-56.473;1542.309;91.183;58.410;1444.807;-33.435;52.956;1449.292;27.472;88.532;1278.139;40.877;87.105;1113.918;91.845;102.906;1192.359;-29.358;99.898;1175.132;34.353;-90.877;1276.151;23.547;-164.221;1085.784;80.326;-129.154;1203.878;-40.112;-119.929;1214.327;195.617;-62.335;1233.440;192.712;11.060;1302.757;200.867;72.070;1238.027;250.205;42.457;1153.674;212.539;60.806;981.094;264.425;12.385;1005.712;268.452;-79.154;964.275;211.367;-218.808;1013.561;210.500;-215.495;942.817;237.106;-189.246;980.279;-148.217;-58.359;1241.085;-137.004;4.587;1311.014;-144.343;76.708;1250.208;-203.467;-3.517;1158.057;-183.997;70.235;990.320;-226.351;17.176;1019.168;-201.071;-58.818;1033.388;-171.815;-204.333;1013.052;-155.454;-196.178;946.232;-187.870;-174.720;978.189;138.838;-143.884;867.536;-126.606;-117.585;869.728;119.012;54.893;940.116;-74.720;69.725;951.533
31.397;18.247;1596.132;106.473;-51.427;1543.940;-42.355;-56.269;1542.360;91.132;58.563;1444.756;-33.486;53.109;1449.292;27.421;88.685;1278.088;40.724;87.666;1114.020;91.794;103.008;1192.308;-29.358;100.000;1175.081;34.302;-90.724;1276.151;23.497;-164.170;1085.835;80.276;-129.052;1203.929;-40.214;-119.827;1214.327;195.566;-62.182;1233.440;192.661;11.213;1302.757;200.816;72.222;1237.976;250.154;42.559;1153.623;212.437;60.856;981.094;264.374;12.538;1005.712;268.452;-79.052;964.326;211.418;-218.706;1013.765;210.551;-215.495;942.970;237.157;-189.195;980.432;-148.268;-58.206;1241.034;-137.055;4.689;1311.014;-144.343;76.810;1250.158;-203.518;-3.364;1158.006;-184.048;70.388;990.269;-226.453;17.380;1019.168;-201.122;-58.614;1033.439;-171.866;-204.129;1013.205;-155.403;-196.025;946.385;-187.870;-174.567;978.291;138.787;-143.884;867.536;-126.657;-117.534;869.728;119.012;54.893;940.116;-74.771;69.776;951.533
31.346;18.451;1596.132;106.422;-51.223;1543.940;-42.355;-56.116;1542.360;91.030;58.716;1444.705;-33.588;53.211;1449.241;27.319;88.736;1278.088;40.622;87.717;1114.020;91.743;103.058;1192.308;-29.409;100.102;1175.081;34.251;-90.622;1276.202;23.446;-164.119;1085.835;80.174;-129.001;1203.929;-40.265;-119.725;1214.327;195.516;-62.080;1233.440;192.610;11.315;1302.757;200.765;72.324;1237.976;250.001;42.661;1153.623;212.386;60.907;981.094;264.323;12.589;1005.712;268.452;-79.001;964.428;211.520;-218.655;1013.969;210.653;-215.495;943.174;237.208;-189.144;980.585;-148.319;-58.155;1241.034;-137.055;4.791;1310.963;-144.445;76.912;1250.158;-203.569;-3.262;1158.006;-184.099;70.490;990.269;-226.504;17.482;1019.168;-201.173;-58.461;1033.490;-171.815;-203.976;1013.408;-155.505;-195.923;946.589;-187.921;-174.465;978.495;138.736;-143.833;867.587;-126.657;-117.483;869.728;118.961;54.944;940.116;-74.771;69.878;951.533
31.346;18.655;1596.132;106.371;-51.020;1543.889;-42.355;-55.964;1542.411;90.979;58.920;1444.705;-33.639;53.364;1449.292;27.268;88.838;1278.088;40.571;87.870;1114.071;91.692;103.160;1192.308;-29.511;100.153;1175.081;34.200;-90.520;1276.202;23.395;-164.017;1085.886;80.123;-128.900;1203.980;-40.316;-119.623;1214.378;195.465;-61.978;1233.491;192.508;11.468;1302.808;200.663;72.375;1237.976;250.001;42.763;1153.623;212.335;60.856;981.094;264.272;12.589;1005.763;268.452;-79.052;964.428;211.571;-218.706;1013.918;210.653;-215.546;943.123;237.208;-189.195;980.585;-148.421;-58.002;1241.085;-137.156;4.893;1311.014;-144.496;77.014;1250.158;-203.620;-3.160;1158.006;-184.150;70.541;990.269;-226.555;17.584;1019.168;-201.224;-58.359;1033.541;-172.019;-203.925;1013.663;-155.556;-195.974;946.843;-188.023;-174.415;978.699;138.686;-143.782;867.587;-126.708;-117.432;869.728;118.961;54.995;940.116;-74.822;69.929;951.533
