UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23.194;30.031;1597.924;99.663;-38.381;1545.920;-49.123;-44.484;1541.965;84.965;72.806;1447.966;-39.797;66.360;1450.554;23.292;99.907;1277.988;36.427;96.293;1113.723;87.602;113.726;1192.095;-34.181;108.892;1175.151;32.179;-80.717;1278.818;22.511;-156.013;1089.161;78.470;-119.634;1206.989;-42.189;-112.066;1217.585;193.710;-50.100;1236.043;189.657;23.976;1303.575;196.835;84.477;1238.045;246.691;54.251;1153.617;210.410;66.556;980.318;264.563;22.804;1008.200;277.649;-68.314;972.505;237.901;-206.748;1033.494;228.868;-211.484;963.325;256.457;-178.621;995.065;-151.569;-48.977;1244.490;-140.045;15.137;1312.804;-148.151;85.893;1250.838;-206.552;3.418;1159.184;-181.991;70.511;988.961;-227.208;20.655;1019.431;-208.261;-55.764;1036.375;-191.268;-202.206;1021.433;-172.127;-200.253;954.975;-203.378;-173.738;985.006;137.409;-135.211;869.815;-128.082;-111.089;870.938;115.679;64.163;939.935;-78.177;77.347;951.118
23.536;29.982;1597.876;99.956;-38.381;1545.725;-48.782;-44.484;1541.867;85.160;72.904;1447.918;-39.553;66.409;1450.603;23.390;100.053;1277.842;36.427;96.342;1113.576;87.650;113.824;1191.851;-34.084;108.989;1175.054;32.326;-80.472;1278.720;22.560;-155.866;1089.063;78.568;-119.390;1206.842;-42.092;-111.919;1217.536;193.905;-49.856;1235.799;189.804;24.122;1303.282;196.933;84.721;1237.801;246.691;54.690;1153.422;210.263;66.898;980.123;264.514;23.341;1008.005;277.796;-67.777;972.505;238.536;-206.113;1033.836;229.356;-211.094;963.667;256.945;-178.084;995.309;-151.472;-48.830;1244.490;-139.899;15.284;1312.804;-148.054;86.039;1250.887;-206.455;3.662;1159.135;-181.844;70.853;988.961;-227.012;20.948;1019.431;-208.066;-55.422;1036.424;-191.171;-201.914;1021.531;-171.395;-199.911;955.268;-202.988;-173.397;985.055;137.457;-135.260;869.766;-128.082;-111.187;870.938;115.630;64.114;939.935;-78.226;77.201;951.069
23.927;29.835;1597.827;100.346;-38.478;1545.529;-48.391;-44.484;1541.818;85.453;72.953;1447.918;-39.260;66.458;1450.652;23.487;100.298;1277.695;36.427;96.684;1113.430;87.699;113.970;1191.656;-34.181;109.038;1174.907;32.375;-80.082;1278.525;22.608;-155.671;1089.015;78.666;-119.000;1206.696;-42.043;-111.529;1217.487;194.003;-49.563;1235.652;189.950;24.464;1303.184;197.030;84.965;1237.654;246.789;54.934;1153.275;210.312;66.800;979.928;264.514;23.341;1007.907;277.649;-68.021;973.140;238.341;-205.722;1035.545;229.063;-211.289;965.474;256.701;-177.987;996.823;-151.423;-48.733;1244.588;-139.752;15.479;1312.853;-147.907;86.137;1250.936;-206.357;3.760;1159.281;-181.942;70.853;989.059;-226.866;20.851;1019.627;-207.871;-55.374;1036.913;-191.073;-201.914;1022.117;-169.832;-199.911;956.342;-202.158;-173.397;985.641;137.506;-135.309;869.766;-128.082;-111.333;870.841;115.630;64.065;939.887;-78.226;77.103;951.020
24.415;29.689;1597.778;100.688;-38.576;1545.334;-48.000;-44.582;1541.721;85.746;73.001;1447.869;-38.967;66.556;1450.799;23.536;100.639;1277.744;36.427;96.977;1113.381;87.797;114.214;1191.607;-34.328;109.185;1174.956;32.570;-79.593;1278.427;22.755;-155.134;1088.966;78.763;-118.365;1206.647;-41.945;-110.943;1217.341;194.003;-49.172;1235.945;189.999;24.855;1303.380;197.226;85.258;1237.752;247.082;54.739;1153.373;210.556;65.628;979.879;264.563;22.120;1008.249;276.673;-69.876;975.044;236.192;-206.064;1039.696;226.817;-212.656;969.771;254.650;-179.110;1000.485;-151.325;-48.879;1245.223;-139.704;15.430;1313.341;-148.054;85.990;1251.278;-206.211;3.223;1159.819;-182.088;69.730;989.352;-226.622;19.532;1020.164;-207.285;-56.155;1038.280;-190.341;-202.792;1024.461;-166.560;-200.986;959.468;-200.107;-174.471;987.692;137.555;-135.260;869.815;-128.033;-111.236;870.938;115.679;64.212;939.838;-78.177;77.250;950.971
24.806;29.396;1597.729;101.030;-38.771;1545.090;-47.658;-44.777;1541.623;85.990;72.953;1447.820;-38.625;66.458;1450.799;23.487;101.079;1278.037;36.379;97.465;1113.723;87.748;114.507;1191.656;-34.474;109.673;1175.493;32.619;-78.812;1278.379;22.853;-154.157;1088.868;78.861;-117.437;1206.598;-41.848;-110.015;1217.243;193.612;-48.684;1236.580;189.901;25.441;1303.917;197.323;85.551;1237.996;247.619;53.420;1153.617;212.998;62.063;979.830;265.881;17.872;1009.372;274.866;-75.638;978.756;229.991;-208.310;1047.460;219.590;-216.660;977.730;248.742;-183.016;1007.321;-150.788;-49.270;1246.346;-139.704;15.382;1314.220;-148.591;85.600;1251.766;-205.771;1.318;1160.649;-182.674;65.530;989.108;-225.840;14.844;1020.896;-205.869;-59.378;1041.307;-186.581;-206.162;1030.858;-159.822;-205.039;967.036;-195.224;-178.621;993.356;137.555;-134.918;869.913;-127.984;-110.894;871.085;115.679;64.603;939.740;-78.177;77.640;950.922
25.392;28.859;1597.631;101.469;-39.308;1544.748;-47.268;-45.168;1541.525;86.381;72.513;1447.722;-38.234;66.214;1450.799;23.146;101.714;1278.525;36.086;98.540;1114.162;87.504;115.435;1192.144;-35.060;110.552;1176.030;32.472;-77.738;1278.281;22.999;-152.351;1088.575;78.861;-116.119;1206.452;-41.750;-108.843;1217.097;192.343;-48.342;1237.752;189.559;26.173;1304.649;197.372;85.551;1237.996;248.693;49.709;1154.105;219.688;53.616;979.244;269.348;7.715;1011.374;271.301;-88.139;985.201;217.832;-214.023;1060.400;204.306;-223.936;991.500;236.974;-191.317;1018.845;-149.714;-50.051;1247.811;-139.850;15.479;1315.050;-149.519;84.721;1251.766;-204.892;-2.979;1161.430;-183.309;56.448;987.789;-224.668;5.420;1021.531;-202.255;-65.970;1046.434;-177.352;-212.168;1044.725;-149.226;-213.144;981.392;-186.385;-186.971;1005.515;137.506;-133.990;870.206;-128.033;-110.064;871.280;115.679;65.677;939.691;-78.226;78.715;950.776
26.075;27.687;1597.583;101.909;-40.480;1544.309;-46.828;-45.852;1541.281;87.016;71.878;1447.771;-37.648;65.921;1451.092;22.511;102.886;1279.062;35.744;100.493;1114.650;87.113;116.949;1192.828;-36.086;111.773;1176.519;32.472;-76.322;1278.232;23.390;-149.616;1088.087;79.008;-114.361;1206.256;-41.457;-107.573;1216.852;189.999;-48.196;1240.242;189.022;27.443;1305.675;197.568;85.404;1237.703;250.256;42.287;1154.691;227.354;37.453;978.609;272.132;-10.450;1014.646;264.270;-107.817;995.749;199.277;-222.422;1079.248;182.674;-234.630;1011.618;219.541;-204.062;1036.424;-147.761;-51.370;1250.008;-140.094;15.528;1315.929;-150.935;83.353;1251.082;-203.623;-10.206;1162.651;-184.969;40.676;985.738;-223.252;-10.401;1022.801;-196.152;-77.152;1054.345;-160.945;-220.860;1066.113;-132.135;-224.864;1002.927;-171.346;-199.716;1024.558;137.702;-132.184;870.645;-127.936;-108.745;871.524;115.533;67.679;939.496;-78.422;80.277;950.629
26.954;25.929;1597.729;102.251;-42.092;1543.674;-46.535;-46.584;1540.842;87.846;71.341;1448.259;-36.769;66.067;1451.775;21.974;104.692;1279.502;35.158;103.227;1114.992;86.576;119.048;1193.170;-37.404;113.579;1177.007;32.521;-74.369;1278.183;23.927;-146.198;1087.403;79.252;-112.603;1206.110;-40.871;-106.450;1216.852;186.825;-48.440;1243.465;188.632;29.103;1306.065;197.958;84.232;1235.701;250.890;31.837;1154.838;232.432;13.624;978.511;271.643;-35.353;1019.138;252.502;-132.574;1009.372;173.885;-229.942;1102.492;156.892;-247.423;1036.327;196.835;-218.662;1058.544;-144.928;-52.737;1253.085;-140.045;16.212;1316.808;-152.693;81.644;1249.520;-201.425;-20.802;1164.897;-186.044;17.823;984.176;-220.127;-33.009;1025.535;-187.069;-92.436;1064.648;-137.116;-229.893;1092.921;-109.282;-237.364;1029.588;-150.300;-214.219;1049.218;138.239;-129.547;871.329;-127.594;-107.085;871.964;115.191;70.560;939.349;-78.861;82.328;950.434
27.784;23.780;1598.071;102.593;-43.947;1542.746;-46.291;-47.170;1540.060;88.969;71.146;1449.236;-35.793;66.849;1452.849;21.730;106.694;1279.551;34.425;106.011;1114.699;86.137;121.246;1192.877;-38.576;115.533;1177.251;32.716;-72.415;1278.037;24.318;-142.878;1086.768;79.349;-111.089;1205.817;-40.187;-105.669;1217.145;183.407;-49.221;1246.395;188.680;30.714;1305.528;198.105;82.230;1231.892;249.816;19.434;1154.154;232.823;-15.430;979.537;266.565;-63.919;1025.389;236.046;-158.601;1026.414;144.831;-234.581;1128.372;128.521;-258.899;1064.209;170.467;-231.554;1084.083;-141.022;-54.104;1256.942;-139.801;17.139;1317.541;-154.157;79.886;1247.420;-197.079;-33.302;1168.364;-184.286;-9.278;984.713;-213.291;-59.134;1030.858;-173.934;-109.087;1076.758;-106.792;-234.874;1122.170;-85.600;-249.328;1057.275;-125.689;-226.670;1077.051;138.825;-126.568;871.866;-127.154;-105.327;872.208;114.751;73.636;939.301;-79.349;84.477;950.336
