UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23.213;13.586;1598.190;99.841;-53.512;1544.726;-48.870;-60.794;1541.843;83.421;58.742;1448.453;-41.100;51.264;1451.727;23.506;87.819;1279.559;38.118;86.842;1115.454;88.845;102.382;1194.525;-33.476;98.961;1176.443;30.250;-91.729;1277.311;21.747;-164.740;1086.669;76.872;-129.945;1205.374;-43.787;-120.757;1214.806;191.863;-63.971;1235.527;189.419;9.041;1304.873;198.216;70.226;1240.609;249.383;39.487;1156.260;214.245;61.527;984.336;263.262;10.605;1008.820;265.265;-79.707;964.495;215.272;-215.760;1016.199;198.460;-216.835;947.439;232.474;-187.904;978.716;-152.572;-59.768;1240.512;-141.429;3.177;1310.982;-148.467;75.260;1250.872;-207.648;-4.105;1157.677;-189.957;73.549;992.057;-230.666;18.180;1019.669;-203.445;-57.569;1032.424;-167.037;-198.705;1011.410;-152.132;-192.498;944.263;-184.679;-170.800;976.224;138.399;-140.256;868.221;-127.306;-116.994;869.296;116.457;57.862;941.379;-77.508;70.421;952.277
23.458;14.075;1598.190;100.085;-53.121;1544.775;-48.577;-60.208;1541.794;83.909;59.132;1448.502;-40.660;51.802;1451.629;23.800;88.210;1279.705;38.363;87.282;1115.551;89.139;102.675;1194.672;-33.525;99.303;1176.541;30.593;-91.484;1277.408;22.040;-164.203;1086.718;77.263;-129.505;1205.423;-43.494;-120.122;1214.757;192.107;-63.580;1235.918;189.615;9.481;1305.117;198.509;70.421;1240.756;249.969;39.145;1156.553;216.591;59.328;984.336;265.314;8.650;1009.748;267.122;-82.199;966.792;215.760;-217.813;1019.913;199.487;-218.986;951.056;233.647;-190.055;982.235;-151.936;-59.475;1241.196;-140.941;3.421;1311.275;-148.418;75.015;1250.823;-208.137;-5.669;1158.459;-192.791;68.711;991.471;-232.669;13.879;1021.135;-205.595;-60.696;1036.431;-169.334;-202.419;1019.913;-153.451;-197.776;952.668;-186.585;-175.394;983.652;138.448;-139.865;868.368;-127.208;-116.359;869.492;116.701;58.351;941.379;-77.263;71.106;952.277
23.995;14.808;1598.141;100.476;-52.584;1544.824;-48.186;-59.377;1541.745;84.545;59.719;1448.453;-40.024;52.535;1451.629;24.191;88.992;1279.901;38.607;88.161;1115.747;89.481;103.262;1194.867;-33.574;99.988;1176.639;31.081;-90.556;1277.604;22.382;-162.737;1086.816;77.654;-128.479;1205.423;-43.054;-118.998;1214.855;191.912;-63.140;1236.895;189.713;10.214;1305.606;198.900;70.910;1240.756;251.191;37.630;1157.189;224.019;53.073;984.043;271.276;2.492;1012.192;271.570;-89.920;972.265;216.493;-223.384;1028.465;199.829;-225.094;959.803;235.064;-196.359;990.298;-150.861;-59.279;1243.297;-140.110;4.252;1312.301;-148.515;74.722;1250.383;-209.554;-9.530;1160.854;-199.633;56.591;990.151;-238.094;3.470;1024.605;-210.091;-68.564;1045.521;-173.928;-211.264;1040.096;-157.801;-211.020;972.558;-191.179;-186.829;1001.929;138.448;-138.986;868.612;-127.110;-115.137;869.687;117.043;59.377;941.282;-76.921;72.376;952.228
24.582;15.443;1598.336;101.014;-51.753;1544.824;-47.599;-58.448;1541.647;85.180;60.794;1448.844;-39.389;53.659;1451.971;24.630;90.556;1279.803;38.558;89.530;1115.649;89.725;104.630;1194.574;-33.916;101.258;1176.639;31.863;-89.041;1278.092;22.578;-160.928;1087.060;78.192;-126.915;1205.716;-42.419;-117.630;1215.686;191.521;-62.309;1238.361;189.713;12.022;1305.802;199.242;71.448;1239.534;253.292;34.111;1158.019;239.853;40.904;983.603;283.396;-10.116;1016.981;279.291;-105.266;982.235;216.298;-232.669;1043.762;196.897;-235.259;975.930;235.455;-207.990;1004.519;-149.346;-59.279;1247.989;-138.595;6.109;1314.354;-148.809;74.233;1249.601;-211.851;-16.518;1166.278;-210.385;34.600;989.907;-246.451;-14.856;1031.886;-216.542;-81.955;1061.843;-178.766;-223.482;1074.989;-161.955;-231.203;1008.233;-196.359;-204.227;1034.232;138.448;-137.617;868.954;-127.062;-113.329;870.176;117.336;61.038;941.184;-76.677;74.184;952.180
25.168;16.274;1598.776;101.600;-50.629;1544.873;-47.013;-57.227;1541.501;85.864;62.602;1449.577;-38.607;55.516;1452.558;24.924;92.950;1279.363;38.412;91.191;1115.307;89.872;106.536;1193.890;-34.209;102.822;1176.492;32.792;-86.842;1278.923;22.871;-158.827;1087.793;78.827;-124.667;1206.254;-41.344;-116.164;1217.152;190.592;-60.941;1241.000;189.664;14.856;1306.193;199.633;71.790;1237.433;257.153;28.980;1160.218;261.063;22.969;985.607;298.497;-28.051;1025.582;287.257;-125.742;998.264;212.975;-243.127;1066.144;190.446;-246.060;999.534;233.158;-221.967;1026.022;-147.343;-59.328;1255.173;-136.738;9.139;1317.139;-149.102;73.109;1247.402;-214.490;-26.243;1174.684;-223.042;2.004;992.790;-256.078;-40.513;1044.055;-222.993;-98.668;1085.350;-181.942;-234.477;1124.446;-162.590;-252.706;1060.329;-199.096;-223.042;1080.805;138.448;-135.907;869.345;-127.062;-111.423;870.518;117.385;62.944;941.233;-76.579;76.237;952.180
25.510;17.447;1599.216;101.991;-49.163;1544.971;-46.671;-55.418;1541.110;86.793;64.899;1450.554;-37.728;58.106;1453.193;25.315;95.980;1278.679;38.363;93.097;1114.721;90.116;108.931;1193.059;-34.404;104.679;1176.199;33.818;-84.154;1279.901;23.262;-156.823;1088.917;79.413;-122.028;1207.036;-40.269;-114.355;1218.764;189.371;-59.523;1245.154;189.517;18.326;1307.072;200.366;71.790;1235.282;262.822;22.382;1164.470;282.565;0.098;991.618;312.620;-49.945;1038.386;292.095;-148.613;1019.571;205.204;-252.364;1093.511;179.108;-254.367;1028.074;226.414;-235.553;1052.607;-144.361;-59.328;1264.458;-134.392;12.951;1320.169;-149.151;72.034;1245.154;-216.298;-37.825;1186.559;-234.282;-39.829;1002.564;-264.239;-71.888;1062.577;-227.733;-117.385;1114.281;-182.920;-240.635;1181.086;-157.459;-268.686;1123.224;-197.972;-238.827;1136.321;138.399;-133.952;869.785;-127.013;-109.615;870.958;117.288;64.997;941.233;-76.677;78.192;952.326
25.559;18.913;1599.802;101.942;-47.501;1545.166;-46.622;-53.073;1540.572;87.819;67.538;1451.874;-36.848;61.332;1453.877;25.754;99.059;1277.897;38.070;95.394;1114.036;90.263;111.472;1192.082;-34.844;106.487;1175.906;34.844;-81.222;1280.878;23.848;-155.015;1089.993;80.000;-119.487;1207.867;-38.607;-112.840;1220.524;187.562;-58.448;1249.943;189.273;21.796;1307.805;200.904;71.448;1232.741;268.393;13.635;1169.650;300.061;-25.852;1001.001;322.785;-73.647;1053.780;292.193;-171.386;1043.615;193.378;-258.033;1122.980;164.447;-258.961;1058.716;215.516;-246.793;1081.294;-141.722;-58.937;1274.525;-131.949;16.811;1323.248;-150.079;71.057;1244.177;-216.249;-49.896;1201.269;-239.853;-85.962;1020.842;-267.904;-105.363;1086.914;-229.248;-136.493;1146.144;-182.822;-241.759;1237.921;-149.444;-276.701;1188.612;-194.306;-249.383;1193.939;138.497;-131.997;870.225;-126.915;-108.149;871.398;116.994;67.098;941.233;-77.019;79.853;952.424
25.315;20.476;1600.340;101.698;-45.840;1545.459;-46.915;-50.434;1539.937;88.748;70.226;1453.242;-35.919;64.801;1454.513;25.754;101.942;1276.871;37.288;97.153;1113.157;89.578;113.329;1190.909;-36.310;107.709;1175.808;35.968;-78.583;1281.904;24.386;-153.451;1091.263;80.733;-117.141;1208.795;-36.750;-111.716;1222.479;185.510;-56.933;1254.586;188.931;25.510;1308.196;202.419;71.643;1231.031;271.912;5.376;1174.733;311.887;-52.242;1012.338;328.307;-96.518;1070.151;287.403;-191.667;1067.708;179.597;-260.232;1151.129;147.343;-257.739;1088.478;201.099;-253.732;1108.759;-138.302;-58.546;1285.032;-129.407;19.695;1326.376;-151.594;69.444;1244.714;-213.757;-60.892;1217.347;-237.165;-129.652;1046.205;-265.803;-136.591;1114.427;-227.196;-153.549;1178.594;-181.209;-238.240;1290.359;-139.865;-275.919;1250.334;-188.442;-253.976;1248.428;138.741;-130.238;870.665;-126.671;-107.074;871.789;116.555;68.955;941.282;-77.410;81.124;952.424
24.972;22.089;1600.780;101.307;-44.178;1545.850;-47.306;-47.795;1539.204;89.725;72.767;1454.561;-34.991;68.027;1454.903;25.168;104.142;1275.796;36.164;98.326;1112.228;88.308;114.404;1189.736;-38.461;108.002;1176.003;37.337;-76.432;1282.686;25.168;-152.376;1092.338;81.661;-115.186;1209.528;-34.698;-111.179;1224.336;184.288;-55.125;1258.935;188.491;29.371;1308.489;203.054;72.621;1229.711;272.791;-1.173;1178.740;317.165;-75.993;1023.823;328.747;-116.066;1085.496;278.900;-207.648;1089.993;164.887;-258.766;1176.394;130.873;-252.755;1114.623;185.559;-256.762;1133.438;-133.317;-58.595;1294.366;-126.866;20.965;1329.504;-153.451;67.147;1246.571;-209.456;-70.861;1233.474;-228.418;-166.695;1075.038;-259.401;-163.274;1142.283;-222.602;-167.135;1208.746;-178.717;-231.399;1335.319;-129.994;-267.660;1303.896;-181.258;-253.243;1296.272;138.937;-128.870;871.007;-126.475;-106.487;872.033;116.066;70.373;941.282;-77.947;81.906;952.473
