UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33.331;29.770;1597.740;109.833;-36.545;1543.294;-38.770;-45.990;1543.590;89.706;74.672;1446.417;-34.715;65.227;1452.550;24.133;100.733;1278.034;34.715;99.497;1113.557;86.145;116.706;1190.850;-35.160;110.624;1176.460;36.545;-79.370;1277.539;24.034;-152.856;1087.001;81.200;-116.954;1204.647;-38.325;-110.772;1216.961;195.285;-47.770;1232.835;192.813;27.644;1300.040;196.769;86.837;1232.983;246.221;51.727;1145.948;205.027;54.397;970.691;258.979;12.165;1000.609;265.804;-83.574;979.839;217.687;-214.176;1060.396;211.011;-220.901;989.136;240.039;-188.659;1019.055;-145.834;-51.924;1248.462;-136.586;12.759;1315.271;-148.405;82.684;1252.171;-203.742;-6.330;1163.256;-182.972;49.254;988.147;-228.468;3.758;1023.950;-213.286;-69.183;1047.094;-204.533;-219.912;1046.896;-188.362;-221.198;979.246;-217.786;-193.060;1008.917;136.784;-130.108;866.743;-129.119;-106.074;868.721;114.580;68.590;940.377;-79.519;81.249;951.701
32.737;30.116;1597.740;109.289;-36.199;1543.442;-39.265;-45.792;1543.541;89.211;74.821;1446.368;-35.210;65.227;1452.401;24.133;100.733;1278.133;34.814;99.349;1113.656;86.195;116.706;1191.048;-35.061;110.871;1176.559;36.149;-79.222;1277.490;23.737;-152.608;1086.902;80.804;-116.855;1204.647;-38.770;-110.426;1216.763;194.989;-47.820;1232.983;192.615;27.396;1300.287;196.720;86.739;1233.379;246.171;51.776;1146.344;205.275;54.941;971.037;259.128;12.561;1000.955;265.903;-83.079;980.086;217.588;-213.830;1060.297;211.061;-220.357;989.087;240.039;-188.214;1019.104;-146.279;-51.380;1248.066;-136.932;13.154;1315.073;-148.405;83.227;1252.121;-203.593;-5.242;1162.663;-181.834;50.935;987.850;-227.627;5.440;1023.159;-212.742;-67.601;1046.154;-204.137;-218.379;1045.561;-187.769;-219.517;978.009;-217.291;-191.329;1007.631;136.685;-130.058;866.743;-129.168;-105.975;868.721;114.531;68.639;940.377;-79.568;81.398;951.701
31.995;30.017;1597.740;108.646;-36.248;1543.590;-39.908;-45.792;1543.393;88.766;74.870;1446.615;-35.655;65.326;1452.401;24.034;100.931;1278.182;34.765;99.794;1113.755;86.145;116.855;1191.147;-35.061;111.069;1176.658;35.803;-79.024;1277.490;23.440;-152.312;1086.853;80.458;-116.607;1204.697;-39.116;-110.179;1216.763;194.692;-47.770;1233.033;192.368;27.396;1300.386;196.621;86.739;1233.527;246.221;51.776;1146.591;205.670;55.188;971.235;259.424;12.759;1001.252;266.100;-82.881;980.284;217.390;-213.632;1060.149;211.110;-220.061;989.037;240.039;-188.065;1019.104;-146.575;-50.935;1247.967;-137.179;13.550;1315.024;-148.504;83.722;1252.171;-203.544;-4.550;1162.465;-181.043;51.826;987.751;-227.182;6.478;1022.862;-212.544;-66.513;1045.907;-204.533;-217.291;1045.462;-188.115;-218.627;977.911;-217.489;-190.291;1007.483;136.635;-129.910;866.792;-129.267;-105.778;868.721;114.531;68.788;940.426;-79.617;81.546;951.701
31.501;29.770;1597.790;108.052;-36.594;1543.590;-40.452;-45.792;1543.195;88.568;74.771;1446.863;-35.853;65.524;1452.401;23.935;101.228;1278.083;34.666;99.893;1113.656;86.046;117.053;1191.098;-35.012;111.316;1176.509;35.556;-78.678;1277.490;23.292;-152.015;1086.853;80.310;-116.311;1204.697;-39.314;-109.882;1216.763;194.445;-47.573;1233.033;192.170;27.594;1300.386;196.472;86.887;1233.478;246.122;51.924;1146.640;205.967;55.386;971.235;259.573;12.907;1001.351;266.199;-82.782;980.383;217.242;-213.434;1060.149;211.110;-219.863;988.988;239.990;-187.917;1019.153;-146.773;-50.490;1247.918;-137.328;14.044;1314.876;-148.553;84.118;1251.973;-203.742;-4.105;1162.366;-181.192;51.924;987.603;-227.380;6.725;1022.862;-212.890;-66.216;1046.006;-205.225;-217.044;1045.907;-188.708;-218.478;978.405;-218.132;-190.044;1007.878;136.586;-129.762;866.842;-129.317;-105.580;868.820;114.531;68.985;940.377;-79.617;81.744;951.652
31.155;29.473;1597.889;107.657;-36.941;1543.590;-40.897;-45.792;1543.046;88.469;74.672;1447.110;-36.001;65.722;1452.500;23.786;101.525;1278.034;34.616;100.239;1113.606;85.947;117.349;1191.098;-35.160;111.613;1176.410;35.408;-78.381;1277.490;23.242;-151.669;1086.853;80.211;-115.965;1204.697;-39.413;-109.536;1216.714;194.296;-47.276;1233.082;192.022;27.891;1300.386;196.324;87.184;1233.478;245.974;52.172;1146.690;205.868;55.633;971.235;259.523;13.154;1001.400;266.199;-82.535;980.482;217.143;-213.187;1060.297;211.159;-219.665;989.136;239.990;-187.670;1019.302;-146.872;-50.194;1247.918;-137.476;14.341;1314.826;-148.751;84.365;1251.775;-204.088;-4.006;1162.465;-182.131;51.529;987.455;-228.121;6.429;1023.060;-213.583;-66.364;1046.401;-206.115;-217.291;1046.748;-189.994;-218.824;979.147;-219.171;-190.291;1008.719;136.586;-129.564;866.891;-129.317;-105.382;868.820;114.481;69.233;940.327;-79.617;81.991;951.602
30.957;29.276;1597.938;107.459;-37.039;1543.541;-41.144;-45.891;1542.948;88.272;74.722;1447.308;-36.199;65.820;1452.648;23.589;101.772;1278.034;34.418;100.486;1113.656;85.750;117.646;1191.098;-35.309;111.811;1176.410;35.358;-78.134;1277.490;23.242;-151.422;1086.853;80.112;-115.717;1204.697;-39.463;-109.289;1216.714;194.197;-46.979;1233.132;191.873;28.237;1300.436;196.126;87.530;1233.527;245.825;52.518;1146.739;205.670;55.930;971.284;259.375;13.500;1001.450;266.100;-82.140;980.532;217.143;-212.841;1060.297;211.110;-219.319;989.186;239.940;-187.274;1019.401;-146.921;-50.045;1247.967;-137.575;14.539;1314.876;-148.949;84.464;1251.676;-204.483;-4.105;1162.663;-183.071;50.985;987.504;-228.962;6.083;1023.357;-214.473;-66.711;1046.846;-207.253;-217.687;1047.588;-191.478;-219.368;979.839;-220.456;-190.736;1009.560;136.586;-129.366;866.941;-129.317;-105.234;868.820;114.432;69.430;940.377;-79.667;82.189;951.602
30.759;29.226;1597.987;107.360;-36.891;1543.541;-41.193;-45.990;1542.948;87.975;74.920;1447.357;-36.446;65.771;1452.747;23.341;101.970;1278.034;34.171;100.635;1113.705;85.502;117.844;1191.098;-35.556;111.910;1176.410;35.309;-77.936;1277.539;23.242;-151.224;1086.902;80.112;-115.470;1204.746;-39.463;-109.140;1216.714;194.099;-46.584;1233.132;191.725;28.583;1300.436;195.928;87.925;1233.577;245.578;53.012;1146.739;205.472;56.326;971.333;259.276;13.995;1001.450;266.100;-81.645;980.532;217.242;-212.445;1060.297;211.308;-218.874;989.136;240.089;-186.829;1019.351;-146.971;-50.045;1248.066;-137.674;14.588;1314.925;-149.147;84.464;1251.676;-204.879;-4.203;1162.861;-183.911;50.688;987.554;-229.704;5.885;1023.703;-215.215;-66.809;1047.341;-208.291;-217.835;1048.379;-192.615;-219.566;980.581;-221.495;-190.884;1010.302;136.635;-129.119;866.990;-129.366;-105.085;868.820;114.283;69.678;940.377;-79.815;82.288;951.602
30.710;29.325;1597.987;107.459;-36.594;1543.492;-41.045;-46.089;1543.046;87.777;75.117;1447.308;-36.644;65.623;1452.747;23.094;102.019;1278.034;33.875;100.437;1113.656;85.156;118.042;1191.147;-35.803;112.008;1176.509;35.259;-77.788;1277.490;23.242;-151.026;1086.853;80.112;-115.272;1204.697;-39.463;-109.091;1216.664;194.000;-46.287;1233.033;191.527;28.880;1300.337;195.632;88.222;1233.527;245.380;53.457;1146.739;205.472;56.919;971.284;259.227;14.588;1001.450;266.199;-81.052;980.482;217.390;-212.000;1060.050;211.555;-218.330;988.889;240.237;-186.335;1019.153;-147.070;-50.045;1248.116;-137.822;14.489;1315.024;-149.394;84.414;1251.726;-205.126;-4.203;1162.959;-184.258;50.639;987.653;-230.100;5.934;1023.901;-215.660;-66.612;1047.638;-208.984;-217.687;1049.171;-193.653;-219.616;981.224;-222.286;-190.785;1011.043;136.635;-128.822;867.039;-129.366;-105.036;868.820;114.135;69.974;940.377;-80.013;82.387;951.553
30.809;29.424;1597.987;107.607;-36.397;1543.442;-40.847;-46.089;1543.096;87.678;75.266;1447.258;-36.743;65.623;1452.797;22.847;102.118;1278.133;33.627;100.635;1113.656;84.909;118.190;1191.147;-36.050;112.058;1176.608;35.210;-77.689;1277.490;23.242;-150.878;1086.804;80.112;-115.074;1204.647;-39.512;-109.041;1216.664;193.901;-45.941;1232.934;191.428;29.127;1300.337;195.434;88.519;1233.527;245.232;53.952;1146.739;205.374;57.513;971.333;259.177;15.231;1001.450;266.298;-80.359;980.284;217.687;-211.456;1059.704;211.901;-217.786;988.493;240.484;-185.692;1018.857;-147.169;-50.095;1248.116;-137.921;14.390;1315.073;-149.542;84.365;1251.874;-205.225;-4.203;1163.058;-184.258;50.688;987.702;-230.198;6.181;1023.950;-216.006;-66.315;1047.786;-209.923;-217.440;1049.418;-194.197;-219.467;981.619;-222.929;-190.538;1011.291;136.635;-128.575;867.089;-129.416;-105.085;868.820;113.838;70.172;940.426;-80.310;82.436;951.553
31.006;29.523;1597.987;107.756;-36.298;1543.393;-40.748;-46.040;1543.145;87.678;75.414;1447.209;-36.743;65.672;1452.846;22.698;102.217;1278.133;33.429;100.783;1113.705;84.711;118.388;1191.147;-36.199;112.157;1176.658;35.210;-77.590;1277.490;23.242;-150.729;1086.804;80.112;-114.877;1204.647;-39.512;-108.992;1216.664;193.901;-45.694;1232.785;191.329;29.374;1300.238;195.236;88.816;1233.428;245.133;54.397;1146.690;205.324;58.205;971.284;259.177;15.923;1001.400;266.397;-79.667;980.086;217.885;-210.912;1059.259;212.198;-217.094;988.048;240.732;-185.049;1018.511;-147.218;-50.095;1248.165;-138.020;14.440;1315.123;-149.691;84.414;1251.973;-205.275;-4.105;1163.058;-184.159;50.886;987.751;-230.198;6.478;1024.000;-216.204;-66.068;1047.885;-210.665;-217.193;1049.467;-194.741;-219.270;981.718;-223.473;-190.291;1011.291;136.537;-128.426;867.089;-129.514;-105.135;868.820;113.640;70.321;940.426;-80.508;82.387;951.553
31.105;29.622;1597.987;107.904;-36.149;1543.343;-40.649;-45.941;1543.145;87.728;75.562;1447.159;-36.693;65.820;1452.896;22.649;102.316;1278.133;33.232;101.080;1113.705;84.563;118.536;1191.048;-36.298;112.256;1176.707;35.210;-77.442;1277.490;23.193;-150.680;1086.804;80.112;-114.728;1204.647;-39.512;-108.844;1216.714;193.901;-45.347;1232.637;191.280;29.622;1300.089;195.088;89.112;1233.329;245.034;54.842;1146.640;205.176;58.798;971.235;259.078;16.566;1001.252;266.397;-78.925;979.889;217.984;-210.319;1058.913;212.396;-216.500;987.751;240.880;-184.406;1018.164;-147.218;-49.996;1248.214;-138.070;14.489;1315.172;-149.740;84.513;1252.022;-205.324;-3.956;1163.108;-184.159;51.034;987.801;-230.248;6.725;1024.099;-216.352;-65.771;1047.984;-210.962;-216.945;1049.715;-195.434;-219.022;981.867;-223.918;-189.994;1011.538;136.388;-128.377;867.089;-129.663;-105.184;868.820;113.393;70.370;940.426;-80.755;82.387;951.553
31.254;29.819;1597.938;108.003;-35.952;1543.294;-40.501;-45.743;1543.145;87.827;75.760;1447.110;-36.594;65.969;1452.896;22.600;102.464;1278.083;33.034;101.277;1113.705;84.464;118.684;1190.949;-36.397;112.355;1176.658;35.210;-77.244;1277.490;23.094;-150.531;1086.804;80.063;-114.580;1204.598;-39.561;-108.745;1216.763;193.851;-45.150;1232.439;191.280;29.819;1299.991;195.038;89.360;1233.231;244.935;55.238;1146.541;204.978;59.293;971.185;258.979;17.110;1001.153;266.397;-78.381;979.691;218.231;-209.824;1058.715;212.544;-216.006;987.504;241.028;-183.911;1017.967;-147.268;-49.897;1248.264;-138.070;14.638;1315.222;-149.740;84.662;1252.072;-205.374;-3.808;1163.207;-184.357;51.232;987.900;-230.446;6.923;1024.247;-216.599;-65.573;1048.132;-211.308;-216.748;1049.814;-195.928;-218.824;981.966;-224.314;-189.747;1011.686;136.190;-128.377;867.089;-129.861;-105.135;868.820;113.245;70.419;940.377;-80.903;82.486;951.503
31.451;30.067;1597.938;108.151;-35.704;1543.195;-40.303;-45.545;1543.195;87.827;76.008;1447.060;-36.545;66.167;1452.945;22.550;102.613;1278.034;32.984;101.475;1113.606;84.414;118.833;1190.900;-36.446;112.503;1176.707;35.210;-77.095;1277.490;22.995;-150.433;1086.853;79.964;-114.382;1204.598;-39.611;-108.547;1216.813;193.802;-44.902;1232.340;191.230;30.017;1299.892;194.939;89.557;1233.132;244.787;55.534;1146.393;204.780;59.589;971.086;258.831;17.457;1001.005;266.348;-78.035;979.542;218.330;-209.577;1058.567;212.692;-215.709;987.356;241.078;-183.565;1017.818;-147.317;-49.699;1248.363;-138.070;14.836;1315.321;-149.790;84.810;1252.121;-205.522;-3.610;1163.355;-184.554;51.331;987.999;-230.693;7.121;1024.395;-216.846;-65.326;1048.330;-211.605;-216.550;1050.209;-196.423;-218.676;982.262;-224.709;-189.549;1012.032;136.042;-128.377;867.138;-130.009;-105.036;868.820;113.096;70.419;940.327;-81.002;82.535;951.503
