UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25.217;33.362;1597.727;101.696;-34.728;1545.391;-47.019;-41.313;1542.172;85.991;76.479;1447.695;-38.679;69.700;1450.816;28.972;104.037;1278.591;41.995;102.379;1113.731;93.453;115.451;1192.991;-28.777;117.451;1175.676;31.021;-76.187;1276.494;18.535;-147.447;1085.832;75.797;-116.231;1204.551;-43.946;-103.111;1214.745;191.881;-54.970;1234.938;192.564;19.608;1304.003;202.319;78.967;1238.645;253.875;44.678;1154.849;222.610;64.920;980.819;267.971;11.267;1007.060;257.777;-82.771;974.088;180.761;-205.880;1034.228;178.078;-209.782;963.211;209.636;-185.053;997.695;-149.398;-39.215;1240.596;-137.887;24.046;1309.710;-144.374;95.258;1248.985;-205.392;12.340;1156.849;-188.809;82.040;987.160;-228.365;27.265;1016.962;-197.734;-49.409;1031.155;-156.617;-188.955;1011.255;-150.374;-184.370;942.970;-179.541;-163.494;978.380;133.595;-128.864;866.685;-131.303;-95.989;870.246;118.572;70.285;939.702;-74.919;90.039;951.700
25.314;33.411;1597.727;101.891;-34.630;1545.391;-46.824;-41.361;1542.123;86.039;76.577;1447.695;-38.630;69.651;1450.816;28.924;104.037;1278.543;41.898;102.428;1113.683;93.404;115.548;1192.894;-28.875;117.402;1175.627;31.119;-76.089;1276.445;18.730;-147.350;1085.783;75.943;-116.036;1204.453;-43.800;-103.111;1214.696;191.979;-54.726;1234.938;192.564;19.900;1303.906;202.319;79.113;1238.449;253.631;44.824;1154.800;222.610;64.920;980.673;268.019;11.316;1006.963;257.923;-82.771;973.844;180.907;-206.124;1033.789;178.371;-209.782;962.772;209.831;-185.102;997.305;-149.301;-39.410;1240.547;-137.790;23.802;1309.710;-144.472;95.063;1248.936;-205.343;11.999;1156.849;-189.052;81.650;987.160;-228.463;26.875;1017.059;-197.686;-49.653;1031.301;-156.227;-189.248;1011.694;-150.081;-184.711;943.409;-179.297;-163.836;978.819;133.644;-128.864;866.734;-131.254;-96.136;870.246;118.475;70.334;939.653;-74.967;89.941;951.652
25.509;33.606;1597.678;102.086;-34.338;1545.343;-46.531;-41.313;1542.123;86.137;76.723;1447.597;-38.532;69.602;1450.816;28.875;104.086;1278.543;41.898;102.525;1113.585;93.404;115.451;1192.747;-29.021;117.402;1175.725;31.265;-75.943;1276.299;18.925;-147.155;1085.686;76.138;-115.792;1204.356;-43.654;-102.867;1214.550;192.125;-54.531;1235.035;192.613;20.193;1303.906;202.368;79.016;1238.157;252.850;45.166;1155.093;222.951;65.212;980.868;268.361;11.657;1007.255;258.459;-82.479;973.405;181.248;-206.709;1032.423;179.151;-209.392;961.407;210.513;-185.102;996.183;-148.959;-39.459;1240.596;-137.741;23.656;1309.808;-144.618;94.770;1248.985;-205.392;11.413;1157.093;-189.930;80.381;987.209;-228.950;25.558;1017.547;-197.637;-50.433;1032.277;-155.154;-190.125;1013.840;-149.545;-185.833;945.457;-178.761;-164.860;980.868;133.595;-128.864;866.734;-131.303;-96.233;870.295;118.426;70.334;939.604;-75.016;89.844;951.652
25.802;33.947;1597.630;102.330;-34.045;1545.391;-46.288;-40.971;1542.221;86.381;76.870;1447.500;-38.191;69.748;1450.670;29.070;104.184;1278.640;42.044;102.818;1113.878;93.551;115.451;1192.894;-28.826;117.646;1175.773;31.509;-75.748;1276.250;19.120;-146.716;1085.588;76.236;-115.597;1204.356;-43.410;-102.428;1214.355;192.467;-54.336;1235.523;192.711;20.437;1304.393;202.466;78.967;1238.352;252.265;45.556;1155.727;223.829;65.700;981.941;269.190;12.243;1008.133;259.874;-81.747;972.088;182.565;-208.562;1027.692;181.102;-208.611;956.724;212.221;-185.297;992.330;-148.325;-39.264;1240.937;-137.448;23.802;1309.808;-144.667;94.575;1248.643;-205.636;9.999;1157.629;-192.808;76.138;986.819;-230.706;21.364;1018.815;-197.686;-53.262;1035.545;-151.154;-192.369;1020.766;-150.520;-190.223;952.042;-177.785;-168.567;987.989;133.449;-128.864;866.832;-131.400;-95.941;870.344;118.426;70.431;939.604;-74.967;90.136;951.603
26.143;34.435;1597.678;102.525;-33.752;1545.391;-46.093;-40.483;1542.416;86.625;77.113;1447.402;-37.947;70.139;1450.768;29.216;104.525;1278.738;42.532;103.257;1114.073;93.892;115.646;1193.235;-28.485;118.133;1175.676;31.606;-75.406;1276.250;19.315;-145.984;1085.491;76.333;-115.256;1204.453;-43.312;-101.745;1214.257;192.711;-54.189;1236.352;192.662;20.681;1305.174;202.612;79.064;1239.084;252.899;45.654;1157.093;225.878;66.042;983.746;270.751;12.047;1009.353;262.313;-80.967;968.625;183.785;-211.830;1016.084;184.858;-207.343;945.262;215.001;-185.980;982.868;-147.398;-39.020;1241.717;-137.058;24.534;1309.808;-144.862;94.380;1247.375;-206.368;6.926;1158.848;-198.905;66.627;985.648;-234.560;12.535;1021.351;-198.027;-59.213;1042.325;-142.423;-196.174;1034.911;-153.788;-199.978;967.357;-176.029;-176.176;1003.987;133.059;-128.864;866.783;-131.693;-95.160;870.490;118.719;70.578;939.555;-74.675;90.868;951.603
26.192;34.825;1597.825;102.477;-33.313;1545.343;-46.141;-39.849;1542.416;86.625;77.796;1447.646;-37.996;71.017;1451.060;29.704;105.354;1278.591;43.166;103.745;1114.024;94.575;115.987;1193.235;-27.997;118.767;1175.237;31.606;-74.577;1276.348;18.974;-145.155;1085.637;76.187;-114.573;1204.551;-43.264;-100.721;1214.501;192.564;-54.287;1236.791;192.662;20.778;1305.467;203.051;78.869;1239.279;253.923;44.971;1158.019;228.804;65.700;985.355;272.409;10.633;1010.084;265.629;-80.333;962.090;185.394;-215.781;996.086;190.662;-204.856;925.996;218.708;-186.760;966.479;-146.423;-38.679;1244.059;-136.473;26.339;1310.295;-144.813;94.380;1245.522;-207.392;2.146;1161.336;-205.734;51.897;984.672;-239.144;-0.293;1025.302;-198.954;-68.041;1051.641;-135.449;-202.124;1054.323;-157.007;-214.318;990.379;-174.810;-186.662;1026.034;132.620;-128.766;866.881;-131.986;-93.941;870.685;119.158;70.724;939.555;-74.089;91.844;951.700
26.095;35.460;1597.971;102.184;-32.728;1545.245;-46.483;-38.825;1542.367;86.625;78.821;1447.939;-38.045;72.431;1451.353;30.192;106.525;1278.104;43.410;103.891;1113.536;95.063;116.426;1192.698;-27.753;119.499;1174.700;31.460;-73.504;1276.494;18.242;-144.326;1085.881;75.748;-113.841;1204.697;-43.556;-99.794;1215.037;191.881;-54.531;1236.450;192.711;20.876;1304.832;203.344;78.528;1238.547;254.801;43.751;1157.824;231.438;64.725;985.892;273.629;8.097;1009.499;268.946;-79.503;952.188;188.565;-219.586;968.918;196.564;-199.442;900.877;222.902;-186.272;944.043;-145.594;-38.337;1247.424;-135.888;28.777;1310.978;-144.716;94.429;1243.278;-208.465;-3.365;1164.653;-211.538;33.850;984.721;-243.290;-15.315;1030.375;-200.515;-78.430;1062.469;-132.376;-209.684;1077.150;-157.446;-229.292;1016.523;-173.932;-198.173;1049.641;132.327;-128.571;866.929;-132.083;-92.624;870.929;119.694;70.919;939.653;-73.455;92.917;951.749
26.095;36.630;1598.020;101.794;-31.899;1545.196;-46.873;-37.215;1542.367;86.820;79.747;1448.036;-37.850;73.943;1451.451;30.338;107.500;1277.713;43.215;104.476;1113.146;95.014;117.158;1192.211;-27.997;120.182;1174.310;31.265;-72.577;1276.543;17.657;-143.643;1085.978;75.309;-113.158;1204.746;-43.800;-98.965;1215.330;191.052;-54.287;1235.816;192.759;21.315;1303.954;203.344;78.626;1237.474;255.094;42.386;1156.897;233.438;63.310;986.038;274.409;5.121;1008.133;271.824;-77.894;941.653;190.125;-219.391;937.946;203.539;-190.955;873.953;226.463;-183.199;919.899;-144.618;-38.581;1250.790;-135.400;30.338;1311.710;-144.960;93.746;1241.376;-209.294;-9.365;1168.213;-215.684;15.901;986.087;-246.022;-29.997;1036.081;-201.002;-88.039;1073.443;-128.522;-215.732;1099.245;-156.763;-240.998;1042.617;-171.884;-207.148;1072.809;132.181;-128.327;867.027;-132.083;-91.648;870.978;120.133;71.260;939.653;-73.016;93.843;951.700
26.095;38.337;1597.971;101.550;-30.728;1545.538;-47.166;-35.508;1542.611;87.064;80.528;1447.744;-37.703;75.114;1451.207;29.899;108.281;1277.518;42.532;105.062;1113.049;94.380;118.036;1191.869;-28.680;120.718;1174.261;31.362;-71.943;1276.640;17.754;-143.009;1086.076;75.406;-112.475;1204.795;-43.605;-98.672;1215.574;190.711;-53.262;1236.011;192.467;22.632;1303.711;202.856;79.796;1237.035;254.850;41.995;1156.215;234.608;61.213;986.819;274.263;1.561;1007.304;274.214;-75.845;932.581;189.589;-214.415;904.925;213.196;-179.931;847.273;229.828;-177.883;896.048;-143.448;-38.679;1253.326;-135.107;31.021;1312.344;-145.740;93.014;1240.254;-209.440;-14.974;1171.774;-218.415;-0.390;988.672;-247.485;-43.166;1042.227;-200.076;-96.038;1083.345;-121.109;-219.195;1116.951;-156.715;-249.582;1068.078;-168.323;-212.513;1094.709;132.327;-127.791;867.076;-131.986;-91.258;871.026;120.133;71.797;939.653;-73.016;94.282;951.652
