UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18.169;42.200;1597.329;95.144;-25.300;1545.166;-53.531;-33.457;1542.333;78.147;85.180;1446.945;-46.400;76.975;1450.364;21.246;110.334;1277.268;35.704;107.892;1112.572;86.060;122.056;1192.038;-35.801;122.252;1174.016;25.544;-69.844;1277.219;14.653;-143.156;1087.175;70.919;-110.090;1205.909;-48.891;-98.270;1215.287;187.016;-46.742;1236.485;185.893;28.573;1304.619;195.222;87.574;1238.682;245.773;53.384;1154.332;208.800;69.307;979.478;258.765;20.465;1006.634;257.788;-74.045;976.157;197.712;-203.769;1042.191;189.995;-208.116;971.370;221.450;-179.983;1003.752;-155.757;-35.410;1239.610;-144.914;28.768;1307.892;-151.508;99.394;1246.595;-210.900;15.874;1154.186;-188.237;82.152;983.532;-231.707;30.770;1013.667;-209.288;-47.523;1028.076;-183.548;-192.389;1008.392;-172.022;-185.453;940.600;-201.327;-163.328;976.157;130.066;-126.647;867.874;-134.999;-94.949;870.414;113.948;72.872;939.379;-79.612;91.921;950.515
18.072;42.200;1597.329;95.095;-25.300;1545.166;-53.580;-33.457;1542.284;78.050;85.229;1446.945;-46.498;76.975;1450.364;21.197;110.383;1277.268;35.655;107.892;1112.572;86.060;122.105;1192.038;-35.801;122.300;1174.016;25.496;-69.795;1277.219;14.653;-143.058;1087.175;70.870;-110.041;1205.909;-48.940;-98.221;1215.238;186.967;-46.693;1236.533;185.844;28.670;1304.668;195.173;87.623;1238.682;245.773;53.433;1154.381;208.897;69.209;979.478;258.863;20.367;1006.732;257.886;-74.142;976.352;197.859;-203.867;1042.435;190.093;-208.214;971.663;221.547;-180.081;1003.997;-155.806;-35.410;1239.562;-145.012;28.768;1307.892;-151.557;99.442;1246.546;-210.949;15.971;1154.137;-188.237;82.201;983.483;-231.755;30.868;1013.667;-209.435;-47.426;1028.173;-183.890;-192.340;1008.637;-172.266;-185.453;940.795;-201.571;-163.230;976.352;130.066;-126.647;867.874;-134.999;-94.998;870.414;113.948;72.872;939.379;-79.612;91.872;950.515
18.072;42.248;1597.329;95.095;-25.202;1545.166;-53.531;-33.457;1542.284;78.001;85.327;1446.994;-46.498;77.024;1450.413;21.149;110.481;1277.317;35.655;107.892;1112.621;86.060;122.203;1192.136;-35.850;122.300;1174.064;25.447;-69.649;1277.170;14.653;-142.912;1087.175;70.821;-109.846;1205.909;-48.989;-98.075;1215.238;186.967;-46.595;1236.631;185.746;28.719;1304.668;195.173;87.671;1238.731;245.773;53.384;1154.430;209.044;68.916;979.478;259.009;20.172;1006.829;258.032;-74.386;976.645;197.957;-204.111;1042.826;190.191;-208.409;972.200;221.743;-180.276;1004.436;-155.904;-35.362;1239.562;-145.061;28.817;1307.892;-151.606;99.442;1246.546;-210.949;15.971;1154.137;-188.237;82.103;983.434;-231.755;30.868;1013.716;-209.581;-47.377;1028.418;-184.525;-192.486;1009.369;-172.119;-185.649;941.528;-201.718;-163.328;976.889;130.066;-126.599;867.923;-134.999;-94.949;870.462;113.948;72.970;939.379;-79.515;91.872;950.515
18.120;42.297;1597.378;95.144;-25.105;1545.068;-53.433;-33.359;1542.284;78.001;85.571;1447.043;-46.498;77.170;1450.559;21.149;110.725;1277.414;35.459;108.136;1112.670;86.060;122.447;1192.185;-35.850;122.496;1174.113;25.447;-69.307;1277.170;14.653;-142.570;1087.175;70.772;-109.504;1205.909;-48.989;-97.684;1215.189;186.918;-46.449;1236.778;185.746;28.914;1304.668;195.222;87.818;1238.731;245.822;53.238;1154.430;209.532;68.135;979.380;259.400;19.488;1006.976;258.423;-75.168;977.133;199.031;-205.136;1043.901;190.142;-208.946;973.373;222.280;-181.009;1005.218;-155.904;-35.313;1239.904;-145.061;29.012;1308.038;-151.654;99.491;1246.644;-210.949;15.727;1154.332;-188.677;81.224;983.385;-232.000;30.087;1014.058;-209.825;-47.816;1029.492;-184.916;-193.268;1011.762;-170.947;-186.528;944.116;-201.522;-164.109;978.794;130.115;-126.403;867.972;-134.999;-94.802;870.560;113.997;73.165;939.476;-79.564;92.116;950.563
18.365;42.493;1597.525;95.340;-24.812;1545.020;-53.238;-32.968;1542.236;78.245;86.108;1447.287;-46.253;77.805;1450.755;21.295;111.311;1277.512;35.655;108.625;1112.670;86.157;122.935;1192.234;-35.948;122.984;1174.113;25.496;-68.672;1277.219;14.701;-141.788;1087.175;70.821;-108.967;1206.007;-48.940;-96.951;1215.141;186.918;-46.058;1237.071;185.795;29.403;1304.619;195.368;88.111;1238.634;246.017;52.749;1154.381;210.851;65.986;979.038;260.474;17.583;1007.269;259.400;-77.366;978.061;201.815;-207.676;1046.343;189.605;-210.509;976.059;223.550;-183.011;1006.878;-155.562;-34.873;1240.343;-144.963;29.501;1308.185;-151.801;99.589;1246.400;-211.339;14.848;1154.821;-190.875;78.245;982.946;-233.563;27.254;1015.084;-210.607;-49.623;1032.520;-184.476;-195.612;1018.747;-170.556;-189.898;950.612;-201.473;-167.040;984.948;130.164;-125.964;868.216;-134.902;-94.265;870.804;114.144;73.703;939.525;-79.417;92.653;950.612
19.097;43.176;1597.671;95.779;-24.177;1544.824;-52.798;-31.943;1542.284;78.831;87.085;1447.433;-45.716;79.075;1451.096;21.637;112.483;1277.512;35.850;109.553;1112.670;86.499;123.668;1192.136;-35.850;124.059;1174.064;25.642;-67.451;1277.317;14.750;-140.421;1087.223;70.919;-107.843;1206.105;-48.842;-95.340;1215.189;186.870;-45.618;1237.901;185.893;30.282;1304.815;195.661;88.453;1238.389;246.506;51.528;1154.430;213.684;61.248;978.501;262.770;13.383;1008.197;261.598;-82.201;980.162;207.676;-212.854;1050.592;188.677;-214.172;981.676;226.187;-187.309;1010.200;-154.878;-33.799;1241.760;-144.426;30.966;1308.771;-151.948;100.028;1245.813;-212.316;12.748;1156.579;-196.198;70.235;982.311;-237.323;20.074;1017.575;-213.879;-54.996;1039.407;-186.088;-201.522;1033.546;-169.482;-198.054;965.265;-202.401;-174.366;997.696;130.164;-125.084;868.606;-134.804;-93.142;871.097;114.437;74.728;939.574;-79.124;93.826;950.612
20.123;44.104;1598.111;96.414;-23.249;1544.434;-52.212;-30.233;1542.284;79.710;88.892;1448.019;-44.935;81.517;1451.927;22.370;114.632;1277.658;36.485;111.506;1112.963;87.232;125.182;1192.136;-35.459;126.208;1174.113;25.984;-65.253;1277.854;14.799;-138.076;1087.712;71.065;-106.036;1206.642;-48.500;-93.044;1215.873;186.772;-44.788;1239.659;186.283;31.992;1305.401;196.345;89.088;1238.096;247.531;49.379;1154.772;217.835;53.580;978.110;266.384;6.447;1009.760;265.017;-90.162;983.092;217.152;-220.619;1055.818;187.260;-220.522;991.053;230.632;-194.587;1014.546;-153.559;-32.138;1244.788;-143.400;33.945;1309.943;-151.899;101.054;1244.495;-213.782;8.694;1160.096;-204.160;54.117;981.725;-243.624;6.545;1022.166;-219.008;-64.520;1051.471;-188.823;-211.730;1060.751;-168.017;-211.877;993.300;-204.355;-187.260;1021.677;130.164;-123.717;869.193;-134.755;-91.139;871.635;114.925;76.389;939.574;-78.636;95.926;950.563
21.149;45.472;1598.697;96.951;-21.686;1543.994;-51.675;-27.693;1541.845;80.980;91.921;1449.192;-43.714;85.278;1453.050;23.737;118.247;1277.268;37.706;113.997;1112.670;88.551;127.771;1191.745;-34.385;129.236;1173.771;26.717;-61.785;1278.733;14.750;-135.195;1088.737;71.309;-103.203;1207.619;-47.767;-89.674;1217.192;186.967;-43.225;1241.906;187.211;34.922;1305.938;197.664;90.407;1237.315;249.045;47.084;1154.918;221.938;43.421;977.671;270.048;-2.198;1011.616;268.924;-100.273;986.462;228.043;-230.437;1062.021;187.700;-228.825;1003.557;236.200;-203.818;1020.505;-151.703;-29.696;1250.209;-141.544;39.122;1311.115;-151.020;102.861;1241.515;-215.100;2.540;1165.957;-213.098;27.840;983.092;-250.462;-14.164;1030.860;-223.648;-78.782;1069.836;-189.702;-224.136;1101.339;-172.070;-231.951;1033.155;-208.116;-204.453;1059.090;129.871;-122.105;869.974;-134.902;-88.258;872.318;115.707;78.440;939.379;-77.756;98.905;950.466
21.881;47.816;1599.283;97.147;-19.146;1543.506;-51.528;-23.542;1540.917;82.592;96.268;1450.657;-42.102;90.846;1454.125;25.593;122.984;1276.242;39.367;117.270;1111.791;90.407;131.385;1190.720;-32.968;133.046;1172.550;27.840;-57.145;1279.710;14.701;-131.825;1090.203;71.700;-99.491;1208.596;-46.888;-85.522;1218.804;187.407;-40.685;1243.957;188.579;39.025;1305.694;199.275;92.556;1235.654;250.218;45.179;1154.039;224.429;31.698;976.840;272.929;-11.331;1013.277;273.564;-110.920;990.907;239.521;-240.791;1069.298;192.682;-238.837;1016.500;243.380;-213.830;1027.734;-149.310;-26.814;1257.047;-139.346;45.667;1312.190;-150.043;104.962;1237.852;-216.028;-4.982;1174.113;-219.838;-5.861;989.246;-255.835;-39.464;1044.145;-227.848;-96.072;1092.889;-193.463;-235.125;1147.836;-179.787;-253.637;1080.825;-214.221;-221.792;1103.537;129.431;-120.347;870.560;-135.097;-84.839;873.100;116.684;80.638;939.086;-76.584;102.324;950.270
