UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.853;36.636;1597.489;96.847;-27.195;1543.587;-51.309;-41.038;1542.070;74.494;83.787;1446.935;-49.500;70.581;1451.582;15.603;106.141;1276.572;29.886;102.228;1112.177;79.923;120.032;1191.220;-41.625;114.113;1172.584;24.750;-74.201;1277.404;15.750;-150.700;1088.112;70.728;-114.700;1206.578;-48.179;-107.217;1216.801;183.863;-47.152;1237.442;182.444;29.592;1302.936;190.417;87.211;1235.290;236.884;47.054;1146.514;190.857;37.907;971.993;247.058;0.880;1002.808;264.324;-93.374;978.107;235.270;-227.982;1053.922;226.123;-238.498;984.172;252.096;-202.303;1012.444;-156.031;-46.565;1244.437;-147.521;20.690;1309.980;-157.646;87.798;1244.437;-211.547;-3.717;1156.149;-185.379;44.119;978.547;-232.237;1.370;1015.917;-217.319;-69.798;1046.585;-208.270;-219.129;1058.422;-195.700;-225.781;990.237;-222.846;-195.015;1018.802;131.918;-127.613;867.809;-134.314;-106.679;868.102;107.363;70.630;940.151;-86.673;81.391;950.423
17.755;36.880;1597.440;96.749;-27.049;1543.685;-51.407;-40.891;1542.119;74.494;83.836;1446.886;-49.549;70.630;1451.484;15.652;106.238;1276.621;29.983;102.472;1112.275;79.923;120.227;1191.366;-41.527;114.358;1172.633;24.750;-74.005;1277.355;15.750;-150.358;1088.014;70.728;-114.456;1206.529;-48.179;-106.923;1216.703;183.814;-46.956;1237.491;182.493;29.739;1302.985;190.417;87.358;1235.388;236.884;47.201;1146.611;190.857;38.152;972.042;247.058;1.174;1002.808;264.422;-93.032;978.107;235.564;-227.640;1053.971;226.319;-238.205;984.270;252.292;-201.961;1012.493;-155.983;-46.418;1244.388;-147.521;20.837;1309.931;-157.597;87.945;1244.388;-211.547;-3.522;1156.149;-185.526;44.364;978.498;-232.286;1.516;1015.917;-217.319;-69.603;1046.438;-207.977;-218.982;1058.275;-195.504;-225.536;990.091;-222.602;-194.868;1018.656;131.966;-127.418;867.858;-134.314;-106.385;868.151;107.510;70.826;940.200;-86.527;81.684;950.471
17.609;37.027;1597.440;96.651;-26.951;1543.782;-51.505;-40.744;1542.168;74.445;83.885;1446.935;-49.597;70.728;1451.435;15.652;106.434;1276.670;30.081;102.668;1112.324;80.021;120.374;1191.415;-41.429;114.505;1172.682;24.750;-73.809;1277.355;15.799;-150.064;1088.014;70.777;-114.260;1206.529;-48.179;-106.679;1216.654;183.863;-46.858;1237.540;182.493;29.837;1303.083;190.466;87.456;1235.486;236.884;47.347;1146.709;190.955;38.299;972.140;247.156;1.321;1002.955;264.520;-92.885;978.254;235.612;-227.493;1054.117;226.466;-238.058;984.417;252.389;-201.814;1012.639;-155.983;-46.174;1244.339;-147.521;21.081;1309.882;-157.548;88.190;1244.339;-211.498;-3.277;1156.051;-185.477;44.559;978.450;-232.237;1.761;1015.868;-217.270;-69.358;1046.487;-208.075;-218.738;1058.373;-195.504;-225.341;990.189;-222.651;-194.624;1018.802;132.015;-127.222;867.907;-134.216;-106.141;868.200;107.608;71.021;940.200;-86.429;81.880;950.471
17.560;37.174;1597.440;96.554;-26.853;1543.880;-51.603;-40.549;1542.168;74.445;83.934;1446.935;-49.597;70.874;1451.386;15.701;106.630;1276.670;30.130;102.863;1112.324;80.070;120.570;1191.464;-41.331;114.700;1172.682;24.750;-73.565;1277.404;15.848;-149.820;1088.014;70.777;-114.064;1206.529;-48.130;-106.434;1216.654;183.814;-46.712;1237.589;182.493;29.983;1303.083;190.515;87.603;1235.535;236.933;47.445;1146.807;191.151;38.396;972.189;247.303;1.418;1003.053;264.618;-92.787;978.450;235.612;-227.346;1054.313;226.515;-237.960;984.661;252.438;-201.716;1012.835;-155.934;-45.880;1244.290;-147.472;21.326;1309.833;-157.499;88.434;1244.290;-211.450;-2.984;1156.051;-185.526;44.804;978.450;-232.286;1.957;1015.868;-217.172;-69.065;1046.585;-207.537;-218.395;1058.715;-195.162;-225.096;990.531;-222.308;-194.379;1019.096;132.113;-126.977;867.907;-134.119;-105.994;868.249;107.608;71.266;940.200;-86.380;82.027;950.471
17.462;37.369;1597.440;96.456;-26.755;1543.929;-51.701;-40.304;1542.168;74.494;83.983;1446.984;-49.500;71.070;1451.337;15.750;106.825;1276.719;30.179;103.108;1112.372;80.119;120.765;1191.513;-41.282;114.896;1172.731;24.750;-73.320;1277.355;15.897;-149.575;1087.965;70.826;-113.820;1206.480;-48.130;-106.189;1216.605;183.814;-46.565;1237.638;182.542;30.130;1303.132;190.564;87.700;1235.535;236.982;47.543;1146.807;191.298;38.494;972.189;247.400;1.467;1003.102;264.618;-92.738;978.596;235.515;-227.199;1054.558;226.368;-237.862;984.906;252.341;-201.618;1013.080;-155.885;-45.684;1244.290;-147.472;21.570;1309.833;-157.401;88.679;1244.290;-211.352;-2.788;1156.003;-185.379;44.951;978.401;-232.140;2.152;1015.819;-217.026;-68.771;1046.585;-207.439;-218.102;1058.960;-195.015;-224.901;990.824;-222.161;-194.183;1019.292;132.211;-126.733;867.956;-134.070;-105.847;868.249;107.657;71.559;940.200;-86.380;82.222;950.471
17.462;37.565;1597.440;96.358;-26.706;1543.978;-51.799;-40.011;1542.119;74.641;84.130;1446.984;-49.402;71.364;1451.289;15.799;107.070;1276.670;30.277;103.353;1112.324;80.217;120.961;1191.513;-41.184;115.140;1172.682;24.799;-73.076;1277.355;15.946;-149.282;1087.965;70.874;-113.575;1206.480;-48.081;-105.945;1216.605;183.814;-46.320;1237.638;182.591;30.375;1303.132;190.662;87.945;1235.535;236.982;47.690;1146.758;191.298;38.641;972.140;247.351;1.614;1003.053;264.520;-92.641;978.694;235.368;-227.004;1054.802;226.221;-237.716;985.151;252.194;-201.471;1013.324;-155.836;-45.391;1244.241;-147.423;21.815;1309.784;-157.352;88.923;1244.192;-211.303;-2.543;1155.954;-185.330;45.098;978.352;-232.091;2.348;1015.819;-216.977;-68.625;1046.732;-207.439;-217.906;1059.155;-195.015;-224.803;991.020;-222.161;-193.988;1019.536;132.260;-126.537;868.005;-134.021;-105.700;868.298;107.657;71.755;940.200;-86.380;82.369;950.423
17.462;37.712;1597.440;96.309;-26.609;1543.978;-51.847;-39.717;1542.022;74.788;84.325;1447.082;-49.255;71.706;1451.289;15.848;107.363;1276.621;30.277;103.597;1112.324;80.217;121.255;1191.415;-41.136;115.385;1172.633;24.848;-72.782;1277.404;15.994;-149.037;1088.014;70.923;-113.331;1206.529;-48.032;-105.651;1216.654;183.863;-46.027;1237.589;182.640;30.668;1303.083;190.662;88.190;1235.486;236.982;47.934;1146.709;191.249;38.788;972.091;247.351;1.761;1003.004;264.422;-92.494;978.645;235.221;-226.808;1054.851;226.074;-237.569;985.248;252.047;-201.325;1013.324;-155.738;-45.146;1244.290;-147.374;22.109;1309.833;-157.303;89.168;1244.192;-211.303;-2.348;1156.051;-185.575;45.195;978.352;-232.237;2.446;1015.917;-217.026;-68.478;1046.781;-207.194;-217.808;1059.302;-194.917;-224.607;991.167;-222.015;-193.890;1019.683;132.309;-126.390;868.005;-133.972;-105.603;868.347;107.706;71.902;940.151;-86.331;82.565;950.423
17.560;37.858;1597.440;96.358;-26.462;1543.929;-51.847;-39.473;1541.973;74.885;84.570;1447.131;-49.157;72.048;1451.337;15.897;107.706;1276.572;30.277;103.793;1112.226;80.217;121.548;1191.318;-41.184;115.630;1172.584;24.897;-72.440;1277.453;15.994;-148.841;1088.063;70.923;-112.988;1206.578;-47.983;-105.358;1216.703;183.863;-45.733;1237.589;182.689;31.060;1302.985;190.662;88.532;1235.339;237.031;48.228;1146.611;191.200;38.983;972.042;247.303;1.957;1002.955;264.373;-92.347;978.596;235.123;-226.613;1054.753;225.928;-237.373;985.151;251.949;-201.129;1013.226;-155.738;-44.853;1244.339;-147.325;22.451;1309.833;-157.303;89.510;1244.143;-211.303;-2.103;1156.100;-185.575;45.342;978.352;-232.286;2.641;1015.966;-217.172;-68.282;1046.829;-207.439;-217.661;1059.449;-195.259;-224.411;991.265;-222.308;-193.694;1019.781;132.358;-126.244;868.054;-133.972;-105.456;868.347;107.706;72.048;940.151;-86.331;82.711;950.374
17.706;38.103;1597.440;96.456;-26.217;1543.831;-51.750;-39.179;1541.973;74.983;84.815;1447.082;-49.059;72.342;1451.386;15.897;107.999;1276.475;30.277;104.086;1112.128;80.217;121.842;1191.220;-41.136;115.923;1172.486;24.897;-72.146;1277.453;15.994;-148.597;1088.112;70.923;-112.744;1206.627;-47.983;-105.064;1216.703;183.863;-45.391;1237.540;182.689;31.353;1302.936;190.711;88.825;1235.241;236.982;48.521;1146.514;191.151;39.228;971.944;247.205;2.201;1002.857;264.275;-92.152;978.498;234.977;-226.417;1054.753;225.781;-237.129;985.151;251.803;-200.933;1013.178;-155.738;-44.511;1244.339;-147.276;22.842;1309.784;-157.254;89.804;1244.094;-211.352;-1.761;1156.100;-185.770;45.587;978.352;-232.433;2.935;1016.014;-217.319;-67.989;1046.927;-207.537;-217.368;1059.596;-195.504;-224.118;991.362;-222.504;-193.450;1019.976;132.358;-126.146;868.102;-133.923;-105.309;868.396;107.657;72.244;940.053;-86.331;82.858;950.325
