UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.502;19.457;1596.374;94.597;-48.692;1545.091;-54.021;-56.318;1541.425;78.416;61.207;1445.947;-46.150;53.336;1448.783;18.235;85.895;1278.068;32.217;85.651;1113.708;82.962;100.122;1192.808;-39.257;97.286;1174.817;25.177;-94.402;1273.863;15.644;-164.751;1082.664;71.229;-133.072;1201.998;-48.252;-124.272;1211.923;185.137;-68.687;1233.140;184.257;5.720;1302.267;193.204;65.754;1238.517;242.580;32.217;1150.715;201.123;48.643;977.996;251.233;-1.027;1002.146;255.731;-91.420;958.245;201.319;-231.874;1004.053;198.288;-227.914;933.312;225.665;-201.857;970.858;-156.440;-64.483;1238.664;-146.223;-0.196;1307.889;-154.778;70.056;1247.464;-212.319;-13.053;1153.649;-190.417;58.030;983.911;-232.363;5.035;1013.439;-208.114;-73.038;1026.345;-175.409;-216.914;1004.444;-174.529;-209.532;935.757;-199.168;-187.728;973.498;131.703;-138.156;864.625;-134.294;-115.472;866.043;109.068;58.518;941.086;-84.918;70.691;951.841
17.306;19.702;1596.326;94.353;-48.496;1545.140;-54.216;-56.123;1541.425;78.269;61.305;1445.899;-46.297;53.434;1448.685;18.186;85.895;1278.019;32.217;85.602;1113.659;82.962;100.073;1192.808;-39.257;97.286;1174.768;25.079;-94.353;1273.814;15.644;-164.702;1082.615;71.180;-133.072;1201.950;-48.301;-124.223;1211.874;185.088;-68.687;1233.140;184.208;5.720;1302.267;193.204;65.754;1238.566;242.531;32.168;1150.715;201.172;48.643;977.996;251.233;-1.076;1002.195;255.731;-91.469;958.245;201.368;-231.923;1004.004;198.337;-227.963;933.215;225.714;-201.906;970.858;-156.489;-64.385;1238.566;-146.320;-0.147;1307.791;-154.778;70.105;1247.366;-212.368;-13.004;1153.502;-190.368;58.030;983.813;-232.314;5.035;1013.292;-208.114;-73.038;1026.199;-175.506;-216.963;1004.248;-174.675;-209.483;935.561;-199.266;-187.728;973.302;131.703;-138.156;864.625;-134.245;-115.521;866.043;109.068;58.470;941.086;-84.918;70.643;951.841
17.062;19.995;1596.277;94.206;-48.252;1545.238;-54.412;-55.927;1541.474;78.073;61.403;1445.801;-46.443;53.483;1448.538;18.137;85.895;1277.970;32.168;85.553;1113.610;82.864;100.073;1192.759;-39.257;97.237;1174.719;25.030;-94.304;1273.765;15.644;-164.653;1082.566;71.131;-133.023;1201.950;-48.350;-124.223;1211.825;185.039;-68.638;1233.189;184.111;5.720;1302.267;193.106;65.754;1238.566;242.482;32.217;1150.764;201.172;48.643;978.045;251.233;-1.027;1002.244;255.829;-91.420;958.245;201.563;-231.923;1004.004;198.532;-227.914;933.215;225.909;-201.857;970.858;-156.538;-64.385;1238.469;-146.369;-0.147;1307.693;-154.827;70.105;1247.268;-212.416;-12.955;1153.453;-190.368;58.127;983.764;-232.314;5.133;1013.195;-208.114;-72.940;1026.052;-175.506;-216.865;1003.955;-174.675;-209.337;935.317;-199.266;-187.582;973.058;131.752;-138.156;864.625;-134.245;-115.521;866.043;109.117;58.470;941.086;-84.869;70.643;951.792
16.866;20.142;1596.228;94.011;-48.105;1545.238;-54.559;-55.878;1541.425;77.927;61.452;1445.801;-46.590;53.532;1448.490;18.088;85.993;1277.921;32.168;85.602;1113.610;82.816;100.122;1192.759;-39.257;97.237;1174.670;24.982;-94.206;1273.717;15.693;-164.556;1082.566;71.131;-132.925;1201.950;-48.399;-124.126;1211.776;184.991;-68.540;1233.189;184.062;5.818;1302.267;193.057;65.852;1238.566;242.433;32.364;1150.813;201.172;48.790;978.093;251.282;-0.880;1002.293;256.024;-91.224;958.294;201.808;-231.825;1004.102;198.875;-227.816;933.361;226.154;-201.710;970.956;-156.587;-64.287;1238.371;-146.467;-0.049;1307.596;-154.876;70.154;1247.219;-212.416;-12.857;1153.306;-190.319;58.274;983.716;-232.265;5.280;1013.097;-208.114;-72.842;1025.905;-175.555;-216.719;1003.711;-174.675;-209.190;935.024;-199.315;-187.435;972.814;131.801;-138.205;864.625;-134.196;-115.521;866.043;109.117;58.470;941.086;-84.820;70.594;951.792
16.720;19.946;1596.277;93.864;-48.203;1545.140;-54.656;-55.976;1541.327;77.780;61.501;1445.899;-46.737;53.532;1448.538;18.040;86.140;1277.872;32.168;85.651;1113.512;82.816;100.220;1192.710;-39.257;97.335;1174.573;24.884;-94.060;1273.717;15.693;-164.458;1082.615;71.083;-132.828;1201.950;-48.448;-123.979;1211.776;184.942;-68.394;1233.238;183.964;5.964;1302.316;192.959;65.998;1238.566;242.385;32.559;1150.862;201.270;48.936;978.093;251.429;-0.636;1002.391;256.269;-91.029;958.441;202.101;-231.629;1004.248;199.217;-227.620;933.557;226.447;-201.515;971.103;-156.636;-64.140;1238.273;-146.516;0.098;1307.498;-154.925;70.349;1247.073;-212.416;-12.662;1153.160;-190.173;58.421;983.520;-232.167;5.475;1012.901;-208.114;-72.696;1025.710;-175.702;-216.572;1003.515;-174.822;-209.043;934.828;-199.412;-187.288;972.618;131.801;-138.254;864.625;-134.196;-115.619;866.043;109.117;58.470;941.037;-84.820;70.594;951.743
16.622;19.555;1596.326;93.815;-48.399;1545.043;-54.705;-56.270;1541.229;77.633;61.549;1446.045;-46.883;53.483;1448.734;17.991;86.335;1277.774;32.217;85.749;1113.414;82.767;100.366;1192.612;-39.257;97.482;1174.475;24.835;-93.864;1273.717;15.693;-164.360;1082.615;71.034;-132.632;1201.998;-48.496;-123.783;1211.727;184.893;-68.198;1233.238;183.915;6.209;1302.316;192.910;66.194;1238.566;242.433;32.755;1150.911;201.417;49.132;978.093;251.624;-0.391;1002.439;256.611;-90.784;958.538;202.541;-231.434;1004.395;199.755;-227.474;933.655;226.887;-201.270;971.249;-156.685;-63.896;1238.126;-146.614;0.342;1307.351;-154.974;70.594;1246.877;-212.416;-12.466;1153.013;-190.075;58.567;983.373;-232.118;5.622;1012.706;-208.114;-72.549;1025.514;-175.800;-216.474;1003.417;-174.822;-208.897;934.730;-199.412;-187.142;972.471;131.850;-138.254;864.674;-134.147;-115.668;866.043;109.166;58.470;940.988;-84.820;70.545;951.694
16.573;19.164;1596.374;93.815;-48.643;1544.896;-54.754;-56.563;1541.132;77.487;61.549;1446.192;-47.030;53.434;1448.881;17.893;86.482;1277.676;32.217;85.895;1113.365;82.767;100.513;1192.563;-39.306;97.628;1174.377;24.737;-93.620;1273.717;15.693;-164.213;1082.664;70.985;-132.436;1202.047;-48.545;-123.637;1211.727;184.844;-67.954;1233.287;183.817;6.404;1302.365;192.813;66.389;1238.566;242.385;33.048;1151.009;201.515;49.376;978.142;251.820;-0.049;1002.537;257.051;-90.442;958.587;203.226;-231.287;1004.346;200.537;-227.181;933.606;227.572;-201.026;971.249;-156.782;-63.700;1238.029;-146.712;0.538;1307.253;-155.022;70.789;1246.731;-212.416;-12.320;1152.866;-189.928;58.616;983.178;-232.020;5.720;1012.559;-208.114;-72.354;1025.417;-175.946;-216.376;1003.466;-174.773;-208.848;934.877;-199.461;-187.044;972.471;131.899;-138.303;864.674;-134.147;-115.717;866.043;109.166;58.421;940.988;-84.820;70.496;951.694
16.524;18.773;1596.472;93.766;-48.790;1544.749;-54.754;-56.856;1541.083;77.340;61.598;1446.339;-47.128;53.336;1449.076;17.844;86.678;1277.628;32.168;85.993;1113.316;82.718;100.659;1192.514;-39.306;97.775;1174.230;24.688;-93.473;1273.717;15.693;-164.067;1082.664;70.985;-132.241;1202.047;-48.545;-123.490;1211.727;184.844;-67.758;1233.287;183.719;6.649;1302.365;192.764;66.634;1238.566;242.336;33.341;1151.009;201.515;49.621;978.191;251.869;0.293;1002.586;257.589;-89.904;958.441;204.252;-231.140;1003.906;201.661;-226.838;933.215;228.549;-200.635;970.956;-156.831;-63.554;1237.980;-146.809;0.733;1307.156;-155.071;70.936;1246.584;-212.465;-12.173;1152.720;-189.830;58.665;983.031;-232.020;5.818;1012.461;-208.212;-72.207;1025.319;-176.289;-216.376;1003.662;-174.871;-208.897;935.072;-199.657;-186.995;972.618;131.899;-138.254;864.723;-134.147;-115.766;866.092;109.117;58.470;940.988;-84.820;70.496;951.694
16.524;18.382;1596.521;93.815;-48.985;1544.603;-54.705;-57.247;1540.985;77.193;61.647;1446.436;-47.274;53.190;1449.272;17.746;86.824;1277.579;32.070;86.091;1113.268;82.571;100.855;1192.514;-39.452;97.824;1174.133;24.639;-93.229;1273.668;15.742;-163.871;1082.615;70.936;-131.996;1202.047;-48.594;-123.246;1211.678;184.795;-67.416;1233.287;183.671;6.991;1302.365;192.617;66.927;1238.517;242.238;33.684;1151.009;201.270;49.963;978.191;251.820;0.831;1002.537;258.224;-89.122;958.098;205.768;-231.189;1003.026;203.274;-226.349;932.335;229.967;-200.146;970.174;-156.929;-63.554;1237.980;-146.907;0.782;1307.156;-155.169;70.936;1246.584;-212.563;-12.222;1152.769;-190.026;58.518;983.031;-232.118;5.671;1012.461;-208.408;-72.207;1025.514;-177.120;-216.621;1004.151;-173.795;-208.945;935.610;-199.461;-187.093;972.667;131.948;-138.205;864.772;-134.099;-115.766;866.141;109.068;58.567;940.988;-84.918;70.496;951.694
