UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29.427;13.492;1598.059;106.270;-54.210;1546.098;-42.528;-62.814;1542.725;88.770;55.775;1447.453;-35.733;47.660;1451.706;28.987;82.855;1279.591;41.061;84.224;1114.076;92.925;97.960;1193.510;-29.183;96.347;1177.476;36.222;-96.249;1277.343;25.956;-167.177;1085.920;81.633;-133.351;1204.459;-38.470;-124.601;1214.529;196.067;-69.706;1232.860;195.040;3.764;1303.544;202.226;64.329;1239.215;254.139;33.924;1154.746;222.121;58.170;981.947;270.270;5.915;1006.779;264.160;-87.744;970.998;195.089;-216.255;1028.532;188.686;-217.428;958.288;220.703;-192.010;990.648;-146.891;-65.160;1241.708;-135.306;-1.662;1311.756;-142.834;70.293;1251.680;-203.644;-9.190;1160.123;-190.836;70.293;994.559;-229.453;13.589;1021.542;-198.755;-61.592;1033.176;-154.908;-201.248;1009.517;-144.447;-192.938;942.206;-176.172;-173.923;976.424;141.416;-143.127;868.589;-124.552;-118.002;870.593;120.495;56.117;940.446;-73.372;69.657;951.151
29.525;13.834;1598.059;106.417;-53.868;1546.098;-42.430;-62.520;1542.774;88.819;56.068;1447.453;-35.684;47.954;1451.706;29.085;83.051;1279.591;41.110;84.273;1114.027;93.023;98.156;1193.461;-29.134;96.445;1177.427;36.320;-96.054;1277.392;26.054;-167.177;1086.066;81.731;-133.204;1204.606;-38.373;-124.454;1214.627;196.213;-69.511;1232.958;195.138;4.057;1303.593;202.324;64.525;1239.215;254.237;34.120;1154.746;222.170;58.219;981.898;270.319;5.964;1006.828;264.209;-87.744;971.144;195.089;-216.109;1028.874;188.637;-217.477;958.728;220.703;-191.961;990.942;-146.793;-65.062;1241.708;-135.257;-1.515;1311.707;-142.785;70.439;1251.631;-203.546;-9.141;1160.074;-190.739;70.293;994.510;-229.356;13.638;1021.493;-198.755;-61.494;1033.225;-155.495;-201.102;1009.859;-143.812;-193.232;942.646;-176.074;-173.923;976.521;141.465;-143.078;868.638;-124.454;-118.002;870.593;120.544;56.166;940.446;-73.323;69.657;951.200
29.623;14.225;1598.011;106.466;-53.477;1546.098;-42.283;-62.178;1542.774;88.868;56.410;1447.355;-35.635;48.247;1451.657;29.134;83.247;1279.591;41.208;84.371;1114.027;93.072;98.302;1193.510;-29.085;96.494;1177.379;36.368;-95.809;1277.441;26.201;-167.080;1086.164;81.829;-133.058;1204.704;-38.275;-124.259;1214.676;196.409;-69.413;1233.153;195.138;4.253;1303.690;202.422;64.671;1239.312;254.335;34.169;1154.893;222.219;58.121;981.996;270.417;5.915;1006.975;264.209;-87.890;971.389;195.138;-216.060;1029.412;188.441;-217.624;959.413;220.703;-192.010;991.382;-146.696;-65.062;1241.757;-135.160;-1.418;1311.658;-142.736;70.439;1251.631;-203.399;-9.288;1159.976;-190.592;69.902;994.266;-229.111;13.198;1021.444;-198.706;-61.592;1033.762;-157.010;-201.493;1011.325;-141.123;-194.063;944.992;-175.439;-174.363;977.206;141.563;-142.981;868.687;-124.357;-117.953;870.642;120.593;56.264;940.495;-73.275;69.706;951.200
29.623;14.665;1598.011;106.514;-53.037;1546.147;-42.234;-61.738;1542.823;88.917;56.801;1447.355;-35.586;48.589;1451.608;29.134;83.491;1279.738;41.354;84.664;1114.125;93.219;98.498;1193.705;-29.183;96.543;1177.379;36.466;-95.565;1277.489;26.396;-166.835;1086.213;81.976;-132.813;1204.802;-38.128;-123.965;1214.578;196.605;-69.266;1233.593;195.187;4.399;1303.984;202.617;64.769;1239.655;254.579;34.120;1155.235;222.463;57.486;982.241;270.563;5.328;1007.317;264.160;-88.575;971.877;195.529;-216.451;1030.536;187.561;-218.308;960.732;220.557;-192.547;992.115;-146.451;-65.258;1241.903;-135.257;-1.515;1311.658;-142.932;70.097;1251.631;-203.448;-10.216;1159.830;-190.983;67.751;993.483;-229.160;11.047;1021.297;-198.902;-62.765;1035.571;-158.965;-202.959;1016.116;-135.746;-196.702;952.178;-173.483;-176.465;980.970;141.563;-142.834;868.736;-124.259;-117.660;870.740;120.739;56.459;940.495;-73.128;69.951;951.249
29.623;15.251;1597.962;106.417;-52.646;1546.195;-42.283;-61.152;1542.823;89.015;57.095;1447.307;-35.440;49.078;1451.559;29.134;83.833;1279.836;41.648;84.957;1114.174;93.414;98.742;1193.852;-29.280;96.689;1177.232;36.564;-95.125;1277.538;26.592;-166.200;1086.262;82.122;-132.373;1204.899;-38.030;-123.330;1214.480;196.653;-69.120;1234.522;195.089;4.693;1304.521;202.910;64.818;1240.143;255.068;33.044;1155.724;223.539;54.602;982.485;271.150;2.200;1008.001;263.964;-91.703;973.295;196.898;-218.797;1033.665;184.824;-221.095;964.447;219.872;-195.285;994.217;-145.914;-65.747;1242.392;-135.306;-1.613;1311.707;-143.372;69.315;1251.240;-203.692;-13.149;1159.976;-192.694;61.054;991.284;-229.796;4.497;1021.200;-199.684;-67.164;1040.215;-160.969;-207.896;1027.506;-126.654;-203.546;969.091;-169.475;-183.113;991.479;141.514;-142.492;868.834;-124.210;-116.926;870.887;121.033;56.850;940.495;-72.835;70.733;951.249
29.623;15.838;1598.059;106.319;-52.157;1546.293;-42.381;-60.370;1542.871;89.210;57.681;1447.453;-35.293;49.909;1451.657;28.987;84.469;1279.982;41.648;85.593;1114.369;93.414;99.182;1193.999;-29.769;96.982;1177.232;36.662;-94.294;1277.587;26.739;-164.978;1086.115;82.220;-131.444;1204.948;-37.933;-122.695;1214.480;196.165;-69.266;1235.793;195.089;5.230;1304.912;203.301;64.573;1240.095;255.703;29.476;1155.626;227.009;46.585;981.361;272.959;-6.208;1008.881;263.182;-100.795;976.326;200.466;-224.810;1041.437;176.172;-228.622;975.641;217.037;-202.470;999.789;-145.131;-66.773;1243.956;-135.453;-1.662;1312.098;-144.398;67.751;1250.360;-203.448;-19.406;1160.368;-193.134;45.461;986.640;-229.453;-9.141;1020.858;-199.489;-76.159;1049.111;-160.089;-216.988;1053.462;-116.095;-216.744;1002.184;-163.071;-196.360;1015.480;141.270;-141.710;869.029;-124.259;-115.509;871.131;121.424;57.779;940.495;-72.492;72.101;951.298
29.574;16.718;1598.304;106.270;-51.326;1546.489;-42.479;-59.392;1542.823;89.406;58.757;1447.844;-35.146;51.082;1451.804;28.743;85.740;1279.787;41.550;86.668;1114.272;93.316;100.258;1193.754;-30.551;97.716;1176.939;37.004;-92.876;1277.734;26.885;-163.169;1086.213;82.416;-130.125;1205.046;-37.444;-122.157;1214.920;194.991;-69.168;1237.944;195.138;6.746;1305.255;203.790;64.329;1238.872;256.143;23.219;1154.599;230.480;30.160;978.134;274.132;-22.241;1009.517;259.760;-118.686;982.632;206.088;-236.199;1056.884;160.969;-241.478;1003.846;210.927;-216.646;1014.552;-143.323;-68.631;1247.280;-135.502;-1.027;1312.587;-145.571;65.649;1247.867;-201.688;-29.720;1161.394;-191.081;16.180;980.432;-227.449;-33.338;1021.884;-197.289;-91.459;1063.727;-156.277;-227.303;1096.381;-105.586;-232.875;1052.533;-155.250;-214.104;1056.053;141.074;-140.243;869.274;-124.308;-113.407;871.376;121.717;59.392;940.593;-72.199;74.106;951.396
29.623;17.744;1598.842;106.368;-50.007;1546.733;-42.332;-57.974;1542.725;89.797;60.712;1448.724;-34.755;53.037;1452.439;28.449;87.841;1279.347;41.599;88.672;1113.978;93.121;101.968;1193.168;-31.529;98.889;1176.596;37.786;-90.726;1278.272;27.423;-160.969;1086.604;82.953;-128.463;1205.535;-36.026;-121.717;1215.800;193.329;-68.728;1241.463;195.480;9.581;1305.499;204.279;64.134;1236.331;255.605;14.371;1152.498;227.498;3.373;974.175;270.954;-45.461;1010.837;253.161;-144.789;995.781;209.949;-252.721;1082.840;149.335;-256.730;1049.454;203.790;-237.030;1042.415;-139.852;-71.319;1252.902;-135.355;0.196;1313.271;-146.745;62.716;1243.516;-198.364;-45.852;1164.767;-185.313;-29.085;977.646;-222.512;-69.608;1027.359;-192.889;-113.309;1083.573;-151.388;-234.244;1151.031;-95.907;-246.220;1114.907;-146.793;-231.360;1109.286;140.928;-138.190;869.616;-124.357;-110.963;871.767;121.912;61.592;940.788;-72.052;76.599;951.591
30.063;19.357;1599.526;106.661;-48.149;1546.880;-42.088;-55.677;1542.725;90.383;63.400;1449.800;-34.169;56.068;1453.319;27.961;90.530;1278.516;41.599;91.068;1113.001;92.730;104.021;1191.994;-32.849;100.600;1175.961;38.715;-88.037;1278.907;27.912;-158.770;1087.191;83.247;-126.850;1206.317;-33.729;-122.108;1217.267;191.423;-68.533;1246.303;196.018;12.905;1305.450;204.621;63.547;1232.664;252.526;2.737;1150.200;218.895;-31.089;973.637;264.306;-73.470;1015.432;245.976;-174.168;1017.631;209.558;-266.360;1121.946;144.398;-271.541;1099.265;198.169;-256.681;1081.472;-135.306;-73.714;1261.065;-134.768;1.906;1314.298;-149.238;59.050;1239.312;-192.938;-65.991;1173.419;-173.972;-87.304;985.956;-213.225;-115.411;1042.415;-185.557;-140.439;1109.530;-146.451;-235.710;1209.396;-88.037;-254.090;1181.534;-138.923;-244.363;1168.971;140.879;-135.795;870.056;-124.357;-108.323;872.207;121.961;64.085;941.033;-71.955;79.189;951.934
