UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29.338;20.096;1599.698;106.448;-45.963;1545.912;-42.344;-54.324;1541.364;89.676;67.282;1450.857;-34.863;59.116;1454.035;25.524;92.952;1279.132;36.477;90.899;1114.009;87.965;108.061;1192.292;-33.983;101.949;1177.232;37.944;-87.329;1279.426;27.773;-161.847;1088.974;84.004;-124.686;1206.668;-36.135;-120.188;1218.256;197.982;-54.422;1234.832;193.679;20.341;1303.043;199.058;79.457;1236.495;248.541;52.124;1153.713;209.081;64.739;980.228;265.117;23.128;1006.828;279.541;-68.993;973.432;233.774;-210.597;1034.112;237.099;-211.380;963.554;259.005;-180.086;996.168;-146.983;-60.289;1248.474;-135.541;5.085;1315.463;-146.592;75.350;1253.364;-203.801;-8.752;1162.905;-178.277;55.155;991.377;-225.413;8.019;1022.230;-212.211;-70.411;1036.410;-205.805;-218.127;1016.949;-185.807;-214.802;951.428;-216.123;-187.811;981.206;141.409;-135.346;870.358;-124.735;-115.151;871.385;116.667;64.103;940.524;-77.550;73.785;951.184
29.436;19.901;1599.551;106.545;-46.256;1545.912;-42.198;-54.471;1541.218;89.970;66.988;1450.808;-34.570;58.969;1453.840;25.573;92.903;1279.035;36.379;90.899;1113.911;87.965;108.110;1192.146;-34.081;101.851;1177.281;38.188;-87.280;1279.230;27.920;-161.701;1088.827;84.249;-124.442;1206.423;-35.939;-120.236;1218.158;198.031;-54.031;1234.783;193.777;20.634;1302.896;199.058;79.604;1236.152;249.128;51.635;1153.566;212.455;62.343;979.495;267.855;20.683;1007.952;280.715;-72.269;979.984;225.608;-212.015;1043.940;240.082;-212.602;974.752;257.293;-181.455;1008.295;-146.787;-60.583;1248.572;-135.248;4.743;1315.560;-146.494;75.056;1253.608;-203.996;-8.997;1163.297;-179.401;55.106;991.768;-226.342;7.921;1022.866;-212.749;-70.362;1037.046;-205.952;-218.176;1017.927;-186.442;-214.802;952.259;-216.660;-187.909;982.184;141.506;-135.394;870.309;-124.637;-115.396;871.385;116.618;64.103;940.524;-77.599;73.589;951.135
29.680;19.559;1599.502;106.790;-46.647;1545.912;-41.953;-54.764;1541.071;90.361;66.646;1450.857;-34.179;58.725;1453.742;25.377;92.952;1278.986;36.183;90.899;1113.862;87.818;108.257;1192.048;-34.228;101.656;1177.330;38.579;-87.134;1279.132;28.409;-161.456;1088.681;84.689;-123.904;1206.228;-35.499;-120.236;1218.061;197.884;-53.102;1235.517;193.581;21.514;1303.287;199.009;80.141;1235.810;250.057;50.266;1153.860;219.692;56.524;978.419;273.283;14.620;1010.740;282.377;-79.408;992.257;211.184;-212.846;1060.761;241.842;-215.878;997.000;252.404;-184.095;1030.200;-146.347;-61.072;1248.523;-134.954;4.205;1315.511;-146.494;74.518;1253.657;-204.485;-9.828;1163.834;-182.531;54.275;992.306;-228.787;6.992;1024.235;-214.216;-70.998;1038.757;-205.952;-219.007;1020.714;-188.203;-215.634;954.606;-217.981;-188.936;984.922;141.702;-135.199;870.309;-124.490;-115.738;871.336;116.423;64.299;940.475;-77.843;73.345;951.135
30.169;19.021;1599.502;107.181;-47.136;1545.716;-41.562;-55.155;1541.022;90.752;66.255;1450.857;-33.787;58.382;1453.889;24.693;93.295;1279.035;35.841;91.290;1113.911;87.280;109.088;1192.146;-34.814;101.509;1177.330;39.068;-86.645;1279.181;29.387;-160.821;1088.632;85.324;-122.975;1206.326;-34.863;-119.943;1217.816;197.542;-51.341;1238.108;192.701;23.715;1304.607;198.422;81.657;1235.663;251.426;47.381;1154.935;232.112;43.811;978.028;281.791;1.565;1016.558;283.306;-93.050;1011.131;189.425;-212.846;1081.982;238.419;-222.186;1031.325;240.962;-188.349;1061.983;-145.712;-61.854;1248.621;-134.661;3.374;1315.463;-146.836;73.589;1253.462;-205.708;-11.491;1165.008;-188.545;51.586;993.088;-233.530;4.303;1026.875;-217.052;-72.954;1042.571;-205.610;-221.452;1027.853;-191.088;-218.372;960.963;-220.034;-192.017;991.768;142.093;-134.710;870.309;-124.148;-115.982;871.385;116.178;64.739;940.524;-78.039;73.149;951.184
30.951;18.141;1599.698;107.670;-47.870;1545.325;-41.073;-55.546;1541.022;91.192;66.108;1451.150;-33.347;58.431;1454.475;23.519;94.224;1278.888;35.254;92.072;1113.911;86.351;110.555;1192.097;-35.743;101.900;1177.183;39.411;-85.667;1279.475;30.658;-159.794;1088.827;86.009;-121.606;1206.766;-34.130;-119.259;1217.718;196.319;-49.532;1242.998;191.039;27.186;1306.466;197.640;83.320;1235.174;253.626;41.171;1157.233;249.959;21.857;980.326;292.450;-20.830;1026.924;281.399;-113.391;1035.237;164.879;-212.455;1106.137;224.190;-229.960;1071.811;222.088;-192.994;1097.580;-144.783;-62.636;1249.110;-134.465;2.934;1315.463;-147.667;72.562;1252.777;-207.761;-14.278;1167.257;-199.547;45.572;994.066;-241.940;-1.662;1031.325;-221.452;-77.159;1050.150;-202.040;-226.146;1042.473;-195.439;-224.435;974.214;-221.990;-198.373;1006.143;142.778;-133.830;870.504;-123.513;-116.129;871.433;116.031;65.619;940.475;-78.283;73.149;951.232
31.538;16.869;1599.991;107.866;-48.799;1544.689;-40.877;-55.889;1540.729;91.583;66.304;1451.835;-32.956;59.018;1455.453;22.590;95.837;1278.399;34.863;92.952;1113.569;85.716;112.217;1191.754;-36.477;102.732;1176.596;39.508;-84.102;1280.013;31.636;-158.669;1089.267;86.205;-120.139;1207.499;-33.641;-117.841;1217.914;192.799;-48.554;1249.257;189.034;30.511;1308.715;197.591;83.515;1234.148;257.685;31.440;1162.563;269.029;-7.286;988.834;301.643;-49.972;1043.109;275.385;-137.252;1061.885;139.013;-210.988;1128.433;201.502;-236.708;1108.777;198.764;-196.906;1128.482;-144.049;-62.441;1250.283;-134.074;3.863;1315.658;-148.596;72.025;1251.164;-211.673;-17.945;1171.316;-216.269;35.205;996.071;-254.360;-11.491;1038.953;-226.684;-83.222;1062.912;-191.919;-230.449;1066.530;-200.769;-233.627;998.369;-222.088;-206.881;1031.765;143.707;-132.803;870.749;-122.681;-116.129;871.482;116.031;66.695;940.524;-78.332;73.394;951.232
31.685;15.207;1600.382;107.572;-50.119;1544.054;-41.269;-56.133;1539.995;91.974;66.499;1452.959;-32.565;59.996;1456.529;22.248;98.135;1277.714;35.010;94.028;1113.080;85.764;114.271;1191.265;-36.623;103.954;1175.814;39.068;-82.146;1280.550;31.929;-157.447;1089.903;85.813;-118.672;1208.330;-33.641;-115.836;1218.403;188.594;-48.652;1255.369;186.980;32.858;1310.671;198.031;82.244;1233.121;262.134;17.847;1170.435;284.529;-42.198;1003.258;305.848;-82.537;1064.428;264.872;-160.967;1090.734;113.391;-208.299;1148.383;175.538;-240.864;1143.738;173.778;-198.471;1156.207;-143.413;-61.414;1253.266;-133.145;6.357;1316.538;-149.085;71.927;1249.257;-216.758;-22.003;1178.210;-237.441;19.510;1001.107;-269.322;-25.035;1051.324;-231.378;-90.116;1081.737;-175.294;-230.547;1097.629;-202.774;-243.651;1035.775;-217.247;-214.118;1068.829;144.587;-131.825;871.091;-121.850;-115.885;871.482;116.325;67.722;940.622;-78.039;73.785;951.184
31.440;12.860;1600.871;106.839;-51.830;1543.174;-42.002;-56.524;1538.871;92.317;66.890;1454.622;-32.223;61.365;1457.947;22.884;100.971;1277.030;35.548;95.250;1112.542;86.840;115.982;1190.679;-36.183;105.665;1175.032;38.677;-79.995;1281.382;31.636;-156.273;1090.832;85.080;-117.352;1209.308;-33.836;-113.587;1219.283;184.193;-49.337;1261.530;185.416;34.570;1312.333;200.280;80.386;1232.827;263.846;3.912;1178.650;291.619;-77.501;1020.959;304.136;-112.853;1087.360;251.866;-181.650;1119.094;91.877;-204.534;1169.409;150.846;-242.771;1173.809;152.313;-199.302;1181.144;-142.533;-59.311;1258.400;-131.532;10.464;1317.956;-148.645;72.416;1247.154;-221.941;-26.893;1188.185;-260.423;-1.956;1011.082;-284.138;-42.784;1069.024;-234.605;-97.304;1104.474;-154.709;-224.924;1129.803;-197.835;-250.203;1082.520;-205.805;-216.171;1111.809;145.320;-130.994;871.482;-121.214;-115.347;871.580;116.863;68.651;940.671;-77.501;74.469;951.135
31.049;9.877;1601.409;105.714;-54.128;1542.000;-43.176;-56.867;1537.502;92.659;67.086;1456.724;-31.881;63.076;1459.854;24.302;104.150;1276.394;36.966;96.326;1112.004;88.943;116.960;1190.092;-34.863;107.621;1174.347;38.041;-77.892;1282.164;30.903;-155.246;1091.908;84.102;-116.325;1210.482;-34.081;-111.240;1220.359;180.428;-50.119;1267.251;184.340;35.548;1314.093;202.432;78.283;1233.365;262.965;-7.823;1186.082;291.130;-106.448;1038.464;298.122;-136.617;1108.044;238.419;-197.444;1142.809;74.518;-202.578;1186.131;130.162;-244.482;1197.524;134.514;-200.769;1200.849;-140.577;-56.573;1265.050;-129.478;15.940;1319.472;-147.227;73.296;1245.296;-226.049;-32.712;1200.751;-282.426;-27.089;1026.680;-296.900;-62.783;1091.223;-236.806;-105.079;1127.993;-135.639;-216.465;1156.744;-186.638;-251.377;1128.189;-190.941;-213.091;1150.975;145.614;-130.651;871.776;-120.872;-114.369;871.825;117.645;69.042;940.671;-76.670;75.447;950.988
