UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24.291;-5.865;1599.745;97.849;-73.411;1542.903;-51.173;-75.219;1540.508;84.604;43.401;1451.750;-40.127;40.371;1456.247;23.656;77.223;1279.806;37.927;79.472;1114.753;88.416;91.006;1194.958;-33.235;92.326;1176.679;26.442;-101.710;1275.847;15.787;-169.745;1083.571;71.945;-139.491;1202.680;-47.605;-127.272;1212.260;187.682;-80.254;1233.912;188.220;-6.109;1303.804;197.702;53.763;1239.435;247.066;23.656;1155.516;209.334;47.605;984.402;259.334;-3.275;1006.445;263.635;-92.130;956.152;206.206;-232.941;991.782;203.616;-227.907;921.353;231.035;-203.127;960.307;-154.789;-67.155;1238.897;-143.645;-4.057;1309.522;-149.461;68.230;1250.334;-207.477;-10.117;1154.978;-182.061;68.719;990.023;-226.245;16.324;1016.416;-206.841;-62.561;1023.600;-184.798;-205.473;991.098;-181.622;-196.431;923.308;-206.157;-173.753;959.231;131.280;-148.191;868.274;-134.017;-116.666;869.838;115.640;50.977;940.805;-77.908;69.208;951.460
24.487;-5.963;1599.745;97.995;-73.460;1542.854;-51.026;-75.268;1540.508;84.652;43.401;1451.750;-40.029;40.322;1456.344;23.656;77.272;1279.757;37.927;79.472;1114.704;88.416;91.006;1194.958;-33.235;92.326;1176.679;26.491;-101.661;1275.847;15.836;-169.745;1083.620;71.945;-139.442;1202.680;-47.605;-127.272;1212.260;187.731;-80.205;1233.912;188.269;-6.012;1303.755;197.750;53.812;1239.386;247.017;23.802;1155.467;209.334;47.703;984.402;259.382;-3.128;1006.445;263.684;-92.033;956.250;206.304;-232.794;992.125;203.713;-227.858;921.695;231.084;-202.980;960.600;-154.740;-67.155;1238.848;-143.645;-4.057;1309.522;-149.461;68.230;1250.334;-207.428;-10.019;1154.978;-182.159;68.866;990.023;-226.245;16.471;1016.513;-206.744;-62.316;1023.943;-184.505;-205.277;991.929;-181.279;-196.431;924.139;-205.913;-173.704;959.916;131.377;-148.240;868.274;-133.968;-116.715;869.789;115.688;50.928;940.854;-77.859;69.159;951.509
24.584;-5.963;1599.696;98.142;-73.411;1542.756;-50.879;-75.317;1540.557;84.652;43.450;1451.701;-40.029;40.273;1456.393;23.607;77.272;1279.757;37.927;79.521;1114.704;88.416;91.006;1194.909;-33.235;92.326;1176.630;26.539;-101.612;1275.749;15.885;-169.696;1083.571;71.994;-139.393;1202.632;-47.605;-127.223;1212.162;187.731;-80.107;1233.912;188.220;-5.963;1303.755;197.702;53.910;1239.386;246.968;23.851;1155.467;209.334;47.751;984.353;259.382;-3.079;1006.445;263.732;-92.033;956.445;206.450;-232.745;992.662;203.762;-227.956;922.281;231.181;-202.980;961.040;-154.789;-67.253;1238.604;-143.694;-4.203;1309.278;-149.461;68.133;1250.236;-207.477;-10.019;1154.782;-182.355;69.306;989.876;-226.392;16.911;1016.562;-206.695;-61.583;1024.725;-184.212;-204.789;994.226;-180.497;-196.529;926.387;-205.326;-173.557;961.822;131.426;-148.288;868.274;-133.919;-116.764;869.789;115.688;50.928;940.805;-77.810;69.110;951.460
24.487;-5.914;1599.696;98.142;-73.216;1542.756;-50.831;-75.415;1540.606;84.457;43.548;1451.652;-40.225;40.176;1456.344;23.460;77.174;1279.806;37.879;79.569;1114.753;88.367;91.006;1195.007;-33.284;92.277;1176.630;26.491;-101.710;1275.700;15.982;-169.696;1083.473;71.994;-139.393;1202.583;-47.605;-127.223;1212.016;187.731;-80.107;1233.961;188.122;-5.963;1303.804;197.604;53.910;1239.484;246.870;23.949;1155.564;209.334;47.751;984.353;259.431;-2.981;1006.592;263.732;-92.082;956.934;206.548;-232.696;993.786;203.762;-228.102;923.406;231.230;-203.029;962.017;-154.838;-67.350;1238.213;-143.792;-4.448;1309.034;-149.510;67.986;1250.139;-207.526;-9.824;1154.489;-182.501;70.185;989.632;-226.587;17.888;1016.660;-206.841;-59.873;1026.533;-184.456;-203.811;999.407;-178.445;-196.577;931.519;-204.349;-173.117;965.878;131.475;-148.337;868.274;-133.870;-116.861;869.789;115.737;50.928;940.756;-77.810;69.061;951.460
24.242;-5.767;1599.696;97.947;-73.069;1542.854;-50.977;-75.464;1540.655;84.115;43.597;1451.604;-40.518;40.029;1456.296;23.363;76.979;1279.855;37.927;79.472;1114.802;88.318;90.860;1195.105;-33.235;92.179;1176.630;26.295;-101.857;1275.700;15.982;-169.745;1083.424;71.896;-139.491;1202.583;-47.751;-127.272;1211.869;187.682;-80.254;1234.107;187.975;-6.158;1304.048;197.506;53.763;1239.728;246.870;23.900;1155.858;209.432;47.800;984.549;259.578;-2.835;1006.885;263.732;-92.228;957.863;206.646;-232.501;995.790;203.469;-228.347;925.409;231.132;-203.029;963.728;-155.082;-67.350;1237.724;-143.987;-4.643;1308.691;-149.559;67.937;1250.090;-207.672;-9.335;1154.098;-182.501;71.603;989.143;-226.880;19.648;1016.807;-207.868;-56.745;1030.248;-186.607;-202.345;1009.378;-174.828;-196.235;941.832;-203.469;-172.433;973.699;131.573;-148.337;868.274;-133.772;-116.959;869.740;115.786;50.879;940.854;-77.761;68.963;951.460
23.851;-5.670;1599.696;97.556;-73.020;1542.952;-51.368;-75.464;1540.801;83.724;43.499;1451.555;-40.958;39.931;1456.247;23.167;76.735;1279.904;37.976;79.276;1114.949;88.318;90.566;1195.300;-33.235;92.033;1176.728;26.002;-102.101;1275.700;15.885;-169.843;1083.375;71.652;-139.735;1202.632;-47.996;-127.321;1211.722;187.487;-80.596;1234.352;187.682;-6.598;1304.342;197.408;53.421;1240.119;246.919;23.656;1156.346;209.872;47.654;984.891;259.969;-2.981;1007.423;263.732;-92.668;959.182;206.597;-232.501;998.723;202.638;-228.786;928.342;230.790;-203.322;966.221;-155.375;-67.204;1237.480;-144.232;-4.692;1308.594;-149.608;68.035;1250.041;-208.259;-8.407;1154.196;-183.577;72.922;988.899;-228.249;21.554;1017.784;-208.650;-52.786;1036.259;-186.362;-199.510;1024.431;-170.380;-195.844;957.325;-201.465;-171.504;986.748;131.671;-148.337;868.274;-133.626;-117.057;869.740;115.835;50.879;940.903;-77.761;68.866;951.509
23.216;-5.523;1599.794;96.920;-73.069;1543.196;-52.052;-75.268;1540.850;83.382;43.401;1451.652;-41.300;40.029;1456.198;23.118;76.392;1280.099;37.976;79.032;1115.242;88.367;90.175;1195.545;-33.235;91.837;1177.021;25.709;-102.394;1275.749;15.738;-169.989;1083.375;71.407;-140.028;1202.680;-48.191;-127.467;1211.771;187.291;-81.085;1234.645;187.487;-7.136;1304.733;197.408;52.786;1240.510;247.066;23.020;1156.933;210.849;47.214;985.233;260.800;-3.519;1008.107;263.635;-93.694;961.138;205.375;-233.039;1002.731;201.318;-229.471;932.301;229.813;-204.007;969.837;-155.669;-67.204;1237.724;-144.281;-4.692;1308.838;-149.657;68.133;1250.334;-208.992;-8.016;1154.880;-185.727;73.607;988.801;-230.399;23.020;1019.495;-210.018;-48.778;1043.346;-187.731;-195.942;1041.782;-164.662;-195.111;976.045;-199.412;-170.380;1001.655;131.768;-148.288;868.323;-133.577;-117.008;869.691;115.933;50.928;941.001;-77.663;68.866;951.607
22.727;-5.230;1599.892;96.383;-73.020;1543.490;-52.590;-74.877;1540.899;83.235;43.353;1451.799;-41.446;40.322;1456.149;23.069;76.295;1280.344;37.927;78.836;1115.584;88.367;89.784;1195.789;-33.382;91.642;1177.363;25.464;-102.541;1275.945;15.640;-170.185;1083.522;71.163;-140.273;1202.925;-48.387;-127.614;1211.967;187.096;-81.476;1235.280;187.291;-7.478;1305.319;197.408;52.297;1240.901;247.261;22.287;1157.715;212.657;46.187;985.722;262.071;-4.985;1008.987;263.146;-95.796;963.435;201.758;-234.749;1006.934;198.923;-230.448;936.504;227.320;-205.326;974.041;-155.913;-67.155;1238.262;-144.232;-4.692;1309.376;-149.804;68.133;1250.725;-209.969;-7.722;1155.955;-188.073;73.313;988.752;-233.185;23.998;1021.254;-212.364;-44.917;1050.433;-190.761;-192.374;1058.840;-159.334;-193.303;996.572;-198.288;-168.963;1016.953;131.866;-148.191;868.372;-133.430;-116.910;869.691;116.079;50.928;941.099;-77.517;68.915;951.656
22.483;-4.741;1599.990;95.992;-72.727;1543.734;-52.932;-74.291;1541.046;83.137;43.597;1451.897;-41.544;40.762;1456.149;23.118;76.441;1280.490;37.879;78.592;1115.780;88.465;89.589;1195.789;-33.480;91.593;1177.558;25.318;-102.590;1276.287;15.591;-170.331;1083.913;71.016;-140.419;1203.316;-48.436;-127.761;1212.358;186.900;-81.720;1235.916;187.096;-7.527;1305.759;197.457;51.906;1241.097;247.701;21.261;1158.448;215.834;44.721;986.113;264.123;-7.331;1009.964;262.413;-99.022;965.145;196.626;-237.144;1009.915;194.769;-231.279;939.681;223.312;-207.135;977.364;-156.157;-66.911;1239.093;-144.085;-4.301;1309.962;-149.804;68.377;1251.018;-210.849;-7.576;1157.177;-190.517;71.700;988.410;-235.727;23.900;1023.356;-213.830;-42.180;1057.422;-192.667;-188.269;1075.311;-159.237;-192.814;1014.021;-199.363;-167.741;1032.203;132.062;-148.093;868.421;-133.235;-116.813;869.740;116.226;51.075;941.245;-77.370;69.012;951.705
22.385;-4.008;1599.990;95.894;-72.091;1543.832;-53.030;-73.558;1541.046;83.235;44.135;1451.848;-41.495;41.398;1456.051;23.265;76.686;1280.441;37.976;78.445;1115.731;88.660;89.442;1195.691;-33.382;91.691;1177.510;25.220;-102.541;1276.531;15.591;-170.429;1084.108;70.967;-140.468;1203.560;-48.436;-127.761;1212.602;186.705;-82.013;1236.453;187.047;-7.576;1306.003;197.702;51.222;1240.999;248.385;19.697;1159.426;220.673;43.255;986.846;267.105;-10.264;1011.382;262.266;-102.443;966.856;189.099;-238.806;1010.600;190.908;-231.377;940.756;218.571;-208.747;979.368;-156.255;-66.813;1239.533;-143.938;-3.959;1310.158;-149.852;68.377;1250.774;-211.680;-7.918;1157.862;-192.912;69.257;987.433;-238.317;23.607;1025.213;-215.395;-39.736;1063.336;-193.889;-183.430;1091.391;-163.342;-192.570;1029.075;-202.296;-166.079;1047.012;132.159;-147.946;868.518;-133.137;-116.666;869.740;116.373;51.222;941.245;-77.174;69.159;951.705
22.580;-2.981;1599.990;96.138;-71.163;1543.978;-52.834;-72.727;1541.241;83.382;44.819;1451.701;-41.349;42.033;1455.953;23.607;76.881;1280.490;38.270;78.543;1115.829;89.051;89.344;1195.789;-33.089;91.886;1177.461;25.122;-102.443;1276.678;15.689;-170.331;1084.255;71.016;-140.517;1203.805;-48.436;-127.614;1212.700;186.362;-82.551;1237.138;186.900;-7.820;1306.443;198.093;50.488;1241.194;249.656;18.133;1160.941;226.880;42.326;988.361;270.868;-13.050;1013.385;262.902;-104.985;968.078;179.960;-238.855;1008.009;188.708;-230.204;938.850;214.124;-209.432;979.221;-156.451;-66.422;1239.924;-143.792;-3.421;1310.304;-149.706;68.524;1250.481;-212.609;-7.771;1158.595;-195.209;66.666;986.455;-240.859;23.411;1027.071;-217.154;-37.879;1068.175;-193.743;-178.200;1105.516;-171.553;-193.058;1040.951;-206.646;-163.733;1060.599;132.306;-147.800;868.567;-132.990;-116.519;869.838;116.568;51.417;941.147;-77.028;69.354;951.705
