UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
27.202;54.014;1598.395;104.658;-12.405;1545.553;-44.051;-19.193;1538.813;90.495;101.728;1451.053;-34.088;94.598;1451.932;33.502;128.882;1275.776;46.493;124.877;1110.120;97.870;140.505;1189.871;-23.784;139.626;1172.485;35.847;-50.400;1278.022;23.637;-126.342;1088.924;80.728;-90.398;1206.134;-38.972;-78.872;1216.292;197.840;-29.547;1233.727;198.084;46.688;1300.536;206.191;104.658;1234.313;254.003;72.572;1149.531;212.296;85.758;976.208;266.310;41.463;1001.506;276.419;-51.426;962.778;237.203;-189.440;1022.017;220.207;-193.103;953.450;252.489;-162.335;980.261;-147.782;-17.044;1242.225;-134.156;49.472;1309.180;-139.479;118.430;1246.425;-201.307;37.507;1155.783;-172.835;101.875;983.485;-221.037;55.870;1014.399;-212.198;-21.342;1032.127;-214.591;-172.444;1013.862;-169.270;-167.561;960.336;-210.635;-141.140;977.624;139.040;-110.128;871.306;-126.635;-79.214;873.113;122.191;91.179;937.871;-71.156;109.151;948.420
27.447;53.037;1598.444;105.000;-13.284;1545.504;-43.709;-20.170;1538.764;90.740;100.995;1451.150;-33.844;93.719;1451.981;33.795;128.198;1275.825;46.786;124.291;1110.169;98.212;139.870;1189.920;-23.393;138.893;1172.534;36.140;-51.035;1277.925;23.930;-126.928;1088.778;81.021;-90.984;1206.036;-38.679;-79.507;1216.243;198.084;-30.133;1233.678;198.377;46.005;1300.536;206.484;104.072;1234.362;254.296;72.035;1149.580;212.589;85.319;976.208;266.603;41.023;1001.506;276.761;-51.816;962.631;238.326;-189.928;1021.822;220.207;-193.542;953.596;252.928;-162.726;980.017;-147.489;-17.679;1242.127;-133.912;48.788;1309.132;-139.186;117.795;1246.425;-200.916;36.872;1155.685;-172.347;101.240;983.387;-220.598;55.284;1014.252;-211.856;-21.879;1032.029;-214.542;-172.933;1013.520;-168.196;-168.196;960.971;-210.049;-141.726;977.478;139.333;-110.568;871.208;-126.391;-79.751;873.015;122.435;90.642;937.920;-70.912;108.565;948.517
27.837;52.207;1598.444;105.342;-14.016;1545.406;-43.270;-20.951;1538.764;91.081;100.312;1451.199;-33.502;93.035;1452.127;34.088;127.661;1275.825;47.030;123.705;1110.120;98.456;139.284;1189.871;-23.100;138.307;1172.485;36.433;-51.572;1277.876;24.223;-127.416;1088.729;81.265;-91.472;1205.938;-38.386;-80.044;1216.194;198.377;-30.670;1233.580;198.670;45.467;1300.439;206.728;103.486;1234.264;254.540;71.498;1149.531;212.833;84.781;976.159;266.896;40.535;1001.408;277.151;-52.305;962.485;239.449;-190.465;1021.724;220.305;-194.079;953.792;253.465;-163.263;979.871;-147.195;-18.216;1242.127;-133.619;48.251;1309.083;-138.893;117.258;1246.376;-200.575;36.335;1155.587;-171.907;100.654;983.289;-220.158;54.649;1014.155;-211.416;-22.416;1032.175;-213.956;-173.519;1013.862;-166.926;-168.830;962.045;-209.121;-142.361;977.820;139.626;-111.056;871.061;-126.147;-80.288;873.015;122.630;90.105;937.968;-70.668;107.979;948.566
28.277;51.670;1598.444;105.733;-14.651;1545.357;-42.928;-21.391;1538.716;91.521;99.726;1451.199;-33.063;92.547;1452.078;34.430;127.221;1275.727;47.274;123.168;1110.022;98.749;138.795;1189.724;-22.807;137.819;1172.436;36.726;-52.012;1277.778;24.467;-127.856;1088.680;81.509;-91.912;1205.841;-38.142;-80.484;1216.145;198.621;-31.109;1233.483;198.963;45.028;1300.292;207.021;103.047;1234.118;254.784;70.961;1149.336;213.126;84.098;975.964;267.189;39.949;1001.261;277.493;-52.940;962.436;240.426;-191.100;1021.871;220.500;-194.763;954.134;253.905;-163.947;979.920;-146.854;-18.705;1242.127;-133.277;47.861;1309.083;-138.600;116.819;1246.327;-200.282;35.798;1155.587;-171.761;99.921;983.192;-219.865;53.916;1014.155;-210.879;-22.954;1032.517;-212.882;-174.203;1014.936;-165.509;-169.563;963.413;-208.047;-143.191;978.845;139.821;-111.593;870.964;-125.902;-80.728;872.966;122.875;89.568;937.968;-70.423;107.491;948.566
28.716;51.279;1598.346;106.075;-15.042;1545.309;-42.586;-21.733;1538.667;91.961;99.286;1451.101;-32.623;92.254;1452.029;34.772;126.830;1275.580;47.567;122.679;1109.876;99.042;138.356;1189.627;-22.514;137.428;1172.338;37.067;-52.402;1277.729;24.663;-128.247;1088.631;81.802;-92.302;1205.792;-37.849;-80.826;1216.097;198.963;-31.500;1233.385;199.305;44.637;1300.194;207.363;102.607;1233.922;255.077;70.472;1149.190;213.468;83.414;975.720;267.579;39.265;1001.115;277.786;-53.721;962.387;241.207;-191.784;1022.066;220.354;-195.496;954.573;254.149;-164.630;980.017;-146.512;-19.095;1242.127;-132.935;47.470;1309.034;-138.258;116.379;1246.229;-200.037;35.212;1155.587;-172.054;99.286;983.045;-219.914;53.135;1014.203;-210.489;-23.588;1033.055;-211.368;-174.935;1016.352;-163.361;-170.198;965.513;-206.386;-144.119;980.213;139.919;-112.179;870.915;-125.756;-81.168;872.917;123.119;89.030;937.920;-70.179;107.002;948.566
29.107;51.133;1598.297;106.416;-15.335;1545.260;-42.195;-21.928;1538.618;92.351;98.993;1451.004;-32.184;92.009;1451.932;35.065;126.489;1275.483;47.861;122.288;1109.778;99.335;138.014;1189.480;-22.319;136.989;1172.192;37.361;-52.695;1277.632;24.858;-128.637;1088.534;82.047;-92.644;1205.694;-37.605;-81.119;1215.999;199.256;-31.940;1233.287;199.647;44.247;1299.999;207.656;102.168;1233.727;255.419;69.935;1148.994;213.956;82.681;975.573;267.970;38.581;1001.017;277.933;-54.551;962.143;242.819;-192.712;1022.017;219.230;-196.326;955.354;254.198;-165.509;979.724;-146.268;-19.584;1242.225;-132.642;47.030;1309.083;-138.014;115.891;1246.229;-199.842;34.577;1155.636;-172.493;98.700;982.850;-220.012;52.256;1014.350;-210.244;-24.028;1034.080;-209.512;-175.668;1018.599;-159.063;-170.735;970.445;-203.456;-144.949;982.557;140.016;-112.765;870.866;-125.658;-81.558;872.917;123.363;88.493;937.822;-69.935;106.612;948.566
29.351;51.084;1598.150;106.563;-15.579;1545.260;-42.098;-21.928;1538.618;92.693;98.554;1450.760;-31.891;91.814;1451.688;35.456;126.244;1275.532;48.056;122.191;1109.680;99.481;138.063;1189.578;-22.367;136.549;1172.192;37.409;-52.891;1277.485;24.858;-128.784;1088.485;82.095;-92.937;1205.548;-37.654;-81.119;1215.804;199.158;-32.623;1232.897;199.793;43.709;1299.364;207.900;101.728;1233.385;255.761;69.007;1148.652;215.421;81.119;975.036;269.142;36.872;1000.627;278.470;-56.309;960.238;250.828;-195.837;1018.696;213.956;-197.596;957.796;254.735;-167.414;976.354;-146.268;-19.974;1243.104;-132.447;46.688;1309.864;-137.965;115.451;1246.718;-199.842;33.747;1156.564;-172.103;96.747;982.948;-219.328;50.009;1014.545;-210.049;-25.688;1035.692;-206.630;-177.279;1020.699;-149.100;-172.249;982.264;-196.326;-147.147;985.975;140.114;-113.302;870.817;-125.561;-81.802;872.917;123.509;88.102;937.773;-69.788;106.319;948.517
28.179;50.888;1597.906;104.951;-16.751;1545.650;-43.709;-21.440;1538.178;92.840;97.284;1450.808;-31.793;91.912;1451.053;35.895;126.440;1275.727;47.665;122.484;1109.729;99.384;138.747;1189.578;-22.856;136.354;1172.729;37.654;-52.598;1277.632;24.419;-128.198;1088.534;82.047;-92.498;1205.401;-37.751;-80.923;1216.292;198.816;-33.209;1232.555;200.086;43.514;1298.387;208.291;101.093;1232.262;255.956;66.468;1147.334;218.107;75.014;973.082;271.437;31.305;999.308;280.228;-61.974;954.524;265.528;-204.530;1006.682;208.096;-201.258;965.171;257.372;-173.519;968.296;-145.779;-19.926;1245.887;-131.958;46.981;1312.355;-138.209;115.305;1248.232;-198.865;31.549;1158.566;-168.782;90.154;982.606;-216.203;43.563;1014.057;-209.414;-31.598;1036.913;-199.061;-182.358;1022.945;-133.423;-177.865;1005.999;-180.893;-153.886;994.034;139.919;-113.400;870.964;-125.609;-81.607;873.259;123.412;88.151;937.675;-69.886;106.661;948.566
24.516;50.254;1597.711;100.361;-19.193;1546.383;-48.349;-20.170;1536.909;92.254;95.233;1451.590;-32.428;92.986;1450.125;35.993;127.563;1276.069;47.128;123.461;1109.973;99.140;139.968;1189.676;-23.833;137.037;1173.364;37.751;-51.181;1278.169;24.467;-126.977;1089.071;82.193;-91.033;1205.694;-37.312;-80.386;1217.562;198.035;-33.795;1234.069;200.282;44.149;1298.094;208.682;100.312;1231.090;255.468;60.802;1145.478;218.107;61.633;970.299;271.242;19.242;997.941;280.228;-74.672;949.054;278.031;-216.691;997.452;210.830;-215.812;976.306;259.814;-186.607;964.096;-144.509;-19.730;1249.892;-131.861;48.300;1315.285;-139.089;115.647;1249.452;-195.789;26.323;1160.520;-162.726;77.261;981.678;-209.951;31.305;1014.448;-201.063;-41.658;1043.164;-185.240;-190.807;1039.306;-118.479;-188.561;1030.955;-164.679;-165.705;1012.006;139.675;-112.765;871.208;-125.707;-80.728;873.894;123.168;88.884;937.529;-70.081;107.686;948.664
