UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14.517;27.857;1597.313;92.644;-37.862;1544.591;-55.910;-48.995;1541.599;73.076;72.879;1447.091;-51.153;62.041;1450.917;18.686;100.982;1278.135;34.233;101.472;1113.053;83.816;113.880;1193.240;-36.930;115.204;1174.112;23.002;-78.127;1277.007;14.958;-150.859;1086.324;69.937;-116.528;1205.501;-50.564;-105.003;1212.808;185.435;-55.959;1237.036;182.836;19.618;1305.599;192.056;78.667;1240.518;243.552;49.240;1158.565;208.486;72.732;986.029;259.344;22.511;1010.011;257.088;-71.212;976.416;189.506;-202.503;1036.544;189.408;-205.445;966.117;217.363;-177.245;1000.644;-159.246;-44.238;1236.251;-147.966;19.912;1306.090;-152.723;91.712;1246.305;-211.968;14.664;1153.024;-188.721;93.821;988.628;-231.978;40.363;1015.063;-204.023;-35.949;1029.335;-168.907;-177.784;1010.109;-163.856;-174.597;941.693;-191.124;-152.085;977.495;132.370;-131.242;868.961;-133.792;-101.619;870.138;113.586;68.662;939.633;-80.040;85.925;948.952
14.468;27.465;1597.313;92.595;-38.205;1544.541;-55.959;-49.338;1541.550;73.026;72.634;1447.140;-51.202;61.795;1450.966;18.784;100.834;1278.135;34.331;101.570;1113.053;83.865;113.929;1193.289;-36.685;115.351;1174.161;22.953;-78.078;1276.909;14.909;-150.614;1086.128;69.888;-116.430;1205.353;-50.662;-104.856;1212.612;185.386;-56.057;1236.938;182.836;19.519;1305.452;192.056;78.617;1240.469;243.699;48.946;1158.516;209.712;71.947;985.735;260.472;21.874;1010.208;258.364;-71.849;977.201;190.634;-202.895;1037.721;190.732;-206.279;967.441;218.687;-177.882;1001.821;-159.148;-44.041;1235.859;-147.917;20.059;1305.648;-152.674;91.908;1246.060;-212.115;14.713;1152.680;-189.604;93.527;987.942;-232.812;40.167;1015.063;-204.317;-35.312;1030.806;-168.368;-177.147;1014.720;-163.611;-175.430;946.303;-190.977;-152.331;981.566;132.468;-131.045;868.961;-133.694;-101.472;870.138;113.684;68.809;939.633;-79.942;86.072;949.001
14.419;26.876;1597.411;92.546;-38.696;1544.541;-55.959;-49.829;1541.501;72.977;72.340;1447.385;-51.251;61.501;1451.162;18.980;100.638;1278.282;34.527;101.815;1113.200;84.012;113.831;1193.534;-36.243;115.597;1174.309;22.756;-78.176;1276.810;14.811;-150.222;1085.882;69.691;-116.430;1205.157;-50.908;-104.611;1212.367;185.141;-56.450;1236.938;182.738;19.127;1305.305;192.056;78.274;1240.322;243.994;48.161;1158.615;212.704;69.741;985.293;263.121;19.912;1010.943;261.257;-73.958;979.310;193.086;-204.023;1040.958;193.527;-208.731;970.825;221.384;-179.648;1004.764;-159.050;-43.747;1235.565;-147.769;20.304;1305.158;-152.576;92.203;1245.668;-212.704;14.615;1152.435;-192.154;92.497;987.059;-234.970;39.235;1015.651;-205.887;-35.017;1034.043;-168.760;-176.362;1023.057;-163.807;-177.245;954.739;-191.468;-153.017;988.971;132.517;-130.800;869.010;-133.596;-101.276;870.187;113.782;69.054;939.633;-79.844;86.317;948.952
14.321;26.189;1597.558;92.350;-39.333;1544.591;-56.155;-50.319;1541.550;72.879;71.849;1447.582;-51.349;61.109;1451.358;19.127;100.295;1278.380;34.772;102.011;1113.298;84.307;113.341;1193.730;-35.802;115.695;1174.358;22.560;-78.421;1276.614;14.615;-149.682;1085.490;69.446;-116.577;1204.912;-51.202;-104.415;1212.023;184.847;-57.185;1237.232;182.542;18.539;1305.207;192.056;77.588;1240.077;244.533;46.592;1158.860;218.246;65.278;984.607;268.221;16.234;1012.758;267.044;-78.225;984.116;198.138;-205.936;1048.952;199.069;-213.685;979.163;226.730;-183.081;1012.071;-158.902;-43.698;1235.368;-147.426;20.500;1304.618;-152.429;92.252;1245.030;-214.322;13.781;1152.827;-198.187;90.241;985.980;-240.315;37.519;1017.417;-210.399;-34.527;1040.320;-171.948;-174.646;1038.506;-165.278;-179.942;970.531;-194.165;-154.096;1002.508;132.615;-130.359;869.059;-133.498;-100.883;870.187;113.978;69.544;939.633;-79.696;86.759;949.001
13.978;25.454;1597.852;92.006;-40.020;1544.787;-56.450;-50.957;1541.795;72.585;71.261;1447.925;-51.643;60.569;1451.701;19.127;100.001;1278.527;34.968;101.864;1113.592;84.356;112.703;1193.926;-35.655;115.351;1174.358;22.266;-79.010;1276.516;14.468;-149.486;1085.196;69.201;-116.872;1204.716;-51.496;-104.562;1211.827;184.405;-57.774;1238.213;182.002;18.195;1305.648;191.664;76.754;1239.684;244.926;44.287;1159.890;227.221;57.823;984.312;276.608;10.446;1016.632;276.216;-85.189;993.484;207.064;-208.143;1064.205;207.064;-221.188;995.396;235.166;-188.035;1026.098;-159.001;-43.257;1236.202;-146.887;20.795;1305.207;-152.331;92.154;1244.589;-217.265;13.291;1155.230;-207.260;86.612;985.784;-248.604;35.802;1022.125;-217.167;-32.663;1051.699;-178.422;-169.888;1064.205;-169.692;-182.738;997.505;-199.903;-154.047;1026.049;132.860;-129.721;869.010;-133.301;-100.344;870.138;114.174;70.133;939.682;-79.500;87.249;949.050
13.536;24.620;1598.686;91.614;-40.657;1545.424;-56.793;-51.741;1542.334;72.144;70.967;1448.955;-52.085;60.128;1452.633;19.323;99.854;1278.478;34.772;100.834;1113.788;84.356;111.722;1193.828;-35.900;114.371;1174.505;22.021;-79.451;1277.203;14.076;-150.369;1085.980;68.809;-117.264;1205.304;-51.741;-105.003;1212.808;184.062;-58.117;1240.371;181.168;18.195;1306.923;191.370;75.479;1239.292;245.759;41.785;1162.048;239.335;47.965;985.391;287.643;3.629;1023.400;288.428;-93.233;1008.638;219.079;-208.094;1088.089;217.608;-229.035;1021.390;246.103;-192.350;1048.462;-159.540;-42.129;1239.047;-146.004;21.776;1307.512;-152.134;92.448;1245.275;-220.600;13.928;1160.282;-216.431;81.413;987.304;-257.971;35.508;1029.923;-225.749;-27.857;1067.442;-189.506;-160.276;1098.830;-180.335;-183.768;1035.171;-210.644;-150.516;1059.153;133.252;-129.133;869.108;-132.958;-100.099;870.040;114.223;70.574;940.075;-79.451;87.347;949.442
13.438;23.541;1599.863;91.418;-41.491;1546.111;-57.087;-52.232;1542.972;72.144;70.918;1450.475;-52.134;60.275;1454.104;19.765;100.246;1278.184;34.576;98.725;1113.837;84.650;110.447;1193.338;-35.655;113.341;1174.554;21.579;-79.647;1278.625;13.389;-152.380;1087.893;68.122;-118.000;1206.972;-52.085;-105.690;1215.015;183.964;-57.970;1243.902;180.138;18.784;1309.032;191.271;74.547;1239.439;247.868;39.775;1165.579;250.615;36.734;987.942;298.433;-2.354;1031.983;302.111;-99.216;1028.060;233.498;-204.611;1117.516;233.008;-234.872;1054.494;260.276;-193.871;1077.153;-160.717;-39.628;1243.706;-144.778;24.473;1310.798;-151.350;93.870;1246.109;-223.837;16.724;1166.854;-224.768;75.135;989.609;-267.093;37.175;1039.094;-234.773;-20.746;1084.068;-204.170;-146.396;1134.583;-196.274;-180.923;1075.975;-225.161;-142.669;1094.759;133.547;-128.789;869.255;-132.615;-100.246;869.942;114.223;70.525;940.957;-79.500;86.906;950.178
13.928;22.119;1601.089;91.467;-42.570;1546.307;-57.038;-52.428;1543.168;72.732;71.310;1452.241;-51.594;61.305;1455.870;20.500;101.080;1277.301;34.674;95.489;1113.396;85.238;109.368;1192.112;-34.919;111.967;1173.965;21.089;-79.549;1280.342;12.408;-154.685;1090.198;67.190;-118.981;1209.179;-52.526;-106.278;1217.713;184.258;-57.185;1247.776;178.961;20.206;1311.043;191.320;74.694;1239.586;250.026;38.450;1168.669;259.639;25.846;991.080;307.359;-6.474;1040.615;314.470;-101.717;1048.364;246.544;-197.010;1147.236;248.457;-235.950;1089.168;273.665;-191.124;1106.922;-162.139;-36.096;1248.757;-142.963;28.347;1314.035;-149.878;96.322;1246.796;-226.142;21.972;1173.279;-230.212;71.653;992.454;-273.273;42.129;1047.089;-242.522;-11.869;1097.408;-220.305;-130.555;1162.489;-212.458;-173.027;1109.227;-240.021;-131.242;1122.911;133.645;-128.888;869.353;-132.419;-100.883;869.795;114.125;69.986;941.889;-79.647;85.974;950.962
14.860;20.697;1601.923;91.859;-43.747;1546.111;-56.695;-52.477;1542.972;73.909;71.702;1453.859;-50.515;62.580;1457.439;21.236;101.913;1275.682;35.017;92.056;1112.268;85.974;108.338;1190.297;-33.987;110.398;1172.592;20.697;-79.598;1281.813;11.574;-156.843;1092.209;66.504;-120.207;1211.239;-52.869;-106.818;1219.919;184.798;-56.155;1250.866;178.079;21.825;1312.416;191.419;75.233;1239.488;251.007;38.205;1170.434;264.690;17.852;993.238;312.802;-7.553;1046.353;323.543;-100.099;1064.107;259.688;-185.680;1171.758;259.786;-231.389;1118.840;285.093;-184.307;1131.150;-163.267;-32.565;1251.062;-141.541;31.731;1315.457;-147.917;98.922;1246.894;-226.485;28.936;1176.123;-229.231;74.547;993.238;-273.567;52.330;1050.375;-246.299;0.000;1104.029;-235.852;-113.831;1177.791;-226.044;-160.570;1128.452;-252.871;-116.774;1138.065;133.596;-129.525;869.402;-132.321;-102.159;869.697;113.684;68.956;942.527;-80.089;84.405;951.551
