UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18.162;32.565;1599.563;95.743;-33.640;1546.638;-52.876;-43.746;1543.855;76.800;77.386;1449.333;-47.505;67.474;1453.336;21.141;102.383;1283.674;36.227;104.580;1118.991;85.832;115.859;1198.769;-35.788;115.370;1179.240;24.802;-77.434;1279.963;17.186;-148.815;1088.379;72.357;-116.493;1207.362;-48.628;-106.729;1216.639;186.507;-53.023;1237.633;185.823;19.334;1308.720;195.783;80.852;1246.079;246.365;50.777;1160.101;210.089;75.286;987.655;260.768;25.681;1012.946;264.429;-65.717;976.475;205.011;-201.398;1031.938;203.790;-203.839;961.242;230.839;-174.789;996.346;-157.945;-44.137;1243.638;-145.641;20.311;1312.040;-151.500;91.593;1252.182;-211.211;11.620;1158.587;-184.603;81.292;989.559;-230.497;32.126;1019.440;-207.452;-43.307;1039.555;-185.237;-190.022;1029.595;-173.959;-189.192;961.632;-202.765;-163.462;993.514;135.193;-121.913;870.234;-130.799;-97.452;870.527;113.173;77.093;941.468;-80.901;90.373;950.745
18.114;32.761;1599.563;95.695;-33.395;1546.590;-52.925;-43.502;1543.807;76.751;77.679;1449.333;-47.554;67.719;1453.287;21.092;102.579;1283.576;36.178;104.532;1118.845;85.832;115.956;1198.623;-35.837;115.419;1179.093;24.802;-77.288;1280.012;17.186;-148.961;1088.574;72.357;-116.493;1207.509;-48.628;-106.680;1216.736;186.507;-52.876;1237.731;185.823;19.578;1308.720;195.783;80.999;1245.982;246.413;50.777;1160.101;210.284;74.993;987.558;260.963;25.437;1012.946;264.527;-66.059;976.719;204.718;-201.691;1032.427;203.839;-204.132;961.779;230.839;-175.033;996.834;-157.896;-44.039;1243.687;-145.592;20.457;1312.040;-151.500;91.642;1252.036;-211.358;11.571;1158.636;-184.993;81.047;989.511;-230.839;31.882;1019.537;-207.599;-43.453;1039.799;-185.188;-190.120;1030.230;-173.813;-189.485;962.316;-202.716;-163.755;994.100;135.144;-122.059;870.185;-130.799;-97.647;870.478;113.125;76.897;941.517;-80.950;90.177;950.745
18.162;32.907;1599.563;95.695;-33.200;1546.590;-52.827;-43.355;1543.807;76.751;77.874;1449.333;-47.505;67.914;1453.336;21.092;102.725;1283.381;36.130;104.385;1118.649;85.783;116.005;1198.379;-35.885;115.370;1178.898;24.851;-77.142;1280.110;17.186;-149.157;1088.721;72.308;-116.445;1207.606;-48.628;-106.631;1216.883;186.507;-52.730;1237.779;185.774;19.774;1308.623;195.734;81.145;1245.786;246.413;50.826;1160.003;210.479;74.749;987.460;261.109;25.144;1012.897;264.429;-66.400;976.816;204.034;-202.179;1032.866;203.644;-204.327;962.218;230.595;-175.277;997.322;-157.896;-43.893;1243.785;-145.544;20.652;1311.991;-151.500;91.789;1251.889;-211.456;11.571;1158.685;-185.530;80.706;989.413;-231.229;31.540;1019.635;-207.794;-43.648;1040.141;-184.944;-190.266;1031.157;-173.568;-189.827;963.292;-202.521;-164.048;994.979;135.144;-122.206;870.185;-130.848;-97.892;870.478;113.076;76.702;941.566;-80.999;89.933;950.793
18.309;33.005;1599.563;95.841;-33.054;1546.492;-52.681;-43.258;1543.807;76.849;78.020;1449.333;-47.457;68.060;1453.385;21.092;102.872;1283.185;36.032;104.239;1118.454;85.734;116.054;1198.183;-35.934;115.322;1178.751;24.851;-77.044;1280.061;17.186;-149.254;1088.769;72.308;-116.396;1207.606;-48.580;-106.582;1216.932;186.507;-52.632;1237.731;185.774;19.969;1308.476;195.734;81.243;1245.591;246.365;50.826;1159.808;210.674;74.554;987.216;261.158;24.851;1012.751;264.039;-66.840;976.816;202.863;-202.667;1033.257;202.911;-204.474;962.560;229.862;-175.570;997.713;-157.847;-43.844;1243.785;-145.495;20.799;1311.943;-151.549;91.789;1251.743;-211.504;11.474;1158.734;-185.970;80.364;989.267;-231.522;31.198;1019.684;-207.843;-43.746;1040.483;-184.700;-190.315;1032.378;-173.031;-190.217;964.513;-202.228;-164.390;996.004;135.144;-122.352;870.185;-130.848;-98.136;870.430;113.027;76.507;941.566;-81.096;89.640;950.793
18.504;33.054;1599.514;96.036;-32.956;1546.394;-52.486;-43.160;1543.807;76.946;78.167;1449.284;-47.310;68.109;1453.385;21.092;102.969;1283.039;35.983;104.190;1118.259;85.734;116.103;1197.988;-35.885;115.322;1178.556;24.949;-76.946;1280.012;17.235;-149.303;1088.769;72.357;-116.347;1207.557;-48.531;-106.582;1216.932;186.507;-52.534;1237.584;185.823;20.115;1308.281;195.734;81.340;1245.347;246.365;50.777;1159.564;210.674;74.407;986.972;261.061;24.510;1012.458;263.306;-67.328;976.670;201.007;-203.204;1033.501;201.789;-204.669;962.951;228.593;-175.765;998.055;-157.749;-43.795;1243.785;-145.446;20.897;1311.894;-151.500;91.886;1251.596;-211.504;11.376;1158.685;-186.116;79.973;989.071;-231.669;30.905;1019.635;-207.843;-43.795;1040.873;-184.456;-190.364;1033.794;-172.152;-190.657;966.124;-201.691;-164.682;997.176;135.144;-122.499;870.137;-130.848;-98.429;870.381;112.880;76.360;941.566;-81.194;89.396;950.745
18.748;33.151;1599.466;96.280;-32.858;1546.345;-52.241;-43.111;1543.758;77.142;78.264;1449.235;-47.115;68.207;1453.385;21.190;103.067;1282.893;35.983;104.239;1118.112;85.783;116.200;1197.744;-35.837;115.322;1178.410;25.047;-76.800;1279.914;17.284;-149.205;1088.721;72.454;-116.249;1207.509;-48.433;-106.485;1216.883;186.507;-52.388;1237.389;185.970;20.262;1308.037;195.832;81.487;1245.005;246.365;50.777;1159.222;210.674;74.261;986.630;260.865;24.070;1012.018;262.135;-67.865;976.426;198.615;-203.693;1033.745;199.787;-204.864;963.341;226.640;-175.961;998.348;-157.603;-43.795;1243.834;-145.348;20.994;1311.845;-151.451;91.935;1251.499;-211.358;11.278;1158.636;-186.214;79.632;988.876;-231.766;30.515;1019.635;-207.647;-43.795;1041.410;-184.456;-190.413;1035.503;-170.444;-191.047;968.175;-200.910;-164.975;998.494;135.144;-122.645;870.137;-130.896;-98.673;870.381;112.783;76.263;941.517;-81.292;89.201;950.696
19.139;33.249;1599.417;96.622;-32.761;1546.248;-51.900;-43.063;1543.855;77.337;78.313;1449.089;-46.920;68.207;1453.385;21.190;103.116;1282.746;35.934;104.239;1117.917;85.734;116.249;1197.549;-35.885;115.370;1178.263;25.144;-76.702;1279.768;17.332;-149.205;1088.623;72.552;-116.103;1207.362;-48.384;-106.338;1216.736;186.555;-52.290;1237.193;186.018;20.408;1307.841;195.832;81.584;1244.761;246.365;50.728;1158.978;210.919;74.066;986.386;260.719;23.435;1011.774;260.621;-68.744;976.426;194.904;-203.839;1033.940;197.199;-205.011;963.781;223.613;-176.156;998.787;-157.505;-43.893;1243.785;-145.299;20.994;1311.747;-151.451;91.837;1251.401;-211.211;10.985;1158.538;-186.360;79.241;988.681;-231.717;30.124;1019.733;-207.403;-43.648;1042.533;-184.505;-190.315;1038.237;-167.856;-191.340;971.544;-199.640;-165.268;1000.642;135.144;-122.792;870.039;-130.945;-98.819;870.332;112.685;76.116;941.468;-81.389;89.054;950.647
19.529;33.347;1599.319;96.964;-32.663;1546.101;-51.558;-43.014;1543.855;77.483;78.313;1448.893;-46.724;68.158;1453.336;21.141;103.213;1282.746;35.983;104.385;1117.868;85.832;116.396;1197.500;-36.032;115.468;1178.263;25.144;-76.458;1279.475;17.430;-148.912;1088.428;72.601;-115.712;1207.118;-48.335;-105.899;1216.395;186.360;-52.290;1237.242;186.018;20.457;1307.890;195.930;81.584;1244.859;246.658;50.240;1159.076;211.797;73.284;986.581;260.816;21.775;1012.214;258.424;-70.648;978.086;187.386;-204.132;1034.819;194.221;-205.353;965.148;218.437;-176.644;1001.131;-157.310;-44.137;1243.980;-145.299;20.848;1311.796;-151.500;91.545;1251.450;-211.260;10.107;1158.734;-187.434;77.776;988.534;-232.157;28.318;1020.367;-207.501;-44.283;1045.072;-184.993;-191.145;1043.607;-162.241;-192.073;978.574;-197.004;-166.440;1005.037;135.046;-122.938;870.039;-130.994;-98.917;870.332;112.685;76.067;941.370;-81.438;89.006;950.647
19.871;33.395;1599.319;97.257;-32.663;1545.955;-51.265;-43.014;1543.953;77.679;78.313;1448.796;-46.529;68.207;1453.434;21.141;103.311;1282.893;36.081;104.678;1118.112;85.979;116.396;1197.695;-36.178;115.810;1178.507;25.047;-76.019;1279.280;17.528;-148.229;1088.183;72.650;-115.224;1206.972;-48.287;-105.215;1216.102;185.774;-52.388;1237.926;185.872;20.359;1308.476;196.125;81.292;1245.347;247.243;48.628;1159.808;214.239;70.746;987.167;261.500;17.723;1013.434;255.055;-74.993;980.869;175.668;-205.206;1037.163;188.362;-207.110;968.516;210.186;-178.500;1005.134;-156.529;-44.234;1244.615;-145.251;20.848;1312.236;-151.842;91.007;1251.352;-211.846;7.714;1159.759;-191.633;72.113;987.851;-234.745;22.215;1021.588;-208.868;-47.750;1049.906;-184.798;-195.002;1053.763;-151.793;-195.002;993.319;-191.877;-171.030;1014.167;134.949;-122.987;870.039;-131.092;-98.526;870.381;112.783;76.116;941.273;-81.292;89.396;950.549
