UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30.274;32.423;1598.684;107.914;-34.132;1546.339;-40.724;-43.996;1543.067;89.554;76.467;1448.435;-34.816;66.750;1452.000;33.058;100.980;1281.828;45.167;101.908;1116.882;96.634;113.187;1195.791;-25.929;114.359;1178.993;34.816;-78.713;1278.557;22.120;-150.298;1087.437;79.885;-118.705;1205.361;-39.552;-107.181;1216.690;194.635;-58.596;1235.538;197.663;15.577;1304.534;207.136;75.002;1238.370;254.940;38.575;1152.479;215.144;50.050;978.987;264.852;1.270;1007.259;265.096;-92.044;981.233;201.960;-218.318;1051.596;204.255;-230.232;982.014;229.744;-196.930;1015.316;-146.343;-45.656;1246.476;-133.891;19.874;1313.519;-141.215;89.944;1252.384;-200.251;5.274;1160.487;-173.345;67.287;988.606;-219.001;18.848;1020.004;-199.128;-56.594;1040.561;-180.084;-202.106;1033.285;-165.191;-207.038;966.633;-194.879;-177.691;994.612;136.528;-128.129;868.729;-129.008;-96.487;871.366;119.779;71.536;940.460;-73.733;89.993;950.812
30.030;32.716;1598.684;107.816;-33.692;1546.339;-40.773;-43.898;1543.067;89.163;76.858;1448.435;-35.157;66.848;1452.000;32.716;101.126;1281.731;44.777;101.908;1116.784;96.243;113.383;1195.693;-26.319;114.310;1178.944;34.816;-78.616;1278.606;22.218;-150.493;1087.584;79.885;-118.656;1205.459;-39.552;-107.328;1216.787;194.635;-58.107;1235.538;197.467;16.065;1304.534;206.843;75.442;1238.370;254.696;39.210;1152.479;214.753;50.588;978.987;264.608;1.953;1007.210;265.096;-91.360;981.184;202.399;-217.829;1051.596;204.645;-229.744;982.014;230.086;-196.344;1015.316;-146.440;-45.900;1246.525;-134.038;19.678;1313.519;-141.508;89.749;1252.335;-200.397;4.834;1160.438;-173.443;66.799;988.557;-219.099;18.360;1019.955;-199.225;-57.033;1040.512;-180.084;-202.448;1033.334;-165.142;-207.575;966.730;-194.879;-178.131;994.612;136.528;-128.080;868.778;-129.008;-96.780;871.317;119.535;71.536;940.460;-74.026;89.798;950.812
29.835;32.862;1598.684;107.718;-33.351;1546.241;-40.773;-43.800;1543.067;88.821;77.200;1448.435;-35.450;66.946;1452.049;32.374;101.224;1281.633;44.435;101.908;1116.686;95.902;113.480;1195.595;-26.661;114.213;1178.847;34.718;-78.567;1278.655;22.218;-150.640;1087.682;79.885;-118.559;1205.508;-39.601;-107.425;1216.934;194.538;-57.766;1235.538;197.223;16.407;1304.485;206.550;75.833;1238.321;254.500;39.650;1152.479;214.655;50.978;978.987;264.608;2.441;1007.259;265.243;-90.872;981.184;202.643;-217.487;1051.548;204.841;-229.304;982.014;230.281;-195.905;1015.267;-146.587;-46.046;1246.525;-134.233;19.581;1313.470;-141.850;89.554;1252.238;-200.592;4.590;1160.389;-173.590;66.457;988.508;-219.245;18.067;1019.906;-199.420;-57.375;1040.414;-180.426;-202.790;1033.285;-165.582;-208.015;966.730;-195.221;-178.473;994.612;136.479;-128.080;868.778;-129.057;-97.025;871.317;119.291;71.584;940.460;-74.319;89.603;950.812
29.688;33.009;1598.636;107.669;-33.058;1546.192;-40.870;-43.751;1543.116;88.577;77.444;1448.387;-35.695;67.043;1452.098;32.081;101.370;1281.535;44.093;101.810;1116.540;95.609;113.627;1195.449;-27.003;114.115;1178.700;34.620;-78.469;1278.703;22.120;-150.786;1087.730;79.788;-118.510;1205.605;-39.699;-107.523;1216.983;194.489;-57.424;1235.538;196.979;16.749;1304.437;206.257;76.126;1238.272;254.354;40.040;1152.527;214.851;51.222;978.987;264.755;2.686;1007.357;265.389;-90.677;981.282;202.887;-217.341;1051.743;204.645;-228.962;982.161;230.379;-195.709;1015.365;-146.733;-46.193;1246.525;-134.428;19.483;1313.421;-142.094;89.456;1252.091;-200.837;4.444;1160.487;-174.273;66.262;988.508;-219.782;17.774;1019.955;-199.713;-57.668;1040.414;-180.133;-202.887;1033.334;-165.679;-208.259;966.682;-195.172;-178.717;994.661;136.430;-128.080;868.827;-129.155;-97.318;871.268;118.998;71.536;940.509;-74.563;89.358;950.812
29.493;33.204;1598.636;107.523;-32.814;1546.144;-40.968;-43.605;1543.116;88.284;77.737;1448.387;-35.987;67.190;1452.146;31.788;101.468;1281.389;43.800;101.761;1116.442;95.316;113.724;1195.302;-27.296;114.017;1178.554;34.523;-78.372;1278.703;22.022;-150.884;1087.779;79.641;-118.461;1205.605;-39.845;-107.572;1217.031;194.293;-57.082;1235.538;196.735;16.993;1304.388;206.013;76.370;1238.175;254.305;40.187;1152.576;215.388;50.929;978.938;265.194;2.441;1007.503;265.585;-91.116;981.623;203.376;-217.780;1052.915;203.913;-228.962;983.235;230.379;-195.856;1016.146;-146.929;-46.339;1246.525;-134.575;19.385;1313.372;-142.387;89.358;1252.042;-201.178;4.297;1160.535;-175.006;66.311;988.557;-220.320;17.676;1020.052;-199.958;-57.668;1040.463;-179.742;-202.790;1033.529;-165.582;-208.259;966.779;-194.977;-178.717;994.856;136.333;-128.129;868.827;-129.252;-97.562;871.220;118.803;71.438;940.509;-74.807;89.114;950.812
29.249;33.448;1598.587;107.279;-32.521;1546.144;-41.163;-43.458;1543.067;88.040;77.981;1448.289;-36.232;67.336;1452.049;31.446;101.566;1281.243;43.410;101.663;1116.198;94.925;113.871;1195.107;-27.686;113.871;1178.407;34.327;-78.274;1278.557;21.876;-150.933;1087.779;79.446;-118.363;1205.556;-40.040;-107.621;1216.983;194.000;-56.740;1235.440;196.442;17.383;1304.144;205.671;76.663;1237.784;254.207;40.040;1152.381;216.950;49.416;978.450;266.464;1.074;1007.699;266.122;-92.923;982.893;204.645;-219.685;1056.870;201.862;-229.402;986.995;230.476;-196.833;1019.027;-147.222;-46.486;1246.427;-134.868;19.288;1313.275;-142.680;89.212;1251.994;-201.423;4.248;1160.487;-175.396;66.408;988.557;-220.710;17.774;1020.052;-200.153;-57.277;1040.512;-179.547;-202.448;1034.360;-165.435;-208.161;967.658;-194.782;-178.521;995.638;136.235;-128.178;868.778;-129.399;-97.904;871.171;118.510;71.340;940.509;-75.100;88.870;950.763
29.054;33.790;1598.489;107.084;-32.276;1546.095;-41.408;-43.117;1543.019;87.845;78.128;1448.191;-36.427;67.580;1451.902;30.958;101.712;1280.950;42.970;101.517;1115.905;94.437;114.066;1194.765;-28.272;113.676;1178.114;34.083;-78.079;1278.410;21.729;-150.835;1087.682;79.251;-117.973;1205.410;-40.285;-107.523;1216.836;193.463;-56.252;1235.587;196.002;17.969;1303.900;205.231;76.956;1237.198;254.207;39.015;1152.088;220.759;45.070;977.424;269.589;-2.783;1008.480;267.880;-97.659;986.506;209.040;-224.324;1066.294;197.956;-230.281;996.565;231.990;-199.665;1026.303;-147.612;-46.925;1246.427;-135.161;19.044;1313.226;-143.022;88.870;1251.945;-201.715;3.809;1160.438;-176.275;66.164;988.606;-221.345;17.335;1020.345;-200.348;-56.935;1041.538;-178.326;-202.155;1037.582;-164.361;-208.600;970.979;-193.805;-178.521;998.470;136.088;-128.129;868.778;-129.545;-98.245;871.122;118.217;71.389;940.509;-75.442;88.626;950.714
29.298;34.083;1598.538;106.986;-32.130;1545.899;-41.554;-42.579;1543.214;87.796;78.323;1448.094;-36.476;68.166;1452.146;29.981;102.054;1280.705;42.042;101.468;1115.661;93.558;114.554;1194.423;-29.298;113.529;1177.968;33.839;-77.688;1278.362;21.778;-150.542;1087.682;79.153;-117.338;1205.410;-40.431;-107.377;1216.738;192.731;-55.471;1236.759;195.075;19.337;1304.095;204.450;77.542;1236.466;254.354;36.964;1152.479;228.132;36.280;976.643;275.741;-10.645;1011.165;272.274;-106.742;993.831;212.800;-231.453;1079.820;194.196;-233.357;1011.019;234.480;-206.159;1037.338;-147.612;-47.658;1246.573;-135.649;18.555;1313.226;-143.950;88.186;1251.847;-202.350;2.393;1160.731;-178.766;64.260;988.508;-222.908;14.942;1021.029;-200.055;-57.619;1044.223;-174.664;-202.008;1044.565;-159.917;-210.944;978.450;-190.289;-179.986;1004.525;136.137;-127.787;868.827;-129.594;-98.685;871.024;117.728;71.731;940.509;-76.028;88.382;950.665
29.688;34.474;1598.636;106.888;-32.032;1545.607;-41.701;-41.847;1543.556;87.747;78.616;1447.996;-36.573;68.948;1452.635;28.712;102.689;1280.364;40.919;101.468;1115.319;92.337;115.189;1194.033;-30.616;113.578;1177.577;33.497;-76.956;1278.459;22.169;-150.103;1087.828;79.055;-116.459;1205.654;-40.480;-107.084;1216.690;191.608;-54.738;1239.102;193.805;21.143;1304.778;203.425;77.835;1235.636;255.135;33.448;1153.943;239.998;22.803;977.375;284.677;-23.341;1016.683;277.206;-120.805;1004.964;211.823;-239.803;1097.057;188.043;-238.582;1029.232;234.236;-216.267;1051.694;-147.466;-48.244;1246.866;-136.430;18.360;1313.226;-145.366;87.405;1251.163;-202.936;-0.049;1160.926;-181.402;59.426;987.483;-224.617;10.059;1021.517;-199.372;-59.719;1048.520;-169.488;-202.350;1056.919;-154.009;-215.730;991.731;-185.358;-183.307;1015.462;136.381;-127.153;868.925;-129.496;-99.124;870.975;116.996;72.317;940.607;-76.809;88.186;950.665
