UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
27.511;33.267;1598.286;103.460;-34.438;1544.775;-45.364;-41.169;1542.629;86.729;77.363;1448.047;-37.755;70.241;1452.242;27.511;101.996;1277.175;40.242;98.679;1112.254;91.021;113.557;1191.080;-31.072;111.411;1174.008;31.950;-77.949;1277.663;19.365;-152.580;1087.718;76.924;-118.630;1205.617;-42.730;-107.216;1216.543;192.188;-55.413;1234.689;193.359;19.755;1302.296;200.871;78.631;1235.518;248.479;42.877;1148.984;205.944;52.340;975.625;257.357;4.341;1002.892;256.284;-90.582;976.161;195.700;-219.358;1046.354;192.091;-226.675;976.112;221.017;-196.091;1007.282;-149.556;-45.998;1245.908;-138.190;20.146;1311.125;-146.434;88.777;1246.835;-205.359;0.683;1159.325;-182.823;53.218;983.917;-227.894;7.951;1020.306;-206.578;-63.900;1047.915;-185.359;-211.212;1056.256;-179.847;-218.919;988.161;-205.359;-188.823;1018.355;133.654;-134.190;868.019;-132.093;-102.679;870.604;116.386;65.364;939.382;-76.875;83.900;949.674
27.609;33.170;1598.286;103.655;-34.389;1544.775;-45.120;-41.364;1542.678;86.777;77.412;1448.096;-37.755;70.046;1452.242;27.658;101.996;1277.273;40.340;98.728;1112.303;91.119;113.606;1191.129;-30.975;111.411;1174.057;32.145;-77.900;1277.712;19.609;-152.385;1087.621;77.168;-118.532;1205.568;-42.486;-107.216;1216.543;192.286;-55.315;1234.689;193.505;19.853;1302.345;201.017;78.729;1235.567;248.674;42.974;1149.082;206.383;52.437;975.771;257.698;4.341;1003.038;256.674;-90.533;975.966;195.944;-219.553;1045.622;192.579;-226.675;975.283;221.407;-196.140;1006.648;-149.458;-45.852;1245.908;-137.995;20.146;1311.223;-146.239;88.826;1246.981;-205.310;0.927;1159.521;-182.920;53.608;984.112;-228.090;8.390;1020.550;-206.725;-63.412;1048.207;-185.896;-210.773;1056.597;-180.335;-218.431;988.453;-205.846;-188.335;1018.647;133.800;-134.044;868.019;-131.947;-102.679;870.604;116.484;65.559;939.333;-76.827;83.948;949.674
27.706;33.023;1598.286;103.850;-34.438;1544.775;-44.876;-41.608;1542.678;86.729;77.314;1448.145;-37.706;69.802;1452.291;27.853;101.948;1277.370;40.438;98.923;1112.400;91.314;113.655;1191.276;-30.779;111.411;1174.203;32.340;-77.900;1277.663;19.853;-152.287;1087.621;77.363;-118.337;1205.519;-42.340;-107.167;1216.494;192.481;-55.218;1234.640;193.701;19.804;1302.394;201.164;78.778;1235.664;248.869;43.169;1149.179;206.578;52.827;975.868;257.942;4.732;1003.038;257.064;-90.046;975.673;196.481;-219.407;1044.744;193.164;-226.285;974.454;221.895;-195.847;1005.867;-149.312;-45.755;1245.957;-137.800;20.097;1311.369;-145.995;88.875;1247.127;-205.310;1.171;1159.716;-183.262;53.998;984.405;-228.382;8.927;1020.891;-207.164;-62.925;1048.451;-186.823;-210.334;1056.841;-180.628;-217.944;988.746;-206.432;-187.847;1018.794;134.044;-133.800;868.019;-131.703;-102.679;870.604;116.533;65.754;939.333;-76.778;83.997;949.674
27.950;32.731;1598.286;104.143;-34.633;1544.727;-44.584;-41.901;1542.678;86.924;77.217;1448.145;-37.511;69.607;1452.388;27.999;101.996;1277.468;40.535;99.070;1112.498;91.411;113.752;1191.324;-30.731;111.460;1174.301;32.535;-77.851;1277.663;19.999;-152.141;1087.572;77.558;-118.240;1205.421;-42.194;-107.069;1216.494;192.676;-55.022;1234.494;193.847;19.902;1302.345;201.261;78.924;1235.713;248.967;43.559;1149.179;206.481;53.559;975.966;258.040;5.512;1002.989;257.406;-89.216;975.283;197.115;-219.017;1043.964;193.896;-225.602;973.673;222.578;-195.213;1005.136;-149.166;-45.657;1246.103;-137.605;20.097;1311.564;-145.849;88.875;1247.371;-205.310;1.366;1160.008;-183.408;54.340;984.697;-228.577;9.317;1021.233;-207.554;-62.486;1048.744;-188.237;-209.895;1057.280;-181.018;-217.651;989.283;-207.115;-187.359;1019.086;134.239;-133.703;868.019;-131.508;-102.582;870.604;116.679;65.900;939.333;-76.631;84.095;949.723
28.438;32.487;1598.286;104.533;-34.828;1544.532;-44.194;-42.145;1542.727;87.119;77.070;1448.096;-37.267;69.412;1452.535;27.999;101.996;1277.516;40.584;99.216;1112.547;91.411;113.850;1191.373;-30.731;111.557;1174.447;32.633;-77.802;1277.614;20.146;-151.946;1087.474;77.705;-118.045;1205.373;-42.096;-106.972;1216.397;192.823;-54.779;1234.396;193.896;20.048;1302.345;201.261;79.168;1235.762;248.967;44.096;1149.228;206.383;54.242;976.064;258.137;6.390;1002.941;257.796;-88.338;974.942;197.896;-218.627;1043.183;194.822;-224.919;972.844;223.358;-194.579;1004.453;-149.019;-45.559;1246.103;-137.556;19.999;1311.613;-145.800;88.826;1247.469;-205.212;1.317;1160.008;-183.408;54.291;984.746;-228.529;9.366;1021.574;-207.846;-62.095;1049.476;-189.896;-209.261;1059.036;-180.238;-217.749;991.429;-207.310;-187.018;1020.355;134.386;-133.605;868.019;-131.410;-102.484;870.604;116.776;66.046;939.333;-76.534;84.192;949.723
29.170;32.340;1598.139;105.070;-35.023;1544.239;-43.608;-42.389;1542.971;87.314;76.729;1447.706;-37.072;69.022;1452.584;27.853;101.948;1277.663;40.535;99.460;1112.742;91.314;113.898;1191.568;-30.828;111.801;1174.691;32.535;-77.753;1277.516;20.243;-151.556;1087.279;77.705;-117.947;1205.275;-42.096;-106.582;1216.055;192.823;-54.681;1234.494;193.749;20.048;1302.491;201.066;79.314;1236.054;248.869;44.486;1149.521;206.481;54.827;976.405;258.332;7.073;1003.233;258.381;-87.607;974.600;198.774;-218.578;1042.061;195.896;-224.382;971.625;224.236;-194.091;1003.526;-148.775;-45.072;1246.249;-137.654;20.146;1311.808;-146.092;88.875;1247.517;-205.115;0.878;1160.155;-183.603;52.681;984.600;-228.334;7.902;1022.111;-207.749;-62.193;1052.012;-190.481;-208.578;1065.134;-176.530;-218.919;998.599;-205.603;-187.408;1025.330;134.434;-133.556;868.067;-131.361;-102.192;870.604;116.923;66.144;939.382;-76.388;84.436;949.674
30.731;32.243;1597.896;106.045;-35.560;1543.654;-42.633;-42.389;1543.458;88.046;75.997;1446.925;-36.291;68.778;1452.681;27.999;102.045;1277.712;40.633;99.558;1112.888;91.558;113.752;1191.617;-30.731;112.338;1174.837;32.194;-77.607;1277.516;19.902;-151.068;1087.182;77.412;-117.947;1205.275;-42.389;-105.850;1215.958;192.676;-55.071;1234.737;193.652;19.707;1302.686;201.164;78.436;1236.103;248.430;44.242;1150.301;207.164;55.315;977.137;258.967;7.561;1004.014;259.503;-87.021;974.259;199.798;-219.212;1039.720;197.359;-223.895;969.186;225.456;-193.993;1001.672;-148.336;-44.145;1247.176;-137.556;21.219;1312.247;-146.239;89.509;1247.225;-204.725;-0.390;1160.935;-184.823;46.633;983.673;-228.382;2.390;1023.525;-206.578;-64.095;1058.451;-188.091;-208.481;1081.279;-167.994;-222.822;1017.233;-200.334;-190.140;1039.769;134.190;-133.410;868.214;-131.508;-101.801;870.555;116.972;66.290;939.479;-76.339;84.826;949.723
34.535;32.194;1597.554;108.338;-36.487;1542.336;-40.389;-41.999;1544.580;89.753;74.827;1445.462;-34.535;68.778;1453.266;28.438;102.435;1277.614;41.121;99.362;1112.790;92.046;113.362;1191.666;-30.438;113.069;1174.544;31.706;-77.217;1277.614;19.170;-150.434;1087.230;76.827;-117.801;1205.324;-42.730;-105.021;1216.104;192.384;-55.900;1235.323;193.457;19.170;1303.223;201.408;77.363;1236.396;248.382;43.608;1151.618;209.212;55.754;978.600;260.723;7.707;1005.477;261.747;-86.485;973.088;200.676;-221.212;1033.866;200.091;-223.358;963.283;227.553;-194.432;997.087;-147.458;-43.169;1248.981;-137.215;23.072;1312.832;-146.434;90.094;1246.054;-204.286;-4.146;1162.447;-187.018;33.218;981.917;-229.163;-8.536;1025.964;-205.066;-67.851;1069.231;-183.213;-206.285;1110.498;-156.677;-227.894;1051.183;-192.823;-194.188;1066.841;133.556;-133.312;868.262;-132.093;-101.021;870.555;116.874;66.437;939.626;-76.388;85.460;949.723
40.682;31.804;1597.115;112.191;-37.804;1540.141;-36.487;-41.608;1546.288;92.338;73.558;1443.559;-31.755;68.876;1454.632;28.828;103.362;1277.614;41.413;99.558;1112.839;92.533;113.264;1191.666;-30.292;114.094;1174.447;31.170;-76.290;1277.858;18.146;-149.507;1087.474;76.046;-117.264;1205.617;-43.169;-104.240;1216.641;191.993;-56.242;1236.201;193.213;19.024;1304.052;201.700;76.729;1236.884;249.211;42.974;1153.374;212.871;55.998;980.649;263.454;6.975;1007.184;265.161;-86.143;969.917;202.334;-224.626;1021.428;204.286;-222.382;950.894;230.626;-195.505;987.136;-146.141;-42.438;1252.834;-136.776;25.609;1314.052;-146.727;90.533;1244.444;-203.310;-10.439;1165.911;-188.628;9.658;981.673;-229.846;-26.584;1031.232;-203.017;-74.973;1084.401;-176.043;-201.164;1150.692;-144.434;-231.309;1097.962;-183.896;-197.896;1105.718;132.337;-133.215;868.360;-133.069;-99.753;870.799;116.679;66.583;939.723;-76.534;86.485;949.821
