UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.205;36.951;1597.654;94.187;-31.575;1546.675;-54.547;-39.493;1543.253;77.519;77.617;1446.818;-46.922;69.601;1450.044;17.889;101.029;1279.267;31.721;100.247;1114.648;82.016;114.373;1193.536;-40.764;111.147;1176.087;25.123;-79.132;1278.338;14.810;-154.501;1088.596;71.312;-118.967;1206.537;-48.535;-109.730;1216.850;185.490;-54.156;1236.499;185.001;20.724;1304.488;192.577;79.963;1238.454;242.285;44.821;1151.941;201.228;55.916;979.355;251.865;6.550;1004.772;252.940;-86.611;966.892;192.137;-222.881;1019.435;191.013;-223.125;948.612;218.579;-195.900;983.950;-157.776;-50.393;1243.635;-147.267;14.810;1310.548;-155.625;85.047;1249.892;-212.910;0.440;1157.122;-186.663;66.473;986.638;-232.412;17.498;1016.747;-214.327;-61.097;1031.019;-194.776;-207.484;1012.641;-185.832;-203.183;944.848;-213.056;-178.353;977.058;130.503;-130.014;868.893;-135.537;-104.353;869.772;109.485;68.722;940.742;-84.411;83.287;949.638
17.254;36.951;1597.605;94.138;-31.721;1546.675;-54.547;-39.444;1543.253;77.617;77.422;1446.769;-46.824;69.552;1449.947;17.987;100.932;1279.120;31.721;100.052;1114.501;82.065;114.226;1193.389;-40.666;111.049;1175.989;25.123;-79.181;1278.192;14.663;-154.501;1088.499;71.214;-119.016;1206.391;-48.633;-109.730;1216.753;185.490;-54.205;1236.304;185.001;20.528;1304.292;192.626;79.817;1238.308;242.236;44.772;1151.746;201.179;55.916;979.258;251.816;6.550;1004.674;252.940;-86.611;966.794;191.941;-222.832;1019.239;191.159;-223.076;948.367;218.531;-195.852;983.852;-157.825;-50.295;1243.489;-147.219;14.859;1310.451;-155.528;85.095;1249.794;-212.910;0.684;1157.025;-186.516;66.718;986.589;-232.412;17.889;1016.698;-214.523;-60.706;1030.970;-195.509;-207.240;1012.641;-186.467;-202.988;944.897;-213.643;-178.011;977.009;130.405;-130.258;868.844;-135.635;-104.500;869.724;109.485;68.477;940.645;-84.362;83.140;949.589
17.351;36.951;1597.458;94.187;-31.819;1546.675;-54.498;-39.395;1543.156;77.862;77.226;1446.672;-46.580;69.504;1449.800;18.036;100.834;1279.022;31.770;99.856;1114.355;82.163;114.129;1193.243;-40.666;110.805;1175.891;25.123;-79.181;1277.947;14.614;-154.550;1088.352;71.165;-118.919;1206.146;-48.731;-109.730;1216.606;185.441;-53.961;1235.961;185.050;20.480;1303.999;192.675;79.817;1238.063;242.383;44.625;1151.550;202.303;54.987;979.062;252.843;5.572;1005.016;253.527;-87.833;968.016;189.449;-223.125;1020.510;192.430;-223.956;949.736;218.237;-196.585;985.807;-157.825;-50.246;1243.342;-147.170;14.712;1310.353;-155.381;84.949;1249.843;-212.959;0.684;1157.025;-186.809;66.669;986.687;-232.656;17.889;1016.991;-214.816;-60.559;1031.410;-195.949;-207.191;1013.374;-186.956;-202.939;945.581;-214.034;-177.962;977.596;130.356;-130.405;868.795;-135.684;-104.646;869.675;109.485;68.379;940.596;-84.362;82.994;949.540
17.547;36.951;1597.312;94.382;-31.868;1546.626;-54.303;-39.395;1543.058;78.106;77.080;1446.476;-46.287;69.455;1449.604;17.742;100.785;1279.071;31.330;100.003;1114.501;81.918;113.884;1193.096;-41.301;110.609;1176.087;25.123;-78.839;1277.556;14.663;-154.110;1088.059;71.214;-118.185;1205.755;-48.780;-109.143;1216.166;184.756;-53.570;1236.059;184.756;20.871;1304.097;192.381;79.963;1237.672;242.920;43.452;1151.844;209.097;49.904;978.964;258.072;0.098;1007.704;256.411;-94.431;974.419;180.015;-225.373;1026.620;195.216;-228.746;957.556;216.038;-200.935;994.996;-157.434;-50.539;1243.880;-147.121;14.174;1310.939;-155.772;84.167;1250.234;-213.643;-0.782;1158.149;-190.182;63.687;987.567;-234.807;14.517;1019.337;-215.158;-62.905;1035.515;-192.088;-209.488;1019.972;-187.494;-205.676;951.837;-213.056;-180.895;984.243;130.307;-130.160;868.844;-135.684;-104.500;869.724;109.436;68.575;940.596;-84.509;83.091;949.540
17.987;36.854;1597.458;94.724;-32.015;1546.675;-53.912;-39.346;1543.058;78.595;77.080;1446.672;-45.847;69.552;1449.751;17.303;101.372;1278.974;30.597;99.856;1114.452;81.283;114.471;1192.803;-41.986;110.903;1176.184;25.416;-78.008;1277.507;15.005;-152.839;1087.814;71.508;-117.061;1205.658;-48.486;-108.214;1216.068;183.632;-52.641;1238.063;183.974;22.728;1304.683;191.941;80.599;1236.646;243.947;39.297;1153.310;227.475;34.556;980.040;270.878;-16.374;1015.280;261.592;-113.053;989.375;161.149;-232.167;1038.644;193.896;-241.845;976.521;208.266;-213.252;1014.352;-156.163;-50.930;1245.639;-146.437;14.468;1311.770;-156.554;83.483;1249.745;-215.647;-5.230;1161.179;-202.303;52.103;988.007;-243.116;2.639;1024.371;-216.429;-71.508;1045.340;-178.011;-217.064;1038.741;-188.569;-217.113;971.388;-209.195;-191.892;1005.163;130.356;-129.085;869.039;-135.635;-103.815;869.772;109.241;69.699;940.645;-84.753;83.922;949.589
18.476;36.218;1597.947;95.115;-32.210;1546.382;-53.570;-39.249;1542.765;79.181;77.959;1447.600;-45.309;70.628;1450.582;17.009;103.522;1277.996;29.913;100.785;1113.426;80.794;116.230;1191.581;-42.670;112.125;1175.305;26.052;-75.809;1278.045;15.494;-150.982;1088.303;72.045;-115.008;1206.097;-47.655;-106.504;1216.802;181.726;-51.370;1242.707;183.046;26.492;1305.416;191.795;80.550;1233.566;247.222;30.353;1156.585;253.967;5.377;985.514;286.617;-46.482;1029.943;263.791;-143.553;1013.374;135.586;-241.161;1053.209;183.534;-262.129;1005.554;192.186;-231.385;1041.674;-154.159;-51.028;1249.696;-145.166;16.667;1312.943;-157.385;82.798;1247.203;-218.922;-13.832;1167.582;-223.076;28.104;989.962;-256.459;-20.968;1034.245;-218.824;-88.566;1061.860;-159.047;-228.697;1067.237;-185.294;-238.277;1005.016;-200.690;-210.319;1038.741;130.649;-127.228;869.284;-135.439;-102.740;869.870;108.850;71.605;940.742;-85.193;85.242;949.589
18.769;35.045;1599.022;95.311;-32.357;1545.942;-53.374;-38.906;1541.885;79.817;80.257;1449.898;-44.674;73.267;1452.439;17.449;107.090;1276.530;29.620;102.007;1111.862;81.088;118.430;1189.870;-43.208;114.080;1174.132;26.687;-72.632;1279.071;16.032;-148.783;1089.378;72.387;-112.516;1207.124;-46.580;-104.255;1218.317;177.962;-51.419;1249.452;182.459;30.206;1306.345;193.017;78.399;1229.754;254.749;14.517;1164.161;277.330;-34.312;999.297;296.001;-85.535;1051.889;257.730;-178.549;1042.652;108.410;-249.568;1068.166;162.810;-282.560;1037.471;168.285;-249.177;1070.609;-151.080;-50.588;1256.539;-143.308;20.626;1314.752;-157.238;81.576;1243.440;-222.343;-26.149;1178.091;-244.191;-6.843;997.684;-268.728;-52.934;1050.667;-220.339;-110.023;1084.588;-139.447;-239.499;1103.504;-175.616;-261.640;1050.472;-187.787;-229.430;1080.874;131.187;-125.028;869.675;-135.097;-101.518;870.212;108.508;73.756;940.938;-85.584;86.611;949.736
18.769;33.628;1600.195;95.213;-32.406;1545.306;-53.423;-38.075;1540.467;80.697;83.238;1452.781;-43.843;76.786;1454.688;18.964;110.952;1275.161;30.353;103.962;1110.249;82.945;120.141;1188.599;-42.719;116.279;1172.959;27.029;-69.259;1280.147;16.130;-146.925;1090.796;72.192;-110.561;1208.444;-45.651;-102.105;1220.223;173.270;-52.299;1256.685;181.726;32.406;1307.811;196.536;75.955;1229.021;259.685;-3.568;1175.109;290.625;-75.564;1020.510;295.024;-123.660;1078.625;244.240;-210.808;1071.978;83.336;-258.659;1080.727;137.834;-300.351;1063.473;141.891;-265.013;1094.071;-147.023;-49.122;1265.386;-140.767;25.954;1317.049;-157.043;81.527;1240.947;-223.272;-38.564;1192.314;-259.783;-45.994;1013.130;-276.010;-85.975;1073.835;-218.873;-130.503;1112.106;-120.776;-245.853;1143.779;-161.197;-279.481;1100.718;-172.488;-243.458;1126.378;131.627;-123.073;870.212;-134.706;-100.345;870.554;108.312;75.760;941.231;-85.780;87.979;949.931
18.573;32.455;1601.124;94.920;-32.357;1544.622;-53.765;-36.951;1538.806;81.576;86.220;1455.567;-42.963;80.452;1456.692;20.724;113.933;1273.646;31.428;105.526;1108.978;84.851;121.069;1187.817;-41.790;117.892;1172.079;27.322;-66.327;1280.978;15.787;-145.361;1091.969;71.703;-108.850;1209.665;-44.918;-100.199;1221.983;169.311;-52.494;1262.649;180.944;34.116;1309.229;199.468;74.196;1229.168;259.636;-17.791;1185.569;293.460;-110.903;1043.874;286.421;-153.426;1105.019;227.182;-236.664;1098.421;61.928;-269.216;1090.600;113.933;-316.236;1083.024;117.746;-279.187;1111.471;-143.015;-46.922;1274.721;-137.785;30.890;1319.933;-157.043;81.967;1240.409;-222.001;-47.460;1207.661;-267.261;-81.430;1034.000;-277.477;-114.031;1100.082;-214.767;-147.414;1140.406;-104.353;-248.688;1182.050;-144.481;-290.527;1146.711;-157.043;-252.403;1168.071;131.920;-121.753;870.652;-134.462;-99.368;870.848;108.361;77.080;941.378;-85.731;89.103;949.980
