UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
15.622;32.464;1597.716;94.219;-34.270;1546.848;-54.334;-43.009;1539.769;79.085;77.230;1449.407;-45.303;68.394;1449.553;21.919;103.445;1277.958;35.832;100.956;1112.758;86.066;115.845;1192.087;-35.637;113.697;1174.415;27.973;-75.619;1277.177;17.623;-150.262;1087.275;73.715;-115.113;1205.317;-46.328;-104.324;1214.934;188.584;-50.283;1232.508;188.535;22.749;1303.099;196.737;83.088;1237.976;246.482;53.553;1154.448;210.845;76.351;983.244;260.054;24.458;1006.481;259.272;-66.246;960.006;206.891;-202.058;1006.530;187.412;-201.667;938.331;223.489;-175.061;969.135;-154.216;-44.815;1240.515;-143.476;18.990;1310.031;-150.506;90.557;1249.204;-209.527;10.691;1157.377;-189.463;88.068;992.324;-231.593;34.124;1019.076;-207.232;-43.839;1027.912;-180.822;-186.729;998.426;-166.177;-177.698;931.789;-197.225;-156.218;964.205;134.103;-129.270;868.765;-132.150;-102.274;870.035;113.502;69.859;939.893;-80.110;85.383;949.120
16.500;33.245;1597.716;94.756;-33.636;1546.506;-53.797;-42.179;1540.111;79.378;77.816;1449.065;-45.010;69.175;1449.749;21.578;104.031;1277.909;35.540;101.151;1112.758;85.969;115.894;1191.892;-36.223;113.990;1174.513;27.777;-74.838;1277.226;17.721;-149.627;1087.421;73.666;-114.234;1205.463;-46.426;-103.543;1214.836;188.096;-49.941;1234.119;188.096;23.433;1304.271;196.785;83.332;1238.659;247.410;51.552;1155.376;213.432;72.251;983.878;260.688;18.746;1007.701;255.269;-72.641;960.104;203.718;-205.914;1005.505;173.060;-205.133;941.553;215.092;-179.455;967.817;-154.118;-45.059;1241.149;-143.671;19.088;1310.422;-150.896;90.362;1249.448;-209.966;9.715;1158.061;-191.269;86.164;992.470;-232.764;32.220;1020.248;-207.086;-44.376;1031.769;-176.233;-189.219;1006.676;-165.640;-178.772;939.503;-195.516;-158.512;971.967;134.152;-128.831;868.912;-132.053;-102.127;870.035;113.404;70.298;939.942;-80.257;85.578;949.120
18.453;34.173;1597.814;95.830;-33.050;1545.871;-52.772;-40.861;1540.892;80.159;78.499;1448.577;-44.278;70.444;1450.481;21.285;104.910;1278.056;35.344;101.834;1112.953;86.066;116.040;1192.185;-36.809;114.527;1174.561;27.289;-73.618;1277.372;17.721;-148.358;1087.568;73.373;-113.063;1205.707;-46.670;-102.127;1214.885;186.729;-50.331;1236.756;187.510;23.921;1305.833;197.030;82.844;1239.441;248.533;46.328;1156.352;217.289;62.341;983.634;260.932;6.786;1008.629;247.996;-85.383;959.274;196.444;-215.336;1003.064;151.433;-212.554;948.925;200.984;-189.414;966.890;-153.826;-44.864;1242.467;-143.916;19.918;1311.105;-151.531;90.411;1249.302;-210.894;7.323;1159.379;-196.151;79.085;991.592;-235.840;25.190;1022.396;-205.866;-48.232;1040.019;-162.320;-194.735;1025.032;-165.005;-184.679;956.052;-190.341;-165.640;990.713;134.347;-127.806;869.156;-131.857;-101.639;870.181;113.307;71.372;939.991;-80.452;86.213;949.071
20.894;35.491;1597.911;97.099;-32.464;1545.139;-51.601;-38.810;1541.673;81.575;79.280;1448.138;-42.960;72.446;1451.262;21.822;106.374;1278.007;35.491;103.397;1112.953;86.798;116.577;1192.185;-36.906;115.845;1174.561;26.850;-71.811;1277.567;17.379;-146.112;1087.568;72.836;-111.940;1206.000;-46.914;-100.175;1215.129;184.288;-51.649;1239.733;187.608;24.067;1306.712;198.055;81.136;1238.855;249.314;36.614;1155.571;218.656;44.034;981.389;257.808;-13.230;1008.580;235.889;-106.521;959.079;182.677;-231.739;1004.968;127.171;-226.271;962.301;181.945;-206.695;970.795;-152.752;-44.083;1245.103;-143.330;22.017;1312.131;-151.970;90.802;1248.716;-212.358;1.416;1162.210;-206.647;62.585;989.785;-241.112;8.104;1025.911;-202.692;-58.972;1051.540;-136.007;-200.593;1049.929;-155.241;-196.932;982.170;-175.452;-178.137;1018.295;134.591;-126.097;869.595;-131.613;-100.419;870.376;113.258;73.178;939.991;-80.501;87.726;948.973
23.433;37.248;1598.058;98.271;-31.585;1544.504;-50.429;-35.881;1542.161;83.576;80.599;1447.942;-41.007;75.473;1451.945;23.335;108.522;1277.616;36.125;105.252;1112.465;88.165;117.407;1191.452;-36.467;117.993;1174.317;26.703;-69.712;1277.812;16.354;-143.574;1087.568;72.055;-110.963;1206.098;-47.109;-98.124;1215.861;181.261;-53.651;1242.223;188.535;23.970;1306.224;199.861;78.011;1235.877;248.435;23.481;1152.984;214.213;19.039;978.264;249.802;-38.908;1008.385;219.681;-133.468;961.568;164.614;-253.414;1012.827;103.299;-245.359;979.485;160.318;-229.249;979.729;-150.311;-42.813;1249.595;-141.914;25.727;1313.497;-152.263;90.948;1246.666;-213.139;-8.787;1167.092;-219.242;34.514;989.248;-245.457;-19.820;1032.550;-195.174;-75.668;1066.478;-100.126;-202.155;1077.121;-136.251;-212.798;1017.270;-150.359;-191.074;1053.102;134.787;-123.949;870.035;-131.516;-98.319;870.718;113.502;75.521;939.893;-80.306;90.069;948.827
25.922;39.689;1598.253;99.442;-30.218;1544.114;-49.404;-32.171;1542.503;86.017;82.454;1447.942;-38.615;79.280;1452.531;25.727;111.012;1276.982;37.297;106.814;1111.537;90.265;118.237;1190.281;-35.295;120.385;1174.269;26.899;-67.369;1278.153;14.548;-141.719;1088.007;70.542;-110.426;1206.342;-47.402;-96.123;1217.131;178.283;-56.141;1244.664;190.195;23.677;1305.003;202.351;74.203;1231.923;245.359;8.592;1150.006;205.036;-9.764;976.702;237.548;-66.881;1010.386;199.959;-162.808;968.989;143.427;-276.505;1028.644;78.939;-266.742;1002.283;136.544;-253.707;995.692;-146.015;-41.642;1256.088;-139.717;30.511;1315.060;-151.287;91.192;1243.151;-211.187;-22.407;1174.903;-228.810;-3.173;993.593;-245.018;-55.018;1044.461;-184.532;-95.683;1083.760;-65.953;-200.593;1104.215;-109.938;-226.857;1055.885;-121.166;-200.398;1088.398;134.396;-121.899;870.376;-131.857;-95.488;871.060;113.941;77.621;939.991;-79.817;92.852;948.876
28.070;42.813;1598.497;100.516;-28.119;1544.211;-48.281;-27.875;1542.845;88.605;84.699;1448.138;-35.979;83.381;1452.873;28.022;113.502;1276.493;39.201;108.474;1110.610;92.608;118.970;1189.451;-33.684;122.436;1174.317;26.996;-65.074;1278.739;11.716;-140.449;1088.788;67.662;-110.963;1207.514;-47.842;-94.414;1218.839;175.208;-58.289;1247.740;191.562;23.286;1304.515;205.524;70.786;1229.238;241.015;-7.079;1149.860;195.077;-38.762;979.143;223.342;-94.170;1017.319;179.553;-190.537;981.828;122.436;-297.546;1050.466;56.141;-286.025;1029.621;113.600;-276.164;1017.416;-140.401;-40.568;1263.898;-137.179;34.807;1317.256;-151.433;91.339;1241.296;-206.256;-36.321;1185.545;-229.786;-44.229;1003.991;-238.720;-90.167;1061.889;-172.913;-115.748;1104.361;-41.983;-202.595;1135.702;-85.871;-240.087;1095.964;-97.880;-209.673;1124.084;133.273;-120.483;870.669;-132.736;-92.071;871.450;114.820;79.085;940.333;-78.841;95.976;949.071
29.779;46.572;1598.790;101.541;-25.288;1544.797;-47.256;-23.579;1543.235;90.802;87.335;1448.333;-33.733;87.287;1452.971;30.023;115.650;1275.956;41.007;109.645;1110.024;94.463;119.214;1189.012;-32.659;123.998;1174.464;26.801;-63.122;1279.618;8.836;-139.766;1090.057;64.684;-110.817;1209.076;-48.330;-93.194;1220.890;172.328;-59.704;1251.840;192.099;23.189;1305.198;208.209;68.003;1228.261;237.548;-20.015;1153.326;186.436;-63.317;985.489;211.187;-116.822;1027.619;162.515;-212.895;998.084;103.738;-312.826;1074.729;37.053;-299.889;1055.934;94.316;-293.103;1040.898;-136.202;-38.615;1272.637;-134.591;39.250;1320.234;-151.531;92.120;1241.637;-200.496;-46.377;1198.580;-223.098;-81.575;1020.492;-229.347;-119.751;1084.004;-161.588;-134.298;1128.038;-24.653;-208.355;1168.947;-68.833;-253.561;1138.290;-80.794;-219.144;1161.136;131.760;-119.702;870.962;-133.957;-88.751;871.841;115.796;79.866;940.723;-77.718;98.759;949.462
30.707;50.331;1598.985;102.420;-22.017;1545.627;-46.328;-19.771;1543.430;92.608;90.216;1448.675;-32.025;90.606;1452.726;32.269;117.651;1275.273;42.472;110.280;1109.243;96.220;119.165;1188.182;-31.683;125.560;1174.415;26.850;-61.267;1280.887;6.493;-139.180;1091.815;62.634;-110.036;1210.638;-48.330;-91.778;1223.233;170.912;-60.681;1255.746;192.831;23.384;1305.931;210.259;65.758;1227.627;235.352;-28.559;1156.596;178.186;-80.843;992.421;201.814;-132.590;1036.895;149.530;-228.566;1013.511;89.776;-322.199;1097.185;22.993;-308.237;1079.464;79.964;-303.990;1062.475;-133.127;-35.540;1281.180;-131.467;44.083;1323.505;-150.896;94.121;1243.102;-195.077;-51.747;1212.200;-213.676;-110.280;1040.947;-219.486;-141.328;1107.925;-150.750;-150.457;1151.763;-11.912;-220.023;1198.970;-57.361;-268.206;1175.050;-68.540;-231.202;1193.698;130.442;-119.311;871.255;-134.933;-86.261;872.134;116.333;80.257;941.114;-77.035;100.712;949.901
