UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21.027;28.492;1597.353;95.672;-40.738;1543.980;-53.178;-46.397;1544.077;78.353;69.473;1445.478;-46.055;63.326;1451.625;18.198;97.575;1280.673;32.785;98.014;1115.820;82.646;111.431;1195.490;-39.811;109.528;1177.146;23.711;-82.402;1277.063;15.661;-153.730;1086.060;70.254;-121.042;1205.101;-50.154;-111.284;1214.225;184.417;-57.569;1234.423;184.515;15.417;1305.116;193.491;76.304;1241.009;243.694;44.836;1155.582;204.322;66.985;984.338;253.939;15.856;1007.024;257.501;-72.840;957.163;202.663;-213.397;997.461;197.980;-209.738;926.915;226.277;-183.929;962.822;-158.072;-51.081;1241.985;-146.851;12.782;1310.824;-154.949;84.451;1250.376;-213.592;2.927;1158.753;-195.394;75.669;992.388;-235.985;20.979;1019.709;-207.152;-57.423;1028.100;-168.951;-198.126;997.803;-169.098;-189.247;929.744;-194.174;-170.171;968.043;134.361;-128.360;869.004;-132.263;-106.503;869.297;110.406;70.108;940.575;-83.671;81.768;949.552
20.783;28.833;1597.353;95.428;-40.494;1544.077;-53.374;-46.055;1544.028;78.304;69.717;1445.526;-46.104;63.619;1451.576;18.149;97.819;1280.576;32.834;98.209;1115.722;82.695;111.626;1195.393;-39.957;109.674;1177.000;23.711;-82.061;1276.965;15.710;-153.339;1086.060;70.303;-120.700;1205.004;-50.154;-110.894;1214.127;184.417;-57.277;1234.471;184.466;15.710;1305.165;193.491;76.548;1240.960;243.889;45.031;1155.679;205.054;66.937;984.338;254.573;15.807;1007.268;258.232;-72.937;957.358;203.054;-213.446;997.559;198.614;-209.738;927.012;226.862;-183.978;962.969;-158.072;-50.837;1242.033;-146.899;12.977;1310.873;-154.949;84.598;1250.376;-213.738;3.025;1158.802;-195.687;75.767;992.339;-236.229;21.125;1019.904;-207.298;-56.837;1029.125;-169.000;-198.077;1000.486;-167.927;-189.393;932.379;-193.735;-170.171;970.140;134.263;-128.311;869.053;-132.361;-106.259;869.345;110.455;70.205;940.526;-83.622;82.012;949.552
20.442;28.980;1597.353;95.136;-40.299;1544.224;-53.618;-45.860;1543.931;78.206;69.913;1445.721;-46.251;63.863;1451.527;18.198;98.112;1280.576;32.883;98.453;1115.722;82.744;111.821;1195.393;-40.055;109.870;1177.000;23.760;-81.670;1276.868;15.758;-152.949;1085.962;70.303;-120.359;1205.004;-50.105;-110.455;1214.029;184.368;-57.033;1234.569;184.466;16.002;1305.213;193.491;76.792;1241.009;244.035;45.177;1155.875;205.786;66.985;984.435;255.159;15.807;1007.463;258.867;-72.937;957.407;203.395;-213.543;997.120;199.248;-209.591;926.573;227.399;-183.929;962.725;-157.925;-50.641;1242.180;-146.851;13.221;1311.019;-154.949;84.744;1250.376;-213.982;2.976;1159.095;-196.614;75.328;992.339;-237.010;20.783;1020.343;-207.640;-56.447;1030.783;-168.854;-198.663;1004.780;-166.414;-190.125;936.526;-193.150;-170.708;973.653;134.166;-128.262;869.053;-132.458;-105.918;869.394;110.504;70.352;940.429;-83.524;82.305;949.454
20.100;29.029;1597.402;94.794;-40.347;1544.321;-53.959;-45.616;1543.736;78.255;70.010;1445.917;-46.153;64.204;1451.430;18.344;98.453;1280.478;32.980;98.746;1115.625;82.841;112.065;1195.295;-40.006;110.162;1176.853;23.857;-81.231;1276.819;15.758;-152.559;1085.962;70.352;-119.969;1204.955;-50.056;-109.870;1214.029;184.417;-56.691;1234.569;184.563;16.295;1305.213;193.589;77.036;1240.911;244.182;45.372;1155.923;206.371;67.083;984.484;255.696;15.856;1007.560;259.501;-72.742;957.065;203.834;-214.031;995.949;200.029;-209.152;925.500;228.033;-183.831;961.847;-157.584;-50.251;1242.473;-146.607;13.709;1311.214;-154.852;85.037;1250.279;-214.372;2.586;1159.631;-199.004;73.767;992.192;-238.717;19.174;1021.172;-208.030;-56.886;1033.467;-166.366;-200.078;1011.463;-163.780;-191.686;942.917;-191.198;-172.318;979.508;134.019;-128.214;869.101;-132.556;-105.576;869.443;110.601;70.498;940.380;-83.427;82.646;949.454
19.954;28.980;1597.500;94.453;-40.640;1544.467;-54.301;-45.177;1543.443;78.743;70.059;1446.258;-45.763;64.839;1451.430;18.734;99.039;1280.380;33.127;99.039;1115.479;83.134;112.407;1195.051;-39.908;110.699;1176.756;24.101;-80.597;1276.770;15.758;-152.022;1086.011;70.449;-119.481;1204.906;-49.910;-109.138;1214.078;184.563;-56.252;1234.471;184.856;16.783;1305.067;193.833;77.328;1240.570;244.328;45.568;1155.875;207.006;67.180;984.484;256.232;15.905;1007.560;260.233;-72.498;956.382;203.395;-215.348;993.510;201.541;-208.225;923.158;228.716;-183.783;960.237;-156.754;-49.715;1243.156;-146.119;14.441;1311.604;-154.754;85.427;1250.083;-215.202;1.366;1160.851;-204.127;69.961;992.192;-242.035;14.783;1022.587;-208.469;-59.374;1037.126;-161.048;-203.054;1019.562;-156.852;-194.077;950.821;-186.320;-175.440;986.387;133.824;-128.116;869.101;-132.702;-105.137;869.540;110.650;70.644;940.380;-83.378;83.036;949.454
20.149;28.833;1597.646;94.209;-41.177;1544.565;-54.544;-44.397;1543.004;79.816;70.108;1446.844;-44.787;65.912;1451.527;19.271;99.917;1280.088;33.419;99.478;1115.186;83.573;112.943;1194.710;-39.615;111.480;1176.463;24.540;-79.719;1276.819;15.710;-151.485;1086.157;70.693;-118.749;1204.955;-49.568;-108.162;1214.322;184.954;-55.618;1234.569;185.295;17.564;1305.018;194.272;77.767;1240.131;244.767;45.860;1155.777;207.689;66.888;984.533;256.671;15.368;1007.414;260.965;-72.352;954.772;201.932;-217.495;987.558;204.176;-206.762;917.743;229.594;-183.929;956.480;-155.437;-49.080;1244.229;-145.289;15.563;1312.092;-154.608;85.720;1249.595;-216.422;-1.610;1162.705;-212.567;62.546;992.192;-246.865;6.196;1024.734;-208.664;-65.083;1041.614;-152.071;-208.079;1028.344;-146.558;-197.834;959.846;-178.660;-180.807;994.485;133.580;-127.970;869.199;-132.897;-104.601;869.589;110.699;70.840;940.331;-83.329;83.573;949.454
20.344;28.785;1597.841;93.916;-41.762;1544.663;-54.935;-43.275;1542.370;81.231;70.303;1447.527;-43.421;67.522;1451.625;19.954;101.185;1279.746;33.810;100.112;1114.795;84.110;113.773;1194.173;-39.274;112.553;1176.170;25.223;-78.450;1276.917;15.758;-150.656;1086.450;71.035;-117.773;1205.101;-49.129;-106.845;1214.664;185.393;-54.740;1234.813;185.929;18.783;1304.921;194.857;78.646;1239.545;245.255;45.909;1155.338;208.176;65.814;984.435;256.769;13.904;1006.975;261.648;-72.498;950.967;200.517;-220.276;975.605;207.054;-204.664;906.961;230.619;-184.368;947.698;-153.778;-48.348;1245.741;-144.265;16.978;1312.727;-154.510;85.622;1248.717;-217.788;-6.489;1165.291;-222.520;51.325;992.631;-252.134;-6.001;1027.905;-209.396;-74.157;1046.737;-145.289;-215.885;1036.296;-134.117;-202.761;969.165;-171.147;-188.759;1001.608;133.190;-127.775;869.248;-133.190;-103.869;869.784;110.797;71.132;940.185;-83.134;84.256;949.357
20.052;28.833;1597.939;93.135;-42.299;1544.858;-55.667;-41.811;1541.345;82.695;70.547;1448.454;-41.957;69.376;1451.478;20.783;102.649;1279.453;34.151;101.185;1114.454;84.646;114.943;1193.587;-39.030;113.870;1176.073;26.150;-76.938;1277.112;15.954;-149.534;1086.743;71.669;-116.602;1205.248;-48.348;-105.186;1215.005;185.881;-53.618;1235.106;186.710;20.491;1304.530;195.443;79.816;1238.667;245.450;45.421;1154.606;208.713;63.619;984.240;256.623;10.928;1006.146;262.428;-72.889;944.527;199.200;-222.959;955.407;210.665;-201.151;889.153;231.838;-184.612;932.379;-151.583;-47.519;1248.181;-142.752;18.686;1313.654;-154.364;85.378;1247.839;-219.056;-12.294;1169.291;-232.863;36.786;994.632;-257.696;-20.832;1033.076;-211.494;-86.598;1053.128;-142.021;-226.423;1043.810;-123.628;-209.884;979.264;-165.829;-199.590;1008.097;132.848;-127.628;869.297;-133.483;-102.942;870.028;110.992;71.474;939.990;-82.890;85.232;949.211
19.076;28.931;1597.987;91.818;-42.884;1545.297;-56.935;-40.250;1540.028;84.061;70.693;1449.527;-40.542;71.376;1451.088;21.857;104.503;1278.868;34.639;102.307;1113.869;85.427;116.261;1192.807;-38.445;115.383;1175.682;27.126;-75.182;1277.356;15.954;-148.509;1087.182;72.206;-115.334;1205.492;-47.568;-103.332;1215.591;186.027;-52.495;1235.545;187.539;22.345;1303.994;196.126;81.134;1237.545;245.499;44.250;1153.533;210.421;60.155;984.240;256.964;5.903;1005.219;263.794;-73.474;935.892;197.638;-223.496;926.085;215.104;-194.272;864.125;233.204;-183.197;910.278;-148.948;-46.202;1251.693;-140.752;21.467;1314.727;-153.827;85.915;1246.424;-220.081;-18.247;1174.999;-244.279;18.198;998.827;-263.843;-38.591;1041.468;-214.275;-101.771;1062.934;-137.874;-238.474;1055.811;-115.041;-218.910;993.656;-160.609;-212.616;1019.074;132.458;-127.433;869.394;-133.824;-101.820;870.272;111.236;71.913;939.843;-82.597;86.305;949.113
