UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
11.370;36.929;1598.353;87.895;-32.652;1548.141;-60.827;-37.683;1542.003;75.166;77.631;1448.977;-49.456;71.996;1449.933;16.150;105.202;1280.232;30.086;105.453;1115.662;80.398;119.037;1194.752;-42.564;116.673;1177.193;22.389;-74.763;1278.420;12.829;-146.206;1087.286;68.525;-113.604;1206.072;-51.569;-103.944;1215.984;183.185;-48.551;1235.354;182.279;24.854;1304.582;190.128;85.228;1239.580;241.496;53.783;1156.062;207.284;74.914;984.550;255.684;22.741;1008.901;256.036;-67.569;967.092;186.355;-205.875;1009.857;193.851;-201.297;939.772;217.598;-176.745;980.726;-159.387;-43.922;1245.366;-148.520;20.879;1312.834;-157.073;91.265;1250.598;-215.737;5.987;1161.093;-197.524;71.543;990.637;-239.534;19.521;1021.479;-215.485;-58.311;1034.409;-189.826;-205.071;1011.668;-181.374;-195.763;943.546;-209.599;-175.236;979.368;129.301;-123.314;869.889;-136.848;-96.448;870.443;108.925;76.021;940.225;-84.876;91.467;949.281
11.270;36.627;1598.051;87.744;-33.306;1548.192;-60.978;-37.985;1541.903;75.417;76.675;1448.675;-49.205;71.342;1449.480;16.251;105.051;1280.131;30.137;105.151;1115.461;80.448;118.786;1194.601;-42.312;116.572;1177.042;22.288;-74.864;1278.269;12.779;-146.357;1087.186;68.424;-113.805;1205.921;-51.670;-103.994;1215.782;183.135;-48.752;1235.152;182.330;24.653;1304.381;190.178;85.027;1239.328;241.295;53.582;1155.710;206.680;74.512;984.198;255.181;22.489;1008.498;255.785;-67.820;966.739;186.606;-206.278;1009.806;193.901;-201.750;939.672;217.699;-177.148;980.525;-159.488;-43.721;1244.561;-148.621;20.779;1312.330;-156.872;91.517;1250.548;-215.334;6.943;1160.238;-195.511;73.958;990.487;-237.924;21.785;1020.372;-214.881;-56.802;1031.792;-190.631;-202.957;1006.133;-180.921;-192.744;938.364;-209.397;-172.519;974.186;129.301;-123.616;869.789;-136.898;-96.800;870.342;108.875;75.719;940.275;-84.926;91.114;949.281
11.320;35.822;1597.950;87.693;-34.212;1548.192;-60.978;-38.690;1541.752;75.618;75.820;1448.625;-49.004;70.638;1449.380;16.301;104.799;1280.081;30.137;104.799;1115.410;80.448;118.534;1194.500;-42.010;116.421;1177.042;22.288;-75.065;1278.119;12.829;-146.508;1087.085;68.424;-114.006;1205.821;-51.720;-104.095;1215.631;183.185;-48.903;1235.052;182.380;24.502;1304.281;190.128;84.876;1239.228;241.144;53.481;1155.509;206.228;74.361;984.047;254.929;22.489;1008.297;255.634;-67.870;966.639;186.807;-206.379;1009.907;194.002;-201.951;939.823;217.799;-177.198;980.625;-159.589;-43.570;1243.856;-148.721;20.628;1311.928;-156.671;91.668;1250.598;-214.982;8.050;1159.484;-193.801;76.725;990.537;-236.616;24.451;1019.567;-214.227;-54.488;1030.032;-190.581;-200.190;1002.662;-180.569;-189.675;935.093;-208.995;-169.450;970.966;129.452;-123.817;869.738;-136.747;-97.353;870.292;108.724;75.468;940.275;-85.077;90.611;949.281
11.370;34.765;1598.051;87.744;-35.118;1548.041;-60.927;-39.545;1541.551;75.669;75.216;1448.927;-48.903;70.135;1449.530;16.301;104.548;1280.030;30.086;104.548;1115.410;80.398;118.283;1194.450;-41.809;116.220;1177.093;22.288;-75.216;1278.018;12.930;-146.709;1086.984;68.474;-114.157;1205.770;-51.670;-104.246;1215.480;183.235;-49.004;1234.951;182.380;24.301;1304.180;190.128;84.725;1239.127;241.094;53.481;1155.459;206.127;74.411;983.996;254.879;22.590;1008.247;255.734;-67.720;966.588;187.109;-206.328;1010.007;194.253;-201.951;939.873;218.001;-177.097;980.676;-159.639;-43.419;1243.303;-148.772;20.477;1311.676;-156.469;91.869;1250.749;-214.630;9.157;1158.980;-192.241;79.291;990.788;-235.559;27.017;1019.164;-213.674;-52.073;1029.126;-190.782;-197.473;1000.800;-180.267;-186.908;933.383;-208.794;-166.582;969.205;129.603;-123.968;869.688;-136.596;-97.907;870.242;108.573;75.266;940.275;-85.228;90.108;949.231
11.370;33.659;1598.151;87.744;-35.973;1547.890;-60.877;-40.400;1541.299;75.769;74.763;1449.229;-48.802;69.682;1449.732;16.502;104.397;1279.930;30.137;104.196;1115.310;80.549;118.031;1194.350;-41.507;116.069;1177.042;22.338;-75.317;1277.917;12.980;-146.910;1086.934;68.525;-114.308;1205.720;-51.620;-104.296;1215.430;183.336;-49.205;1234.750;182.531;24.099;1304.079;190.229;84.524;1239.026;241.194;53.431;1155.408;206.177;74.512;983.946;255.030;22.741;1008.146;255.986;-67.569;966.488;187.512;-206.228;1009.857;194.656;-201.851;939.722;218.403;-176.997;980.525;-159.639;-43.167;1242.951;-148.671;20.527;1311.525;-156.168;92.121;1250.799;-214.328;10.062;1158.679;-191.235;81.153;990.990;-234.855;28.879;1018.913;-213.322;-50.261;1028.572;-190.883;-195.511;999.643;-179.915;-184.896;932.376;-208.542;-164.519;968.047;129.754;-124.169;869.638;-136.546;-98.309;870.242;108.573;75.015;940.225;-85.278;89.706;949.231
11.471;32.652;1598.252;87.844;-36.828;1547.689;-60.827;-41.105;1540.997;75.971;74.411;1449.581;-48.601;69.380;1449.983;16.754;104.246;1279.829;30.388;103.994;1115.159;80.750;117.830;1194.199;-41.105;115.968;1176.891;22.389;-75.417;1277.867;12.980;-147.011;1086.884;68.575;-114.459;1205.619;-51.569;-104.346;1215.380;183.436;-49.406;1234.599;182.682;23.848;1303.928;190.430;84.272;1238.875;241.345;53.330;1155.308;206.328;74.562;983.845;255.231;22.842;1008.045;256.288;-67.418;966.236;188.015;-206.228;1009.454;195.159;-201.750;939.370;218.856;-176.896;980.173;-159.538;-42.966;1242.699;-148.470;20.678;1311.324;-155.866;92.272;1250.699;-214.127;10.565;1158.427;-190.883;82.109;990.939;-234.553;29.835;1018.711;-213.120;-49.356;1028.170;-191.084;-194.404;998.939;-179.713;-183.940;931.722;-208.492;-163.463;967.343;129.754;-124.471;869.587;-136.496;-98.510;870.242;108.673;74.713;940.175;-85.178;89.505;949.181
11.723;31.847;1598.353;87.995;-37.533;1547.538;-60.676;-41.557;1540.897;76.323;74.059;1449.832;-48.299;69.229;1450.235;17.056;104.196;1279.728;30.690;103.843;1115.058;81.102;117.679;1194.098;-40.752;115.868;1176.740;22.489;-75.518;1277.766;12.980;-147.162;1086.884;68.625;-114.610;1205.569;-51.519;-104.346;1215.330;183.587;-49.658;1234.448;182.933;23.546;1303.828;190.732;84.021;1238.775;241.597;53.179;1155.207;206.429;74.562;983.845;255.433;22.842;1007.945;256.640;-67.317;966.085;188.619;-206.328;1009.102;195.713;-201.700;938.967;219.409;-176.896;979.820;-159.387;-42.866;1242.598;-148.269;20.829;1311.224;-155.564;92.423;1250.548;-213.976;10.767;1158.377;-190.782;82.310;990.889;-234.503;30.086;1018.711;-213.120;-49.155;1028.069;-191.184;-194.253;998.738;-179.915;-183.738;931.571;-208.592;-163.261;967.242;129.754;-124.823;869.537;-136.496;-98.561;870.242;108.875;74.361;940.175;-84.926;89.354;949.181
12.125;31.445;1598.403;88.247;-38.036;1547.437;-60.424;-41.759;1540.796;76.725;73.757;1449.933;-47.897;69.179;1450.386;17.408;104.095;1279.628;30.992;103.642;1114.958;81.455;117.478;1193.997;-40.400;115.767;1176.690;22.691;-75.568;1277.766;12.980;-147.262;1086.884;68.726;-114.761;1205.569;-51.368;-104.346;1215.380;183.789;-49.909;1234.347;183.185;23.294;1303.727;191.034;83.769;1238.674;241.798;52.978;1155.157;206.630;74.461;983.795;255.684;22.791;1007.894;256.992;-67.367;965.934;189.122;-206.429;1008.850;196.216;-201.750;938.766;219.862;-176.946;979.619;-159.136;-42.765;1242.699;-147.967;20.930;1311.274;-155.262;92.523;1250.447;-213.774;10.716;1158.477;-190.832;81.958;990.839;-234.503;29.734;1018.762;-213.171;-49.557;1028.120;-191.335;-194.606;998.838;-180.217;-184.191;931.622;-208.794;-163.614;967.343;129.704;-125.125;869.437;-136.496;-98.561;870.242;109.076;74.059;940.124;-84.675;89.303;949.181
12.528;31.193;1598.403;88.549;-38.287;1547.437;-60.122;-41.809;1540.796;77.178;73.556;1449.933;-47.444;69.128;1450.436;17.710;103.994;1279.527;31.193;103.391;1114.857;81.656;117.327;1193.897;-40.149;115.616;1176.589;22.892;-75.669;1277.716;13.131;-147.363;1086.833;68.877;-114.862;1205.519;-51.167;-104.447;1215.380;184.040;-50.060;1234.247;183.487;23.194;1303.627;191.285;83.618;1238.523;242.050;52.827;1155.006;206.831;74.310;983.644;255.936;22.640;1007.743;257.294;-67.518;965.834;189.524;-206.630;1008.850;196.568;-201.951;938.716;220.214;-177.148;979.569;-158.884;-42.866;1242.800;-147.715;20.930;1311.274;-155.010;92.423;1250.397;-213.573;10.465;1158.528;-190.933;81.404;990.788;-234.503;29.231;1018.862;-213.171;-50.060;1028.321;-191.386;-195.159;999.291;-180.367;-184.896;931.974;-208.894;-164.217;967.746;129.804;-125.326;869.386;-136.445;-98.561;870.242;109.277;73.858;940.124;-84.423;89.253;949.181
