UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.648;16.352;1599.058;100.502;-49.641;1546.195;-48.177;-58.329;1541.168;83.955;63.259;1450.623;-40.465;54.425;1452.429;26.895;91.082;1281.004;41.294;91.765;1116.363;91.033;104.798;1195.437;-30.556;103.773;1177.768;32.118;-88.739;1276.513;22.063;-158.637;1084.929;78.293;-127.739;1203.882;-42.027;-116.854;1213.644;193.488;-63.699;1234.340;192.805;9.225;1304.482;201.249;70.191;1240.246;252.647;38.854;1156.291;218.626;64.040;985.500;265.485;10.006;1008.100;263.971;-79.025;958.507;200.614;-215.160;996.824;192.365;-211.011;926.536;224.190;-187.533;963.340;-149.899;-55.352;1240.734;-138.282;7.029;1311.120;-145.702;79.806;1251.082;-204.129;1.025;1158.194;-180.162;76.975;993.359;-225.069;24.064;1018.985;-202.713;-55.547;1024.159;-176.355;-197.539;989.698;-167.569;-187.484;922.485;-195.684;-166.983;958.215;137.306;-134.963;866.791;-128.471;-104.407;869.378;119.295;63.650;940.642;-74.144;81.124;951.088
22.648;16.791;1599.058;100.502;-49.251;1546.195;-48.128;-57.939;1541.265;83.955;63.552;1450.574;-40.465;54.669;1452.331;26.846;91.277;1280.955;41.246;91.912;1116.363;90.984;104.993;1195.389;-30.556;103.968;1177.768;32.069;-88.544;1276.513;22.014;-158.539;1084.977;78.245;-127.544;1203.931;-42.075;-116.659;1213.693;193.439;-63.503;1234.340;192.805;9.372;1304.482;201.200;70.386;1240.197;252.598;39.098;1156.291;218.528;64.284;985.451;265.436;10.250;1008.051;263.874;-78.781;958.556;200.761;-214.916;997.019;192.365;-210.865;926.731;224.190;-187.338;963.486;-149.948;-55.108;1240.783;-138.331;7.273;1311.120;-145.702;80.051;1251.082;-204.178;1.318;1158.243;-180.211;77.219;993.407;-225.166;24.406;1019.082;-202.909;-55.254;1024.207;-176.843;-197.344;989.747;-167.960;-187.240;922.485;-196.075;-166.691;958.215;137.209;-134.914;866.840;-128.569;-104.310;869.378;119.246;63.699;940.642;-74.193;81.222;951.088
22.697;17.279;1599.009;100.551;-48.811;1546.244;-48.079;-57.549;1541.314;83.955;63.894;1450.476;-40.465;54.962;1452.282;26.846;91.570;1280.906;41.148;92.058;1116.314;90.935;105.188;1195.340;-30.605;104.114;1177.768;32.020;-88.251;1276.562;21.916;-158.441;1085.075;78.196;-127.300;1203.979;-42.124;-116.415;1213.790;193.439;-63.259;1234.340;192.756;9.665;1304.433;201.151;70.630;1240.149;252.501;39.342;1156.242;218.431;64.480;985.402;265.387;10.543;1008.051;263.874;-78.586;958.703;200.858;-214.721;997.410;192.316;-210.718;927.219;224.239;-187.143;963.828;-149.997;-54.864;1240.832;-138.331;7.566;1311.169;-145.702;80.295;1251.082;-204.275;1.611;1158.341;-180.358;77.464;993.505;-225.362;24.650;1019.180;-203.153;-55.010;1024.354;-177.234;-197.149;989.844;-168.253;-186.996;922.631;-196.368;-166.495;958.312;137.111;-134.817;866.840;-128.618;-104.310;869.427;119.148;63.845;940.642;-74.291;81.271;951.088
22.746;17.767;1598.960;100.551;-48.372;1546.293;-48.030;-57.109;1541.363;83.955;64.187;1450.379;-40.416;55.303;1452.234;26.797;91.863;1280.808;41.050;92.253;1116.217;90.887;105.432;1195.242;-30.653;104.310;1177.670;32.020;-87.958;1276.562;21.867;-158.246;1085.173;78.196;-127.007;1204.028;-42.124;-116.171;1213.839;193.439;-62.918;1234.291;192.756;10.006;1304.335;201.151;70.923;1240.002;252.452;39.684;1156.096;218.284;64.724;985.256;265.338;10.836;1007.953;263.874;-78.342;958.995;200.956;-214.379;998.337;192.463;-210.670;928.098;224.337;-186.947;964.658;-150.046;-54.522;1240.930;-138.331;7.859;1311.218;-145.751;80.587;1251.082;-204.373;1.904;1158.390;-180.504;77.610;993.505;-225.508;24.845;1019.229;-203.397;-54.766;1024.403;-177.575;-197.100;990.039;-168.594;-186.898;922.826;-196.710;-166.349;958.507;137.062;-134.719;866.889;-128.667;-104.310;869.476;119.002;63.992;940.642;-74.437;81.320;951.088
22.844;18.304;1598.960;100.649;-47.884;1546.293;-47.933;-56.621;1541.412;84.053;64.577;1450.281;-40.318;55.694;1452.185;26.797;92.253;1280.760;40.953;92.546;1116.119;90.789;105.823;1195.145;-30.751;104.603;1177.621;32.069;-87.519;1276.562;21.819;-158.051;1085.222;78.196;-126.568;1204.028;-42.124;-115.829;1213.986;193.439;-62.478;1234.145;192.805;10.494;1304.189;201.103;71.411;1239.807;252.306;40.172;1155.949;218.089;65.114;985.012;265.289;11.422;1007.904;263.923;-78.049;959.728;201.005;-213.842;1000.290;192.902;-210.718;930.002;224.581;-186.606;966.464;-150.046;-54.181;1241.076;-138.282;8.298;1311.267;-145.751;80.929;1251.082;-204.422;2.148;1158.536;-180.553;77.561;993.505;-225.606;24.943;1019.326;-203.641;-54.669;1024.647;-178.064;-197.344;990.430;-169.278;-186.898;923.217;-197.295;-166.398;958.995;137.013;-134.573;866.986;-128.764;-104.359;869.524;118.856;64.138;940.642;-74.632;81.417;951.088
23.039;18.841;1598.912;100.795;-47.396;1546.244;-47.737;-56.133;1541.412;84.199;65.065;1450.184;-40.221;56.182;1452.136;26.602;92.839;1280.613;40.709;93.034;1115.973;90.545;106.506;1194.998;-31.044;104.847;1177.377;32.167;-86.884;1276.562;22.014;-157.709;1085.417;78.342;-125.933;1204.126;-41.978;-115.390;1214.083;193.488;-61.600;1234.096;192.756;11.422;1304.043;200.956;72.290;1239.612;252.110;41.050;1155.705;217.747;65.407;984.573;265.241;12.056;1007.856;264.118;-77.805;961.241;201.054;-213.208;1003.902;193.976;-211.060;933.516;225.166;-186.362;969.832;-150.095;-53.985;1241.222;-138.331;8.591;1311.364;-145.897;81.124;1251.082;-204.763;2.099;1158.780;-181.383;77.171;993.554;-226.338;24.552;1019.668;-204.226;-55.010;1025.135;-178.552;-198.076;991.211;-169.814;-187.191;923.998;-197.881;-166.886;959.728;137.013;-134.377;867.133;-128.862;-104.603;869.622;118.611;64.480;940.545;-74.925;81.368;951.039
23.381;19.329;1598.912;101.137;-46.761;1546.049;-47.445;-55.596;1541.412;84.248;65.846;1450.184;-40.123;56.816;1452.331;26.212;93.718;1280.515;40.221;93.620;1115.826;90.008;107.482;1194.803;-31.825;105.286;1177.280;32.411;-85.908;1276.611;22.502;-157.124;1085.612;78.684;-124.908;1204.272;-41.685;-114.609;1214.132;193.683;-60.087;1234.340;192.561;12.984;1303.945;200.517;73.803;1239.416;251.817;42.368;1155.510;217.650;65.358;984.036;265.533;12.545;1008.148;264.801;-77.952;964.169;201.103;-212.622;1010.199;196.124;-212.036;939.569;226.192;-186.410;975.835;-149.851;-53.936;1241.906;-138.331;8.786;1311.852;-146.434;81.027;1251.229;-205.593;1.074;1159.610;-183.872;74.925;993.798;-228.242;22.160;1020.644;-205.740;-57.207;1026.648;-179.723;-201.005;993.212;-170.351;-189.095;926.145;-198.857;-169.424;961.680;137.404;-133.889;867.328;-128.667;-104.895;869.720;118.221;65.017;940.545;-75.365;81.368;951.039
23.771;20.159;1598.960;101.527;-45.736;1545.854;-47.054;-54.766;1541.412;84.444;66.969;1450.232;-39.928;57.793;1452.478;25.528;94.987;1280.320;39.391;94.499;1115.582;89.227;108.800;1194.412;-32.996;105.872;1177.182;32.948;-84.492;1276.855;23.088;-156.245;1085.954;79.221;-123.395;1204.565;-41.148;-113.682;1214.474;193.878;-57.841;1234.730;192.365;15.424;1303.945;200.029;75.999;1239.075;251.573;44.077;1155.363;218.479;64.382;983.206;266.705;12.496;1008.881;266.266;-79.123;969.490;200.029;-212.036;1020.693;199.833;-213.940;949.819;227.558;-186.947;986.232;-149.314;-54.229;1243.321;-138.185;8.981;1312.633;-147.215;80.539;1251.278;-206.960;-1.562;1161.172;-188.607;68.824;993.749;-231.756;16.010;1022.450;-208.327;-62.674;1029.967;-181.285;-208.034;998.874;-171.181;-195.001;931.808;-200.517;-176.160;966.903;137.794;-133.108;867.621;-128.276;-104.993;869.817;117.830;65.846;940.545;-75.804;81.515;950.942
24.503;21.770;1598.863;102.162;-44.223;1545.658;-46.420;-53.253;1541.607;84.834;68.336;1449.891;-39.488;59.159;1452.478;24.503;96.695;1280.125;38.366;95.865;1115.485;88.056;110.704;1194.022;-34.510;106.701;1177.036;33.631;-82.589;1277.245;23.918;-154.781;1086.442;79.953;-121.198;1204.907;-40.367;-112.510;1215.011;193.830;-54.571;1235.707;191.877;18.988;1304.384;199.101;79.172;1238.782;251.232;45.980;1155.461;220.773;61.649;982.278;268.950;10.885;1010.784;268.218;-82.393;978.374;196.758;-211.548;1036.898;203.543;-217.161;966.464;228.095;-188.216;1002.633;-148.484;-54.717;1245.713;-138.038;9.323;1313.854;-148.533;79.465;1250.936;-208.619;-6.492;1163.710;-195.343;56.523;993.163;-236.637;4.295;1025.330;-211.304;-73.217;1036.557;-180.211;-220.920;1012.005;-173.085;-207.497;943.962;-201.786;-189.534;979.008;138.234;-132.035;867.962;-127.934;-104.749;869.964;117.489;67.018;940.447;-76.243;82.003;950.844
