UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
2.048;36.279;1597.578;82.310;-28.135;1546.330;-65.828;-42.276;1541.454;61.879;81.773;1448.075;-62.074;68.510;1450.074;9.752;106.544;1281.213;24.039;108.836;1116.642;74.069;120.734;1195.782;-46.616;121.075;1177.740;13.751;-73.289;1276.093;4.096;-142.287;1084.606;60.074;-111.030;1203.682;-60.269;-99.864;1213.141;175.201;-47.884;1233.572;174.518;24.137;1304.472;182.710;85.382;1240.692;234.934;56.807;1158.089;203.677;86.308;987.911;250.245;31.646;1008.927;249.416;-55.930;953.144;190.073;-197.095;982.011;174.225;-183.198;913.989;210.748;-164.668;949.536;-166.667;-36.327;1238.644;-156.086;24.722;1310.275;-161.889;97.475;1250.444;-222.499;18.822;1157.163;-203.726;96.889;992.349;-245.808;41.691;1018.924;-221.232;-37.156;1023.751;-193.291;-180.028;986.741;-180.028;-164.571;920.571;-210.894;-147.260;956.070;120.539;-120.880;869.372;-145.212;-91.379;870.932;102.009;78.896;939.345;-91.233;95.622;949.975
2.194;37.059;1597.481;82.407;-27.453;1546.378;-65.682;-41.691;1541.600;61.927;82.163;1447.880;-62.025;68.851;1449.928;9.752;106.739;1281.066;23.942;108.836;1116.496;74.020;120.880;1195.636;-46.665;121.221;1177.643;13.800;-73.094;1276.141;4.145;-142.238;1084.703;60.123;-110.835;1203.730;-60.269;-99.718;1213.190;175.201;-47.689;1233.572;174.518;24.478;1304.423;182.710;85.625;1240.594;234.885;56.954;1157.992;203.677;86.308;987.862;250.245;31.598;1008.781;249.611;-55.735;952.559;189.975;-197.338;980.353;174.811;-182.905;912.428;211.040;-164.571;948.268;-166.619;-36.181;1238.644;-156.086;24.868;1310.226;-161.937;97.621;1250.346;-222.646;18.920;1157.212;-204.214;96.987;992.446;-246.198;41.740;1018.972;-221.573;-37.254;1023.263;-193.437;-180.126;985.278;-180.857;-163.888;919.060;-211.479;-146.968;954.900;120.539;-120.880;869.372;-145.212;-91.428;870.932;101.961;78.896;939.345;-91.282;95.573;949.926
2.389;37.937;1597.383;82.602;-26.721;1546.378;-65.536;-40.960;1541.795;62.025;82.651;1447.587;-61.927;69.290;1449.782;9.801;107.129;1280.920;23.893;108.787;1116.301;74.020;121.173;1195.490;-46.616;121.465;1177.497;13.800;-72.704;1276.141;4.194;-142.189;1084.849;60.172;-110.591;1203.828;-60.221;-99.425;1213.239;175.201;-47.299;1233.524;174.518;24.917;1304.277;182.710;85.967;1240.350;234.836;57.197;1157.797;203.531;86.113;987.667;250.245;31.500;1008.635;250.099;-55.588;952.218;189.244;-198.216;978.793;177.054;-182.759;910.624;211.967;-164.717;947.439;-166.521;-35.840;1238.595;-155.989;25.259;1310.079;-161.937;97.913;1250.200;-222.841;19.017;1157.260;-204.848;96.646;992.397;-246.783;41.399;1019.021;-222.061;-37.644;1022.776;-193.730;-180.906;983.766;-182.710;-163.595;917.597;-212.747;-147.163;953.876;120.539;-120.929;869.420;-145.212;-91.574;870.981;101.912;78.896;939.345;-91.331;95.475;949.926
2.584;39.009;1597.237;82.651;-25.844;1546.427;-65.438;-39.936;1541.941;62.171;83.285;1447.344;-61.732;70.071;1449.635;9.899;107.812;1280.725;23.942;108.690;1115.911;74.020;121.807;1195.295;-46.470;122.050;1177.253;13.897;-72.021;1276.239;4.242;-142.140;1085.142;60.221;-110.055;1203.974;-60.172;-98.840;1213.385;175.347;-46.372;1233.524;174.518;25.649;1303.887;182.710;86.698;1240.009;234.787;57.588;1157.407;204.214;84.601;987.131;251.269;30.525;1008.830;252.147;-56.807;953.437;186.074;-201.142;978.646;183.880;-183.588;910.088;214.356;-166.424;949.536;-166.277;-34.962;1238.692;-155.793;26.136;1309.933;-161.986;98.401;1249.664;-223.523;18.676;1157.602;-207.237;94.110;992.105;-248.831;39.009;1019.655;-223.036;-39.887;1022.971;-192.267;-183.783;983.279;-188.122;-165.009;916.914;-215.185;-149.747;954.705;120.539;-120.978;869.420;-145.163;-91.526;871.030;101.961;78.896;939.345;-91.282;95.475;949.926
2.828;40.765;1596.847;82.700;-24.673;1546.476;-65.487;-38.229;1541.990;62.659;83.968;1446.758;-61.342;71.241;1449.050;10.142;109.275;1280.189;23.942;109.567;1115.423;74.118;122.831;1194.661;-46.421;123.123;1176.570;14.141;-70.509;1276.239;4.194;-141.409;1085.435;60.269;-108.690;1204.023;-60.026;-97.328;1213.483;175.347;-44.861;1234.158;174.323;27.404;1303.936;182.759;88.064;1239.326;235.275;57.246;1157.163;209.724;78.165;986.107;256.389;24.868;1011.024;257.900;-64.219;960.410;177.200;-207.676;981.767;198.801;-190.366;915.890;217.575;-174.177;960.117;-165.643;-33.548;1239.521;-155.160;27.940;1309.933;-162.181;99.327;1248.542;-225.328;16.774;1159.211;-214.844;85.869;991.617;-254.536;31.012;1022.337;-225.133;-47.786;1026.530;-183.490;-191.243;986.253;-200.410;-172.909;921.742;-217.672;-158.963;963.335;120.441;-120.783;869.518;-145.212;-91.184;871.127;102.107;79.091;939.296;-91.136;95.865;949.877
3.121;43.057;1596.408;82.651;-23.162;1546.427;-65.584;-35.840;1541.941;63.293;85.040;1446.027;-60.757;73.045;1448.416;10.191;111.859;1279.213;23.991;110.884;1114.496;74.362;124.635;1193.685;-46.324;124.976;1175.546;14.336;-68.071;1276.531;4.242;-139.702;1085.922;60.367;-106.300;1204.315;-59.782;-94.988;1213.921;174.615;-43.203;1236.011;173.787;30.232;1304.326;182.807;89.624;1238.107;236.884;54.369;1157.797;226.644;64.658;986.253;268.482;10.289;1016.973;266.239;-82.066;974.502;161.645;-214.307;983.718;212.455;-206.554;933.932;214.649;-188.122;978.842;-164.522;-32.329;1241.813;-154.282;30.915;1310.128;-162.620;100.205;1246.250;-228.205;11.703;1162.722;-230.399;70.022;992.105;-264.532;14.531;1027.993;-227.278;-63.000;1033.211;-168.813;-202.117;987.862;-212.991;-190.658;936.273;-215.965;-175.639;979.037;120.344;-120.100;869.713;-145.310;-90.307;871.420;102.204;79.920;939.052;-91.038;96.841;949.682
3.462;45.153;1596.262;82.553;-21.504;1546.232;-65.779;-33.304;1541.746;63.878;86.845;1445.929;-60.269;75.581;1448.270;9.996;114.882;1278.336;23.893;112.639;1113.570;74.459;126.927;1192.661;-46.714;127.073;1174.522;14.482;-65.292;1276.970;4.389;-137.508;1086.459;60.513;-103.667;1204.803;-59.489;-92.550;1214.555;172.958;-41.545;1239.131;172.958;33.548;1305.057;183.003;90.550;1236.596;241.224;48.323;1160.674;250.342;45.348;989.228;283.403;-10.581;1027.213;275.552;-104.886;994.543;156.817;-225.425;990.349;221.719;-227.376;962.165;212.259;-203.970;1002.052;-162.913;-31.988;1244.983;-153.453;33.597;1310.372;-163.157;99.718;1243.520;-231.813;3.365;1168.086;-248.441;49.396;994.640;-275.406;-5.851;1036.722;-230.545;-79.920;1043.938;-164.717;-216.599;996.835;-221.914;-213.186;960.653;-215.917;-194.461;1000.443;120.197;-118.978;869.957;-145.456;-89.039;871.663;102.204;81.286;938.857;-91.038;98.352;949.438
3.657;47.348;1596.359;82.358;-19.797;1546.330;-66.072;-30.720;1541.844;64.365;88.697;1446.076;-59.831;78.165;1448.368;9.801;117.808;1277.507;23.601;114.297;1112.887;74.459;128.926;1191.686;-47.494;128.926;1173.644;14.531;-62.707;1277.458;4.535;-135.752;1087.239;60.464;-101.180;1205.437;-59.148;-90.502;1215.336;170.861;-40.082;1243.764;171.836;36.815;1306.617;183.295;90.648;1235.230;247.417;41.447;1166.428;269.701;23.211;995.908;296.812;-30.281;1041.647;286.572;-125.610;1020.777;163.985;-243.077;1020.484;231.520;-248.587;1001.516;218.550;-220.159;1035.746;-161.450;-31.305;1249.469;-152.526;36.474;1311.591;-163.449;99.620;1241.521;-235.031;-3.608;1175.839;-263.410;27.209;1000.345;-285.890;-24.430;1049.156;-237.372;-94.208;1062.273;-169.105;-234.202;1028.042;-228.546;-236.104;996.542;-220.647;-212.601;1033.016;120.197;-117.613;870.298;-145.505;-87.673;871.907;102.009;82.797;938.759;-91.184;99.815;949.341
3.755;49.542;1596.603;82.066;-18.188;1546.817;-66.365;-28.135;1542.136;64.951;90.355;1446.368;-59.294;80.603;1448.514;9.801;120.441;1276.824;23.406;115.029;1112.448;74.459;130.535;1190.955;-47.738;130.389;1173.157;14.628;-60.367;1278.531;4.486;-134.728;1088.555;60.269;-99.230;1206.656;-58.709;-88.746;1216.798;170.373;-38.668;1250.200;170.373;40.472;1308.909;183.100;91.282;1234.596;250.879;37.108;1172.279;283.647;0.488;1005.612;307.881;-46.811;1059.347;296.081;-142.482;1053.642;171.348;-257.803;1063.784;240.395;-265.020;1053.739;224.596;-231.569;1080.022;-160.523;-29.940;1255.759;-151.015;40.180;1313.542;-163.400;100.254;1240.399;-237.859;-7.997;1185.688;-276.089;4.194;1009.708;-295.057;-41.447;1065.442;-243.223;-105.374;1085.922;-171.495;-247.270;1070.075;-232.544;-255.316;1043.499;-223.328;-226.059;1074.853;120.100;-116.638;870.591;-145.602;-86.601;872.151;101.863;83.821;939.003;-91.331;100.839;949.536
