UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.345;56.649;1596.948;89.145;-9.661;1542.885;-59.576;-18.297;1540.738;70.896;102.807;1447.153;-53.477;94.024;1451.398;14.248;127.447;1274.084;26.397;119.982;1108.969;78.606;136.035;1187.477;-43.133;136.913;1170.838;14.345;-52.745;1278.037;1.220;-131.253;1090.135;58.698;-94.122;1206.750;-60.845;-80.557;1217.338;174.923;-31.862;1235.440;174.972;44.109;1301.652;186.877;99.977;1233.293;242.892;62.650;1158.298;242.989;71.433;984.595;281.878;17.663;1018.945;273.827;-77.679;983.229;176.875;-196.197;1023.386;196.343;-204.150;955.954;217.519;-178.583;996.208;-166.580;-15.028;1243.247;-151.015;50.550;1310.728;-157.504;119.689;1247.248;-222.448;40.059;1160.153;-202.345;108.955;990.499;-248.454;60.503;1022.019;-231.230;-18.883;1032.656;-217.812;-165.408;1008.065;-211.957;-158.577;939.852;-236.646;-134.425;975.520;118.226;-118.421;870.663;-146.867;-84.412;872.761;103.051;82.997;936.924;-89.633;103.441;947.561
12.637;56.454;1596.899;89.389;-9.807;1542.788;-59.284;-18.493;1540.738;71.091;102.661;1447.105;-53.331;93.878;1451.447;14.150;127.447;1274.084;26.153;120.129;1108.920;78.362;136.279;1187.379;-43.231;136.962;1170.936;14.492;-52.697;1277.939;1.220;-131.156;1090.037;58.796;-94.024;1206.604;-60.796;-80.557;1217.289;175.069;-31.423;1234.855;175.167;44.402;1301.116;186.682;100.562;1233.001;241.965;63.382;1156.932;238.988;72.653;983.229;278.706;19.029;1016.847;270.655;-76.264;981.033;174.728;-195.465;1022.312;193.513;-203.028;954.636;215.031;-177.412;994.647;-166.531;-15.223;1243.247;-151.015;50.403;1310.728;-157.602;119.543;1247.395;-222.057;39.913;1159.957;-201.320;109.004;990.402;-247.478;60.455;1021.678;-230.254;-18.834;1032.364;-216.544;-165.408;1007.967;-210.640;-158.480;939.803;-235.378;-134.376;975.373;118.177;-118.372;870.663;-146.867;-84.412;872.761;103.002;83.046;936.924;-89.682;103.392;947.512
12.833;56.161;1596.899;89.730;-9.905;1542.690;-58.942;-18.883;1540.738;71.140;102.661;1447.105;-53.233;93.585;1451.545;13.857;127.399;1274.133;25.860;120.372;1108.969;78.020;136.621;1187.379;-43.475;136.865;1171.082;14.687;-52.648;1277.841;1.464;-131.009;1089.939;59.040;-93.829;1206.408;-60.601;-80.704;1217.192;175.118;-30.837;1234.464;175.216;44.841;1300.677;186.438;101.246;1232.708;241.330;63.919;1155.908;236.744;72.750;982.253;276.754;19.127;1015.579;268.118;-76.264;980.253;171.117;-195.075;1022.215;191.074;-202.833;954.978;212.152;-177.168;994.842;-166.482;-15.760;1243.101;-151.112;49.818;1310.630;-157.748;119.055;1247.492;-221.716;39.474;1159.518;-200.149;108.906;990.060;-246.503;60.601;1021.483;-229.523;-18.151;1033.047;-215.470;-165.555;1010.553;-211.420;-158.480;942.194;-235.427;-134.376;977.862;118.323;-118.128;870.663;-146.770;-84.607;872.761;102.807;83.241;936.924;-89.877;103.295;947.464
12.979;55.868;1596.948;89.974;-9.905;1542.641;-58.600;-19.371;1540.738;70.994;102.612;1447.153;-53.282;93.146;1451.642;13.564;127.399;1274.133;25.470;120.470;1108.920;77.581;136.913;1187.379;-43.767;136.718;1171.082;14.882;-52.599;1277.793;1.903;-130.814;1089.793;59.381;-93.585;1206.311;-60.357;-80.801;1217.045;175.069;-30.252;1234.464;175.118;45.426;1300.481;186.194;101.734;1232.415;241.233;63.724;1155.468;237.525;70.799;981.765;276.949;17.126;1015.823;266.947;-78.508;982.009;165.701;-194.782;1023.874;189.903;-204.492;958.296;209.127;-178.192;998.160;-166.531;-16.151;1242.906;-151.210;49.379;1310.386;-157.992;118.665;1247.443;-221.813;39.132;1159.323;-200.344;108.321;989.718;-246.746;60.503;1022.068;-229.327;-17.273;1035.974;-212.250;-165.457;1017.823;-215.812;-159.456;949.220;-236.451;-134.815;985.669;118.665;-117.640;870.712;-146.526;-84.900;872.713;102.563;83.729;936.973;-90.218;103.197;947.464
12.881;55.624;1596.948;90.121;-9.954;1542.641;-58.405;-19.810;1540.787;70.799;102.465;1447.105;-53.477;92.658;1451.642;13.223;127.350;1274.280;25.226;120.714;1108.969;77.288;137.157;1187.574;-43.963;136.669;1171.082;14.979;-52.697;1277.695;2.342;-130.424;1089.500;59.674;-93.292;1206.116;-60.162;-80.899;1216.753;174.728;-29.764;1234.855;174.777;45.865;1300.628;185.999;102.026;1232.317;241.965;62.358;1155.810;242.843;65.334;982.107;280.511;11.808;1018.458;268.020;-84.314;988.596;157.846;-194.977;1029.192;190.634;-209.029;968.249;206.053;-181.266;1007.772;-166.580;-16.736;1242.613;-151.210;48.695;1309.898;-158.236;118.079;1247.053;-222.789;38.303;1159.469;-204.004;106.808;989.035;-249.772;59.869;1024.215;-230.401;-15.614;1043.537;-206.980;-164.677;1034.071;-222.887;-161.212;966.834;-238.257;-135.645;1003.673;119.104;-116.859;870.810;-146.184;-85.095;872.664;102.270;84.461;936.973;-90.609;103.100;947.464
12.442;55.770;1596.802;89.974;-9.759;1542.934;-58.552;-20.200;1540.934;70.408;102.075;1446.861;-53.819;91.829;1451.252;12.589;127.301;1274.523;24.884;121.153;1109.164;76.751;137.596;1187.965;-44.548;136.621;1171.131;15.077;-52.648;1277.451;3.172;-129.692;1089.012;60.113;-92.658;1205.872;-59.869;-80.850;1216.216;174.240;-28.885;1236.709;173.947;46.939;1301.799;185.755;102.661;1232.561;243.819;59.674;1158.006;256.310;53.233;985.425;289.489;-0.098;1026.704;270.314;-96.610;1004.405;143.793;-194.343;1038.853;189.659;-216.690;990.206;198.637;-185.999;1027.582;-166.726;-17.224;1242.662;-151.161;47.817;1309.752;-158.773;117.055;1246.516;-225.912;36.839;1161.616;-214.592;101.392;988.840;-258.603;56.795;1029.973;-234.890;-13.955;1058.663;-200.930;-161.749;1065.933;-228.303;-164.091;1002.161;-239.574;-136.718;1037.048;119.641;-115.835;870.907;-145.745;-85.193;872.615;102.026;85.485;936.924;-90.999;103.295;947.415
11.515;56.258;1596.704;89.438;-9.368;1543.568;-58.942;-20.444;1541.275;69.725;101.587;1446.519;-54.502;90.901;1450.666;12.247;128.179;1274.475;24.543;121.836;1109.359;76.459;138.328;1188.062;-45.134;136.962;1171.131;15.370;-51.623;1277.744;4.147;-128.521;1089.256;60.650;-91.292;1206.213;-59.186;-79.484;1216.265;173.215;-28.349;1241.979;172.630;49.183;1304.190;185.950;102.465;1232.659;247.722;53.477;1163.812;279.096;30.105;995.622;302.419;-23.128;1043.440;269.484;-117.250;1029.192;123.544;-191.171;1050.954;177.168;-225.326;1021.629;182.144;-190.878;1054.174;-166.189;-16.541;1245.687;-150.185;48.891;1311.460;-159.700;116.323;1245.394;-232.011;33.179;1168.740;-238.110;84.900;991.329;-275.925;44.109;1042.366;-241.330;-17.126;1082.230;-185.365;-154.088;1111.945;-224.253;-170.532;1055.199;-231.913;-139.060;1086.573;120.275;-114.517;871.200;-145.159;-84.998;872.713;101.831;86.852;936.973;-91.292;103.783;947.464
10.393;56.063;1597.290;88.608;-9.027;1543.861;-59.771;-20.298;1540.934;69.091;102.758;1447.690;-55.136;91.780;1451.301;12.930;130.277;1273.499;24.592;122.275;1108.725;77.093;139.011;1187.282;-45.182;137.987;1170.399;15.467;-49.720;1278.964;4.538;-127.399;1090.525;60.650;-90.023;1207.482;-58.552;-77.727;1217.826;169.214;-29.569;1248.712;171.605;50.696;1306.337;186.829;99.391;1231.342;255.529;38.986;1173.571;302.029;-4.099;1012.310;310.861;-56.600;1065.543;261.287;-142.964;1056.126;101.734;-186.585;1063.933;152.917;-232.109;1049.392;159.114;-195.367;1078.034;-164.774;-15.126;1252.762;-147.989;52.892;1313.997;-160.236;115.786;1243.247;-238.744;24.299;1180.548;-268.215;52.989;999.038;-295.540;17.566;1060.420;-246.698;-26.543;1108.090;-161.993;-139.743;1158.396;-204.492;-173.411;1112.091;-213.079;-138.036;1138.488;120.909;-113.054;871.590;-144.623;-84.314;872.908;101.831;88.218;937.363;-91.292;104.564;947.708
9.417;55.819;1598.168;87.584;-8.441;1543.666;-60.747;-19.176;1540.007;68.749;105.344;1449.739;-55.527;94.707;1452.667;14.687;133.254;1272.181;25.568;122.715;1107.651;79.338;139.548;1186.159;-44.646;139.646;1169.228;15.223;-47.280;1279.988;4.050;-126.569;1091.842;59.918;-89.194;1208.799;-58.161;-76.215;1219.778;163.213;-32.106;1254.274;171.020;50.598;1307.654;190.634;94.707;1230.951;260.604;20.005;1184.305;314.569;-42.060;1030.851;309.543;-91.585;1087.305;246.649;-167.848;1079.156;81.484;-183.413;1074.814;125.837;-237.378;1068.958;135.401;-199.808;1095.160;-161.163;-13.711;1261.740;-145.452;58.161;1316.290;-159.895;115.298;1240.564;-241.965;11.466;1194.161;-289.880;12.296;1012.846;-307.640;-15.614;1081.596;-248.845;-41.230;1131.853;-142.232;-124.178;1194.552;-180.583;-172.093;1158.396;-193.708;-134.815;1179.279;121.397;-111.834;871.981;-144.281;-83.436;873.054;102.075;89.340;937.803;-91.048;105.539;947.952
