UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29.100;45.965;1597.133;107.382;-18.620;1543.174;-41.042;-29.929;1540.005;87.933;94.173;1448.026;-36.265;82.962;1451.341;29.441;122.931;1277.570;42.797;122.493;1112.816;93.052;136.531;1191.684;-28.807;134.532;1174.672;37.045;-56.250;1276.790;26.468;-129.414;1086.934;82.815;-94.270;1204.357;-37.240;-84.668;1214.788;197.509;-31.293;1232.921;195.608;43.772;1302.039;202.822;102.849;1236.528;255.660;72.482;1154.005;221.783;97.536;982.622;269.065;44.162;1005.288;269.503;-44.747;954.302;203.407;-183.178;989.300;204.918;-176.062;918.476;231.873;-154.273;959.713;-144.720;-27.053;1240.525;-133.947;37.435;1310.179;-143.062;108.113;1249.688;-202.091;25.980;1157.709;-188.004;104.555;992.274;-225.390;46.160;1019.131;-191.855;-30.513;1024.980;-143.014;-167.386;988.959;-149.545;-155.541;921.303;-173.235;-139.894;961.565;141.990;-110.209;869.830;-124.247;-83.205;871.974;121.372;89.981;937.827;-72.043;104.994;948.063
29.149;46.209;1597.133;107.431;-18.425;1543.174;-40.993;-29.685;1540.054;87.982;94.319;1447.977;-36.265;83.157;1451.341;29.441;122.980;1277.667;42.797;122.541;1112.865;93.052;136.580;1191.781;-28.856;134.532;1174.721;37.045;-56.250;1276.887;26.370;-129.512;1087.031;82.767;-94.270;1204.406;-37.289;-84.716;1214.934;197.509;-31.293;1233.018;195.559;43.723;1302.088;202.871;102.849;1236.625;255.709;72.384;1154.054;221.783;97.487;982.720;269.065;44.064;1005.386;269.503;-44.844;954.351;203.407;-183.227;989.349;204.918;-176.111;918.524;231.873;-154.322;959.762;-144.768;-27.053;1240.671;-133.947;37.484;1310.326;-143.111;108.113;1249.786;-202.188;25.980;1157.856;-188.199;104.506;992.420;-225.537;46.111;1019.326;-192.001;-30.562;1025.175;-143.062;-167.434;989.203;-149.643;-155.638;921.547;-173.332;-139.992;961.857;141.941;-110.161;869.878;-124.296;-83.205;871.974;121.323;90.029;937.827;-72.092;104.994;948.112
29.246;46.404;1597.133;107.480;-18.230;1543.174;-40.896;-29.539;1540.103;87.982;94.465;1447.977;-36.265;83.303;1451.389;29.392;123.029;1277.667;42.651;122.493;1112.865;93.003;136.628;1191.732;-29.002;134.581;1174.770;36.996;-56.153;1276.985;26.322;-129.609;1087.177;82.718;-94.221;1204.503;-37.338;-84.765;1215.129;197.460;-31.245;1233.067;195.511;43.820;1302.088;202.822;102.849;1236.625;255.660;72.384;1154.102;221.686;97.487;982.720;269.016;44.113;1005.386;269.503;-44.795;954.351;203.505;-183.276;989.300;205.016;-176.111;918.573;231.971;-154.322;959.762;-144.866;-27.053;1240.866;-133.947;37.533;1310.423;-143.160;108.113;1249.932;-202.335;25.980;1158.050;-188.394;104.409;992.566;-225.732;46.014;1019.521;-192.099;-30.562;1025.419;-143.062;-167.434;989.641;-149.740;-155.736;921.985;-173.381;-140.040;962.247;141.893;-110.161;869.878;-124.296;-83.157;871.974;121.274;90.078;937.876;-72.141;105.042;948.161
29.441;46.599;1597.084;107.626;-18.035;1543.076;-40.701;-29.344;1540.152;87.982;94.611;1447.831;-36.168;83.449;1451.389;29.344;123.175;1277.667;42.553;122.493;1112.865;92.954;136.677;1191.732;-29.100;134.679;1174.818;36.948;-56.104;1277.034;26.224;-129.658;1087.324;82.620;-94.173;1204.552;-37.386;-84.716;1215.227;197.412;-31.196;1233.067;195.462;43.918;1302.039;202.773;102.946;1236.625;255.514;72.482;1154.054;221.393;97.536;982.720;268.772;44.259;1005.337;269.503;-44.600;954.253;203.846;-183.227;989.203;205.259;-176.062;918.524;232.215;-154.225;959.664;-144.915;-27.004;1241.012;-133.996;37.630;1310.520;-143.257;108.211;1249.981;-202.432;25.980;1158.148;-188.589;104.311;992.615;-225.878;45.965;1019.619;-192.245;-30.611;1025.663;-143.160;-167.483;990.226;-149.789;-155.980;922.521;-173.478;-140.187;962.784;141.844;-110.112;869.927;-124.345;-83.157;871.974;121.225;90.127;937.876;-72.189;105.042;948.112
29.685;46.794;1597.084;107.821;-17.840;1542.979;-40.506;-29.149;1540.249;88.080;94.758;1447.734;-36.119;83.595;1451.438;29.295;123.273;1277.716;42.456;122.541;1112.865;92.857;136.775;1191.732;-29.197;134.727;1174.867;36.899;-56.006;1277.131;26.175;-129.707;1087.421;82.572;-94.124;1204.649;-37.435;-84.668;1215.324;197.412;-31.098;1233.116;195.413;44.015;1302.088;202.725;103.044;1236.625;255.368;72.628;1154.005;221.003;97.633;982.671;268.529;44.454;1005.288;269.503;-44.357;954.205;204.333;-183.276;989.203;205.698;-176.062;918.476;232.604;-154.127;959.615;-145.012;-26.955;1241.207;-134.045;37.728;1310.618;-143.306;108.260;1250.078;-202.432;25.980;1158.245;-188.589;104.214;992.615;-225.927;45.916;1019.765;-192.342;-30.562;1026.102;-143.452;-167.629;991.152;-150.033;-156.369;923.399;-173.722;-140.382;963.612;141.795;-110.063;869.976;-124.345;-83.205;872.023;121.177;90.176;937.876;-72.238;105.042;948.161
29.929;46.940;1597.084;108.016;-17.694;1542.881;-40.311;-29.051;1540.347;88.128;94.953;1447.685;-36.070;83.742;1451.487;29.246;123.370;1277.765;42.407;122.639;1112.865;92.808;136.921;1191.781;-29.295;134.825;1174.916;36.899;-55.909;1277.229;26.127;-129.755;1087.567;82.523;-94.075;1204.796;-37.435;-84.668;1215.519;197.460;-31.001;1233.262;195.364;44.210;1302.137;202.676;103.190;1236.723;255.319;72.774;1154.054;220.614;97.585;982.720;268.334;44.600;1005.288;269.650;-44.162;954.156;204.918;-183.373;989.008;206.283;-176.111;918.378;233.141;-154.079;959.469;-145.061;-26.955;1241.402;-134.045;37.776;1310.715;-143.404;108.260;1250.176;-202.481;25.980;1158.392;-188.540;103.970;992.663;-225.975;45.868;1019.960;-192.537;-30.562;1026.735;-143.940;-167.922;992.615;-150.325;-156.906;924.812;-174.063;-140.723;964.831;141.746;-110.014;870.025;-124.394;-83.205;872.023;121.128;90.224;937.924;-72.336;105.042;948.161
30.221;47.135;1597.035;108.211;-17.499;1542.784;-40.116;-28.905;1540.444;88.177;95.001;1447.490;-35.973;83.790;1451.536;29.149;123.468;1277.765;42.407;122.736;1112.914;92.759;136.970;1191.830;-29.587;134.825;1174.916;36.899;-55.860;1277.326;26.175;-129.755;1087.665;82.572;-94.026;1204.893;-37.435;-84.570;1215.519;197.509;-30.903;1233.506;195.316;44.357;1302.332;202.627;103.288;1236.820;255.319;72.774;1154.200;220.516;97.438;982.866;268.285;44.454;1005.434;269.942;-44.162;954.010;205.698;-183.715;988.423;207.014;-176.208;917.793;233.823;-154.225;958.933;-145.207;-27.199;1241.597;-134.094;37.679;1310.862;-143.501;108.113;1250.322;-202.676;25.688;1158.587;-188.784;103.336;992.663;-226.219;45.429;1020.399;-192.927;-30.708;1028.100;-144.622;-168.507;995.588;-150.764;-158.124;927.639;-174.600;-141.551;967.366;141.698;-109.966;870.025;-124.394;-83.205;872.023;121.079;90.273;937.876;-72.384;105.091;948.161
30.708;47.330;1596.987;108.406;-17.645;1542.638;-39.970;-28.612;1540.688;88.470;94.806;1447.246;-35.729;83.936;1451.584;29.051;123.565;1277.960;42.456;122.883;1113.060;92.808;137.018;1191.976;-29.831;134.922;1175.062;36.850;-55.860;1277.424;26.224;-129.609;1087.713;82.572;-94.026;1205.039;-37.435;-84.473;1215.519;197.460;-30.952;1233.896;195.169;44.357;1302.673;202.578;103.239;1237.161;255.416;72.579;1154.541;220.614;97.049;983.207;268.382;44.064;1005.727;270.430;-44.308;953.669;206.575;-184.446;986.912;207.989;-176.306;916.331;234.652;-154.566;957.714;-145.256;-27.443;1242.084;-134.142;37.533;1311.154;-143.745;107.870;1250.517;-202.920;24.908;1159.025;-189.613;101.582;992.468;-226.901;43.918;1021.081;-193.512;-31.586;1030.683;-145.158;-169.920;1001.194;-151.300;-160.951;933.050;-175.185;-143.599;972.337;141.698;-109.868;870.073;-124.394;-83.010;872.072;121.079;90.468;937.876;-72.384;105.335;948.161
31.488;47.330;1596.987;108.503;-18.230;1542.443;-39.921;-28.174;1541.029;89.006;94.221;1447.003;-35.193;84.278;1451.828;28.954;123.663;1278.155;42.553;123.175;1113.304;92.857;137.067;1192.317;-29.977;135.117;1175.257;36.704;-55.763;1277.619;26.175;-129.414;1087.908;82.425;-93.929;1205.234;-37.484;-84.229;1215.617;197.314;-31.001;1234.627;194.974;44.405;1303.258;202.578;103.190;1237.649;255.563;72.189;1155.126;220.857;96.220;983.841;268.577;43.089;1006.214;271.063;-44.698;952.645;207.550;-185.859;983.207;209.256;-176.306;912.919;235.724;-155.200;954.692;-145.207;-27.638;1242.864;-134.191;37.679;1311.593;-143.989;107.675;1250.566;-203.358;23.641;1159.757;-190.977;97.828;991.835;-227.974;40.701;1022.105;-194.487;-33.731;1034.827;-145.646;-172.747;1010.650;-151.739;-166.264;942.165;-175.769;-147.644;980.770;141.551;-109.722;870.171;-124.442;-82.572;872.169;121.225;90.712;937.924;-72.287;105.774;948.209
