UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26.472;42.150;1596.242;103.153;-27.254;1546.130;-45.569;-34.971;1543.297;86.498;80.540;1444.833;-37.999;72.774;1448.642;29.012;109.112;1279.699;44.006;110.382;1114.712;93.434;123.032;1194.568;-26.863;123.569;1176.350;32.675;-69.599;1275.841;22.272;-138.466;1084.528;78.293;-107.647;1203.457;-41.515;-95.290;1212.298;194.341;-47.425;1235.156;193.608;27.107;1304.462;202.302;86.938;1239.502;252.804;55.924;1154.958;211.631;76.486;982.400;263.403;28.328;1005.795;269.508;-62.517;961.691;221.985;-204.695;1008.970;210.165;-201.130;938.980;241.375;-174.218;973.071;-149.211;-36.094;1238.672;-137.050;27.498;1308.027;-143.057;98.904;1247.610;-201.911;20.953;1153.834;-168.064;87.866;984.110;-219.836;44.983;1014.782;-211.680;-31.942;1031.095;-221.204;-182.423;1015.417;-207.137;-177.832;946.892;-232.144;-149.602;981.765;137.391;-118.539;867.232;-128.356;-86.205;870.699;121.176;80.198;940.055;-71.748;99.637;950.214
26.179;42.053;1596.290;102.909;-27.351;1546.228;-45.813;-35.019;1543.200;86.401;80.540;1445.028;-38.096;72.823;1448.691;28.963;109.014;1279.846;43.957;110.382;1114.908;93.385;122.934;1194.764;-27.009;123.423;1176.546;32.724;-69.746;1275.938;22.321;-138.710;1084.675;78.342;-107.793;1203.555;-41.467;-95.534;1212.395;194.390;-47.474;1235.253;193.559;27.009;1304.608;202.302;86.889;1239.698;252.902;55.972;1155.202;211.680;76.779;982.644;263.501;28.621;1005.991;269.606;-62.224;961.887;222.034;-204.353;1009.214;210.361;-200.886;939.175;241.522;-173.876;973.316;-149.309;-36.289;1238.770;-137.098;27.205;1308.271;-143.106;98.709;1247.952;-202.204;21.051;1154.127;-168.504;88.452;984.598;-220.276;45.520;1015.222;-211.973;-31.454;1031.437;-220.911;-181.740;1015.661;-207.626;-177.393;947.088;-232.242;-149.113;982.107;137.538;-118.392;867.281;-128.258;-86.254;870.699;121.176;80.296;940.103;-71.797;99.588;950.262
26.033;41.808;1596.437;102.714;-27.498;1546.228;-45.960;-35.117;1543.102;86.303;80.638;1445.272;-38.194;72.921;1448.838;28.865;108.917;1279.943;43.860;110.284;1115.054;93.287;122.886;1194.910;-27.156;123.276;1176.594;32.773;-69.892;1276.134;22.467;-139.003;1084.870;78.440;-107.842;1203.702;-41.418;-95.778;1212.591;194.487;-47.425;1235.449;193.510;27.058;1304.804;202.302;86.938;1239.942;252.853;56.217;1155.495;211.728;77.219;982.937;263.647;29.158;1006.284;269.899;-61.687;962.131;222.718;-203.865;1009.507;210.898;-200.446;939.517;242.059;-173.388;973.560;-149.358;-36.582;1238.819;-137.098;26.961;1308.320;-143.204;98.416;1248.050;-202.302;20.807;1154.274;-168.894;88.452;984.745;-220.569;45.472;1015.368;-212.217;-31.552;1031.437;-221.057;-181.447;1015.466;-207.040;-177.735;947.234;-232.047;-149.260;981.863;137.636;-118.294;867.281;-128.112;-86.352;870.699;121.127;80.442;940.201;-71.846;99.539;950.311
25.788;41.515;1596.584;102.567;-27.596;1546.228;-46.106;-35.264;1543.004;86.108;80.784;1445.565;-38.341;73.018;1449.033;28.670;108.966;1280.041;43.762;110.333;1115.152;93.141;122.983;1195.057;-27.400;123.179;1176.643;32.822;-69.941;1276.231;22.614;-139.296;1085.065;78.586;-107.793;1203.848;-41.320;-95.974;1212.737;194.585;-47.181;1235.644;193.413;27.205;1304.999;202.155;87.133;1240.186;252.853;56.607;1155.837;211.728;77.658;983.231;263.794;29.793;1006.577;270.387;-61.052;962.619;223.597;-203.279;1010.093;211.875;-200.055;940.103;242.889;-172.802;974.146;-149.358;-36.875;1238.965;-137.196;26.716;1308.369;-143.350;98.123;1248.050;-202.302;20.416;1154.323;-168.943;87.964;984.745;-220.569;44.885;1015.417;-211.875;-32.089;1031.584;-220.569;-181.593;1016.003;-206.258;-178.663;947.869;-231.314;-149.895;982.303;137.733;-118.148;867.281;-128.014;-86.352;870.651;121.078;80.540;940.250;-71.895;99.490;950.409
25.593;41.222;1596.730;102.421;-27.693;1546.179;-46.204;-35.459;1542.907;85.912;81.028;1445.858;-38.536;73.165;1449.277;28.426;109.112;1280.090;43.567;110.382;1115.201;92.946;123.130;1195.105;-27.693;123.227;1176.692;32.870;-69.795;1276.427;22.711;-139.492;1085.310;78.635;-107.647;1203.995;-41.222;-96.071;1212.933;194.683;-46.839;1235.839;193.266;27.596;1305.146;202.009;87.524;1240.333;252.755;57.145;1156.032;211.728;78.000;983.377;263.989;30.428;1006.870;270.973;-60.466;963.108;224.769;-202.693;1010.924;212.998;-199.811;940.983;243.915;-172.264;974.927;-149.309;-37.168;1239.258;-137.294;26.619;1308.565;-143.594;97.927;1248.099;-202.253;19.830;1154.420;-168.894;87.036;984.696;-220.471;43.860;1015.368;-211.484;-32.968;1031.779;-219.885;-182.277;1016.687;-205.232;-180.128;948.700;-230.435;-151.018;982.791;137.733;-118.001;867.329;-127.965;-86.352;870.699;121.030;80.638;940.299;-71.944;99.539;950.409
25.398;41.076;1596.828;102.323;-27.644;1546.130;-46.351;-35.508;1542.809;85.766;81.272;1446.103;-38.683;73.360;1449.424;28.133;109.356;1280.090;43.323;110.480;1115.152;92.653;123.423;1195.057;-28.035;123.325;1176.643;32.919;-69.599;1276.573;22.858;-139.540;1085.554;78.782;-107.452;1204.190;-41.125;-96.071;1213.177;194.732;-46.400;1235.986;193.120;28.133;1305.243;201.814;88.013;1240.382;252.707;57.682;1156.179;211.728;78.147;983.377;264.135;30.819;1007.065;271.608;-60.075;963.596;225.941;-202.351;1011.803;214.268;-199.762;941.813;244.990;-171.971;975.709;-149.260;-37.413;1239.502;-137.391;26.570;1308.613;-143.887;97.732;1248.001;-202.253;19.097;1154.420;-169.041;85.864;984.500;-220.422;42.590;1015.271;-211.142;-34.189;1031.877;-219.103;-183.351;1017.371;-204.207;-181.740;949.432;-229.604;-152.435;983.328;137.733;-117.904;867.427;-127.916;-86.303;870.748;120.981;80.784;940.299;-72.041;99.588;950.409
25.300;41.173;1596.828;102.225;-27.449;1546.081;-46.351;-35.361;1542.711;85.668;81.565;1446.151;-38.780;73.555;1449.473;27.840;109.649;1280.041;43.078;110.626;1115.152;92.408;123.765;1195.008;-28.426;123.423;1176.594;33.066;-69.404;1276.769;23.004;-139.638;1085.798;78.928;-107.207;1204.337;-40.978;-96.120;1213.372;194.829;-45.862;1236.230;193.022;28.768;1305.341;201.618;88.550;1240.430;252.609;58.170;1156.276;211.728;78.244;983.377;264.282;31.161;1007.212;272.145;-59.831;964.036;226.918;-202.107;1012.633;215.392;-199.811;942.692;245.918;-171.776;976.490;-149.211;-37.706;1239.698;-137.489;26.472;1308.662;-144.229;97.439;1247.952;-202.302;18.364;1154.469;-169.432;84.789;984.354;-220.569;41.369;1015.271;-210.947;-35.264;1032.170;-218.224;-184.475;1018.299;-203.230;-183.156;950.360;-228.774;-153.802;984.110;137.782;-117.757;867.476;-127.867;-86.352;870.748;120.883;80.979;940.299;-72.139;99.637;950.360
25.153;41.418;1596.877;102.177;-27.107;1546.130;-46.448;-35.166;1542.711;85.522;81.956;1446.249;-38.927;73.800;1449.521;27.547;109.942;1279.992;42.834;110.773;1115.103;92.115;124.058;1194.959;-28.817;123.472;1176.546;33.163;-69.160;1276.915;23.200;-139.785;1086.091;79.075;-107.012;1204.581;-40.783;-96.120;1213.616;194.976;-45.325;1236.474;192.876;29.403;1305.488;201.374;89.087;1240.430;252.511;58.708;1156.374;211.777;78.342;983.426;264.428;31.503;1007.407;272.585;-59.538;964.524;227.797;-201.814;1013.463;216.271;-199.762;943.522;246.748;-171.532;977.272;-149.113;-37.950;1239.991;-137.587;26.374;1308.809;-144.522;97.244;1248.001;-202.448;17.778;1154.665;-169.969;84.008;984.354;-220.862;40.392;1015.466;-210.752;-36.094;1032.658;-217.052;-185.500;1019.276;-202.400;-184.182;951.288;-227.993;-154.926;985.038;137.880;-117.611;867.574;-127.819;-86.401;870.797;120.785;81.126;940.299;-72.286;99.588;950.409
24.958;41.760;1596.877;102.079;-26.668;1546.179;-46.546;-34.922;1542.711;85.375;82.396;1446.298;-39.073;74.093;1449.473;27.351;110.187;1279.992;42.590;110.822;1115.103;91.871;124.302;1194.910;-29.110;123.520;1176.546;33.310;-68.964;1277.111;23.346;-139.931;1086.335;79.221;-106.865;1204.776;-40.636;-96.218;1213.861;195.073;-44.885;1236.621;192.827;29.940;1305.536;201.227;89.576;1240.430;252.462;59.196;1156.423;211.728;78.537;983.426;264.477;31.845;1007.505;272.927;-59.245;964.866;228.432;-201.423;1014.245;216.906;-199.665;944.255;247.285;-171.239;977.956;-149.065;-38.243;1240.235;-137.636;26.228;1308.955;-144.767;96.999;1248.050;-202.595;17.241;1154.860;-170.506;83.421;984.452;-221.204;39.611;1015.661;-210.605;-36.778;1032.951;-215.929;-186.233;1019.911;-201.472;-184.963;951.825;-227.162;-155.805;985.624;137.929;-117.415;867.574;-127.721;-86.547;870.797;120.639;81.272;940.348;-72.481;99.490;950.458
