UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23.848;40.952;1597.867;101.941;-25.119;1545.430;-46.621;-34.697;1540.788;84.739;86.742;1448.914;-39.633;77.164;1451.016;28.442;112.692;1279.584;43.884;112.692;1114.846;93.144;126.913;1194.747;-28.393;125.446;1176.226;34.599;-67.390;1278.411;24.483;-139.521;1087.822;80.292;-105.655;1206.134;-39.682;-95.294;1215.321;196.013;-41.001;1236.188;193.521;32.987;1305.875;202.122;93.046;1240.733;253.825;64.067;1158.193;217.027;87.475;985.881;268.339;38.704;1009.681;272.493;-53.316;967.507;221.523;-187.901;1020.138;210.136;-193.814;950.403;241.364;-163.027;982.363;-147.193;-34.990;1241.173;-135.758;29.028;1310.518;-143.479;100.230;1249.383;-201.780;20.134;1157.362;-177.638;93.144;989.937;-223.038;42.223;1018.672;-202.317;-34.990;1031.476;-184.138;-180.619;1009.290;-170.308;-175.488;941.802;-199.629;-151.689;975.423;140.205;-117.725;868.156;-125.398;-86.156;871.284;122.954;81.807;939.358;-70.078;100.279;949.767
23.701;40.512;1597.916;101.794;-25.510;1545.382;-46.768;-35.039;1540.690;84.641;86.596;1449.061;-39.730;77.017;1451.162;28.442;112.692;1279.535;43.933;112.692;1114.798;93.144;126.913;1194.747;-28.344;125.495;1176.177;34.550;-67.390;1278.362;24.434;-139.472;1087.773;80.194;-105.606;1206.085;-39.730;-95.246;1215.223;195.964;-41.001;1236.139;193.472;32.987;1305.875;202.073;93.046;1240.782;253.776;64.067;1158.242;217.027;87.524;985.881;268.339;38.753;1009.729;272.542;-53.316;967.702;221.572;-187.803;1020.578;210.234;-193.814;950.794;241.461;-162.978;982.754;-147.291;-34.892;1241.075;-135.856;29.126;1310.420;-143.479;100.328;1249.236;-201.829;20.329;1157.265;-177.541;93.242;989.791;-222.989;42.418;1018.575;-202.415;-34.844;1031.378;-184.529;-180.522;1009.290;-170.699;-175.391;941.802;-200.020;-151.542;975.423;140.205;-117.774;868.156;-125.398;-86.205;871.284;122.954;81.758;939.358;-70.078;100.279;949.767
23.555;40.073;1597.964;101.647;-25.803;1545.333;-46.865;-35.381;1540.592;84.494;86.449;1449.208;-39.926;76.822;1451.309;28.344;112.643;1279.486;43.933;112.643;1114.798;93.095;126.913;1194.698;-28.344;125.495;1176.128;34.404;-67.341;1278.313;24.386;-139.374;1087.675;80.096;-105.606;1206.036;-39.877;-95.148;1215.125;195.818;-41.050;1236.188;193.374;32.938;1305.924;202.024;92.998;1240.782;253.679;63.969;1158.291;217.027;87.378;985.881;268.339;38.606;1009.778;272.493;-53.463;967.849;221.523;-187.901;1020.774;210.136;-193.961;951.087;241.364;-163.124;982.949;-147.340;-34.795;1240.879;-135.953;29.224;1310.224;-143.528;100.426;1249.089;-201.829;20.476;1157.069;-177.443;93.388;989.644;-222.989;42.614;1018.379;-202.562;-34.648;1031.183;-184.920;-180.375;1009.094;-171.041;-175.293;941.655;-200.314;-151.396;975.277;140.156;-117.823;868.156;-125.446;-86.205;871.284;122.954;81.709;939.358;-70.029;100.230;949.767
23.359;39.779;1597.964;101.501;-25.998;1545.333;-46.963;-35.674;1540.592;84.250;86.302;1449.256;-40.121;76.626;1451.358;28.246;112.594;1279.437;43.884;112.594;1114.700;93.046;126.864;1194.649;-28.344;125.446;1175.981;34.257;-67.341;1278.166;24.288;-139.276;1087.578;79.950;-105.655;1205.938;-39.975;-95.099;1214.979;195.671;-41.050;1236.188;193.228;32.889;1305.875;201.926;92.949;1240.733;253.532;63.823;1158.242;217.027;87.133;985.833;268.290;38.411;1009.729;272.395;-53.707;967.898;221.376;-188.048;1020.969;209.941;-194.205;951.282;241.217;-163.369;983.096;-147.486;-34.697;1240.635;-136.100;29.272;1310.029;-143.577;100.523;1248.894;-201.877;20.672;1156.776;-177.345;93.535;989.400;-222.940;42.907;1018.135;-202.659;-34.404;1030.987;-185.262;-180.180;1008.948;-171.432;-175.097;941.508;-200.607;-151.152;975.179;140.156;-117.872;868.107;-125.446;-86.205;871.235;122.954;81.660;939.309;-70.029;100.181;949.767
23.164;39.633;1597.964;101.354;-26.096;1545.333;-47.110;-35.821;1540.495;84.152;86.205;1449.305;-40.219;76.480;1451.309;28.148;112.545;1279.339;43.884;112.545;1114.651;92.998;126.766;1194.649;-28.393;125.349;1175.884;34.110;-67.390;1278.020;24.239;-139.228;1087.431;79.852;-105.606;1205.840;-40.121;-95.050;1214.783;195.573;-41.196;1236.139;193.130;32.791;1305.875;201.829;92.851;1240.782;253.434;63.725;1158.242;217.027;86.938;985.833;268.193;38.118;1009.827;272.004;-54.098;968.093;221.083;-188.194;1021.311;209.012;-194.498;951.722;240.631;-163.662;983.291;-147.633;-34.746;1240.342;-136.198;29.175;1309.833;-143.577;100.474;1248.747;-201.926;20.769;1156.532;-177.492;93.926;989.302;-223.087;43.249;1018.135;-202.757;-33.915;1031.085;-185.115;-179.838;1009.436;-171.481;-174.755;941.899;-200.607;-150.809;975.521;140.107;-117.970;868.107;-125.495;-86.205;871.186;122.954;81.611;939.309;-70.029;100.181;949.718
23.017;39.535;1597.964;101.256;-26.194;1545.333;-47.207;-35.919;1540.397;84.103;86.156;1449.354;-40.268;76.431;1451.260;27.953;112.496;1279.339;43.835;112.496;1114.602;92.949;126.619;1194.600;-28.735;125.056;1175.786;33.915;-67.244;1277.824;24.190;-139.130;1087.284;79.705;-105.410;1205.694;-40.268;-94.806;1214.490;195.427;-41.392;1236.481;192.934;32.644;1306.168;201.829;92.753;1241.075;253.630;63.187;1158.584;217.027;86.107;986.175;267.850;36.896;1010.120;270.441;-55.515;968.826;219.959;-188.781;1022.680;205.054;-195.476;953.677;238.285;-164.639;984.122;-147.877;-35.039;1240.440;-136.491;28.784;1309.931;-143.821;100.035;1248.943;-202.220;20.476;1156.727;-177.883;93.975;989.693;-223.233;43.151;1018.819;-202.659;-33.426;1032.796;-183.600;-179.496;1012.759;-170.748;-174.657;945.076;-199.776;-150.761;978.453;140.058;-118.018;868.058;-125.544;-86.205;871.088;122.954;81.513;939.358;-70.029;100.132;949.767
23.164;39.633;1597.916;101.403;-26.096;1545.284;-47.061;-35.870;1540.495;84.103;86.205;1449.256;-40.268;76.431;1451.309;27.855;112.496;1279.535;43.640;112.496;1114.749;92.900;126.375;1194.600;-29.126;125.153;1176.079;33.573;-66.999;1277.629;23.995;-138.885;1087.187;79.461;-105.166;1205.645;-40.610;-94.170;1214.197;194.987;-41.734;1237.019;192.739;32.351;1306.461;201.877;92.216;1241.368;253.825;61.624;1158.780;217.418;83.615;986.175;267.460;33.671;1010.414;267.264;-59.522;970.634;215.316;-189.807;1026.931;197.137;-198.506;958.906;232.518;-167.376;987.543;-148.024;-35.137;1241.221;-136.686;28.637;1310.566;-144.212;99.693;1249.431;-202.708;19.499;1157.607;-179.251;91.434;989.693;-223.868;40.610;1020.432;-201.731;-34.257;1038.464;-175.977;-180.326;1025.221;-170.992;-177.345;956.120;-196.942;-153.253;990.377;139.961;-117.970;868.107;-125.593;-86.058;871.088;122.954;81.562;939.456;-70.078;100.279;949.816
23.653;39.877;1597.916;101.598;-26.096;1545.137;-46.914;-35.625;1540.886;84.152;86.009;1448.914;-40.170;76.431;1451.358;28.051;112.594;1279.779;43.738;112.936;1115.042;93.144;126.228;1194.943;-29.272;125.495;1176.275;33.084;-66.511;1277.580;23.506;-137.810;1086.942;78.923;-104.677;1205.596;-41.099;-93.193;1214.050;193.912;-42.858;1237.996;192.592;31.618;1306.950;202.268;91.043;1241.710;253.972;57.568;1158.633;218.640;76.822;985.246;266.824;25.656;1010.462;261.986;-68.759;973.420;207.449;-193.521;1034.995;184.431;-205.836;968.924;222.940;-174.169;994.042;-147.780;-34.990;1242.785;-136.735;29.321;1311.397;-144.652;99.497;1249.187;-203.441;16.224;1159.024;-184.089;81.758;987.787;-226.214;31.129;1022.680;-198.457;-39.095;1049.264;-158.091;-183.063;1051.366;-164.884;-185.946;981.972;-186.924;-160.974;1016.180;139.716;-117.579;868.254;-125.789;-85.179;871.235;123.003;82.051;939.505;-70.029;101.110;949.718
23.897;39.682;1598.209;101.550;-26.291;1545.039;-47.012;-35.332;1540.983;84.299;86.254;1449.305;-40.073;77.066;1451.944;28.442;113.425;1279.730;44.031;114.011;1115.091;93.633;126.473;1194.991;-29.272;126.375;1176.128;32.498;-65.582;1277.580;22.577;-136.149;1086.649;78.093;-104.189;1205.498;-41.685;-92.313;1214.246;191.859;-44.373;1239.364;192.592;31.081;1307.146;202.953;89.430;1241.075;253.923;50.335;1157.118;218.737;63.676;982.363;264.772;11.729;1009.778;255.242;-84.006;978.795;197.528;-201.047;1049.118;171.432;-218.249;985.246;212.189;-185.897;1006.651;-146.460;-34.746;1245.962;-136.393;31.227;1312.521;-145.336;99.204;1247.623;-203.588;8.259;1161.467;-191.468;59.522;984.513;-229.000;10.067;1026.149;-192.641;-50.482;1064.365;-130.431;-185.848;1089.337;-147.780;-199.239;1022.680;-167.571;-172.067;1054.835;139.276;-116.552;868.498;-126.180;-83.468;871.382;123.199;83.224;939.407;-69.785;102.869;949.621
