UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.696;32.458;1598.318;99.327;-34.606;1544.921;-49.395;-41.049;1540.381;84.392;78.827;1449.937;-40.121;71.897;1452.085;26.992;109.822;1279.641;42.416;111.579;1114.957;91.567;124.123;1194.712;-29.481;124.269;1176.360;32.019;-69.456;1276.078;22.550;-137.985;1084.500;77.900;-107.039;1203.595;-41.927;-95.667;1212.528;192.895;-45.491;1234.492;192.017;28.505;1304.387;200.949;88.541;1239.666;252.101;58.181;1156.836;215.885;83.269;985.807;264.548;31.092;1006.844;268.209;-55.985;950.469;218.228;-199.680;979.803;200.266;-188.991;911.665;235.701;-167.075;947.003;-148.381;-35.777;1237.957;-138.131;26.845;1308.878;-145.160;99.181;1248.647;-202.755;20.402;1155.274;-180.498;99.279;991.518;-222.718;43.977;1015.971;-198.265;-35.289;1018.802;-167.417;-176.203;979.999;-160.242;-161.267;912.983;-187.966;-143.988;951.006;139.156;-117.241;867.639;-126.807;-85.807;870.665;121.780;82.000;939.487;-71.164;100.450;949.737
22.745;32.410;1598.318;99.376;-34.655;1544.921;-49.298;-41.098;1540.381;84.441;78.730;1449.888;-40.121;71.799;1452.036;26.992;109.675;1279.641;42.416;111.481;1114.908;91.567;123.976;1194.712;-29.530;124.123;1176.360;32.019;-69.602;1276.078;22.550;-138.131;1084.500;77.900;-107.186;1203.547;-41.976;-95.813;1212.528;192.847;-45.637;1234.443;192.017;28.358;1304.338;200.949;88.394;1239.617;252.101;58.035;1156.787;215.787;83.123;985.758;264.450;30.945;1006.795;268.160;-56.131;950.469;218.228;-199.826;979.803;200.217;-189.186;911.665;235.604;-167.222;947.003;-148.381;-35.875;1237.957;-138.082;26.748;1308.878;-145.160;99.035;1248.695;-202.755;20.256;1155.323;-180.547;99.181;991.518;-222.816;43.880;1016.020;-198.362;-35.387;1018.851;-167.563;-176.251;979.999;-160.388;-161.316;912.983;-188.112;-144.086;951.006;139.107;-117.338;867.639;-126.807;-85.954;870.665;121.780;81.854;939.487;-71.164;100.304;949.737
22.843;32.361;1598.318;99.425;-34.704;1544.921;-49.249;-41.146;1540.430;84.441;78.681;1449.840;-40.073;71.701;1452.036;26.992;109.529;1279.641;42.367;111.335;1114.908;91.518;123.830;1194.712;-29.530;123.976;1176.408;32.019;-69.700;1276.078;22.501;-138.278;1084.500;77.851;-107.283;1203.547;-41.976;-95.911;1212.528;192.847;-45.783;1234.443;192.017;28.212;1304.338;200.949;88.248;1239.568;252.004;57.888;1156.738;215.690;82.927;985.758;264.401;30.799;1006.795;268.062;-56.277;950.420;218.276;-199.924;979.852;200.168;-189.381;911.763;235.604;-167.368;947.052;-148.381;-36.021;1238.006;-138.082;26.601;1308.926;-145.160;98.937;1248.695;-202.804;20.207;1155.371;-180.644;99.083;991.615;-222.865;43.782;1016.069;-198.460;-35.485;1018.900;-167.661;-176.349;980.096;-160.535;-161.462;913.081;-188.210;-144.183;951.152;139.107;-117.436;867.639;-126.807;-86.051;870.665;121.731;81.756;939.536;-71.213;100.206;949.737
22.892;32.263;1598.318;99.474;-34.752;1544.872;-49.151;-41.244;1540.479;84.441;78.632;1449.840;-40.073;71.604;1452.085;26.992;109.480;1279.641;42.367;111.237;1114.957;91.518;123.732;1194.712;-29.530;123.830;1176.408;32.019;-69.749;1276.078;22.501;-138.473;1084.598;77.851;-107.430;1203.595;-41.976;-95.960;1212.625;192.847;-45.881;1234.492;192.017;28.163;1304.338;200.949;88.150;1239.568;251.955;57.791;1156.738;215.592;82.781;985.709;264.304;30.701;1006.795;268.013;-56.424;950.518;218.276;-200.070;980.096;200.168;-189.625;912.007;235.604;-167.563;947.247;-148.381;-36.070;1238.104;-138.082;26.552;1308.926;-145.160;98.839;1248.744;-202.853;20.110;1155.469;-180.693;98.937;991.615;-222.913;43.636;1016.167;-198.509;-35.631;1018.998;-167.807;-176.495;980.292;-160.584;-161.657;913.276;-188.307;-144.330;951.299;139.107;-117.485;867.639;-126.807;-86.149;870.665;121.731;81.707;939.536;-71.213;100.108;949.786
22.941;32.166;1598.318;99.523;-34.850;1544.823;-49.102;-41.342;1540.430;84.441;78.583;1449.840;-40.024;71.555;1452.134;27.041;109.431;1279.641;42.367;111.139;1114.957;91.567;123.683;1194.712;-29.530;123.781;1176.408;32.068;-69.798;1276.175;22.501;-138.668;1084.695;77.851;-107.479;1203.693;-41.976;-96.057;1212.723;192.895;-45.930;1234.541;192.066;28.114;1304.338;200.998;88.052;1239.568;252.004;57.644;1156.738;215.592;82.635;985.709;264.304;30.555;1006.795;268.013;-56.619;950.664;218.374;-200.168;980.389;200.168;-189.869;912.349;235.653;-167.710;947.492;-148.381;-36.168;1238.201;-138.033;26.552;1309.024;-145.160;98.791;1248.793;-202.853;20.012;1155.518;-180.791;98.742;991.664;-223.011;43.489;1016.215;-198.606;-35.777;1019.144;-167.856;-176.691;980.487;-160.681;-161.901;913.471;-188.405;-144.574;951.494;139.058;-117.533;867.639;-126.807;-86.198;870.665;121.731;81.658;939.536;-71.262;100.011;949.786
22.989;32.019;1598.318;99.572;-34.948;1544.774;-49.054;-41.439;1540.381;84.489;78.583;1449.888;-40.024;71.555;1452.183;27.089;109.431;1279.689;42.367;111.091;1115.006;91.616;123.635;1194.712;-29.579;123.732;1176.457;32.068;-69.798;1276.273;22.501;-138.814;1084.842;77.900;-107.527;1203.791;-41.927;-96.106;1212.820;192.944;-46.027;1234.638;192.066;28.066;1304.387;201.047;88.004;1239.617;252.053;57.595;1156.787;215.738;82.488;985.758;264.450;30.457;1006.893;268.111;-56.863;950.908;218.374;-200.266;980.926;200.168;-190.113;912.837;235.653;-167.905;947.931;-148.381;-36.217;1238.348;-137.985;26.504;1309.122;-145.111;98.742;1248.891;-202.853;19.914;1155.713;-180.888;98.547;991.762;-223.060;43.294;1016.411;-198.606;-35.924;1019.339;-167.807;-176.886;980.828;-160.681;-162.145;913.813;-188.356;-144.769;951.787;139.058;-117.582;867.639;-126.758;-86.247;870.665;121.731;81.610;939.584;-71.213;99.962;949.786
23.038;31.921;1598.367;99.572;-35.045;1544.774;-49.005;-41.488;1540.381;84.538;78.535;1449.986;-39.975;71.555;1452.231;27.138;109.431;1279.738;42.416;110.993;1115.055;91.664;123.586;1194.810;-29.530;123.683;1176.506;32.117;-69.847;1276.370;22.501;-139.010;1084.988;77.900;-107.576;1203.888;-41.927;-96.204;1212.918;192.944;-46.076;1234.785;192.114;28.017;1304.485;201.095;87.955;1239.714;252.150;57.449;1156.933;215.934;82.342;985.856;264.646;30.262;1007.039;268.209;-57.058;951.201;218.472;-200.315;981.512;200.168;-190.406;913.422;235.701;-168.149;948.419;-148.381;-36.266;1238.494;-137.936;26.504;1309.219;-145.111;98.693;1248.939;-202.853;19.817;1155.811;-180.937;98.400;991.811;-223.109;43.148;1016.508;-198.606;-36.070;1019.534;-167.759;-177.032;981.170;-160.632;-162.389;914.106;-188.356;-145.013;952.128;139.107;-117.582;867.688;-126.710;-86.295;870.665;121.780;81.561;939.584;-71.213;99.913;949.834
23.038;31.873;1598.367;99.620;-35.045;1544.725;-49.005;-41.537;1540.381;84.538;78.583;1450.035;-39.975;71.555;1452.280;27.138;109.431;1279.787;42.416;110.993;1115.104;91.664;123.586;1194.858;-29.530;123.683;1176.506;32.117;-69.847;1276.468;22.501;-139.205;1085.135;77.900;-107.576;1203.986;-41.927;-96.252;1213.064;192.993;-46.174;1234.882;192.114;28.017;1304.582;201.144;87.906;1239.812;252.199;57.351;1157.031;216.129;82.195;985.905;264.792;30.164;1007.186;268.355;-57.302;951.592;218.520;-200.363;982.244;200.217;-190.699;914.106;235.750;-168.344;949.102;-148.430;-36.266;1238.641;-137.936;26.552;1309.317;-145.111;98.693;1248.988;-202.901;19.768;1155.908;-180.986;98.205;991.859;-223.157;42.952;1016.606;-198.655;-36.217;1019.730;-167.759;-177.228;981.512;-160.584;-162.634;914.447;-188.356;-145.208;952.421;139.156;-117.582;867.688;-126.661;-86.295;870.714;121.878;81.561;939.633;-71.116;99.913;949.883
23.087;31.873;1598.367;99.669;-34.948;1544.677;-48.956;-41.488;1540.381;84.489;78.730;1450.035;-40.024;71.652;1452.378;27.138;109.529;1279.787;42.464;110.944;1115.104;91.713;123.586;1194.858;-29.530;123.732;1176.506;32.068;-69.749;1276.566;22.501;-139.351;1085.330;77.851;-107.576;1204.083;-41.927;-96.252;1213.211;192.993;-46.174;1235.029;192.114;28.066;1304.680;201.193;87.906;1239.861;252.248;57.302;1157.080;216.178;82.049;985.953;264.841;30.067;1007.283;268.404;-57.546;951.933;218.716;-200.363;983.025;200.217;-191.089;914.887;235.799;-168.539;949.737;-148.479;-36.266;1238.738;-137.936;26.650;1309.366;-145.111;98.742;1248.988;-202.950;19.719;1155.957;-181.084;98.058;991.859;-223.206;42.806;1016.655;-198.655;-36.314;1019.925;-167.661;-177.374;981.951;-160.486;-162.878;914.838;-188.259;-145.404;952.763;139.156;-117.631;867.737;-126.612;-86.247;870.714;121.975;81.512;939.682;-71.018;99.913;949.883
