UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29.262;27.360;1597.421;103.832;-41.503;1543.432;-45.064;-46.478;1542.944;87.445;70.327;1446.623;-37.114;64.621;1452.232;27.506;101.198;1279.634;42.576;103.003;1115.181;91.981;115.634;1194.774;-28.823;115.537;1176.338;32.627;-78.276;1275.927;23.605;-147.042;1084.065;78.715;-115.878;1203.308;-41.260;-104.758;1212.233;193.472;-53.501;1234.277;192.350;20.240;1304.604;201.324;80.373;1239.837;252.679;50.721;1157.562;218.149;76.862;985.793;266.676;24.727;1007.935;266.724;-65.450;957.945;215.906;-204.689;1001.595;192.252;-198.397;934.438;231.561;-174.988;966.919;-148.408;-43.942;1238.130;-137.435;18.386;1309.189;-144.506;90.810;1248.860;-202.738;13.509;1156.050;-180.206;92.468;992.133;-223.807;38.382;1016.860;-202.445;-40.479;1021.298;-183.913;-183.376;981.989;-156.748;-169.477;920.100;-193.081;-150.651;950.678;140.751;-123.242;866.355;-125.340;-93.736;869.378;122.023;75.204;940.047;-71.107;92.078;950.386
29.555;27.263;1597.421;104.076;-41.503;1543.286;-44.771;-46.527;1542.896;87.640;70.424;1446.623;-36.919;64.669;1452.280;27.653;101.296;1279.585;42.674;103.052;1115.132;92.127;115.683;1194.725;-28.774;115.585;1176.290;32.774;-78.179;1275.976;23.702;-147.189;1084.211;78.861;-115.829;1203.406;-41.162;-104.710;1212.380;193.667;-53.452;1234.326;192.496;20.337;1304.604;201.470;80.422;1239.788;252.825;50.624;1157.464;218.296;76.569;985.696;266.822;24.434;1007.837;266.773;-65.791;957.945;215.857;-204.933;1001.790;192.252;-198.690;934.633;231.561;-175.280;967.114;-148.262;-43.893;1238.325;-137.239;18.533;1309.286;-144.360;90.859;1248.909;-202.640;13.509;1156.196;-180.255;92.322;992.182;-223.807;38.187;1017.006;-202.445;-40.626;1021.493;-183.913;-183.571;982.330;-156.796;-169.720;920.441;-193.081;-150.944;951.020;140.751;-123.389;866.403;-125.340;-93.834;869.427;122.121;75.057;939.949;-71.009;92.029;950.337
29.945;27.409;1597.372;104.368;-41.406;1543.188;-44.430;-46.332;1542.896;87.884;70.522;1446.526;-36.626;64.864;1452.378;27.848;101.491;1279.585;42.820;103.100;1115.132;92.322;115.781;1194.676;-28.628;115.683;1176.241;32.871;-78.032;1276.122;23.751;-147.384;1084.504;78.910;-115.781;1203.552;-41.065;-104.661;1212.575;193.813;-53.403;1234.473;192.642;20.435;1304.604;201.665;80.471;1239.788;252.923;50.624;1157.464;218.393;76.423;985.647;266.920;24.336;1007.837;266.724;-65.986;958.140;215.808;-205.128;1002.277;192.155;-198.934;935.170;231.512;-175.475;967.504;-148.164;-43.747;1238.520;-137.093;18.777;1309.384;-144.214;91.054;1248.909;-202.543;13.558;1156.294;-180.157;92.078;992.182;-223.758;38.041;1017.104;-202.397;-40.772;1021.688;-183.961;-183.766;982.818;-156.748;-170.062;920.880;-193.081;-151.188;951.410;140.702;-123.535;866.452;-125.340;-93.883;869.476;122.169;74.960;939.949;-70.912;91.981;950.337
30.286;27.799;1597.323;104.612;-41.065;1543.139;-44.137;-45.893;1542.993;88.177;70.814;1446.477;-36.334;65.255;1452.329;28.043;101.686;1279.536;42.918;103.052;1115.083;92.517;115.829;1194.578;-28.531;115.732;1176.192;33.017;-77.886;1276.269;23.751;-147.676;1084.845;79.008;-115.781;1203.747;-40.918;-104.612;1212.819;194.008;-53.355;1234.570;192.838;20.581;1304.604;201.860;80.568;1239.691;253.069;50.624;1157.416;218.491;76.228;985.598;267.066;24.190;1007.837;266.724;-66.230;958.287;215.857;-205.567;1002.814;192.155;-199.178;935.706;231.610;-175.670;967.992;-148.018;-43.649;1238.764;-136.849;19.020;1309.481;-144.019;91.200;1248.957;-202.397;13.656;1156.489;-180.060;91.932;992.231;-223.660;37.943;1017.250;-202.348;-40.869;1021.932;-184.108;-183.913;983.257;-156.455;-170.354;921.514;-192.984;-151.383;951.849;140.702;-123.681;866.452;-125.291;-93.980;869.525;122.218;74.814;939.949;-70.863;91.834;950.337
30.530;28.579;1597.274;104.856;-40.479;1543.188;-43.942;-45.259;1543.042;88.469;71.253;1446.282;-36.041;65.694;1452.183;28.189;101.832;1279.439;43.015;102.954;1114.985;92.663;115.927;1194.432;-28.433;115.732;1176.143;33.261;-77.789;1276.366;23.849;-148.018;1085.040;79.154;-115.781;1203.845;-40.772;-104.612;1213.014;194.252;-53.306;1234.570;193.033;20.776;1304.507;202.055;80.617;1239.545;253.313;50.575;1157.318;218.881;75.887;985.452;267.359;23.849;1007.788;266.627;-66.718;958.677;214.979;-206.737;1003.984;192.106;-199.714;936.779;231.464;-176.207;969.162;-147.871;-43.649;1238.959;-136.654;19.118;1309.579;-143.872;91.249;1249.055;-202.250;13.607;1156.586;-180.109;91.834;992.328;-223.612;37.846;1017.445;-202.397;-40.869;1022.322;-184.254;-184.059;983.940;-155.967;-170.550;922.440;-192.789;-151.529;952.434;140.702;-123.730;866.452;-125.291;-94.127;869.476;122.267;74.716;939.949;-70.863;91.688;950.386
30.774;29.555;1597.128;105.100;-39.650;1543.335;-43.649;-44.430;1543.139;88.762;71.741;1446.038;-35.749;66.230;1451.939;28.336;102.027;1279.390;43.113;102.905;1114.888;92.761;116.024;1194.383;-28.482;115.634;1176.046;33.554;-77.642;1276.415;23.995;-148.213;1085.236;79.349;-115.634;1203.942;-40.528;-104.612;1213.160;194.545;-53.111;1234.765;193.228;21.020;1304.604;202.299;80.812;1239.545;253.605;50.477;1157.367;219.369;75.106;985.257;267.749;23.020;1007.935;265.944;-67.937;960.042;211.858;-209.078;1007.106;191.667;-200.982;939.413;230.293;-177.231;972.186;-147.774;-43.893;1239.106;-136.459;18.972;1309.725;-143.775;91.005;1249.201;-202.104;13.363;1156.635;-180.304;91.883;992.426;-223.612;37.846;1017.835;-202.592;-40.577;1023.297;-184.644;-184.156;985.939;-154.650;-170.793;925.074;-192.252;-151.627;954.190;140.702;-123.779;866.452;-125.242;-94.175;869.525;122.267;74.716;939.949;-70.863;91.639;950.435
31.018;30.579;1596.982;105.393;-38.724;1543.432;-43.357;-43.601;1543.237;89.006;72.326;1445.794;-35.505;66.766;1451.646;28.336;102.271;1279.487;43.210;103.052;1115.034;92.907;116.268;1194.481;-28.774;115.585;1176.143;33.749;-77.301;1276.512;24.385;-148.115;1085.431;79.642;-115.293;1204.089;-40.235;-104.320;1213.160;194.691;-52.818;1235.448;193.325;21.410;1305.092;202.543;81.056;1239.935;253.995;49.892;1157.708;220.149;73.204;985.305;268.041;20.825;1008.569;264.286;-70.912;963.554;205.176;-211.663;1012.958;190.058;-203.031;944.387;226.440;-179.084;978.478;-147.628;-44.332;1239.740;-136.362;18.630;1310.213;-143.872;90.566;1249.738;-202.250;12.680;1157.318;-181.133;91.103;992.913;-223.904;36.724;1018.762;-202.787;-40.918;1026.028;-183.815;-185.132;990.963;-150.895;-172.354;931.365;-190.106;-152.846;958.677;140.751;-123.779;866.452;-125.144;-94.175;869.574;122.316;74.716;939.949;-70.814;91.639;950.435
31.310;31.798;1596.933;105.734;-37.651;1543.627;-43.015;-42.625;1543.383;89.298;73.058;1445.550;-35.212;67.400;1451.451;28.336;102.710;1279.683;43.210;103.490;1115.229;93.005;116.658;1194.578;-29.262;115.732;1176.387;34.090;-76.813;1276.756;24.678;-147.774;1085.723;79.934;-114.903;1204.430;-39.894;-103.929;1213.453;194.642;-52.477;1236.423;193.423;22.044;1305.628;202.738;81.349;1240.227;254.678;48.283;1157.952;222.685;69.107;985.013;269.114;15.850;1009.593;261.750;-77.008;968.967;193.813;-214.540;1021.542;185.766;-206.201;951.995;218.978;-182.547;988.036;-146.945;-44.917;1240.910;-136.069;18.435;1311.091;-144.165;89.932;1250.323;-202.738;10.339;1158.537;-184.449;87.348;992.865;-225.514;32.091;1020.176;-202.201;-43.698;1031.296;-179.231;-188.838;1001.887;-141.190;-177.280;945.363;-183.425;-157.528;968.919;140.751;-123.584;866.599;-125.047;-93.931;869.671;122.462;74.911;939.998;-70.668;91.932;950.483
31.749;33.505;1596.689;106.124;-36.334;1543.773;-42.625;-41.211;1543.627;89.737;73.789;1445.111;-34.773;68.327;1451.061;28.384;103.588;1279.585;43.113;104.173;1115.132;93.005;117.292;1194.383;-29.799;116.122;1176.436;34.481;-75.935;1277.049;24.824;-147.140;1086.016;80.178;-114.171;1204.723;-39.553;-103.393;1213.940;194.057;-52.038;1237.496;193.520;23.068;1305.872;202.982;81.641;1239.837;255.654;45.064;1157.757;227.367;61.743;983.647;271.211;7.169;1010.471;258.336;-86.616;975.210;179.621;-217.613;1033.490;178.011;-211.663;963.359;209.078;-188.107;999.888;-145.677;-45.454;1242.763;-135.581;18.777;1312.164;-144.604;89.396;1250.372;-203.323;5.755;1160.244;-190.399;77.984;991.402;-228.294;21.654;1021.542;-200.690;-50.575;1039.148;-169.477;-195.325;1019.737;-123.876;-186.010;969.699;-170.842;-166.843;985.696;140.751;-123.194;866.745;-124.998;-93.297;869.817;122.608;75.399;939.998;-70.522;92.566;950.483
