UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
9.724;41.289;1595.778;87.807;-26.582;1545.986;-60.884;-36.501;1542.174;69.972;81.309;1444.937;-54.385;71.878;1448.113;12.802;105.838;1275.332;28.341;100.610;1109.588;78.084;118.054;1190.261;-43.293;114.926;1170.667;19.154;-73.881;1276.114;11.092;-150.352;1087.257;65.672;-112.923;1205.164;-54.043;-103.199;1213.764;180.061;-48.961;1234.971;177.862;26.630;1303.624;186.853;85.364;1238.049;240.114;52.919;1155.861;207.522;78.572;984.400;253.454;23.454;1007.659;246.076;-68.067;965.832;170.240;-196.919;1013.034;172.439;-199.265;942.573;200.340;-173.269;980.002;-162.226;-44.857;1238.000;-151.427;21.304;1306.458;-159.050;90.641;1244.402;-218.761;7.818;1154.395;-205.079;85.902;987.918;-242.509;27.852;1016.161;-206.643;-46.078;1027.400;-156.851;-181.283;1003.359;-158.268;-179.621;934.511;-184.557;-157.780;971.891;128.853;-126.165;868.838;-136.915;-102.173;869.229;107.011;72.757;939.837;-86.732;85.902;948.876
9.822;40.850;1595.875;87.856;-26.924;1545.888;-60.835;-36.794;1542.077;70.021;81.211;1445.132;-54.336;71.780;1448.308;12.949;105.936;1275.283;28.438;100.756;1109.539;78.230;118.103;1190.261;-43.146;115.073;1170.618;19.154;-73.784;1276.065;11.043;-150.206;1087.208;65.623;-112.825;1205.164;-54.092;-103.004;1213.715;180.012;-49.010;1234.971;177.911;26.630;1303.624;186.951;85.315;1238.049;240.310;52.821;1155.910;208.060;78.572;984.449;253.796;23.308;1007.757;246.222;-68.213;965.783;169.702;-196.772;1012.692;172.390;-199.167;942.231;200.144;-173.220;979.807;-162.226;-44.612;1237.903;-151.378;21.549;1306.360;-158.952;90.886;1244.304;-218.761;8.111;1154.346;-205.079;86.244;987.869;-242.557;28.145;1016.112;-206.692;-45.834;1027.253;-156.949;-180.990;1003.066;-158.464;-179.328;934.266;-184.703;-157.438;971.647;128.853;-126.214;868.838;-136.915;-102.027;869.229;107.108;72.709;939.837;-86.635;86.048;948.876
9.919;40.410;1595.924;87.954;-27.266;1545.790;-60.688;-37.087;1541.979;70.070;81.113;1445.279;-54.287;71.731;1448.504;13.046;105.984;1275.283;28.585;100.854;1109.539;78.377;118.151;1190.212;-43.000;115.171;1170.618;19.106;-73.637;1276.016;11.043;-150.059;1087.208;65.623;-112.728;1205.115;-54.092;-102.857;1213.667;179.964;-49.010;1234.922;177.960;26.582;1303.575;187.049;85.266;1238.000;240.456;52.723;1155.959;208.451;78.670;984.498;254.040;23.308;1007.805;246.418;-68.164;965.685;169.556;-196.675;1012.350;172.487;-198.971;941.889;200.095;-173.123;979.562;-162.177;-44.417;1237.854;-151.330;21.744;1306.360;-158.806;91.081;1244.255;-218.663;8.404;1154.298;-204.982;86.537;987.869;-242.411;28.487;1016.063;-206.594;-45.541;1027.155;-156.802;-180.648;1002.870;-158.366;-178.937;934.071;-184.557;-157.095;971.451;128.804;-126.263;868.838;-136.964;-101.929;869.229;107.206;72.709;939.788;-86.537;86.097;948.827
10.066;40.019;1595.973;88.052;-27.559;1545.693;-60.590;-37.332;1541.930;70.217;81.015;1445.425;-54.141;71.682;1448.601;13.193;106.033;1275.234;28.683;100.903;1109.490;78.523;118.151;1190.212;-42.804;115.220;1170.618;19.154;-73.588;1276.016;10.994;-149.961;1087.159;65.623;-112.679;1205.067;-54.092;-102.711;1213.618;180.012;-49.010;1234.824;178.058;26.533;1303.526;187.146;85.218;1237.952;240.554;52.772;1155.959;208.695;78.865;984.498;254.285;23.454;1007.757;246.466;-67.969;965.539;169.604;-196.430;1012.057;172.292;-198.629;941.645;200.095;-172.878;979.269;-162.128;-44.221;1237.805;-151.232;21.891;1306.311;-158.659;91.277;1244.255;-218.468;8.649;1154.200;-204.639;86.830;987.869;-242.118;28.780;1015.966;-206.301;-45.296;1027.009;-156.460;-180.354;1002.626;-158.024;-178.595;933.826;-184.215;-156.802;971.256;128.853;-126.263;868.789;-136.915;-101.880;869.278;107.255;72.709;939.788;-86.488;86.146;948.827
10.261;39.726;1596.022;88.198;-27.852;1545.595;-60.444;-37.478;1541.881;70.461;80.918;1445.523;-53.945;71.634;1448.699;13.340;106.082;1275.234;28.780;100.952;1109.490;78.670;118.151;1190.163;-42.658;115.269;1170.618;19.252;-73.539;1275.967;11.043;-149.913;1087.111;65.721;-112.630;1205.018;-53.994;-102.662;1213.618;180.110;-48.961;1234.678;178.204;26.484;1303.428;187.293;85.218;1237.903;240.652;52.870;1155.910;208.597;79.110;984.449;254.236;23.699;1007.659;246.418;-67.676;965.343;169.702;-196.186;1011.861;172.243;-198.336;941.449;200.095;-172.585;979.074;-161.982;-44.075;1237.756;-151.134;22.037;1306.262;-158.513;91.423;1244.255;-218.272;8.795;1154.102;-204.151;87.026;987.772;-241.678;28.927;1015.770;-205.959;-45.199;1026.716;-156.118;-180.306;1002.186;-157.633;-178.351;933.436;-183.873;-156.656;970.816;128.853;-126.312;868.789;-136.915;-101.880;869.278;107.304;72.709;939.739;-86.439;86.146;948.827
10.506;39.628;1596.022;88.345;-27.999;1545.595;-60.297;-37.527;1541.832;70.705;80.771;1445.523;-53.701;71.585;1448.699;13.486;106.131;1275.185;28.878;101.049;1109.441;78.719;118.249;1190.114;-42.511;115.317;1170.569;19.399;-73.442;1275.967;11.190;-149.864;1087.111;65.868;-112.532;1204.969;-53.847;-102.613;1213.569;180.306;-48.863;1234.580;178.351;26.630;1303.380;187.391;85.364;1237.805;240.652;53.066;1155.764;208.353;79.354;984.400;254.089;23.992;1007.463;246.369;-67.382;965.148;169.947;-196.040;1011.715;172.194;-198.141;941.303;200.193;-172.390;978.830;-161.835;-44.026;1237.756;-150.988;22.037;1306.262;-158.366;91.423;1244.206;-218.028;8.795;1154.053;-203.809;87.026;987.723;-241.336;28.878;1015.672;-205.666;-45.296;1026.422;-155.727;-180.354;1001.600;-157.242;-178.253;932.800;-183.482;-156.607;970.278;128.950;-126.263;868.789;-136.817;-101.929;869.278;107.304;72.709;939.739;-86.390;86.097;948.827
10.701;40.068;1595.826;88.540;-27.803;1545.741;-60.102;-37.283;1541.979;70.998;80.576;1445.181;-53.408;71.487;1448.357;13.535;106.131;1275.185;28.878;101.049;1109.392;78.768;118.347;1190.066;-42.462;115.317;1170.569;19.643;-73.393;1275.918;11.385;-149.815;1087.111;66.112;-112.434;1204.920;-53.603;-102.564;1213.569;180.501;-48.619;1234.531;178.498;26.826;1303.282;187.440;85.608;1237.707;240.652;53.310;1155.568;208.158;79.452;984.253;253.991;24.187;1007.317;246.369;-67.236;964.855;170.191;-196.040;1011.372;172.341;-198.043;940.960;200.340;-172.341;978.487;-161.640;-44.172;1237.707;-150.841;21.940;1306.214;-158.317;91.325;1244.206;-217.930;8.600;1154.004;-203.907;86.928;987.772;-241.287;28.683;1015.672;-205.421;-45.492;1026.227;-155.092;-180.403;1001.160;-156.802;-178.107;932.409;-182.944;-156.607;969.888;128.999;-126.263;868.741;-136.768;-101.978;869.278;107.353;72.709;939.690;-86.390;86.097;948.827
10.897;41.338;1595.387;88.785;-27.021;1546.035;-59.858;-36.501;1542.272;71.292;80.380;1444.399;-53.114;71.292;1447.624;13.486;106.082;1275.185;28.878;101.098;1109.392;78.719;118.396;1190.017;-42.658;115.269;1170.618;19.790;-73.393;1275.772;11.629;-149.766;1087.013;66.307;-112.386;1204.822;-53.505;-102.417;1213.373;180.648;-48.424;1234.531;178.546;27.021;1303.233;187.440;85.755;1237.610;240.554;53.456;1155.470;208.060;79.403;984.156;253.943;24.187;1007.219;246.515;-67.138;964.415;170.484;-196.430;1010.395;172.829;-198.043;939.983;200.682;-172.439;977.657;-161.591;-44.612;1237.658;-150.841;21.451;1306.262;-158.366;90.788;1244.353;-217.881;8.111;1154.102;-204.102;86.439;987.967;-241.189;27.999;1016.063;-204.737;-45.785;1026.960;-151.036;-179.866;1002.088;-156.998;-178.302;933.729;-181.136;-156.656;971.598;129.097;-126.214;868.741;-136.671;-102.027;869.278;107.353;72.757;939.739;-86.390;86.048;948.827
11.141;43.684;1594.654;89.029;-25.604;1546.572;-59.613;-35.084;1542.956;71.634;79.891;1442.982;-52.772;70.950;1446.354;13.584;105.838;1275.479;28.829;101.196;1109.637;78.670;118.249;1190.261;-42.853;115.220;1171.009;19.887;-73.588;1275.723;11.678;-149.424;1086.769;66.405;-112.434;1204.725;-53.408;-102.027;1213.031;180.794;-48.570;1234.824;178.546;26.924;1303.477;187.391;85.413;1237.756;240.017;53.310;1155.861;208.207;79.110;984.644;254.089;24.041;1007.659;247.297;-67.138;963.633;171.412;-197.652;1007.512;174.198;-197.994;937.100;201.757;-172.829;975.311;-161.005;-44.661;1238.000;-150.743;20.962;1306.702;-158.513;90.202;1244.841;-217.833;6.694;1154.591;-205.324;83.312;987.820;-240.896;24.334;1017.285;-202.001;-47.495;1030.673;-140.384;-179.768;1009.418;-155.874;-181.625;942.573;-175.761;-158.708;981.224;128.999;-126.214;868.789;-136.768;-101.880;869.229;107.353;72.855;939.739;-86.439;86.195;948.827
