UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
11.274;41.631;1597.335;89.020;-25.086;1545.504;-59.591;-34.017;1541.160;72.036;85.897;1447.894;-52.416;77.063;1450.432;15.569;113.813;1277.419;30.161;111.812;1112.019;80.333;126.746;1192.303;-41.143;126.014;1173.513;20.547;-65.691;1276.443;10.737;-139.045;1086.397;66.570;-104.442;1204.797;-53.344;-93.510;1213.973;181.652;-41.875;1234.666;179.992;32.894;1304.164;189.021;92.534;1239.644;241.243;60.811;1155.992;206.884;87.214;984.150;253.834;32.699;1007.626;246.465;-59.200;970.631;173.160;-187.069;1025.391;171.500;-189.851;954.331;201.515;-164.033;990.397;-160.910;-34.017;1238.863;-149.343;31.235;1307.532;-156.224;101.612;1246.623;-217.035;19.815;1155.602;-202.784;97.707;989.275;-240.364;39.922;1016.996;-204.736;-33.431;1029.588;-157.249;-170.817;1007.186;-150.612;-165.644;938.811;-181.017;-145.927;973.853;127.381;-117.961;869.947;-138.118;-88.874;871.021;109.128;81.943;939.445;-84.286;98.879;948.816
11.225;41.582;1597.335;88.971;-25.183;1545.504;-59.688;-34.017;1541.160;72.036;85.799;1447.894;-52.416;77.014;1450.383;15.569;113.764;1277.419;30.161;111.714;1112.019;80.333;126.649;1192.303;-41.143;125.917;1173.513;20.498;-65.740;1276.394;10.688;-139.094;1086.397;66.521;-104.491;1204.748;-53.393;-93.559;1213.973;181.603;-41.923;1234.666;179.944;32.797;1304.164;188.972;92.436;1239.644;241.194;60.713;1155.992;206.835;87.117;984.150;253.785;32.650;1007.626;246.465;-59.249;970.680;173.209;-187.167;1025.439;171.549;-189.949;954.428;201.564;-164.082;990.446;-160.910;-34.066;1238.814;-149.343;31.186;1307.532;-156.224;101.563;1246.623;-217.035;19.815;1155.553;-202.735;97.659;989.226;-240.315;39.922;1016.996;-204.736;-33.431;1029.539;-157.249;-170.866;1007.186;-150.612;-165.693;938.811;-181.017;-145.927;973.853;127.332;-118.059;869.947;-138.118;-88.971;871.021;109.128;81.895;939.445;-84.286;98.830;948.816
11.225;41.533;1597.286;88.971;-25.232;1545.504;-59.688;-34.066;1541.160;72.036;85.750;1447.894;-52.416;76.965;1450.383;15.569;113.715;1277.419;30.161;111.714;1112.019;80.333;126.600;1192.303;-41.094;125.868;1173.513;20.498;-65.789;1276.394;10.688;-139.094;1086.397;66.521;-104.540;1204.748;-53.393;-93.559;1213.973;181.603;-41.972;1234.666;179.944;32.748;1304.164;188.972;92.388;1239.595;241.145;60.616;1155.992;206.835;87.019;984.102;253.785;32.504;1007.626;246.465;-59.396;970.680;173.160;-187.264;1025.488;171.500;-190.046;954.477;201.515;-164.228;990.495;-160.910;-34.066;1238.814;-149.343;31.186;1307.532;-156.224;101.563;1246.623;-217.035;19.815;1155.553;-202.687;97.659;989.275;-240.315;39.922;1016.996;-204.736;-33.431;1029.539;-157.396;-170.866;1007.186;-150.709;-165.693;938.811;-181.066;-145.927;973.853;127.332;-118.108;869.947;-138.167;-89.020;871.021;109.128;81.846;939.445;-84.286;98.732;948.816
11.274;41.484;1597.286;88.971;-25.281;1545.504;-59.640;-34.115;1541.160;72.036;85.701;1447.894;-52.368;76.916;1450.432;15.618;113.667;1277.370;30.210;111.617;1111.970;80.333;126.551;1192.254;-41.094;125.819;1173.465;20.498;-65.789;1276.394;10.688;-139.143;1086.397;66.472;-104.589;1204.748;-53.393;-93.608;1213.924;181.603;-42.021;1234.666;179.944;32.699;1304.115;189.021;92.290;1239.595;241.145;60.518;1155.944;206.884;86.873;984.102;253.785;32.406;1007.626;246.416;-59.542;970.680;173.111;-187.362;1025.488;171.452;-190.193;954.526;201.467;-164.326;990.495;-160.910;-34.066;1238.814;-149.343;31.186;1307.532;-156.176;101.514;1246.574;-217.035;19.815;1155.553;-202.687;97.659;989.226;-240.315;39.922;1016.996;-204.785;-33.431;1029.539;-157.493;-170.866;1007.186;-150.807;-165.741;938.859;-181.164;-145.927;973.901;127.332;-118.157;869.898;-138.118;-89.069;871.021;109.128;81.797;939.445;-84.286;98.683;948.816
11.323;41.387;1597.286;89.020;-25.330;1545.455;-59.542;-34.163;1541.160;72.085;85.653;1447.894;-52.368;76.868;1450.432;15.666;113.667;1277.370;30.210;111.568;1111.970;80.382;126.453;1192.254;-41.045;125.770;1173.465;20.498;-65.838;1276.345;10.688;-139.143;1086.397;66.472;-104.589;1204.700;-53.393;-93.608;1213.924;181.603;-42.119;1234.666;179.992;32.602;1304.115;189.021;92.241;1239.546;241.145;60.420;1155.895;206.835;86.775;984.053;253.785;32.309;1007.577;246.367;-59.640;970.631;173.013;-187.460;1025.488;171.354;-190.241;954.526;201.369;-164.424;990.495;-160.910;-34.017;1238.814;-149.294;31.186;1307.532;-156.127;101.563;1246.574;-217.035;19.815;1155.553;-202.784;97.610;989.275;-240.364;39.922;1016.996;-204.834;-33.480;1029.588;-157.493;-170.915;1007.235;-150.856;-165.790;938.908;-181.213;-145.975;973.950;127.332;-118.157;869.898;-138.118;-89.118;871.021;109.128;81.748;939.445;-84.286;98.635;948.816
11.420;41.338;1597.286;89.118;-25.427;1545.455;-59.493;-34.212;1541.160;72.134;85.604;1447.846;-52.270;76.819;1450.432;15.666;113.618;1277.370;30.210;111.519;1111.970;80.430;126.453;1192.206;-40.996;125.770;1173.465;20.498;-65.887;1276.345;10.688;-139.192;1086.348;66.472;-104.638;1204.700;-53.393;-93.657;1213.924;181.603;-42.167;1234.617;180.041;32.602;1304.066;189.070;92.192;1239.498;241.194;60.372;1155.846;206.786;86.677;984.053;253.737;32.211;1007.528;246.318;-59.737;970.583;172.964;-187.557;1025.391;171.354;-190.339;954.477;201.320;-164.521;990.446;-160.861;-34.017;1238.814;-149.245;31.138;1307.532;-156.127;101.514;1246.574;-217.035;19.815;1155.602;-202.833;97.610;989.275;-240.413;39.874;1017.045;-204.834;-33.431;1029.588;-157.493;-170.915;1007.333;-150.856;-165.790;939.006;-181.213;-145.975;974.048;127.332;-118.205;869.898;-138.118;-89.167;871.021;109.128;81.651;939.494;-84.237;98.586;948.816
11.567;41.289;1597.286;89.215;-25.476;1545.406;-59.396;-34.310;1541.160;72.231;85.555;1447.846;-52.172;76.770;1450.481;15.715;113.569;1277.370;30.259;111.519;1111.970;80.430;126.405;1192.206;-40.996;125.721;1173.465;20.547;-65.887;1276.345;10.688;-139.192;1086.348;66.521;-104.686;1204.700;-53.344;-93.657;1213.924;181.652;-42.167;1234.568;180.090;32.602;1304.018;189.070;92.192;1239.449;241.194;60.372;1155.797;206.737;86.629;983.955;253.688;32.162;1007.430;246.318;-59.737;970.436;172.964;-187.655;1025.195;171.403;-190.388;954.233;201.369;-164.570;990.251;-160.812;-34.066;1238.814;-149.197;31.138;1307.532;-156.078;101.514;1246.623;-216.986;19.815;1155.651;-202.931;97.610;989.324;-240.462;39.874;1017.142;-204.834;-33.431;1029.685;-157.347;-170.866;1007.528;-150.807;-165.741;939.152;-181.115;-145.975;974.243;127.381;-118.205;869.898;-138.118;-89.215;871.021;109.177;81.651;939.494;-84.237;98.586;948.816
11.811;41.191;1597.286;89.362;-25.623;1545.358;-59.249;-34.310;1541.160;72.475;85.457;1447.846;-51.977;76.770;1450.481;15.764;113.569;1277.321;30.259;111.519;1111.922;80.479;126.405;1192.157;-41.045;125.673;1173.465;20.644;-65.887;1276.345;10.786;-139.143;1086.348;66.619;-104.638;1204.700;-53.295;-93.657;1213.924;181.701;-42.070;1234.568;180.139;32.699;1304.018;189.119;92.192;1239.400;241.145;60.372;1155.748;206.737;86.629;983.955;253.688;32.162;1007.382;246.416;-59.786;970.143;172.916;-187.899;1024.658;171.696;-190.437;953.696;201.515;-164.668;989.812;-160.763;-34.115;1238.863;-149.148;31.040;1307.532;-156.029;101.368;1246.672;-216.986;19.668;1155.651;-203.126;97.512;989.373;-240.657;39.776;1017.289;-204.932;-33.383;1029.783;-157.152;-170.768;1008.016;-150.758;-165.839;939.640;-181.115;-146.024;974.633;127.430;-118.205;869.898;-138.069;-89.264;871.021;109.177;81.651;939.494;-84.237;98.537;948.816
12.348;41.191;1597.237;89.557;-26.013;1545.260;-59.054;-33.919;1541.112;73.256;85.165;1447.748;-51.245;77.161;1450.432;15.764;113.471;1277.468;30.308;111.666;1112.019;80.479;126.307;1192.157;-41.240;125.721;1173.611;20.840;-65.887;1276.296;11.030;-138.947;1086.250;66.863;-104.638;1204.651;-53.100;-93.413;1213.729;181.896;-41.972;1234.763;180.236;32.894;1304.115;189.119;92.095;1239.351;240.803;60.372;1156.139;207.226;86.726;984.248;254.127;32.309;1007.723;247.099;-59.591;969.948;172.867;-188.436;1023.487;172.867;-190.193;952.622;202.150;-164.716;989.128;-160.373;-34.066;1238.912;-149.001;30.747;1307.727;-156.029;101.026;1246.867;-217.182;19.034;1156.041;-204.395;96.048;989.617;-241.779;38.556;1018.216;-205.761;-34.212;1031.198;-156.664;-171.305;1010.993;-153.052;-167.791;942.520;-182.237;-147.244;977.659;127.430;-118.157;869.947;-138.069;-89.215;871.021;109.177;81.748;939.543;-84.237;98.537;948.816
