UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.961;25.452;1599.375;98.926;-42.795;1546.615;-49.780;-50.709;1546.224;80.264;66.732;1447.591;-44.114;58.769;1453.453;21.397;92.038;1280.467;34.050;91.451;1115.493;85.296;104.788;1195.171;-36.688;104.984;1178.024;25.257;-88.471;1277.536;14.900;-157.793;1085.889;70.738;-126.527;1204.697;-48.706;-115.926;1215.152;186.225;-65.657;1237.526;185.150;9.673;1306.066;196.191;68.540;1240.995;245.483;35.369;1157.897;203.909;62.140;986.425;251.296;9.184;1008.849;245.532;-81.632;975.873;175.380;-209.332;1039.772;175.917;-217.295;970.011;203.861;-186.371;1003.670;-155.546;-55.301;1243.975;-143.137;9.770;1312.856;-151.735;80.509;1252.475;-211.775;-2.638;1160.975;-197.998;76.649;994.193;-234.491;18.466;1023.260;-196.679;-48.510;1043.680;-134.246;-184.906;1038.258;-141.037;-186.420;970.011;-166.391;-164.681;1005.527;134.442;-126.576;869.327;-131.852;-103.127;869.278;112.311;71.031;943.777;-81.486;83.537;952.033
22.765;25.012;1599.326;98.730;-43.234;1546.615;-49.976;-51.197;1546.224;80.118;66.244;1447.542;-44.309;58.232;1453.405;21.202;91.500;1280.516;33.855;90.865;1115.493;85.101;104.251;1195.171;-36.932;104.348;1178.024;25.159;-89.107;1277.634;14.802;-158.623;1085.938;70.640;-127.163;1204.795;-48.803;-116.659;1215.250;186.127;-66.244;1237.673;185.004;9.184;1306.115;195.995;68.002;1241.044;245.287;34.783;1157.897;203.763;61.261;986.328;251.247;8.451;1008.946;245.776;-82.414;976.215;176.015;-210.163;1040.554;176.601;-218.321;970.890;204.447;-187.202;1004.403;-155.692;-55.985;1244.072;-143.284;9.087;1312.905;-151.931;79.776;1252.524;-211.970;-3.371;1161.024;-198.243;75.819;994.193;-234.784;17.733;1023.358;-197.021;-49.292;1043.778;-134.832;-185.736;1038.453;-141.672;-187.349;970.255;-166.928;-165.512;1005.771;134.393;-126.918;869.278;-131.901;-103.713;869.180;112.116;70.592;943.826;-81.730;82.951;952.082
22.667;24.768;1599.326;98.584;-43.527;1546.615;-50.122;-51.441;1546.224;79.971;65.951;1447.542;-44.407;57.939;1453.356;21.104;91.012;1280.516;33.659;90.328;1115.493;84.954;103.713;1195.171;-37.128;103.811;1178.024;25.061;-89.546;1277.683;14.802;-159.307;1086.084;70.543;-127.749;1204.893;-48.852;-117.245;1215.347;186.030;-66.732;1237.819;184.857;8.745;1306.164;195.898;67.514;1241.044;245.190;34.148;1157.897;203.763;60.333;986.230;251.296;7.670;1008.995;246.069;-83.244;976.508;176.552;-210.993;1041.189;177.285;-219.249;971.574;204.935;-188.032;1004.989;-155.790;-56.620;1244.219;-143.430;8.549;1313.003;-152.077;79.238;1252.573;-212.165;-4.006;1161.170;-198.487;75.037;994.242;-235.077;17.001;1023.455;-197.314;-50.025;1043.876;-135.174;-186.518;1038.600;-142.356;-188.228;970.451;-167.417;-166.342;1006.015;134.344;-127.211;869.278;-131.901;-104.251;869.131;111.921;70.250;943.924;-81.925;82.414;952.131
22.570;24.622;1599.277;98.486;-43.674;1546.664;-50.171;-51.588;1546.224;79.922;65.706;1447.493;-44.456;57.743;1453.307;20.958;90.719;1280.516;33.513;89.888;1115.444;84.856;103.371;1195.171;-37.323;103.371;1178.073;25.061;-89.888;1277.781;14.753;-159.894;1086.280;70.543;-128.140;1205.039;-48.852;-117.685;1215.494;186.030;-67.074;1237.966;184.808;8.500;1306.164;195.800;67.221;1241.044;245.141;33.659;1157.897;203.763;59.453;986.181;251.443;6.937;1009.044;246.460;-84.026;976.606;177.285;-211.824;1041.482;178.115;-220.177;971.867;205.570;-188.814;1005.282;-155.839;-57.157;1244.414;-143.430;8.109;1313.101;-152.224;78.750;1252.622;-212.263;-4.690;1161.317;-198.731;74.158;994.291;-235.273;16.170;1023.651;-197.559;-50.855;1044.022;-135.516;-187.349;1038.600;-143.381;-189.303;970.597;-168.101;-167.270;1006.308;134.295;-127.456;869.278;-131.950;-104.690;869.082;111.774;69.956;943.973;-82.121;81.974;952.180
22.521;24.670;1599.229;98.486;-43.723;1546.712;-50.220;-51.539;1546.175;80.020;65.609;1447.493;-44.309;57.695;1453.209;20.811;90.523;1280.516;33.366;89.546;1115.493;84.710;103.127;1195.074;-37.567;103.078;1178.073;25.159;-90.181;1277.927;14.802;-160.284;1086.426;70.640;-128.482;1205.137;-48.755;-118.076;1215.640;186.127;-67.172;1238.161;184.808;8.598;1306.213;195.653;67.172;1240.946;245.141;33.366;1157.848;204.056;58.672;986.035;251.736;6.253;1009.093;247.095;-84.808;976.411;178.067;-212.849;1041.091;179.239;-221.057;971.477;206.401;-189.693;1004.989;-155.790;-57.792;1244.561;-143.479;7.621;1313.150;-152.370;78.164;1252.719;-212.312;-5.423;1161.414;-198.829;73.132;994.291;-235.517;15.291;1023.797;-197.949;-51.832;1044.218;-136.298;-188.326;1038.844;-144.896;-190.622;970.988;-169.224;-168.394;1006.748;134.148;-127.749;869.278;-132.048;-104.935;869.082;111.676;69.663;944.022;-82.267;81.681;952.180
22.619;24.768;1599.180;98.584;-43.674;1546.761;-50.122;-51.344;1546.077;80.362;65.657;1447.542;-44.016;57.890;1453.063;20.665;90.426;1280.565;33.171;89.351;1115.493;84.514;102.981;1195.025;-37.958;102.932;1178.073;25.452;-90.279;1278.025;15.095;-160.529;1086.622;70.934;-128.579;1205.284;-48.413;-118.271;1215.738;186.323;-67.074;1238.357;184.857;8.940;1306.213;195.458;67.318;1240.750;244.994;33.415;1157.946;204.740;58.085;985.937;252.420;5.813;1009.239;248.267;-85.394;975.873;179.141;-214.217;1039.674;180.949;-221.643;970.060;207.671;-190.524;1003.963;-155.643;-58.476;1244.903;-143.430;6.986;1313.345;-152.615;77.431;1252.915;-212.361;-6.546;1161.756;-198.975;70.982;994.242;-235.810;13.581;1024.286;-198.487;-53.493;1044.999;-137.421;-190.182;1040.016;-147.876;-193.113;972.503;-171.227;-170.494;1008.458;134.002;-127.895;869.327;-132.145;-105.081;869.082;111.579;69.517;944.022;-82.365;81.534;952.180
23.058;25.061;1599.180;98.877;-43.576;1546.859;-49.780;-50.855;1545.931;81.095;65.853;1447.591;-43.332;58.378;1452.965;20.811;90.621;1280.712;33.122;89.595;1115.640;84.563;102.981;1194.976;-38.202;103.176;1178.268;25.989;-90.181;1278.171;15.437;-160.284;1086.719;71.422;-128.482;1205.479;-47.875;-118.076;1215.836;186.909;-66.830;1238.699;185.150;9.428;1306.408;195.556;67.465;1240.702;245.141;33.806;1158.386;206.450;58.085;986.328;254.032;5.813;1009.777;250.124;-85.540;974.945;179.728;-215.781;1036.304;183.098;-221.447;966.689;209.137;-191.110;1001.472;-154.911;-58.672;1245.831;-142.942;6.790;1313.834;-152.663;76.845;1253.110;-212.703;-8.647;1162.831;-200.490;65.022;993.753;-237.324;8.598;1025.654;-200.197;-58.085;1047.491;-139.815;-195.263;1044.169;-153.885;-199.708;977.534;-175.380;-176.015;1013.490;133.758;-128.042;869.424;-132.243;-104.788;869.229;111.579;69.468;944.022;-82.365;81.779;952.180
23.889;25.550;1599.131;99.317;-43.576;1546.859;-49.439;-49.927;1545.882;82.267;65.902;1447.542;-42.160;59.258;1452.867;21.788;91.158;1280.761;33.903;90.279;1115.689;85.443;103.176;1195.074;-37.665;103.811;1178.220;26.771;-89.693;1278.464;15.779;-159.552;1086.915;72.106;-128.140;1205.772;-47.191;-117.245;1216.129;187.788;-66.537;1239.187;185.785;9.819;1306.848;196.337;67.563;1240.897;246.069;34.294;1159.460;209.723;58.525;987.451;256.719;5.813;1010.900;252.762;-85.345;972.991;179.776;-217.881;1028.829;185.688;-220.324;959.264;210.798;-191.648;995.756;-153.543;-58.085;1247.883;-141.769;7.914;1314.713;-152.224;76.991;1252.573;-213.143;-12.164;1165.078;-204.545;52.272;992.385;-240.695;-1.905;1028.585;-203.470;-67.563;1053.695;-142.844;-204.984;1055.747;-163.655;-213.240;991.408;-181.535;-187.055;1026.631;133.318;-128.091;869.473;-132.536;-103.811;869.571;111.921;69.615;943.875;-81.974;82.707;952.131
24.817;26.136;1599.180;99.708;-43.674;1546.957;-49.048;-48.706;1545.833;83.733;65.999;1447.689;-40.792;60.479;1452.867;23.156;92.233;1280.663;35.125;91.403;1115.640;86.957;103.762;1195.074;-36.688;104.837;1178.024;27.553;-88.862;1278.855;15.828;-158.526;1087.257;72.643;-127.504;1206.017;-46.459;-116.171;1216.764;188.521;-66.195;1239.627;186.567;10.210;1307.190;197.461;67.514;1240.897;247.388;34.734;1160.828;214.657;59.258;989.161;260.383;5.471;1012.317;256.133;-84.808;968.985;179.239;-220.470;1014.516;188.716;-217.637;945.243;212.507;-192.038;984.471;-151.784;-57.157;1251.547;-140.108;10.259;1315.885;-151.540;77.284;1251.058;-213.729;-17.978;1168.889;-210.602;31.412;991.213;-245.141;-19.101;1033.959;-206.206;-80.948;1065.468;-140.939;-216.513;1077.926;-173.768;-231.804;1020.720;-185.297;-201.320;1053.695;132.634;-128.091;869.473;-132.976;-102.052;869.962;112.702;69.810;943.680;-81.144;84.270;952.082
