UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16.439;28.605;1595.032;94.260;-43.184;1550.340;-54.294;-49.468;1541.895;82.848;61.231;1444.920;-41.826;54.847;1444.065;26.393;83.954;1279.575;39.514;86.066;1114.582;90.439;97.779;1194.464;-32.777;96.925;1176.769;32.476;-96.221;1276.458;21.919;-164.641;1084.620;78.022;-133.523;1203.262;-41.676;-123.669;1213.668;192.693;-74.101;1238.704;191.436;2.916;1305.566;200.736;60.528;1239.257;252.215;23.025;1155.051;215.868;36.548;981.009;263.225;-14.629;1007.402;256.639;-109.593;976.284;181.985;-237.234;1039.375;186.308;-241.004;968.743;212.902;-213.304;1005.693;-149.258;-67.214;1244.284;-137.796;-0.603;1310.894;-147.297;68.119;1248.808;-205.814;-18.651;1158.520;-185.353;45.094;985.684;-227.179;-6.586;1018.512;-199.882;-79.078;1039.827;-163.937;-227.330;1033.845;-157.653;-222.052;964.570;-186.409;-200.083;997.549;136.790;-137.293;867.696;-128.898;-112.107;870.008;116.229;60.980;940.842;-77.369;74.855;950.846
17.143;29.057;1595.083;94.813;-42.731;1550.139;-53.791;-48.915;1542.096;83.200;61.784;1444.819;-41.474;55.450;1444.216;26.292;84.507;1279.424;39.363;86.367;1114.431;90.238;98.332;1194.213;-32.928;97.176;1176.618;32.727;-95.668;1276.508;22.321;-164.339;1084.771;78.324;-132.919;1203.363;-41.374;-123.317;1213.769;192.944;-73.297;1238.654;191.486;3.871;1305.465;200.636;61.382;1239.056;252.165;23.879;1154.850;215.717;37.051;980.808;263.174;-13.925;1007.301;256.890;-108.990;976.334;182.638;-236.731;1039.677;186.861;-240.602;969.095;213.405;-212.751;1005.944;-149.057;-67.113;1244.385;-137.695;-0.352;1310.894;-147.398;68.269;1248.658;-205.764;-18.802;1158.620;-185.504;44.591;985.634;-227.230;-7.038;1018.562;-199.831;-79.530;1039.878;-163.636;-227.783;1033.996;-157.603;-222.454;964.620;-186.308;-200.535;997.699;137.142;-137.092;867.796;-128.646;-112.358;870.008;116.229;61.181;940.792;-77.369;74.755;950.796
17.796;29.610;1595.032;95.316;-42.279;1549.988;-53.288;-48.261;1542.196;83.653;62.287;1444.719;-41.022;56.104;1444.317;26.292;85.111;1279.173;39.262;86.619;1114.130;90.188;98.885;1193.911;-33.029;97.478;1176.366;33.079;-95.014;1276.508;22.723;-164.088;1084.922;78.726;-132.316;1203.413;-41.022;-122.965;1213.869;193.246;-72.392;1238.603;191.637;4.876;1305.264;200.636;62.287;1238.754;252.165;24.734;1154.599;215.617;37.453;980.557;263.225;-13.322;1007.100;257.142;-108.437;976.384;183.292;-236.228;1040.079;187.465;-240.300;969.497;213.958;-212.249;1006.246;-148.755;-66.912;1244.586;-137.494;0.000;1310.894;-147.398;68.471;1248.507;-205.562;-18.953;1158.721;-185.655;43.938;985.534;-227.179;-7.742;1018.663;-199.681;-80.134;1040.029;-163.334;-228.386;1034.247;-157.502;-223.107;964.872;-186.107;-201.189;997.951;137.394;-136.941;867.847;-128.395;-112.509;870.059;116.229;61.382;940.691;-77.419;74.654;950.695
18.400;30.113;1595.032;95.768;-41.776;1549.838;-52.735;-47.658;1542.196;84.105;62.840;1444.668;-40.570;56.757;1444.417;26.343;85.764;1278.921;39.212;86.971;1113.828;90.188;99.539;1193.559;-33.079;97.829;1176.115;33.481;-94.310;1276.508;23.175;-163.686;1085.022;79.179;-131.612;1203.463;-40.570;-122.463;1213.920;193.598;-71.437;1238.553;191.888;5.932;1305.013;200.736;63.242;1238.402;252.265;25.588;1154.297;215.617;37.805;980.205;263.375;-12.819;1006.899;257.443;-108.035;976.334;183.895;-235.776;1040.330;188.018;-239.999;969.798;214.461;-211.847;1006.447;-148.353;-66.711;1244.787;-137.192;0.302;1310.894;-147.347;68.621;1248.356;-205.412;-19.254;1158.872;-185.956;42.983;985.483;-227.280;-8.697;1018.814;-199.530;-81.039;1040.280;-162.831;-229.241;1034.499;-157.452;-224.012;965.123;-185.956;-202.144;998.303;137.645;-136.790;867.897;-128.144;-112.660;870.109;116.179;61.634;940.590;-77.419;74.654;950.595
19.103;30.515;1595.083;96.372;-41.324;1549.687;-52.132;-47.155;1542.247;84.608;63.443;1444.668;-40.017;57.411;1444.568;26.493;86.468;1278.720;39.313;87.524;1113.677;90.289;100.243;1193.308;-33.029;98.382;1175.964;33.934;-93.506;1276.458;23.678;-163.133;1085.072;79.631;-130.858;1203.463;-40.067;-121.759;1213.970;193.950;-70.532;1238.452;192.190;6.938;1304.862;200.887;64.097;1238.151;252.416;26.443;1154.046;215.717;38.307;979.953;263.526;-12.216;1006.698;257.745;-107.482;976.284;184.498;-235.324;1040.380;188.571;-239.597;969.798;215.014;-211.344;1006.447;-147.800;-66.409;1245.088;-136.891;0.804;1311.045;-147.247;68.822;1248.155;-205.311;-19.857;1159.274;-186.912;40.821;985.483;-227.732;-10.808;1019.316;-199.480;-83.100;1040.682;-162.077;-231.252;1034.750;-157.603;-225.923;965.324;-185.755;-204.205;998.805;137.896;-136.589;867.998;-127.942;-112.609;870.210;116.229;61.935;940.440;-77.419;74.755;950.544
20.260;31.018;1595.133;97.276;-41.022;1549.486;-51.328;-46.401;1542.297;85.563;63.946;1444.618;-39.112;58.316;1444.769;26.795;87.373;1278.670;39.514;88.328;1113.627;90.540;100.997;1193.157;-32.928;99.287;1175.914;34.386;-92.501;1276.408;24.131;-162.178;1085.123;80.134;-129.953;1203.463;-39.564;-120.653;1213.920;194.352;-69.727;1238.553;192.542;7.893;1304.812;201.139;64.952;1238.050;252.768;27.197;1153.995;216.019;38.860;979.953;263.828;-11.663;1006.698;258.197;-106.878;976.083;185.051;-234.972;1039.878;189.124;-239.044;969.296;215.567;-210.891;1005.994;-147.046;-65.706;1245.993;-136.438;1.609;1311.447;-147.197;68.923;1247.803;-205.663;-21.366;1160.430;-189.777;35.090;985.634;-229.492;-16.439;1020.724;-199.831;-88.630;1041.838;-160.569;-236.681;1035.554;-158.055;-231.101;966.078;-185.554;-209.735;1000.012;137.997;-136.388;868.148;-127.842;-112.207;870.360;116.380;62.337;940.289;-77.318;75.257;950.494
22.271;31.571;1595.183;98.483;-41.022;1549.084;-50.172;-44.994;1542.397;87.373;64.348;1444.568;-37.352;59.824;1445.121;27.298;88.730;1278.670;39.866;89.585;1113.577;90.942;102.052;1193.006;-32.828;100.645;1176.015;34.939;-91.043;1276.559;24.231;-160.619;1085.223;80.486;-128.747;1203.614;-39.112;-119.044;1214.171;194.804;-68.722;1238.654;192.994;9.049;1304.711;201.591;65.957;1237.899;253.422;27.951;1153.995;216.874;39.464;980.004;264.532;-11.160;1006.799;258.851;-106.376;975.630;185.604;-234.871;1038.621;189.626;-238.440;968.089;216.120;-210.539;1004.939;-145.739;-65.102;1248.356;-135.684;3.067;1312.604;-147.197;68.822;1247.099;-206.166;-25.337;1163.044;-195.257;22.271;986.237;-232.760;-28.756;1024.042;-200.636;-100.896;1045.307;-157.452;-248.595;1039.023;-159.262;-243.065;969.547;-185.253;-222.203;1004.486;137.796;-136.187;868.400;-127.942;-111.101;870.612;116.732;62.840;940.138;-76.866;76.313;950.444
24.633;32.375;1595.284;99.589;-41.273;1548.782;-49.116;-42.932;1542.397;89.836;64.499;1444.568;-34.889;61.985;1445.423;28.203;90.741;1278.720;40.318;91.445;1113.677;91.646;103.560;1192.705;-32.727;102.756;1176.467;35.794;-88.931;1277.011;23.879;-158.357;1085.676;80.787;-126.937;1203.916;-38.508;-116.933;1215.076;195.408;-67.365;1238.654;193.849;10.758;1304.460;202.295;67.314;1237.397;254.025;28.957;1153.794;217.980;40.067;979.903;265.437;-10.708;1006.648;259.756;-105.873;974.474;186.208;-235.072;1035.906;190.230;-237.787;965.324;216.773;-210.338;1002.526;-143.527;-64.650;1253.584;-134.226;5.630;1314.866;-146.945;68.822;1246.144;-206.266;-33.029;1168.524;-203.099;-1.156;989.505;-236.882;-51.076;1031.734;-200.586;-123.267;1053.250;-150.716;-269.911;1046.916;-159.312;-265.487;977.691;-182.840;-245.026;1014.088;137.192;-135.735;868.752;-128.395;-108.940;871.064;117.335;63.594;940.088;-76.212;78.274;950.393
24.533;33.883;1595.083;98.734;-41.273;1549.687;-49.870;-39.916;1541.040;92.651;64.650;1445.423;-32.023;64.801;1444.467;29.661;93.556;1278.620;41.022;93.958;1113.526;92.802;105.823;1192.102;-32.275;105.119;1176.970;37.604;-86.116;1277.916;23.377;-155.592;1086.581;81.541;-124.423;1204.469;-37.302;-114.771;1216.986;196.715;-65.102;1238.553;195.609;13.573;1303.856;203.602;69.275;1236.090;254.226;30.716;1153.241;219.035;40.921;979.551;266.241;-10.004;1006.145;260.912;-105.018;971.709;187.113;-236.078;1029.773;191.687;-236.832;959.241;218.080;-210.338;997.147;-139.203;-64.549;1261.628;-131.512;8.948;1317.782;-146.443;68.370;1245.189;-205.562;-45.697;1178.478;-213.254;-35.743;998.805;-240.652;-84.005;1046.966;-197.720;-155.441;1068.633;-136.991;-298.867;1062.048;-155.190;-297.812;994.482;-175.248;-277.250;1032.236;136.086;-134.880;869.204;-129.249;-105.571;871.718;118.139;64.750;940.037;-75.257;81.441;950.343
