UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.119;19.900;1597.229;98.961;-41.165;1544.457;-48.578;-60.918;1541.774;72.916;68.331;1447.105;-50.432;50.237;1450.958;21.363;90.865;1278.593;34.532;91.548;1113.154;84.963;104.521;1193.045;-37.165;105.009;1175.730;26.435;-88.963;1275.862;16.046;-158.562;1084.719;72.087;-127.250;1203.238;-48.042;-115.349;1213.286;186.948;-67.307;1236.063;185.924;9.072;1303.906;195.045;67.405;1238.550;246.305;31.898;1154.075;209.189;51.700;981.076;255.280;-1.853;1005.072;243.672;-96.181;971.077;164.561;-221.138;1031.654;166.561;-224.162;960.981;195.240;-198.410;997.854;-154.270;-56.772;1240.257;-143.247;7.170;1309.613;-151.636;78.720;1249.329;-212.652;-5.219;1158.562;-204.263;72.087;992.391;-238.160;11.754;1020.192;-196.069;-57.796;1033.556;-129.493;-190.704;1013.364;-132.956;-187.046;944.740;-161.147;-168.853;981.027;132.615;-135.883;868.458;-133.200;-108.911;870.165;113.008;63.015;939.960;-80.378;78.428;949.373
17.363;20.095;1597.181;99.107;-41.116;1544.457;-48.432;-60.723;1541.872;73.160;68.331;1447.007;-50.188;50.383;1450.958;21.411;90.816;1278.739;34.532;91.499;1113.300;85.012;104.472;1193.191;-37.165;105.009;1175.876;26.533;-89.109;1276.008;16.046;-158.757;1084.865;72.136;-127.347;1203.336;-48.042;-115.495;1213.432;187.046;-67.405;1236.160;185.973;8.974;1304.004;195.093;67.356;1238.697;246.403;31.849;1154.221;209.335;51.602;981.222;255.426;-1.951;1005.170;243.915;-96.279;971.224;164.756;-221.236;1031.849;166.854;-224.260;961.176;195.484;-198.507;998.049;-154.221;-56.967;1240.452;-143.150;7.023;1309.759;-151.636;78.574;1249.475;-212.701;-5.365;1158.757;-204.458;71.941;992.586;-238.209;11.608;1020.387;-196.069;-57.894;1033.751;-129.396;-190.753;1013.559;-132.859;-187.095;944.935;-161.001;-168.902;981.222;132.566;-135.834;868.507;-133.200;-108.862;870.165;112.959;63.015;940.009;-80.427;78.476;949.422
18.046;20.338;1597.132;99.351;-41.360;1544.359;-48.286;-60.186;1542.018;73.794;68.136;1446.812;-49.602;50.822;1451.007;21.411;90.767;1278.886;34.483;91.499;1113.447;85.012;104.375;1193.337;-37.263;104.911;1176.023;26.533;-89.206;1276.154;16.046;-158.855;1084.963;72.136;-127.396;1203.433;-48.042;-115.642;1213.578;187.046;-67.454;1236.355;185.973;8.877;1304.150;195.142;67.210;1238.892;246.500;31.654;1154.416;209.628;51.505;981.417;255.670;-2.097;1005.414;244.111;-96.425;971.419;164.756;-221.431;1031.995;167.049;-224.357;961.371;195.679;-198.605;998.244;-154.319;-57.162;1240.696;-143.150;6.877;1309.906;-151.685;78.379;1249.719;-212.749;-5.560;1158.952;-204.604;71.843;992.830;-238.307;11.462;1020.631;-196.118;-58.040;1034.092;-129.444;-190.899;1013.949;-132.468;-187.095;945.325;-160.854;-169.000;981.515;132.566;-135.785;868.507;-133.200;-108.813;870.214;112.959;63.113;940.106;-80.427;78.476;949.471
19.997;21.021;1596.937;99.888;-42.286;1543.871;-48.042;-58.528;1542.603;75.696;67.161;1446.081;-48.042;52.139;1451.153;21.168;90.718;1279.032;34.385;91.450;1113.544;84.914;104.277;1193.484;-37.507;104.814;1176.120;26.484;-89.353;1276.301;16.046;-158.855;1085.061;72.087;-127.445;1203.531;-48.091;-115.788;1213.627;186.997;-67.649;1236.697;185.729;8.828;1304.443;195.045;67.112;1239.233;246.549;31.459;1154.855;209.969;51.212;981.807;255.865;-2.536;1005.706;244.111;-96.766;971.516;164.464;-221.821;1031.995;166.756;-224.650;961.518;195.581;-198.898;998.293;-154.611;-57.699;1240.843;-143.345;6.487;1309.906;-151.929;77.940;1249.866;-212.749;-5.999;1158.806;-204.555;71.989;992.733;-238.160;11.559;1020.728;-196.752;-57.943;1035.165;-132.712;-191.923;1016.778;-129.396;-186.217;947.861;-160.416;-168.805;982.490;132.566;-135.687;868.556;-133.151;-108.813;870.214;112.959;63.161;940.155;-80.427;78.525;949.471
24.777;22.533;1596.449;100.961;-44.676;1542.798;-47.554;-54.675;1544.262;79.598;64.576;1444.081;-44.579;54.919;1451.543;20.485;90.426;1279.374;34.190;91.548;1113.934;84.475;104.131;1193.971;-38.190;104.521;1176.364;25.947;-89.645;1276.350;16.144;-158.611;1084.914;71.794;-127.445;1203.629;-48.432;-115.983;1213.383;186.607;-68.039;1237.575;185.095;8.584;1305.272;194.606;66.868;1240.209;246.647;30.727;1155.831;210.555;50.383;982.685;255.914;-3.756;1006.682;243.281;-97.839;972.248;162.854;-222.602;1032.678;165.000;-225.625;962.444;194.167;-199.629;998.976;-155.441;-58.577;1240.794;-144.125;5.560;1309.954;-152.612;77.062;1250.158;-213.091;-6.389;1158.611;-203.043;72.185;992.294;-237.429;12.242;1020.631;-198.117;-56.333;1038.677;-136.858;-193.191;1024.289;-127.006;-184.217;956.445;-161.098;-168.707;988.538;132.663;-135.444;868.653;-133.005;-108.813;870.214;112.959;63.405;940.155;-80.476;78.574;949.471
31.410;24.387;1595.717;102.083;-48.139;1541.335;-46.676;-49.164;1546.603;84.817;60.723;1441.350;-39.604;58.723;1452.031;19.948;90.036;1280.056;33.849;91.889;1114.617;84.232;103.741;1194.752;-38.872;104.424;1177.096;25.265;-90.084;1276.593;16.046;-158.172;1084.817;71.307;-127.591;1203.824;-48.871;-116.178;1213.334;185.778;-68.722;1238.794;184.363;7.901;1306.345;194.313;66.088;1241.330;246.696;28.971;1157.148;211.969;47.993;983.758;256.304;-6.828;1008.194;241.769;-100.814;974.150;158.318;-224.406;1034.678;161.781;-227.625;964.834;190.753;-201.385;1001.317;-156.172;-59.260;1241.623;-144.759;4.926;1310.637;-153.392;76.477;1250.987;-213.432;-7.072;1159.294;-202.751;70.136;992.050;-236.892;10.584;1021.948;-196.313;-55.650;1044.579;-129.054;-191.874;1038.092;-128.567;-186.022;968.541;-158.513;-169.341;1002.634;132.810;-134.956;868.848;-132.859;-108.765;870.263;112.910;63.844;940.301;-80.622;78.720;949.519
38.385;25.801;1594.791;102.765;-52.041;1539.969;-45.506;-43.018;1548.602;90.328;56.138;1438.716;-33.556;62.820;1452.226;19.461;89.792;1280.593;33.800;92.279;1115.251;84.085;103.399;1195.435;-39.506;104.375;1177.681;24.582;-90.328;1276.935;15.656;-157.538;1084.817;70.721;-127.786;1204.116;-49.407;-116.276;1213.578;184.656;-69.746;1240.160;183.778;7.170;1307.369;194.264;64.917;1242.062;247.086;25.460;1158.269;215.286;42.384;984.344;257.328;-13.657;1009.901;239.331;-107.496;977.174;148.320;-227.625;1037.263;157.392;-231.820;968.102;184.022;-205.385;1005.414;-156.319;-60.235;1242.647;-145.345;4.487;1311.320;-154.173;75.599;1251.231;-213.578;-9.803;1159.879;-204.019;64.820;990.635;-236.941;5.560;1023.070;-193.972;-56.431;1051.943;-116.227;-189.143;1056.528;-126.908;-188.802;987.855;-152.270;-170.121;1022.777;132.859;-134.273;869.092;-132.761;-108.326;870.409;112.813;64.576;940.448;-80.720;79.257;949.568
44.384;26.484;1594.108;103.253;-55.309;1538.896;-44.140;-37.848;1550.114;94.913;52.480;1436.814;-28.045;66.429;1452.568;19.412;89.743;1280.983;33.702;92.864;1115.641;84.183;103.253;1195.922;-40.043;104.424;1178.071;24.338;-90.377;1277.227;15.510;-156.953;1084.768;70.477;-127.932;1204.311;-49.602;-116.373;1213.773;183.339;-70.868;1241.623;183.583;6.584;1308.052;194.557;63.405;1241.964;247.720;20.143;1158.806;219.090;33.215;984.002;257.865;-24.387;1011.364;235.478;-117.641;980.539;136.029;-232.600;1040.189;150.466;-238.892;972.101;174.901;-211.969;1009.901;-155.782;-61.064;1244.257;-145.345;4.341;1312.247;-154.855;74.623;1251.378;-213.335;-13.852;1160.952;-205.580;55.650;988.733;-236.795;-2.634;1024.777;-190.704;-58.869;1060.284;-102.863;-184.461;1077.598;-122.958;-192.996;1011.852;-144.272;-170.755;1045.847;132.859;-133.249;869.287;-132.761;-107.692;870.507;112.666;65.600;940.496;-80.915;80.086;949.568
46.725;27.069;1594.059;103.985;-55.797;1538.750;-43.067;-35.848;1550.700;96.815;51.895;1436.472;-25.850;67.941;1452.860;20.192;90.182;1281.276;33.995;93.645;1115.885;84.866;103.302;1196.117;-39.848;105.009;1178.461;24.631;-90.036;1277.569;15.412;-156.367;1084.963;70.624;-127.835;1204.506;-49.261;-116.227;1214.359;182.168;-71.989;1243.135;184.119;6.292;1308.345;195.484;61.845;1241.086;248.208;13.949;1158.367;220.748;21.119;982.978;256.499;-37.409;1012.193;229.722;-130.079;983.417;124.128;-239.623;1044.042;141.540;-248.549;977.028;164.951;-220.992;1014.534;-154.368;-61.357;1246.549;-144.662;5.170;1313.369;-154.904;74.233;1251.085;-212.359;-18.534;1162.415;-206.701;42.189;986.343;-236.453;-14.095;1026.874;-187.680;-63.405;1068.917;-91.743;-179.681;1099.985;-117.544;-198.312;1038.531;-136.517;-171.828;1069.502;132.712;-132.176;869.482;-132.859;-106.667;870.750;112.520;66.722;940.594;-81.159;81.110;949.714
