UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18.058;11.811;1597.349;95.512;-53.686;1543.321;-53.051;-64.033;1541.467;75.892;58.420;1447.516;-48.366;48.220;1452.055;18.936;86.922;1278.504;32.992;86.288;1113.639;83.750;99.514;1193.143;-38.703;99.904;1175.378;23.524;-93.365;1276.503;14.007;-164.083;1085.283;69.548;-131.286;1204.173;-50.660;-120.696;1213.983;185.411;-70.182;1236.092;182.629;5.173;1304.663;193.074;63.789;1239.606;246.613;32.944;1159.907;222.308;59.201;988.551;265.452;2.733;1011.246;252.714;-89.070;966.199;167.597;-213.621;1009.245;167.793;-213.133;938.624;198.345;-191.073;977.668;-158.617;-59.103;1241.851;-145.391;5.271;1310.569;-153.005;76.624;1249.416;-213.523;-2.245;1159.370;-195.758;76.527;994.994;-236.755;20.645;1021.104;-209.033;-55.736;1029.694;-171.258;-196.441;1001.534;-162.131;-187.998;933.645;-191.951;-167.939;969.127;132.018;-139.583;867.953;-133.727;-113.668;869.222;111.667;58.469;940.576;-81.798;73.257;949.800
18.156;11.713;1597.349;95.610;-53.783;1543.272;-52.954;-64.081;1541.418;75.990;58.371;1447.516;-48.268;48.220;1452.055;19.083;86.922;1278.357;33.139;86.093;1113.493;83.896;99.416;1192.948;-38.507;99.856;1175.183;23.573;-93.365;1276.454;14.056;-164.181;1085.283;69.596;-131.384;1204.124;-50.611;-120.696;1213.934;185.411;-70.280;1236.092;182.727;5.125;1304.566;193.220;63.642;1239.411;246.808;32.602;1159.809;222.894;58.518;988.356;265.891;2.001;1011.246;252.958;-89.851;966.443;167.500;-214.109;1009.684;167.793;-213.767;939.063;198.296;-191.658;978.058;-158.520;-59.006;1241.753;-145.293;5.417;1310.471;-152.858;76.722;1249.269;-213.377;-2.147;1159.223;-195.465;76.478;994.798;-236.559;20.742;1020.958;-208.984;-55.638;1029.743;-171.404;-196.490;1001.924;-162.131;-188.242;934.085;-192.000;-167.988;969.420;132.067;-139.827;867.905;-133.678;-113.814;869.222;111.764;58.274;940.576;-81.651;73.062;949.800
18.253;11.762;1597.300;95.658;-53.783;1543.272;-52.856;-63.984;1541.418;76.136;58.371;1447.516;-48.122;48.220;1452.055;19.278;86.922;1278.211;33.334;85.995;1113.395;84.092;99.319;1192.802;-38.263;99.807;1175.085;23.671;-93.316;1276.356;14.056;-164.230;1085.235;69.645;-131.384;1204.076;-50.562;-120.598;1213.934;185.460;-70.377;1236.043;182.873;5.027;1304.468;193.415;63.496;1239.264;247.004;32.309;1159.663;223.187;57.981;988.161;266.135;1.415;1011.148;253.007;-90.534;966.540;167.305;-214.499;1010.074;167.597;-214.353;939.453;198.150;-192.195;978.449;-158.422;-58.859;1241.656;-145.147;5.564;1310.325;-152.614;76.868;1249.074;-213.133;-2.001;1159.077;-195.172;76.429;994.603;-236.364;20.742;1020.812;-208.838;-55.589;1029.743;-171.502;-196.539;1002.266;-162.131;-188.486;934.426;-192.049;-168.134;969.713;132.165;-140.022;867.856;-133.580;-113.912;869.174;111.959;58.030;940.527;-81.505;72.964;949.751
18.351;11.908;1597.251;95.707;-53.735;1543.272;-52.807;-63.837;1541.369;76.331;58.371;1447.468;-47.927;48.366;1451.958;19.473;86.971;1278.064;33.480;85.946;1113.249;84.287;99.221;1192.704;-38.019;99.807;1174.890;23.719;-93.267;1276.307;14.105;-164.279;1085.235;69.694;-131.433;1204.076;-50.465;-120.549;1213.885;185.509;-70.426;1236.043;183.020;5.027;1304.419;193.562;63.447;1239.118;247.052;32.114;1159.516;223.284;57.541;987.966;266.184;1.025;1011.002;252.909;-91.022;966.540;167.012;-214.841;1010.367;167.305;-214.792;939.795;197.905;-192.586;978.693;-158.276;-58.713;1241.558;-145.001;5.710;1310.178;-152.419;76.966;1248.879;-212.986;-1.903;1158.882;-194.928;76.380;994.359;-236.169;20.742;1020.616;-208.691;-55.540;1029.792;-171.551;-196.539;1002.558;-162.082;-188.681;934.719;-192.000;-168.183;969.908;132.262;-140.218;867.856;-133.482;-113.960;869.174;112.155;57.883;940.478;-81.310;72.818;949.702
18.448;12.055;1597.202;95.756;-53.637;1543.321;-52.759;-63.642;1541.369;76.478;58.420;1447.419;-47.780;48.512;1451.860;19.571;86.971;1277.918;33.676;85.849;1113.102;84.433;99.172;1192.509;-37.873;99.758;1174.744;23.817;-93.169;1276.259;14.251;-164.327;1085.235;69.792;-131.335;1204.027;-50.367;-120.451;1213.788;185.607;-70.377;1235.994;183.117;5.076;1304.370;193.659;63.447;1239.020;247.248;32.016;1159.370;223.626;57.200;987.819;266.379;0.586;1010.953;252.763;-91.510;966.491;166.377;-215.085;1010.514;166.670;-214.939;939.990;197.369;-192.830;978.839;-158.178;-58.664;1241.412;-144.952;5.759;1310.032;-152.273;77.015;1248.732;-212.840;-1.855;1158.735;-194.782;76.380;994.164;-236.071;20.840;1020.568;-208.594;-55.394;1029.938;-171.599;-196.393;1003.193;-161.692;-188.779;935.354;-191.805;-168.183;970.396;132.360;-140.413;867.807;-133.385;-114.058;869.174;112.301;57.688;940.478;-81.114;72.720;949.702
18.546;12.299;1597.153;95.854;-53.442;1543.321;-52.661;-63.496;1541.418;76.527;58.518;1447.321;-47.732;48.561;1451.811;19.571;87.069;1277.869;33.773;85.849;1113.102;84.531;99.124;1192.411;-37.971;99.856;1174.744;23.866;-92.974;1276.063;14.446;-164.181;1085.137;69.938;-131.189;1203.978;-50.269;-120.061;1213.544;185.655;-70.377;1236.189;183.117;5.173;1304.468;193.708;63.447;1239.118;247.638;31.772;1159.663;224.895;56.565;988.063;267.209;-0.293;1011.392;252.860;-92.486;966.931;164.620;-215.475;1010.611;165.792;-214.987;940.088;196.344;-193.171;979.230;-157.983;-58.810;1241.412;-145.001;5.661;1310.081;-152.273;76.820;1248.732;-212.889;-2.294;1158.833;-195.368;75.648;994.164;-236.462;20.059;1020.860;-208.594;-55.736;1030.866;-171.599;-196.832;1005.194;-160.569;-189.560;937.550;-191.268;-168.915;971.958;132.506;-140.559;867.807;-133.238;-114.107;869.174;112.496;57.590;940.381;-80.919;72.720;949.654
18.644;12.494;1597.153;95.951;-53.247;1543.321;-52.563;-63.349;1541.515;76.527;58.615;1447.224;-47.683;48.610;1451.811;19.571;87.166;1278.016;33.920;86.093;1113.298;84.677;98.928;1192.460;-38.166;100.051;1174.890;23.866;-92.584;1275.868;14.593;-163.644;1084.942;69.987;-130.749;1203.880;-50.221;-119.427;1213.202;185.509;-70.621;1236.726;183.020;5.027;1304.907;193.855;63.105;1239.411;248.517;30.503;1160.395;228.750;54.027;988.698;269.796;-3.514;1012.759;253.544;-95.658;968.541;160.569;-216.793;1011.099;164.620;-215.915;940.869;194.294;-194.928;980.694;-157.690;-59.250;1241.948;-145.049;5.515;1310.422;-152.468;76.331;1248.781;-213.474;-4.002;1159.370;-198.052;71.988;993.774;-238.219;16.252;1021.788;-208.887;-58.371;1033.794;-169.647;-199.321;1011.587;-158.764;-193.562;943.846;-189.853;-172.673;977.619;132.555;-140.510;867.856;-133.092;-113.814;869.271;112.740;57.737;940.332;-80.675;73.013;949.654
18.692;12.689;1597.202;95.951;-53.149;1543.370;-52.563;-63.154;1541.613;76.576;58.615;1447.175;-47.683;48.756;1451.811;19.669;87.654;1278.064;34.017;86.776;1113.493;84.872;99.026;1192.509;-38.410;100.490;1174.890;23.671;-91.900;1275.722;14.495;-162.570;1084.747;69.840;-130.066;1203.783;-50.269;-118.499;1213.056;184.679;-71.158;1237.751;182.727;4.978;1305.444;193.952;62.471;1239.362;250.078;27.477;1161.517;236.608;47.683;989.430;274.823;-11.030;1015.394;255.252;-103.077;972.299;152.761;-219.575;1012.808;163.449;-219.575;943.406;190.829;-199.516;984.549;-157.007;-59.347;1243.364;-144.903;6.101;1311.057;-152.858;76.039;1248.391;-214.695;-7.858;1160.785;-203.811;62.422;992.261;-241.684;6.589;1023.350;-209.082;-65.546;1039.602;-163.400;-205.470;1025.692;-153.981;-203.225;957.462;-185.411;-181.897;990.357;132.555;-140.071;868.002;-133.092;-112.887;869.369;113.033;58.322;940.332;-80.382;73.940;949.605
18.692;13.129;1597.202;95.805;-53.003;1543.516;-52.710;-62.715;1541.808;76.624;58.664;1447.126;-47.634;49.049;1451.811;19.717;88.630;1277.869;34.164;87.557;1113.347;85.068;99.612;1192.411;-38.556;101.222;1174.597;23.427;-90.875;1275.917;14.154;-161.155;1084.698;69.499;-129.139;1203.880;-50.465;-117.523;1213.349;183.069;-71.353;1239.215;182.288;5.466;1305.981;194.050;61.885;1238.825;251.884;22.548;1162.737;248.419;36.311;990.211;281.802;-23.866;1019.396;256.667;-115.766;978.497;139.876;-223.284;1015.687;160.130;-226.115;948.433;184.045;-207.130;991.089;-155.835;-59.298;1245.902;-144.610;7.565;1311.838;-153.395;75.843;1247.317;-215.573;-14.544;1162.884;-210.692;45.047;989.820;-245.247;-10.152;1025.595;-207.862;-77.649;1048.484;-152.370;-214.743;1047.996;-144.366;-218.306;979.815;-176.724;-196.344;1010.953;132.409;-139.242;868.197;-133.238;-111.423;869.515;113.326;59.250;940.381;-80.041;75.355;949.605
