UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
9.515;35.573;1596.443;87.591;-31.328;1545.060;-60.899;-42.893;1543.352;67.291;76.855;1444.977;-56.800;65.876;1449.710;9.808;100.131;1277.457;26.302;98.375;1113.499;75.245;114.331;1193.233;-45.967;109.891;1173.031;19.226;-80.076;1277.896;14.005;-153.564;1087.344;67.096;-118.382;1206.799;-53.042;-110.867;1214.850;180.256;-53.384;1240.371;175.767;23.325;1306.589;185.038;81.393;1240.615;237.300;45.137;1156.635;203.240;55.141;982.528;251.256;4.977;1009.122;247.352;-90.323;972.963;183.818;-220.611;1032.935;172.595;-223.295;962.667;206.948;-196.847;996.093;-162.836;-52.750;1239.493;-153.320;13.712;1306.491;-161.177;83.248;1245.202;-219.245;-3.123;1153.756;-199.677;65.144;983.406;-241.301;11.955;1013.758;-215.683;-61.094;1030.983;-182.940;-207.485;1018.930;-165.471;-201.971;952.078;-198.799;-180.159;981.454;132.679;-129.117;870.539;-133.655;-110.525;869.807;106.573;69.341;939.977;-87.249;78.514;948.516
9.711;35.671;1596.443;87.786;-31.230;1545.108;-60.655;-42.795;1543.352;67.486;76.953;1444.977;-56.605;65.974;1449.710;9.955;100.229;1277.506;26.350;98.472;1113.548;75.343;114.429;1193.282;-45.869;109.988;1173.129;19.421;-80.027;1278.042;14.102;-153.564;1087.441;67.291;-118.382;1206.896;-52.896;-110.867;1214.948;180.451;-53.286;1240.420;175.913;23.471;1306.589;185.185;81.491;1240.615;237.397;45.284;1156.635;203.240;55.189;982.479;251.353;5.075;1009.073;247.498;-90.226;972.963;184.306;-220.562;1033.130;172.937;-223.295;962.862;207.290;-196.798;996.191;-162.689;-52.750;1239.639;-153.125;13.712;1306.637;-161.030;83.248;1245.348;-219.147;-3.172;1153.854;-199.580;65.095;983.552;-241.204;11.906;1013.904;-215.488;-61.143;1031.081;-182.745;-207.534;1019.077;-165.275;-202.068;952.225;-198.604;-180.256;981.601;132.728;-128.970;870.587;-133.606;-110.330;869.855;106.621;69.536;939.977;-87.200;78.758;948.516
9.906;35.622;1596.492;87.932;-31.328;1545.108;-60.459;-42.795;1543.352;67.730;76.953;1445.074;-56.361;66.022;1449.759;10.101;100.229;1277.603;26.448;98.472;1113.596;75.489;114.478;1193.331;-45.772;110.037;1173.275;19.616;-80.027;1278.091;14.249;-153.515;1087.539;67.437;-118.382;1206.945;-52.701;-110.916;1215.094;180.647;-53.238;1240.469;176.108;23.471;1306.589;185.331;81.540;1240.664;237.544;45.284;1156.635;203.288;55.189;982.528;251.451;5.172;1009.073;247.742;-90.128;973.012;184.745;-220.562;1033.228;173.376;-223.344;963.058;207.680;-196.750;996.337;-162.494;-52.847;1239.834;-152.930;13.663;1306.784;-160.884;83.199;1245.495;-218.952;-3.221;1154.049;-199.433;64.998;983.699;-241.057;11.809;1014.099;-215.292;-61.191;1031.276;-182.598;-207.582;1019.272;-165.080;-202.117;952.371;-198.457;-180.305;981.796;132.728;-128.824;870.587;-133.557;-110.086;869.904;106.719;69.731;939.977;-87.103;78.905;948.565
10.101;35.378;1596.492;88.127;-31.523;1545.108;-60.264;-42.990;1543.352;67.925;76.758;1445.123;-56.165;65.827;1449.808;10.296;100.083;1277.750;26.546;98.472;1113.743;75.635;114.380;1193.477;-45.674;109.940;1173.470;19.860;-80.222;1278.140;14.395;-153.564;1087.539;67.633;-118.479;1206.945;-52.554;-111.062;1215.143;180.842;-53.335;1240.517;176.255;23.325;1306.637;185.526;81.393;1240.761;237.641;45.235;1156.684;203.435;55.238;982.576;251.646;5.270;1009.122;248.084;-90.030;973.159;185.282;-220.514;1033.423;173.913;-223.344;963.253;208.217;-196.701;996.484;-162.348;-52.994;1239.981;-152.735;13.468;1306.930;-160.737;83.053;1245.739;-218.806;-3.367;1154.244;-199.385;64.949;983.943;-240.960;11.711;1014.295;-215.195;-61.240;1031.520;-182.306;-207.582;1019.565;-164.885;-202.166;952.713;-198.213;-180.354;982.040;132.777;-128.678;870.587;-133.460;-109.940;869.953;106.865;69.829;939.977;-87.005;79.051;948.565
10.296;34.987;1596.540;88.274;-31.913;1545.157;-60.069;-43.332;1543.352;68.121;76.416;1445.172;-55.970;65.486;1449.857;10.491;99.887;1277.945;26.741;98.375;1113.938;75.831;114.234;1193.672;-45.528;109.793;1173.666;20.007;-80.417;1278.189;14.493;-153.711;1087.539;67.779;-118.626;1206.896;-52.408;-111.257;1215.192;181.037;-53.579;1240.517;176.450;23.081;1306.735;185.721;81.198;1240.908;237.885;45.040;1156.831;203.679;55.238;982.723;251.939;5.270;1009.268;248.523;-89.933;973.207;185.868;-220.611;1033.521;174.547;-223.344;963.350;208.754;-196.652;996.630;-162.152;-53.286;1240.078;-152.539;13.175;1307.077;-160.591;82.760;1245.934;-218.659;-3.562;1154.391;-199.433;64.998;984.138;-240.911;11.711;1014.490;-215.000;-61.143;1031.764;-181.818;-207.436;1020.053;-164.690;-202.117;953.152;-197.921;-180.305;982.430;132.825;-128.580;870.587;-133.411;-109.842;869.953;106.963;69.926;940.025;-86.907;79.149;948.663
10.491;34.304;1596.638;88.469;-32.499;1545.108;-59.923;-43.917;1543.303;68.316;76.026;1445.367;-55.775;65.144;1450.003;10.638;99.643;1278.042;26.838;98.228;1114.036;75.977;114.039;1193.770;-45.430;109.647;1173.812;20.202;-80.613;1278.238;14.639;-153.906;1087.539;67.925;-118.772;1206.896;-52.213;-111.501;1215.241;181.281;-53.774;1240.566;176.645;22.837;1306.833;185.917;81.003;1241.054;238.129;44.942;1156.928;203.923;55.141;982.820;252.232;5.270;1009.366;249.011;-89.933;973.354;186.453;-220.855;1033.716;175.376;-223.441;963.448;209.486;-196.750;996.825;-162.104;-53.579;1240.176;-152.344;12.882;1307.174;-160.445;82.467;1246.178;-218.513;-3.709;1154.488;-199.385;65.095;984.333;-240.813;11.711;1014.782;-214.756;-60.899;1032.301;-180.939;-206.997;1021.077;-164.397;-201.971;954.030;-197.335;-180.110;983.308;132.923;-128.580;870.587;-133.265;-109.793;869.953;107.109;69.877;940.123;-86.761;79.149;948.760
10.638;33.572;1596.687;88.615;-33.133;1545.011;-59.776;-44.552;1543.205;68.462;75.587;1445.514;-55.629;64.705;1450.149;10.687;99.399;1278.140;26.985;98.033;1114.084;76.075;113.843;1193.867;-45.528;109.403;1173.861;20.300;-80.857;1278.189;14.785;-154.101;1087.539;68.023;-118.967;1206.896;-52.115;-111.696;1215.143;181.476;-53.969;1240.713;176.694;22.642;1306.930;185.965;80.808;1241.201;238.276;44.747;1157.075;204.118;54.848;982.918;252.476;5.075;1009.561;249.499;-90.079;973.598;186.941;-221.392;1034.106;176.401;-223.783;963.741;210.217;-196.994;997.216;-162.104;-54.018;1240.176;-152.344;12.394;1307.272;-160.445;82.077;1246.422;-218.415;-4.050;1154.537;-199.482;65.193;984.528;-240.813;11.809;1015.222;-214.121;-60.264;1033.521;-178.597;-205.826;1024.298;-163.909;-201.922;956.714;-196.213;-179.719;986.236;132.972;-128.726;870.490;-133.167;-109.842;869.904;107.256;69.731;940.221;-86.663;79.002;948.858
10.638;32.792;1596.784;88.615;-33.768;1544.962;-59.776;-45.235;1543.108;68.462;75.196;1445.660;-55.677;64.217;1450.296;10.735;99.156;1278.286;27.082;97.936;1114.182;76.172;113.599;1193.965;-45.576;109.159;1174.007;20.300;-81.101;1278.189;14.932;-154.345;1087.490;68.072;-119.162;1206.896;-52.066;-111.794;1215.094;181.574;-54.262;1240.908;176.694;22.349;1307.077;186.063;80.515;1241.396;238.422;44.356;1157.319;204.557;54.116;983.113;252.964;4.441;1009.903;250.085;-90.714;974.232;187.185;-222.417;1035.033;177.475;-224.417;964.570;210.901;-197.628;998.192;-162.006;-54.213;1240.371;-152.295;12.102;1307.467;-160.445;81.784;1246.666;-218.367;-4.441;1154.830;-199.482;64.266;984.577;-240.813;11.028;1015.807;-213.536;-60.020;1036.107;-175.523;-204.606;1030.837;-163.421;-203.288;962.765;-194.700;-180.061;992.043;133.069;-128.873;870.490;-133.069;-109.940;869.904;107.402;69.585;940.269;-86.468;78.905;948.907
10.394;32.157;1596.882;88.371;-34.353;1544.913;-59.972;-45.723;1543.059;68.267;74.757;1445.855;-55.824;63.875;1450.442;10.882;98.960;1278.384;27.278;97.984;1114.280;76.416;113.160;1194.160;-45.479;108.915;1173.958;20.202;-81.345;1278.286;14.834;-154.394;1087.539;68.023;-119.406;1206.994;-52.164;-111.696;1215.045;181.427;-54.701;1241.445;176.596;21.861;1307.516;186.209;79.929;1241.786;238.764;43.283;1157.855;205.826;51.920;983.455;253.988;2.440;1010.879;251.061;-92.861;975.940;186.795;-225.198;1037.376;179.085;-226.321;966.669;211.681;-199.580;1000.778;-161.713;-54.018;1240.859;-152.198;12.199;1307.662;-160.493;81.540;1246.373;-218.415;-5.612;1155.318;-200.946;60.508;983.845;-241.350;7.515;1017.466;-212.023;-60.996;1042.841;-166.983;-202.849;1046.403;-164.153;-207.241;977.550;-191.821;-181.915;1007.170;133.069;-129.019;870.539;-133.021;-109.793;869.953;107.597;69.487;940.416;-86.322;79.002;949.053
