UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.012;24.990;1596.998;99.080;-43.049;1545.896;-49.540;-51.444;1542.724;81.997;66.525;1446.669;-42.463;58.082;1450.184;24.453;95.176;1282.382;35.727;98.251;1116.532;87.903;110.989;1197.065;-34.702;109.720;1179.836;27.967;-85.707;1277.989;16.936;-153.550;1085.295;72.919;-121.239;1203.362;-46.563;-112.161;1215.124;187.276;-58.033;1234.403;188.057;13.617;1305.712;197.575;75.213;1240.993;247.505;44.611;1158.263;216.610;64.817;986.898;263.075;11.665;1010.277;259.415;-80.192;965.667;185.129;-212.852;1005.543;188.399;-212.608;935.015;215.048;-187.764;975.428;-153.452;-49.345;1247.484;-139.444;13.813;1317.377;-147.839;85.951;1256.513;-210.558;5.711;1167.244;-197.184;79.996;1001.199;-236.182;23.965;1029.556;-203.383;-52.713;1035.901;-161.408;-190.010;1004.078;-166.679;-185.373;936.089;-190.254;-164.776;974.989;133.685;-122.752;867.904;-131.782;-99.471;867.562;111.624;74.725;942.971;-82.144;86.829;951.903
22.012;26.454;1596.949;99.080;-41.584;1545.847;-49.589;-49.979;1542.724;81.949;67.941;1446.572;-42.512;59.448;1450.184;24.258;96.493;1282.138;35.435;99.275;1116.288;87.610;112.258;1196.724;-34.898;110.843;1179.592;27.918;-84.340;1277.989;16.790;-152.525;1085.441;72.822;-119.921;1203.459;-46.660;-110.941;1215.222;187.130;-56.568;1234.257;187.911;15.179;1305.517;197.331;76.677;1240.651;247.310;46.026;1157.970;216.317;65.940;986.556;262.831;12.885;1010.082;259.317;-79.069;965.618;185.275;-211.778;1005.738;188.594;-211.632;935.259;215.146;-186.691;975.623;-153.501;-48.174;1247.484;-139.591;15.082;1317.328;-148.035;87.122;1256.318;-210.753;6.736;1167.195;-197.575;80.777;1001.052;-236.524;24.843;1029.556;-203.627;-51.736;1036.194;-161.506;-189.131;1004.811;-166.875;-184.738;936.919;-190.400;-163.995;975.721;133.441;-122.118;868.002;-132.026;-98.885;867.660;111.331;75.457;942.873;-82.437;87.562;951.756
22.012;27.869;1596.949;99.080;-40.120;1545.799;-49.491;-48.662;1542.772;81.851;69.356;1446.572;-42.561;60.864;1450.184;24.062;97.860;1281.894;35.142;100.349;1116.044;87.366;113.576;1196.431;-35.142;111.966;1179.348;27.821;-82.925;1277.989;16.644;-151.451;1085.637;72.724;-118.555;1203.508;-46.709;-109.623;1215.320;187.032;-55.055;1234.062;187.813;16.741;1305.224;197.087;78.142;1240.260;246.969;47.490;1157.628;216.024;67.013;986.215;262.636;14.106;1009.838;259.268;-77.946;965.618;185.422;-210.753;1006.031;188.741;-210.655;935.552;215.292;-185.617;975.867;-153.599;-46.904;1247.533;-139.689;16.399;1317.231;-148.230;88.391;1256.172;-210.899;7.858;1167.195;-197.868;81.607;1000.906;-236.768;25.673;1029.556;-203.822;-50.809;1036.487;-161.603;-188.253;1005.738;-166.972;-184.153;937.797;-190.498;-163.312;976.502;133.246;-121.483;868.148;-132.221;-98.299;867.758;111.087;76.238;942.727;-82.681;88.245;951.610
22.061;29.138;1596.949;99.129;-38.705;1545.750;-49.443;-47.344;1542.772;81.753;70.869;1446.621;-42.658;62.230;1450.281;23.818;99.275;1281.601;34.947;101.472;1115.751;87.122;114.894;1196.089;-35.386;113.137;1179.006;27.772;-81.412;1277.989;16.546;-150.377;1085.832;72.675;-117.188;1203.606;-46.807;-108.305;1215.417;186.886;-53.494;1233.964;187.667;18.401;1305.029;196.843;79.703;1239.919;246.725;48.954;1157.336;215.683;68.038;985.873;262.392;15.277;1009.594;259.171;-76.921;965.667;185.470;-209.728;1006.519;188.887;-209.826;936.138;215.341;-184.641;976.307;-153.745;-45.635;1247.533;-139.835;17.815;1317.084;-148.376;89.660;1255.928;-211.095;8.932;1167.000;-198.161;82.388;1000.613;-237.061;26.552;1029.507;-204.066;-49.687;1036.877;-161.750;-187.423;1007.105;-166.826;-183.616;939.115;-190.546;-162.579;977.624;133.099;-120.849;868.295;-132.416;-97.714;867.904;110.843;76.970;942.580;-82.876;88.928;951.463
22.110;30.456;1596.998;99.227;-37.241;1545.603;-49.296;-46.075;1542.724;81.656;72.431;1446.669;-42.756;63.646;1450.428;23.623;100.740;1281.308;34.702;102.594;1115.410;86.878;116.309;1195.747;-35.581;114.406;1178.665;27.723;-79.899;1277.989;16.497;-149.304;1086.027;72.626;-115.773;1203.703;-46.856;-106.841;1215.466;186.788;-51.883;1233.915;187.569;20.060;1304.785;196.599;81.314;1239.577;246.432;50.419;1157.043;215.390;69.015;985.483;262.197;16.399;1009.350;259.073;-75.945;965.813;185.617;-208.752;1007.349;189.082;-209.045;936.967;215.439;-183.665;977.039;-153.794;-44.318;1247.435;-139.981;19.279;1316.889;-148.572;90.978;1255.586;-211.339;10.006;1166.902;-198.795;82.974;1000.271;-237.646;27.284;1029.507;-204.554;-48.662;1037.610;-162.091;-186.739;1009.301;-166.875;-183.421;941.263;-190.839;-162.091;979.528;132.904;-120.214;868.441;-132.611;-97.128;868.002;110.648;77.702;942.434;-83.071;89.660;951.317
22.159;31.872;1596.998;99.324;-35.776;1545.506;-49.247;-44.611;1542.724;81.607;73.993;1446.669;-42.756;65.208;1450.477;23.525;102.302;1280.966;34.605;103.717;1115.068;86.732;117.676;1195.357;-35.679;115.724;1178.274;27.674;-78.288;1278.038;16.399;-148.181;1086.271;72.578;-114.260;1203.801;-46.904;-105.328;1215.612;186.739;-50.321;1233.867;187.472;21.817;1304.589;196.501;82.876;1239.235;246.236;51.883;1156.750;215.243;69.893;985.141;262.099;17.473;1009.203;259.122;-75.067;966.203;185.714;-207.825;1008.569;189.326;-208.410;938.139;215.634;-182.737;978.113;-153.794;-42.902;1247.484;-140.030;20.841;1316.694;-148.718;92.345;1255.196;-211.729;10.884;1166.902;-200.113;83.071;999.881;-238.720;27.479;1029.800;-205.140;-47.978;1038.781;-162.140;-186.300;1012.327;-167.363;-183.860;944.289;-191.230;-162.140;982.310;132.758;-119.677;868.587;-132.758;-96.493;868.148;110.501;78.386;942.287;-83.218;90.392;951.171
22.256;33.482;1596.949;99.324;-34.214;1545.457;-49.247;-42.951;1542.626;81.705;75.652;1446.669;-42.658;66.916;1450.477;23.379;103.912;1280.625;34.507;104.986;1114.677;86.585;119.140;1194.967;-35.874;117.090;1177.884;27.723;-76.580;1278.038;16.448;-147.010;1086.466;72.626;-112.698;1203.947;-46.856;-103.815;1215.661;186.739;-48.613;1233.867;187.423;23.623;1304.443;196.355;84.584;1238.943;246.236;53.298;1156.506;215.487;70.430;984.799;262.392;18.205;1009.252;259.317;-74.627;966.936;185.470;-207.190;1010.326;189.570;-208.020;939.945;215.683;-182.152;979.821;-153.745;-41.682;1247.484;-140.030;22.354;1316.450;-148.864;93.614;1254.756;-212.315;11.470;1167.000;-202.065;82.534;999.393;-240.282;27.186;1030.337;-206.360;-47.588;1040.684;-162.579;-186.349;1017.159;-168.046;-184.982;949.072;-191.962;-162.775;986.703;132.611;-119.189;868.783;-132.953;-95.810;868.343;110.453;79.020;942.092;-83.266;91.222;950.975
22.208;35.239;1596.852;99.275;-32.506;1545.408;-49.296;-41.145;1542.528;81.802;77.361;1446.572;-42.561;68.673;1450.330;23.233;105.572;1280.283;34.458;106.401;1114.336;86.537;120.702;1194.625;-36.167;118.603;1177.493;27.869;-74.774;1277.989;16.595;-145.643;1086.613;72.773;-110.892;1203.996;-46.758;-102.058;1215.612;186.837;-46.709;1234.208;187.325;25.624;1304.443;196.355;86.341;1238.747;246.529;54.421;1156.506;216.561;69.942;984.555;263.222;17.864;1009.789;259.805;-75.506;968.937;184.153;-207.532;1013.938;190.205;-208.557;943.703;215.487;-182.493;983.579;-153.599;-40.657;1247.630;-139.981;23.672;1316.157;-149.157;94.590;1254.219;-213.242;11.275;1167.390;-205.823;80.484;998.856;-243.308;25.429;1031.606;-208.605;-47.978;1044.394;-163.604;-187.520;1026.140;-168.144;-187.472;957.711;-192.694;-164.727;994.414;132.465;-118.603;868.929;-133.099;-94.980;868.539;110.453;79.752;941.848;-83.218;92.150;950.780
22.110;37.143;1596.803;99.227;-30.554;1545.359;-49.345;-39.290;1542.382;81.802;79.264;1446.572;-42.609;70.576;1450.232;23.233;107.524;1279.990;34.556;108.012;1114.092;86.634;122.313;1194.283;-36.362;120.263;1177.152;28.016;-72.626;1277.940;16.790;-143.935;1086.808;72.968;-108.744;1204.094;-46.563;-99.861;1215.564;186.642;-45.001;1235.038;187.276;27.772;1304.736;196.452;87.952;1238.601;247.017;54.421;1156.603;219.441;66.574;984.116;265.418;14.642;1011.156;260.830;-79.655;973.525;180.638;-209.777;1021.064;191.376;-212.071;951.610;214.609;-185.324;991.486;-153.208;-39.339;1248.558;-139.786;25.478;1316.254;-149.450;95.468;1253.536;-215.243;9.762;1169.050;-212.949;74.042;998.563;-248.628;19.523;1034.339;-212.510;-51.248;1051.325;-164.190;-191.474;1041.563;-164.873;-192.694;973.085;-192.157;-169.901;1007.446;132.319;-117.871;869.173;-133.148;-93.809;868.831;110.599;80.777;941.653;-83.071;93.467;950.585
