UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
37.185;9.077;1595.691;113.800;-57.437;1541.914;-34.696;-68.222;1543.134;92.084;52.411;1443.973;-31.964;41.967;1451.147;35.380;82.178;1280.251;47.677;86.033;1114.187;99.844;96.379;1194.755;-23.570;98.721;1177.870;35.721;-96.964;1273.664;23.814;-165.430;1082.028;80.226;-133.564;1199.732;-39.039;-121.218;1210.859;195.685;-76.810;1230.720;198.955;-4.148;1301.821;209.691;56.656;1237.845;259.369;24.107;1154.447;227.015;51.874;983.014;271.861;-3.318;1005.316;261.369;-94.866;960.469;197.491;-227.942;1014.148;172.847;-220.768;948.172;213.936;-199.150;975.402;-144.983;-62.024;1241.066;-131.417;1.903;1311.239;-137.956;73.785;1252.143;-201.005;-5.612;1160.351;-188.707;75.883;996.630;-226.087;17.373;1022.542;-193.782;-55.924;1031.277;-151.961;-197.149;1002.583;-132.393;-184.559;937.631;-168.309;-166.991;968.619;141.469;-136.150;865.115;-123.609;-107.505;866.482;123.462;60.950;942.121;-69.881;77.249;951.441
37.527;8.686;1595.642;114.142;-57.730;1541.767;-34.355;-68.514;1542.938;92.426;52.313;1444.022;-31.622;41.821;1451.196;35.477;82.227;1280.056;47.579;85.984;1113.943;99.795;96.476;1194.462;-23.570;98.624;1177.724;36.112;-96.916;1273.517;24.058;-165.479;1081.980;80.568;-133.417;1199.586;-38.698;-121.315;1210.859;195.978;-76.469;1230.379;199.199;-3.758;1301.479;209.740;56.998;1237.503;259.369;24.595;1154.056;226.868;52.215;982.624;271.861;-2.830;1004.925;261.516;-94.427;960.176;197.930;-227.600;1013.953;173.287;-220.524;947.977;214.278;-198.809;975.207;-144.690;-62.219;1241.114;-131.173;1.708;1311.239;-137.858;73.589;1252.094;-200.858;-6.002;1160.400;-188.854;75.346;996.630;-226.136;16.836;1022.640;-193.733;-56.412;1031.423;-151.912;-197.637;1002.827;-132.344;-185.145;937.924;-168.260;-167.528;968.863;141.518;-136.345;865.018;-123.609;-107.847;866.433;123.316;60.804;942.023;-70.027;76.957;951.393
37.820;8.540;1595.642;114.435;-57.730;1541.621;-33.964;-68.612;1542.792;92.621;52.459;1444.120;-31.378;41.919;1451.244;35.477;82.471;1279.861;47.433;86.033;1113.748;99.697;96.720;1194.169;-23.668;98.624;1177.626;36.404;-96.672;1273.468;24.253;-165.430;1081.980;80.812;-133.173;1199.537;-38.405;-121.218;1210.859;196.271;-76.029;1230.135;199.345;-3.270;1301.186;209.740;57.486;1237.113;259.369;25.180;1153.715;226.722;52.557;982.283;271.861;-2.342;1004.633;261.760;-93.988;959.981;198.565;-227.307;1013.904;173.823;-220.378;948.025;214.815;-198.516;975.158;-144.495;-62.317;1241.261;-131.026;1.708;1311.288;-137.858;73.492;1252.094;-200.809;-6.246;1160.547;-189.146;74.907;996.630;-226.283;16.397;1022.786;-193.831;-56.802;1031.619;-151.864;-198.028;1003.169;-132.344;-185.584;938.217;-168.260;-167.967;969.204;141.469;-136.345;864.969;-123.658;-107.993;866.433;123.170;60.804;941.925;-70.173;76.810;951.344
38.064;8.784;1595.593;114.679;-57.437;1541.523;-33.769;-68.368;1542.743;92.816;52.801;1444.071;-31.183;42.163;1451.244;35.380;82.813;1279.715;47.238;86.277;1113.602;99.502;97.111;1193.974;-23.814;98.819;1177.480;36.551;-96.281;1273.420;24.351;-165.186;1081.980;80.958;-132.783;1199.489;-38.259;-121.022;1210.908;196.369;-75.444;1229.988;199.394;-2.635;1300.942;209.642;58.071;1236.869;259.271;25.815;1153.471;226.527;52.947;982.039;271.812;-1.806;1004.437;261.955;-93.548;959.932;199.248;-226.966;1014.100;174.458;-220.183;948.221;215.400;-198.174;975.304;-144.349;-62.268;1241.310;-130.929;1.806;1311.288;-137.956;73.589;1252.045;-200.858;-6.344;1160.644;-189.537;74.663;996.630;-226.527;16.104;1022.884;-193.929;-56.998;1031.814;-151.815;-198.174;1003.559;-132.246;-185.828;938.607;-168.211;-168.211;969.595;141.469;-136.248;864.969;-123.706;-108.091;866.433;122.974;60.902;941.828;-70.369;76.810;951.246
38.259;9.321;1595.495;114.874;-56.900;1541.426;-33.574;-67.831;1542.792;92.865;53.289;1443.925;-31.134;42.651;1451.196;35.233;83.252;1279.568;46.994;86.570;1113.455;99.307;97.550;1193.779;-24.009;99.112;1177.382;36.648;-95.842;1273.371;24.400;-164.844;1082.028;81.056;-132.295;1199.489;-38.161;-120.681;1210.908;196.417;-74.761;1229.939;199.345;-1.903;1300.845;209.496;58.754;1236.625;259.125;26.498;1153.275;226.283;53.338;981.795;271.764;-1.220;1004.291;262.199;-93.060;959.981;199.931;-226.527;1014.392;175.141;-220.036;948.513;215.986;-197.833;975.548;-144.349;-62.024;1241.310;-130.978;2.098;1311.239;-138.102;73.785;1251.948;-201.005;-6.295;1160.595;-189.927;74.614;996.581;-226.819;16.055;1022.932;-194.075;-56.900;1032.009;-151.864;-198.028;1003.998;-131.953;-185.877;939.144;-168.114;-168.211;969.985;141.372;-136.053;865.018;-123.853;-108.091;866.433;122.779;61.097;941.730;-70.564;76.908;951.149
38.454;10.101;1595.447;114.923;-56.217;1541.328;-33.476;-67.050;1542.841;92.914;53.875;1443.778;-31.036;43.383;1451.196;34.940;83.935;1279.422;46.750;87.009;1113.309;99.014;98.184;1193.584;-24.351;99.502;1177.187;36.551;-95.208;1273.371;24.400;-164.405;1082.126;81.007;-131.709;1199.537;-38.259;-120.144;1210.956;196.320;-73.931;1229.988;199.150;-1.025;1300.796;209.203;59.584;1236.527;258.881;27.328;1153.227;226.039;53.777;981.697;271.666;-0.634;1004.291;262.443;-92.572;960.030;200.468;-226.185;1014.490;175.775;-219.792;948.562;216.474;-197.442;975.646;-144.495;-61.731;1241.261;-131.222;2.440;1311.190;-138.346;74.126;1251.850;-201.200;-6.051;1160.547;-190.269;74.858;996.483;-226.966;16.201;1022.932;-194.221;-56.607;1032.399;-152.400;-197.686;1004.681;-131.124;-185.730;940.217;-167.821;-168.016;970.571;141.274;-135.809;865.066;-123.950;-108.091;866.482;122.486;61.390;941.730;-70.857;77.005;951.051
39.088;11.175;1595.300;114.874;-55.778;1541.035;-33.623;-65.586;1543.134;93.304;54.314;1443.339;-30.744;44.651;1451.244;34.404;84.716;1279.324;46.311;87.692;1113.211;98.526;98.868;1193.486;-25.132;100.088;1177.090;36.209;-94.280;1273.371;24.400;-163.771;1082.224;80.812;-130.880;1199.684;-38.503;-119.168;1210.810;196.027;-73.101;1230.281;198.662;-0.049;1300.942;208.764;60.462;1236.625;258.490;28.108;1153.471;226.087;54.216;981.843;271.666;-0.146;1004.584;262.687;-92.084;960.128;200.663;-225.941;1014.148;176.263;-219.402;948.172;216.816;-197.052;975.402;-144.885;-61.390;1241.554;-131.758;2.830;1311.434;-138.932;74.370;1252.094;-201.590;-6.051;1160.693;-189.976;74.565;996.434;-226.575;15.811;1023.079;-194.417;-56.705;1033.668;-154.206;-197.686;1006.829;-128.830;-186.560;943.585;-167.235;-168.455;971.986;141.225;-135.467;865.164;-124.048;-107.993;866.530;122.145;61.780;941.633;-71.198;77.201;951.002
39.869;12.395;1595.203;114.581;-55.631;1540.791;-34.013;-63.537;1543.524;93.988;54.558;1442.949;-30.158;46.457;1451.391;33.916;85.643;1279.422;45.920;88.571;1113.309;98.087;99.600;1193.584;-25.864;100.917;1177.138;35.624;-93.304;1273.420;24.156;-162.746;1082.272;80.421;-129.953;1199.830;-38.893;-118.046;1210.664;195.588;-72.369;1230.720;198.077;0.732;1301.284;208.227;61.048;1236.771;257.856;28.889;1154.007;226.527;54.802;982.331;271.910;0.342;1005.218;263.077;-91.499;960.176;200.419;-225.843;1013.124;176.703;-218.572;946.952;217.060;-196.564;974.621;-145.081;-60.853;1242.042;-132.393;3.465;1311.727;-139.761;74.614;1252.143;-202.029;-6.978;1160.742;-189.781;71.491;995.117;-226.039;12.981;1022.835;-194.368;-58.364;1036.840;-154.743;-199.492;1014.588;-123.999;-190.318;953.491;-164.795;-171.823;978.476;140.981;-135.028;865.359;-124.292;-107.505;866.628;121.901;62.317;941.584;-71.491;77.835;950.905
40.455;13.810;1595.154;113.947;-55.436;1540.547;-34.745;-61.097;1543.914;94.622;54.802;1442.558;-29.621;48.653;1451.537;33.476;86.765;1279.471;45.871;89.547;1113.406;97.892;100.234;1193.730;-26.303;102.137;1176.894;34.989;-92.084;1273.468;23.619;-161.526;1082.370;79.787;-128.928;1200.074;-39.479;-116.679;1210.664;195.149;-71.833;1231.452;197.491;1.415;1302.065;207.934;61.243;1237.162;257.075;29.719;1155.325;227.112;55.826;983.551;272.300;1.269;1006.389;263.614;-90.376;960.030;199.345;-225.990;1010.489;177.923;-216.864;943.877;217.450;-195.685;972.718;-144.983;-59.877;1242.969;-132.978;5.026;1311.873;-140.640;75.346;1251.265;-202.127;-9.613;1160.693;-190.903;62.366;991.554;-226.087;4.538;1022.347;-193.246;-63.830;1042.989;-150.546;-204.665;1032.204;-113.898;-198.857;974.377;-157.720;-180.460;994.141;140.396;-134.589;865.554;-124.829;-106.334;866.823;121.803;62.951;941.535;-71.491;79.055;950.807
