UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
35.561;53.097;1596.171;109.759;-16.803;1543.416;-39.126;-22.323;1544.686;91.783;92.321;1443.866;-32.630;86.557;1451.291;28.966;121.824;1277.347;40.885;120.896;1111.268;92.370;134.915;1190.790;-29.504;135.111;1175.355;34.242;-57.151;1276.126;22.225;-129.933;1086.404;79.230;-94.763;1203.344;-40.494;-84.847;1214.335;194.411;-33.069;1230.991;194.997;41.031;1300.794;202.910;100.869;1235.485;253.564;70.535;1153.032;220.837;94.323;980.749;268.707;41.715;1004.488;259.182;-52.559;969.270;193.825;-180.196;1032.233;174.725;-180.538;963.994;213.217;-156.017;992.863;-148.104;-26.915;1241.640;-135.941;38.540;1310.514;-143.463;109.075;1249.749;-204.717;29.455;1159.724;-191.871;108.782;994.963;-230.069;51.680;1022.708;-194.899;-19.441;1037.655;-152.256;-159.876;1019.533;-135.501;-155.187;952.857;-170.378;-134.866;984.559;136.674;-111.127;870.013;-128.663;-82.063;870.892;118.649;88.706;939.375;-74.540;105.705;948.705
35.512;53.243;1596.220;109.661;-16.657;1543.416;-39.224;-22.030;1544.686;91.783;92.565;1443.915;-32.679;86.850;1451.291;29.015;122.068;1277.396;40.934;121.092;1111.316;92.467;135.062;1190.839;-29.455;135.355;1175.355;34.144;-56.956;1276.272;22.128;-129.835;1086.551;79.083;-94.616;1203.491;-40.592;-84.652;1214.481;194.362;-32.972;1231.138;194.997;41.178;1300.891;202.959;100.967;1235.583;253.662;70.535;1153.178;220.983;94.421;980.895;268.756;41.715;1004.586;259.133;-52.510;969.367;193.532;-180.050;1032.282;174.432;-180.392;964.043;212.973;-155.919;992.911;-148.202;-26.573;1241.738;-135.941;38.882;1310.563;-143.415;109.417;1249.797;-204.766;29.845;1159.821;-191.871;109.075;995.012;-230.118;51.973;1022.806;-194.997;-19.099;1037.753;-152.402;-159.632;1019.631;-135.697;-154.894;953.004;-170.525;-134.622;984.656;136.674;-110.931;870.110;-128.663;-81.819;870.941;118.649;88.950;939.375;-74.492;105.949;948.656
35.365;53.439;1596.220;109.466;-16.510;1543.465;-39.371;-21.786;1544.638;91.735;92.760;1444.013;-32.727;87.192;1451.340;29.015;122.313;1277.445;40.934;121.287;1111.365;92.516;135.257;1190.937;-29.455;135.550;1175.404;34.095;-56.711;1276.419;22.030;-129.737;1086.746;79.034;-94.470;1203.637;-40.689;-84.456;1214.677;194.313;-32.874;1231.333;194.948;41.324;1300.989;203.008;101.064;1235.730;253.711;70.535;1153.325;221.130;94.421;981.042;268.853;41.618;1004.781;258.986;-52.559;969.514;193.190;-180.001;1032.429;174.139;-180.294;964.238;212.728;-155.919;993.058;-148.250;-26.280;1241.835;-135.941;39.224;1310.563;-143.415;109.661;1249.846;-204.815;30.139;1159.919;-191.920;109.319;995.110;-230.167;52.266;1022.903;-195.095;-18.855;1037.851;-152.549;-159.388;1019.777;-135.843;-154.698;953.101;-170.671;-134.378;984.754;136.625;-110.736;870.159;-128.663;-81.574;870.990;118.698;89.146;939.424;-74.492;106.144;948.705
35.170;53.634;1596.269;109.222;-16.315;1543.514;-39.566;-21.493;1544.589;91.637;93.005;1444.111;-32.825;87.485;1451.340;29.015;122.557;1277.494;40.983;121.385;1111.463;92.565;135.453;1191.035;-29.455;135.648;1175.404;33.997;-56.516;1276.566;21.981;-129.689;1086.942;78.937;-94.323;1203.833;-40.738;-84.261;1214.823;194.264;-32.776;1231.578;194.899;41.471;1301.184;203.057;101.113;1235.925;253.809;70.486;1153.520;221.325;94.323;981.188;268.951;41.471;1004.977;258.938;-52.706;969.807;192.848;-180.050;1032.819;173.895;-180.294;964.580;212.484;-155.968;993.449;-148.348;-26.084;1241.982;-135.941;39.468;1310.661;-143.415;109.906;1249.895;-204.864;30.334;1160.017;-191.968;109.515;995.207;-230.216;52.462;1023.001;-195.241;-18.708;1037.899;-152.744;-159.241;1019.875;-136.039;-154.552;953.248;-170.818;-134.183;984.852;136.576;-110.589;870.208;-128.663;-81.330;871.038;118.747;89.292;939.473;-74.443;106.389;948.754
34.926;53.829;1596.269;109.026;-16.119;1543.563;-39.761;-21.248;1544.540;91.539;93.200;1444.208;-32.923;87.729;1451.340;28.966;122.752;1277.591;41.031;121.531;1111.561;92.614;135.599;1191.132;-29.455;135.794;1175.452;33.997;-56.321;1276.712;21.932;-129.640;1087.137;78.888;-94.226;1203.979;-40.738;-84.114;1214.970;194.362;-32.776;1231.871;194.850;41.569;1301.429;203.154;101.211;1236.120;253.906;70.437;1153.813;221.472;94.030;981.432;269.000;41.178;1005.270;258.840;-53.097;970.198;192.603;-180.294;1033.357;173.602;-180.538;965.166;212.289;-156.261;993.888;-148.397;-25.889;1242.080;-135.941;39.664;1310.710;-143.415;110.101;1249.944;-204.913;30.529;1160.115;-192.017;109.613;995.256;-230.313;52.608;1023.099;-195.339;-18.513;1037.997;-152.891;-159.192;1020.070;-136.234;-154.454;953.443;-171.062;-134.134;984.998;136.527;-110.394;870.257;-128.663;-81.086;871.087;118.796;89.488;939.473;-74.394;106.633;948.803
34.730;54.025;1596.318;108.831;-15.973;1543.661;-39.957;-21.053;1544.491;91.490;93.395;1444.257;-32.972;87.973;1451.291;28.917;122.997;1277.689;41.080;121.678;1111.610;92.663;135.794;1191.279;-29.552;135.892;1175.452;33.997;-56.076;1276.859;21.981;-129.591;1087.333;78.888;-93.981;1204.174;-40.738;-83.919;1215.116;194.411;-32.581;1232.408;194.850;41.813;1301.819;203.252;101.406;1236.511;254.151;70.193;1154.106;221.521;93.102;981.628;269.000;40.250;1005.612;258.596;-54.074;970.930;192.017;-181.222;1034.676;173.309;-181.515;966.339;212.045;-157.189;995.110;-148.446;-25.840;1242.177;-136.039;39.761;1310.807;-143.463;110.150;1250.042;-205.011;30.578;1160.212;-192.066;109.613;995.305;-230.411;52.657;1023.197;-195.632;-18.464;1038.193;-153.233;-159.388;1020.461;-136.820;-154.601;953.785;-171.648;-134.231;985.340;136.527;-110.150;870.355;-128.614;-80.891;871.087;118.796;89.732;939.522;-74.394;106.828;948.803
34.486;54.025;1596.415;108.684;-15.875;1543.709;-40.103;-20.955;1544.393;91.393;93.640;1444.452;-33.069;88.169;1451.340;28.820;123.290;1277.836;41.129;121.971;1111.756;92.663;136.185;1191.474;-29.748;136.039;1175.452;34.046;-55.734;1277.054;22.177;-129.347;1087.479;78.985;-93.640;1204.321;-40.592;-83.675;1215.214;194.460;-32.239;1233.141;194.802;42.301;1302.210;203.399;101.650;1236.804;254.297;69.607;1154.253;221.912;90.953;981.530;269.098;38.149;1006.002;258.303;-56.369;972.152;190.796;-183.274;1037.020;172.772;-183.469;968.586;211.556;-159.192;997.308;-148.495;-25.987;1242.373;-136.039;39.761;1310.856;-143.610;110.052;1250.091;-205.304;30.139;1160.408;-192.897;108.782;995.305;-231.193;51.973;1023.538;-196.413;-19.001;1038.681;-153.966;-160.413;1021.585;-138.188;-155.431;954.713;-172.820;-135.062;986.366;136.576;-109.808;870.452;-128.516;-80.646;871.185;118.845;90.123;939.522;-74.394;107.121;948.852
34.291;53.976;1596.513;108.587;-15.729;1543.758;-40.250;-21.004;1544.296;91.295;93.933;1444.697;-33.167;88.364;1451.486;28.673;123.778;1277.933;41.129;122.459;1111.805;92.663;136.674;1191.621;-29.992;136.332;1175.404;34.193;-55.295;1277.152;22.518;-128.956;1087.626;79.181;-93.151;1204.516;-40.396;-83.235;1215.263;194.411;-31.946;1234.166;194.753;43.034;1302.699;203.447;101.992;1236.902;254.395;68.239;1154.253;222.937;86.654;980.993;269.586;33.949;1006.491;258.058;-60.912;974.252;188.500;-187.475;1041.075;172.137;-187.035;972.200;210.677;-163.149;1001.069;-148.250;-26.231;1242.812;-135.941;39.761;1310.954;-143.854;109.759;1249.993;-206.134;28.917;1161.043;-195.925;105.900;995.207;-233.586;49.189;1024.467;-198.319;-21.297;1040.000;-154.942;-163.246;1024.222;-139.946;-157.873;957.156;-174.579;-137.797;988.857;136.723;-109.319;870.550;-128.321;-80.304;871.234;118.942;90.660;939.522;-74.345;107.561;948.852
34.095;53.878;1596.659;108.538;-15.631;1543.758;-40.250;-21.004;1544.051;91.295;94.372;1445.087;-33.167;88.657;1451.633;28.722;124.560;1278.031;41.324;123.094;1111.951;92.809;137.358;1191.767;-30.041;136.869;1175.355;34.388;-54.464;1277.249;22.714;-128.272;1087.821;79.327;-92.418;1204.712;-40.201;-82.405;1215.312;194.118;-31.751;1235.534;194.802;43.865;1303.187;203.692;102.188;1236.902;254.639;65.699;1154.106;224.647;79.620;980.114;270.417;27.012;1007.272;257.765;-68.288;977.525;184.544;-194.313;1046.936;171.355;-192.848;977.378;209.260;-169.548;1006.833;-147.811;-26.426;1243.692;-135.648;40.152;1311.100;-144.098;109.564;1249.602;-207.697;26.084;1162.166;-201.689;99.110;994.523;-237.885;42.546;1026.030;-201.347;-26.915;1042.931;-156.310;-169.597;1029.791;-142.047;-163.881;962.480;-177.021;-144.392;994.035;136.869;-108.636;870.696;-128.125;-79.572;871.380;119.089;91.393;939.619;-74.198;108.294;948.949
