UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25.855;42.295;1597.944;101.372;-24.977;1543.746;-47.564;-30.490;1541.160;85.663;88.737;1449.106;-38.978;82.688;1453.155;25.026;120.446;1277.633;38.880;119.568;1111.721;89.566;134.251;1192.018;-32.197;132.544;1174.310;30.733;-58.784;1276.901;21.806;-132.446;1087.134;76.785;-96.493;1204.605;-42.978;-87.127;1214.068;191.279;-33.221;1233.435;190.938;40.734;1303.000;199.523;100.591;1237.387;250.160;70.443;1155.333;216.695;92.542;984.055;264.795;40.149;1006.593;261.576;-51.418;960.786;195.279;-188.206;1004.105;188.157;-183.132;933.906;220.061;-159.960;969.860;-151.765;-29.514;1240.850;-140.057;36.539;1308.952;-146.984;106.689;1247.583;-206.353;25.660;1156.553;-185.132;99.859;990.690;-226.647;45.076;1017.521;-198.499;-31.758;1025.375;-164.253;-174.010;994.446;-158.253;-164.741;926.735;-186.254;-144.837;962.542;138.203;-110.982;870.147;-127.471;-85.224;870.098;117.714;88.395;940.004;-75.663;102.884;948.883
26.001;42.441;1597.993;101.469;-24.879;1543.746;-47.417;-30.294;1541.160;85.859;88.883;1449.155;-38.783;82.932;1453.155;25.270;120.690;1277.633;39.075;119.763;1111.672;89.761;134.447;1192.018;-31.953;132.739;1174.310;30.880;-58.540;1276.901;21.904;-132.203;1087.134;76.980;-96.249;1204.605;-42.832;-86.883;1214.068;191.425;-33.026;1233.387;191.133;40.929;1302.952;199.719;100.737;1237.387;250.356;70.638;1155.285;216.793;92.786;984.007;264.893;40.393;1006.545;261.673;-51.174;960.932;195.377;-187.962;1004.447;188.255;-182.937;934.297;220.208;-159.716;970.152;-151.618;-29.221;1240.850;-139.862;36.831;1308.903;-146.740;106.982;1247.534;-206.158;25.953;1156.553;-184.888;100.152;990.641;-226.501;45.368;1017.521;-198.401;-31.416;1025.424;-164.302;-173.717;994.593;-158.253;-164.546;926.930;-186.254;-144.594;962.688;138.349;-110.836;870.195;-127.324;-85.078;870.147;117.860;88.493;939.955;-75.468;103.030;948.883
26.148;42.637;1597.944;101.615;-24.733;1543.746;-47.222;-30.050;1541.111;86.054;89.078;1449.155;-38.539;83.127;1453.155;25.465;120.934;1277.584;39.271;120.007;1111.672;89.956;134.691;1192.018;-31.758;132.983;1174.310;31.124;-58.296;1276.901;22.099;-131.959;1087.134;77.175;-96.005;1204.605;-42.637;-86.639;1214.068;191.669;-32.782;1233.338;191.328;41.173;1302.903;199.914;100.981;1237.338;250.453;70.931;1155.285;216.939;93.078;983.958;265.088;40.783;1006.545;261.820;-50.881;961.225;195.279;-187.523;1005.227;188.450;-182.791;935.028;220.354;-159.424;970.786;-151.423;-28.977;1240.850;-139.618;37.075;1308.903;-146.545;107.226;1247.534;-206.012;26.245;1156.553;-184.791;100.445;990.690;-226.354;45.661;1017.570;-198.304;-31.075;1025.521;-164.253;-173.376;994.885;-158.253;-164.351;927.272;-186.254;-144.301;962.981;138.447;-110.738;870.195;-127.178;-84.932;870.195;118.055;88.639;939.907;-75.321;103.177;948.883
26.392;42.783;1597.944;101.811;-24.538;1543.697;-47.027;-29.855;1541.111;86.298;89.273;1449.155;-38.344;83.371;1453.204;25.611;121.178;1277.584;39.466;120.202;1111.624;90.103;134.983;1192.018;-31.563;133.178;1174.310;31.319;-58.003;1276.852;22.245;-131.715;1087.134;77.321;-95.664;1204.556;-42.490;-86.395;1214.068;191.864;-32.538;1233.289;191.523;41.417;1302.854;200.109;101.274;1237.338;250.648;71.272;1155.236;217.037;93.469;983.909;265.283;41.222;1006.545;261.917;-50.539;961.664;195.279;-186.937;1006.398;188.645;-182.644;936.248;220.549;-159.033;971.860;-151.277;-28.733;1240.850;-139.422;37.319;1308.854;-146.350;107.469;1247.534;-205.816;26.538;1156.553;-184.693;100.689;990.690;-226.305;46.003;1017.618;-198.255;-30.733;1025.716;-164.302;-173.034;995.324;-158.204;-164.204;927.760;-186.254;-144.106;963.371;138.593;-110.640;870.244;-127.032;-84.785;870.244;118.202;88.785;939.907;-75.175;103.323;948.883
26.636;42.929;1597.944;102.103;-24.343;1543.648;-46.734;-29.709;1541.063;86.493;89.566;1449.204;-38.100;83.614;1453.253;25.758;121.470;1277.584;39.563;120.495;1111.575;90.200;135.325;1191.970;-31.416;133.422;1174.261;31.563;-57.662;1276.804;22.440;-131.422;1087.183;77.517;-95.225;1204.507;-42.295;-86.102;1214.068;192.108;-32.099;1233.094;191.718;41.758;1302.708;200.304;101.664;1237.241;250.795;71.760;1155.138;217.085;93.761;983.665;265.430;41.661;1006.447;262.112;-50.247;962.591;194.938;-185.962;1008.789;189.523;-183.035;938.443;220.939;-158.692;974.006;-151.130;-28.587;1240.802;-139.276;37.514;1308.854;-146.203;107.665;1247.534;-205.670;26.782;1156.504;-184.596;101.030;990.641;-226.257;46.393;1017.716;-198.304;-30.197;1026.155;-164.595;-172.644;996.446;-158.058;-164.156;928.784;-186.352;-143.813;964.201;138.691;-110.543;870.244;-126.885;-84.639;870.293;118.299;88.932;939.858;-75.029;103.469;948.834
27.026;43.124;1597.895;102.494;-24.050;1543.502;-46.344;-29.514;1541.014;86.785;89.859;1449.155;-37.807;83.858;1453.253;25.806;121.812;1277.487;39.563;120.885;1111.477;90.200;135.764;1191.872;-31.514;133.715;1174.261;31.758;-57.223;1276.657;22.684;-131.032;1087.086;77.760;-94.688;1204.361;-42.100;-85.663;1213.922;192.352;-31.563;1232.948;191.864;42.246;1302.464;200.402;102.152;1237.045;250.892;72.150;1154.894;217.427;93.566;983.177;265.869;41.661;1006.545;262.503;-50.686;965.274;192.986;-184.059;1014.252;191.377;-184.596;943.614;221.183;-158.741;979.275;-151.033;-28.587;1240.850;-139.179;37.563;1308.806;-146.203;107.713;1247.583;-205.719;26.636;1156.602;-185.279;100.689;990.641;-226.842;46.149;1018.253;-198.743;-29.953;1027.619;-165.522;-172.888;999.569;-157.716;-164.887;931.955;-186.742;-144.252;966.689;138.886;-110.445;870.293;-126.788;-84.493;870.293;118.446;89.127;939.809;-74.931;103.664;948.834
27.563;43.368;1597.846;102.933;-23.806;1543.355;-45.856;-29.172;1540.867;87.322;90.298;1449.155;-37.319;84.297;1453.253;25.904;122.348;1277.389;39.417;121.373;1111.380;90.249;136.203;1191.628;-31.709;134.154;1174.261;32.051;-56.540;1276.413;22.879;-130.544;1086.988;78.053;-93.908;1204.214;-41.807;-84.834;1213.678;192.596;-31.124;1233.143;192.060;42.929;1302.317;200.499;102.591;1236.753;251.136;72.053;1154.699;218.744;92.152;982.348;267.039;40.441;1007.325;263.234;-52.686;971.079;189.230;-181.474;1025.131;193.182;-187.815;954.932;220.939;-159.619;990.105;-150.643;-28.636;1241.485;-138.886;37.612;1309.098;-146.301;107.421;1247.631;-206.353;25.416;1157.382;-188.011;97.566;990.446;-228.745;43.076;1019.667;-200.304;-31.758;1031.814;-165.765;-175.181;1008.593;-158.106;-169.083;940.736;-187.474;-147.813;974.494;138.886;-110.250;870.342;-126.690;-84.102;870.293;118.592;89.371;939.809;-74.785;104.055;948.834
28.489;43.905;1597.895;103.664;-23.416;1543.307;-45.173;-28.441;1540.965;88.200;90.737;1449.155;-36.392;85.029;1453.350;26.148;123.129;1277.194;39.612;121.763;1111.185;90.493;136.593;1191.287;-31.709;134.495;1173.871;32.490;-55.613;1276.413;23.026;-129.715;1087.086;78.346;-93.078;1204.263;-41.515;-83.907;1213.776;192.791;-30.587;1233.923;192.255;43.856;1302.610;200.792;103.030;1236.509;251.673;71.126;1154.699;221.817;87.956;981.226;269.479;36.636;1008.935;263.771;-57.467;981.324;181.376;-177.620;1042.498;193.816;-193.279;974.835;218.451;-161.375;1008.837;-149.813;-28.489;1242.851;-138.349;38.344;1309.586;-146.399;107.128;1247.046;-207.719;22.245;1159.041;-194.304;88.688;989.031;-233.379;34.929;1022.253;-202.450;-36.783;1040.546;-162.692;-180.108;1029.424;-157.765;-179.425;960.883;-186.791;-156.594;993.373;138.740;-110.006;870.439;-126.739;-83.224;870.391;118.836;89.712;939.858;-74.541;104.835;948.834
29.758;44.978;1597.993;104.640;-22.587;1543.258;-44.198;-27.221;1541.306;89.225;91.469;1449.057;-35.368;86.151;1453.594;26.538;124.495;1276.609;39.953;122.251;1110.746;90.883;137.422;1190.653;-31.563;135.178;1173.188;32.929;-54.296;1276.804;22.928;-128.934;1087.574;78.443;-92.103;1204.653;-41.124;-82.883;1214.508;192.694;-29.904;1235.240;192.547;45.466;1302.805;201.133;103.713;1235.728;252.209;69.077;1154.309;226.110;79.712;979.128;272.552;29.221;1010.740;263.429;-65.467;993.666;172.937;-173.863;1063.816;191.133;-199.962;1000.837;213.866;-164.009;1031.766;-148.643;-28.050;1245.778;-137.422;40.246;1310.562;-146.496;107.030;1245.729;-209.280;16.586;1162.212;-203.572;71.419;987.470;-239.623;19.269;1026.594;-203.670;-46.490;1053.718;-153.862;-186.352;1060.596;-151.960;-194.840;992.641;-181.327;-169.863;1022.789;138.447;-109.714;870.537;-127.032;-81.956;870.634;119.226;90.151;939.907;-74.053;105.957;948.932
