UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
34.675;43.417;1597.593;109.788;-25.591;1544.750;-39.071;-29.694;1541.673;95.674;86.639;1448.148;-29.010;81.755;1451.714;34.675;115.942;1278.534;47.178;115.307;1112.777;98.702;128.786;1192.676;-24.224;128.347;1175.778;39.901;-64.124;1277.654;28.082;-137.040;1087.674;84.881;-102.267;1204.886;-34.626;-92.109;1215.630;201.067;-40.682;1234.579;200.432;34.236;1303.539;209.076;93.476;1238.144;259.819;62.708;1155.901;226.267;84.636;982.574;274.470;33.063;1008.312;268.170;-60.510;980.426;192.129;-183.436;1046.113;195.450;-193.106;975.981;223.044;-163.803;1010.217;-142.656;-34.431;1243.907;-130.398;32.380;1310.767;-138.358;101.828;1249.133;-198.820;16.996;1159.124;-180.945;87.078;990.193;-221.090;32.380;1019.936;-189.345;-41.024;1034.441;-145.147;-181.189;1016.859;-144.952;-180.848;948.681;-171.813;-157.894;982.379;142.363;-113.939;869.465;-122.535;-84.588;870.882;124.879;85.564;940.085;-68.373;102.414;950.048
34.870;43.319;1597.593;109.935;-25.640;1544.750;-38.924;-29.840;1541.673;95.820;86.541;1448.148;-28.863;81.657;1451.714;34.773;115.746;1278.485;47.275;115.014;1112.728;98.800;128.542;1192.627;-24.126;128.102;1175.778;39.998;-64.320;1277.703;28.180;-137.431;1087.772;84.978;-102.462;1204.934;-34.529;-92.353;1215.777;201.213;-40.878;1234.530;200.578;34.040;1303.490;209.223;93.281;1238.096;260.014;62.562;1155.901;226.414;84.539;982.574;274.666;32.966;1008.312;268.414;-60.608;980.377;192.471;-183.631;1046.015;195.743;-193.204;975.884;223.337;-163.901;1010.119;-142.559;-34.626;1244.054;-130.251;32.233;1310.864;-138.261;101.632;1249.182;-198.771;16.800;1159.320;-181.043;86.834;990.340;-221.188;32.135;1020.131;-189.443;-41.268;1034.636;-145.196;-181.434;1017.152;-145.049;-181.189;948.925;-171.910;-158.138;982.623;142.461;-114.281;869.416;-122.437;-84.881;870.833;124.977;85.223;940.085;-68.276;102.121;950.048
35.066;43.222;1597.495;110.179;-25.738;1544.653;-38.631;-29.938;1541.673;95.918;86.443;1448.051;-28.717;81.511;1451.714;34.919;115.600;1278.387;47.275;114.965;1112.679;98.897;128.347;1192.481;-24.077;127.858;1175.729;40.145;-64.515;1277.703;28.228;-137.724;1087.869;85.076;-102.658;1204.934;-34.431;-92.597;1215.825;201.311;-40.975;1234.482;200.676;33.943;1303.392;209.320;93.134;1237.949;260.063;62.415;1155.803;226.658;84.295;982.477;274.910;32.770;1008.263;268.659;-60.852;980.426;192.618;-183.876;1046.113;195.841;-193.497;976.030;223.581;-164.096;1010.217;-142.461;-34.822;1244.151;-130.105;32.038;1310.913;-138.114;101.437;1249.231;-198.771;16.605;1159.417;-181.141;86.541;990.389;-221.286;31.891;1020.277;-189.541;-41.464;1034.831;-145.342;-181.580;1017.494;-145.245;-181.483;949.267;-172.008;-158.382;983.014;142.510;-114.574;869.368;-122.340;-85.125;870.833;125.074;84.930;940.085;-68.178;101.828;950.048
35.310;43.124;1597.447;110.374;-25.787;1544.555;-38.387;-30.084;1541.673;96.065;86.346;1448.002;-28.521;81.364;1451.665;35.017;115.502;1278.289;47.324;114.623;1112.533;98.946;128.200;1192.334;-24.028;127.663;1175.632;40.291;-64.613;1277.703;28.326;-137.968;1087.869;85.174;-102.853;1204.934;-34.333;-92.792;1215.874;201.408;-41.073;1234.433;200.774;33.894;1303.294;209.369;93.037;1237.803;260.161;62.269;1155.657;226.804;83.904;982.281;275.105;32.477;1008.166;268.805;-61.243;980.523;192.813;-184.266;1046.455;195.939;-193.985;976.421;223.825;-164.438;1010.559;-142.363;-35.017;1244.200;-129.958;31.891;1310.913;-138.017;101.241;1249.182;-198.771;16.410;1159.515;-181.434;86.297;990.437;-221.481;31.598;1020.424;-189.687;-41.610;1034.978;-145.293;-181.776;1017.884;-145.196;-181.727;949.658;-172.008;-158.626;983.405;142.559;-114.867;869.368;-122.242;-85.418;870.784;125.123;84.636;940.036;-68.129;101.534;949.999
35.505;43.026;1597.447;110.570;-25.835;1544.506;-38.191;-30.182;1541.625;96.162;86.297;1447.953;-28.424;81.267;1451.665;35.115;115.453;1278.192;47.373;114.477;1112.435;99.044;128.151;1192.237;-23.980;127.516;1175.534;40.438;-64.711;1277.654;28.375;-138.212;1087.918;85.271;-102.951;1204.934;-34.187;-92.939;1215.874;201.555;-41.122;1234.335;200.920;33.845;1303.148;209.516;92.988;1237.656;260.210;62.073;1155.510;227.195;83.123;982.037;275.447;31.794;1008.166;269.000;-62.024;980.963;193.008;-185.145;1047.285;195.646;-194.620;977.202;223.972;-165.073;1011.194;-142.217;-35.163;1244.200;-129.812;31.794;1310.864;-137.919;101.095;1249.133;-198.771;16.165;1159.564;-181.873;86.004;990.486;-221.774;31.305;1020.571;-189.785;-41.708;1035.320;-145.293;-181.971;1018.617;-144.707;-181.922;950.390;-171.764;-158.870;984.040;142.559;-115.111;869.319;-122.242;-85.711;870.784;125.172;84.343;940.085;-68.080;101.241;950.048
35.652;42.978;1597.349;110.765;-25.787;1544.360;-37.996;-30.280;1541.527;96.260;86.395;1447.855;-28.326;81.218;1451.567;35.115;115.502;1278.094;47.373;114.428;1112.289;98.995;128.347;1192.139;-24.028;127.468;1175.436;40.536;-64.564;1277.508;28.473;-138.261;1087.821;85.320;-102.755;1204.788;-34.138;-92.939;1215.728;201.360;-40.780;1234.433;200.871;34.138;1303.001;209.516;93.232;1237.412;260.454;61.487;1155.315;228.758;80.583;981.549;276.570;29.352;1008.654;269.489;-64.808;982.770;193.301;-187.929;1050.557;194.473;-196.280;980.230;223.923;-167.124;1013.929;-142.070;-35.359;1244.200;-129.714;31.598;1310.767;-137.968;100.851;1249.035;-198.967;15.579;1159.710;-183.485;85.125;990.633;-222.848;30.182;1021.303;-190.273;-42.196;1036.589;-145.098;-182.508;1021.108;-142.217;-182.313;952.783;-170.592;-159.554;985.944;142.656;-115.307;869.270;-122.193;-86.004;870.686;125.123;84.148;940.036;-68.080;100.948;950.048
35.847;43.173;1597.300;111.009;-25.494;1544.213;-37.703;-30.231;1541.625;96.211;86.541;1447.660;-28.375;81.169;1451.567;35.017;115.698;1277.996;47.080;114.477;1112.142;98.751;128.542;1191.846;-24.224;127.565;1175.241;40.536;-64.369;1277.410;28.473;-137.968;1087.723;85.369;-102.462;1204.641;-34.187;-92.499;1215.532;200.822;-40.487;1234.775;200.578;34.626;1302.708;209.174;93.379;1236.728;260.600;59.436;1154.778;234.179;73.843;980.133;280.575;22.710;1009.973;271.491;-72.134;987.849;194.376;-192.959;1060.911;191.006;-200.090;990.242;223.630;-171.813;1022.329;-141.582;-35.261;1244.591;-129.519;31.745;1310.816;-138.163;100.655;1248.742;-199.894;14.017;1160.589;-188.466;81.071;990.535;-225.876;25.542;1023.110;-191.836;-44.833;1041.278;-143.682;-184.852;1030.485;-136.796;-184.901;962.258;-167.710;-162.778;993.612;142.705;-115.111;869.319;-122.095;-86.053;870.637;125.074;84.392;940.036;-68.178;100.948;950.048
36.043;43.759;1597.154;111.156;-25.103;1544.262;-37.557;-29.938;1541.820;96.260;86.541;1447.318;-28.326;81.071;1451.372;34.577;116.039;1277.606;46.738;114.525;1111.800;98.409;128.884;1191.455;-24.517;127.712;1174.850;40.438;-63.929;1277.361;28.375;-137.235;1087.528;85.174;-101.828;1204.544;-34.431;-91.913;1215.386;199.699;-39.803;1236.289;199.943;35.847;1303.050;208.783;93.427;1235.507;261.235;55.334;1154.875;244.484;59.876;978.570;288.145;9.572;1013.440;274.666;-86.688;998.740;195.792;-200.236;1081.520;183.436;-206.488;1011.975;222.018;-180.310;1040.252;-140.898;-35.408;1245.519;-129.372;32.135;1310.962;-138.700;100.167;1247.717;-201.360;10.403;1162.250;-196.671;71.206;989.314;-231.493;16.214;1025.992;-194.034;-49.571;1050.997;-139.335;-187.831;1053.536;-131.423;-192.032;985.212;-163.998;-169.322;1014.417;142.656;-114.477;869.416;-122.144;-85.564;870.637;124.977;85.076;940.036;-68.325;101.534;949.902
36.140;44.199;1597.447;111.302;-24.566;1544.408;-37.361;-29.694;1542.308;95.967;87.030;1447.416;-28.619;81.267;1451.762;33.894;116.870;1277.410;46.103;114.916;1111.751;97.774;129.421;1191.162;-25.249;128.054;1174.655;40.340;-63.148;1277.801;28.473;-136.405;1087.821;85.076;-101.095;1204.934;-34.284;-91.425;1215.874;198.087;-39.364;1240.000;198.967;37.801;1304.320;208.197;93.330;1234.677;262.603;48.838;1156.243;255.033;38.777;978.716;295.471;-9.475;1019.740;277.059;-105.735;1016.077;196.085;-206.341;1111.116;176.501;-215.767;1043.817;219.674;-190.664;1067.211;-139.677;-35.554;1248.059;-129.226;33.112;1312.085;-139.628;99.239;1246.447;-202.874;4.395;1165.473;-205.022;53.868;988.191;-237.451;1.758;1031.168;-195.694;-56.017;1065.843;-133.182;-189.199;1089.872;-125.367;-201.408;1022.329;-159.066;-177.038;1048.604;142.754;-113.500;869.563;-122.193;-84.832;870.637;124.733;86.102;940.134;-68.569;102.316;949.999
