UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
4.491;26.311;1594.306;83.374;-40.223;1543.881;-64.776;-54.427;1543.247;60.724;65.752;1441.958;-63.019;52.572;1447.669;7.420;93.234;1278.188;18.696;93.185;1112.368;70.829;105.389;1192.276;-52.280;107.976;1175.728;9.519;-87.621;1275.942;-3.271;-157.620;1085.032;54.037;-125.695;1203.015;-65.508;-113.687;1214.291;170.848;-66.728;1234.256;169.579;8.591;1303.278;180.464;67.461;1238.649;231.035;36.025;1155.665;199.355;59.992;982.279;247.339;7.761;1007.418;241.042;-85.326;974.322;164.258;-212.242;1034.217;167.968;-216.733;963.388;195.353;-190.276;999.608;-171.483;-51.987;1243.774;-157.717;12.936;1311.869;-165.674;84.204;1251.682;-228.351;1.464;1161.377;-217.124;79.078;995.849;-254.368;21.576;1023.722;-221.810;-51.059;1033.924;-177.731;-191.789;1009.175;-171.336;-184.272;941.373;-201.308;-165.137;975.933;112.662;-135.068;867.518;-152.104;-103.046;868.397;97.042;63.507;941.080;-96.212;82.202;950.404
4.442;26.506;1594.355;83.325;-40.027;1543.881;-64.825;-54.134;1543.198;60.724;66.094;1442.056;-63.019;52.963;1447.718;7.469;93.625;1278.090;18.793;93.527;1112.270;70.878;105.731;1192.227;-52.231;108.318;1175.630;9.519;-87.230;1275.942;-3.271;-157.278;1085.081;54.037;-125.305;1203.015;-65.508;-113.297;1214.291;170.848;-66.338;1234.304;169.579;8.933;1303.278;180.513;67.851;1238.649;231.084;36.366;1155.665;199.404;60.285;982.279;247.388;8.103;1007.418;241.140;-84.985;974.322;164.405;-211.949;1034.168;168.163;-216.440;963.388;195.499;-189.983;999.559;-171.483;-51.596;1243.725;-157.717;13.375;1311.772;-165.625;84.643;1251.584;-228.253;1.904;1161.279;-216.977;79.469;995.703;-254.271;22.064;1023.624;-221.810;-50.620;1033.924;-178.073;-191.448;1009.371;-171.629;-184.028;941.568;-201.552;-164.795;976.128;112.711;-134.921;867.567;-152.006;-102.851;868.397;97.091;63.702;941.031;-96.163;82.446;950.355
4.540;26.555;1594.403;83.374;-39.930;1543.832;-64.727;-53.988;1543.100;60.822;66.338;1442.202;-62.921;53.256;1447.816;7.517;94.015;1278.041;18.891;93.869;1112.172;70.926;106.121;1192.178;-52.084;108.659;1175.533;9.567;-86.791;1275.894;-3.173;-156.790;1085.032;54.134;-124.866;1202.966;-65.459;-112.809;1214.193;170.897;-65.899;1234.256;169.628;9.372;1303.229;180.562;68.290;1238.600;231.133;36.806;1155.665;199.453;60.675;982.279;247.486;8.494;1007.418;241.286;-84.545;974.225;164.649;-211.608;1033.875;168.407;-216.050;963.095;195.743;-189.593;999.315;-171.434;-51.059;1243.579;-157.668;13.814;1311.625;-165.527;85.082;1251.487;-228.204;2.441;1161.133;-216.684;80.006;995.556;-254.076;22.698;1023.478;-221.810;-49.936;1033.973;-178.268;-191.008;1009.810;-171.873;-183.637;941.959;-201.698;-164.307;976.519;112.760;-134.775;867.567;-151.957;-102.704;868.445;97.188;63.897;940.983;-96.065;82.642;950.306
4.686;26.506;1594.501;83.520;-39.881;1543.784;-64.581;-53.890;1543.051;61.017;66.582;1442.397;-62.726;53.500;1447.962;7.615;94.357;1277.993;19.037;94.162;1112.124;71.073;106.463;1192.129;-51.938;108.952;1175.435;9.665;-86.352;1275.845;-3.075;-156.399;1085.032;54.232;-124.426;1202.966;-65.362;-112.369;1214.144;170.995;-65.410;1234.256;169.725;9.812;1303.278;180.660;68.681;1238.600;231.231;37.294;1155.665;199.404;61.115;982.328;247.486;8.982;1007.369;241.482;-84.008;973.883;164.990;-211.559;1032.948;168.896;-215.659;962.217;196.134;-189.300;998.534;-171.336;-50.620;1243.433;-157.571;14.205;1311.479;-165.381;85.473;1251.389;-228.107;2.978;1161.035;-216.538;80.591;995.459;-254.076;23.333;1023.478;-221.858;-49.204;1034.168;-178.414;-190.471;1010.493;-172.068;-183.149;942.642;-201.894;-163.770;977.105;112.857;-134.677;867.616;-151.908;-102.509;868.445;97.286;64.044;940.934;-95.968;82.788;950.257
4.930;26.506;1594.599;83.764;-39.832;1543.784;-64.337;-53.793;1543.002;61.261;66.826;1442.544;-62.482;53.793;1448.109;7.761;94.699;1277.993;19.281;94.552;1112.075;71.219;106.853;1192.080;-51.840;109.343;1175.386;9.812;-85.912;1275.796;-2.831;-155.960;1084.983;54.379;-123.938;1202.917;-65.215;-111.735;1213.998;171.190;-64.971;1234.353;169.823;10.251;1303.327;180.757;69.169;1238.649;231.377;37.684;1155.665;199.307;61.457;982.425;247.437;9.323;1007.369;241.774;-83.569;973.102;165.674;-211.900;1031.044;169.579;-215.317;960.313;196.719;-189.202;996.825;-171.043;-49.985;1243.335;-157.424;14.644;1311.479;-165.235;85.815;1251.292;-228.253;3.173;1161.230;-217.465;80.055;995.508;-254.954;22.991;1024.015;-222.639;-49.351;1035.095;-179.146;-190.959;1012.299;-172.752;-183.491;944.400;-202.723;-164.307;978.716;112.955;-134.531;867.616;-151.811;-102.216;868.494;97.432;64.239;940.934;-95.773;83.081;950.257
5.272;26.652;1594.647;84.057;-39.686;1543.832;-64.044;-53.500;1542.954;61.749;67.070;1442.690;-61.993;54.183;1448.157;8.396;95.187;1278.041;19.721;94.943;1112.124;71.707;107.049;1192.080;-51.401;110.075;1175.435;10.007;-85.375;1275.747;-2.685;-155.179;1084.885;54.574;-123.548;1202.966;-65.020;-110.563;1213.754;171.532;-64.727;1234.646;170.116;10.593;1303.473;181.099;69.218;1238.649;231.328;37.831;1155.958;199.307;61.554;982.914;247.486;9.470;1007.565;242.360;-83.227;971.589;166.845;-213.121;1027.090;170.653;-215.220;956.310;197.793;-189.641;993.311;-170.116;-48.374;1243.872;-156.741;15.816;1311.918;-164.893;86.742;1251.096;-229.034;2.636;1162.548;-221.175;75.515;995.215;-257.981;19.086;1025.821;-225.227;-52.768;1038.464;-181.441;-195.304;1018.694;-175.485;-188.031;950.599;-205.603;-168.993;984.524;112.906;-134.287;867.664;-151.762;-101.533;868.592;97.774;64.532;940.885;-95.382;83.716;950.208
5.662;27.043;1594.843;84.204;-39.637;1544.076;-63.897;-52.719;1542.856;62.628;67.363;1443.032;-61.212;55.062;1448.255;10.007;95.919;1278.090;21.039;95.333;1112.124;73.172;107.000;1192.129;-49.985;111.198;1175.337;10.300;-84.545;1275.845;-2.978;-154.300;1085.032;54.525;-123.157;1203.064;-64.825;-108.708;1213.900;171.922;-65.264;1235.085;170.848;10.251;1303.815;182.222;68.437;1238.746;231.328;37.196;1156.691;199.941;61.359;983.987;248.023;9.031;1008.150;243.776;-83.081;968.758;168.896;-215.708;1018.792;172.898;-215.025;948.061;199.843;-190.666;986.086;-168.749;-45.592;1245.971;-155.179;18.744;1312.894;-163.770;88.792;1250.266;-230.254;0.927;1165.623;-228.692;63.751;994.580;-264.131;9.226;1030.019;-230.059;-61.457;1046.469;-184.077;-205.164;1034.461;-182.368;-200.820;965.585;-211.022;-180.904;999.559;112.613;-133.994;867.762;-151.908;-100.117;868.738;98.409;64.922;940.885;-94.699;84.985;950.257
6.004;27.629;1595.184;84.155;-39.490;1544.467;-64.092;-51.499;1542.856;63.653;67.900;1443.618;-60.285;56.526;1448.499;12.448;97.091;1277.846;23.235;95.773;1111.928;75.661;106.853;1192.080;-47.642;112.564;1174.947;10.446;-83.520;1276.138;-3.905;-153.178;1085.325;54.183;-122.767;1203.356;-64.922;-106.512;1214.535;172.215;-66.289;1235.574;171.824;9.275;1304.254;184.028;67.070;1238.942;232.402;35.780;1157.520;201.552;60.578;985.452;249.145;7.615;1008.785;246.363;-82.983;963.681;171.776;-219.711;1003.659;177.292;-214.292;933.319;203.309;-192.131;973.346;-167.041;-42.224;1250.559;-152.543;23.479;1314.505;-162.062;91.282;1248.216;-232.012;-2.490;1171.530;-240.359;43.347;995.752;-273.015;-7.566;1038.512;-235.966;-75.271;1061.162;-184.516;-219.125;1062.578;-190.276;-221.029;993.409;-216.294;-198.916;1027.334;111.881;-133.896;867.811;-152.397;-97.774;869.031;99.531;65.166;940.934;-93.430;86.840;950.355
5.858;28.410;1595.770;83.716;-39.197;1545.150;-64.629;-49.936;1542.807;64.532;68.779;1444.643;-59.504;58.479;1448.938;15.132;98.506;1277.358;25.530;95.968;1111.733;78.297;106.707;1191.739;-45.055;113.980;1174.508;10.446;-82.251;1276.724;-5.223;-152.152;1085.959;53.500;-122.181;1203.796;-65.069;-104.315;1215.560;172.166;-67.412;1236.159;172.801;8.396;1304.596;185.883;65.459;1238.649;233.720;33.730;1158.301;204.188;58.625;986.867;250.756;4.540;1009.322;249.975;-83.227;955.627;175.339;-224.690;979.741;183.735;-211.803;910.620;208.142;-193.547;953.479;-164.893;-38.758;1257.637;-149.224;29.239;1316.848;-160.256;93.185;1245.727;-233.964;-7.761;1181.000;-254.124;16.060;1001.902;-282.778;-29.288;1053.010;-241.189;-91.428;1083.177;-179.976;-232.451;1101.531;-195.499;-243.385;1034.168;-218.051;-218.002;1067.605;110.905;-133.798;867.811;-152.982;-94.894;869.373;100.947;65.215;941.080;-91.721;89.134;950.599
