UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-2.147;39.823;1597.344;75.839;-25.719;1544.199;-72.715;-35.772;1540.295;57.635;86.770;1448.498;-66.615;76.815;1451.426;4.636;113.075;1275.787;18.642;108.682;1110.445;69.348;123.421;1190.529;-52.170;124.934;1172.277;4.587;-67.005;1277.788;-6.247;-142.112;1088.386;49.095;-107.121;1206.000;-70.080;-93.456;1215.272;166.855;-47.387;1235.574;166.269;28.452;1303.750;177.786;86.770;1238.307;226.491;55.537;1155.392;189.401;75.936;981.754;240.302;27.915;1007.375;246.012;-63.589;967.894;194.818;-202.529;1025.383;186.571;-202.578;954.717;216.243;-174.273;987.659;-175.834;-29.281;1241.528;-162.414;35.723;1309.412;-167.880;106.242;1247.433;-229.712;25.524;1157.295;-207.849;97.409;989.806;-250.648;44.800;1018.941;-223.709;-30.697;1032.752;-193.013;-176.957;1012.548;-190.524;-170.466;944.030;-215.950;-148.261;980.729;112.928;-123.811;870.045;-152.019;-91.553;869.997;97.263;75.887;939.784;-95.896;95.067;948.617
-2.147;39.579;1597.393;75.887;-25.865;1544.199;-72.666;-35.967;1540.295;57.635;86.721;1448.595;-66.615;76.668;1451.524;4.587;113.026;1275.836;18.545;108.634;1110.543;69.299;123.372;1190.529;-52.316;124.836;1172.375;4.587;-67.054;1277.885;-6.247;-142.258;1088.484;49.144;-107.170;1206.097;-70.080;-93.651;1215.419;166.903;-47.387;1235.671;166.269;28.500;1303.750;177.738;86.770;1238.356;226.491;55.537;1155.392;189.206;75.839;981.802;240.156;27.915;1007.424;246.109;-63.443;967.650;195.306;-202.773;1024.700;187.108;-202.627;954.083;216.731;-174.321;987.122;-175.883;-29.477;1241.723;-162.414;35.528;1309.558;-167.977;106.047;1247.628;-229.761;25.328;1157.490;-208.044;97.312;990.050;-250.794;44.654;1019.087;-223.807;-30.892;1032.850;-192.915;-177.103;1012.450;-190.524;-170.515;943.932;-215.901;-148.407;980.729;112.928;-123.762;870.094;-152.019;-91.553;869.997;97.214;75.936;939.833;-95.945;95.067;948.617
-2.098;39.286;1597.393;75.887;-26.109;1544.150;-72.618;-36.211;1540.295;57.635;86.575;1448.644;-66.615;76.522;1451.572;4.490;112.977;1275.884;18.447;108.585;1110.543;69.202;123.372;1190.578;-52.414;124.738;1172.424;4.636;-67.103;1277.934;-6.247;-142.356;1088.533;49.144;-107.218;1206.146;-70.080;-93.749;1215.516;166.903;-47.338;1235.769;166.220;28.549;1303.799;177.689;86.868;1238.404;226.393;55.537;1155.392;188.767;75.790;981.851;239.814;27.915;1007.326;246.158;-63.199;967.015;196.136;-203.212;1023.138;187.840;-202.578;952.570;217.365;-174.419;985.755;-175.883;-29.672;1241.821;-162.414;35.382;1309.656;-168.026;105.901;1247.726;-229.858;25.084;1157.588;-208.239;97.116;990.148;-250.941;44.410;1019.234;-223.856;-31.087;1032.898;-192.866;-177.298;1012.353;-190.475;-170.612;943.834;-215.901;-148.554;980.680;112.879;-123.762;870.094;-152.019;-91.553;869.997;97.165;75.985;939.833;-95.994;95.067;948.617
-2.196;38.895;1597.442;75.839;-26.353;1544.052;-72.618;-36.504;1540.197;57.587;86.429;1448.791;-66.664;76.375;1451.719;4.392;112.977;1275.884;18.350;108.585;1110.591;69.104;123.421;1190.578;-52.511;124.690;1172.473;4.636;-67.152;1277.983;-6.247;-142.454;1088.630;49.144;-107.218;1206.195;-70.080;-93.798;1215.565;166.903;-47.192;1235.964;166.171;28.744;1303.897;177.640;86.966;1238.453;226.149;55.586;1155.441;188.132;75.546;982.046;239.277;27.768;1007.277;246.305;-62.906;965.795;197.307;-204.140;1019.966;189.108;-202.627;949.447;218.439;-174.663;982.974;-175.932;-29.818;1241.918;-162.462;35.235;1309.704;-168.124;105.754;1247.726;-229.956;24.840;1157.637;-208.385;96.872;990.245;-251.038;44.117;1019.283;-223.904;-31.429;1032.850;-192.817;-177.542;1012.157;-190.524;-170.808;943.639;-215.950;-148.798;980.485;112.879;-123.714;870.094;-152.019;-91.602;869.997;97.116;76.034;939.833;-96.043;95.018;948.666
-2.391;38.407;1597.588;75.643;-26.646;1544.052;-72.764;-36.846;1540.051;57.391;86.477;1449.132;-66.859;76.327;1451.963;4.148;113.123;1275.933;18.252;108.536;1110.640;68.957;123.567;1190.578;-52.755;124.690;1172.473;4.587;-67.005;1278.178;-6.149;-142.551;1088.874;49.095;-107.170;1206.439;-70.031;-93.847;1215.711;166.903;-46.899;1236.550;165.976;29.233;1304.287;177.494;87.161;1238.551;225.857;55.634;1155.685;187.449;74.863;982.486;238.692;27.134;1007.326;246.793;-62.808;963.306;198.967;-206.092;1013.182;191.305;-202.822;942.712;220.147;-175.444;977.215;-175.981;-29.965;1242.016;-162.609;35.186;1309.704;-168.368;105.657;1247.726;-230.054;24.596;1157.686;-208.483;96.580;990.245;-251.038;43.776;1019.283;-224.002;-31.819;1032.752;-192.866;-177.933;1011.718;-190.524;-171.052;943.298;-215.998;-149.091;980.094;112.831;-123.762;870.143;-152.019;-91.699;870.045;97.019;75.985;939.881;-96.140;94.920;948.715
-2.782;38.066;1597.686;75.399;-26.695;1543.955;-73.008;-37.090;1539.904;56.952;86.721;1449.425;-67.298;76.375;1452.207;3.807;113.367;1275.787;18.106;108.487;1110.543;68.713;123.714;1190.481;-53.146;124.690;1172.277;4.441;-66.761;1278.325;-6.149;-142.698;1089.167;48.997;-107.072;1206.732;-70.129;-93.749;1215.809;166.757;-46.704;1237.233;165.683;29.769;1304.580;177.250;87.356;1238.648;225.661;55.244;1155.880;187.156;73.545;982.974;238.203;25.524;1007.424;247.769;-63.004;959.402;200.967;-209.313;1001.567;194.818;-202.724;931.195;222.538;-176.615;967.503;-176.225;-30.111;1241.967;-162.951;35.235;1309.607;-168.709;105.559;1247.579;-230.249;24.303;1157.539;-208.483;96.140;990.050;-251.038;43.288;1019.087;-224.051;-32.356;1032.557;-193.110;-178.470;1011.377;-190.377;-171.393;942.907;-216.047;-149.579;979.655;112.782;-123.762;870.192;-152.068;-91.797;870.045;96.970;75.985;939.930;-96.238;94.871;948.763
-3.367;38.066;1597.784;74.911;-26.500;1543.906;-73.496;-37.041;1539.758;56.415;87.063;1449.620;-67.835;76.571;1452.304;3.514;113.660;1275.738;18.008;108.487;1110.445;68.518;123.811;1190.383;-53.487;124.885;1172.131;4.099;-66.469;1278.373;-6.198;-142.698;1089.314;48.753;-106.877;1206.927;-70.373;-93.456;1215.809;166.415;-46.655;1238.014;165.244;30.111;1304.922;177.054;87.356;1238.746;225.613;54.268;1156.075;187.498;71.544;983.608;238.057;22.986;1007.570;249.379;-63.296;953.741;203.212;-213.119;984.145;199.552;-201.309;914.211;225.661;-177.738;953.204;-176.518;-30.111;1242.113;-163.292;35.382;1309.558;-169.100;105.510;1247.433;-230.542;23.767;1157.539;-208.776;94.871;989.806;-251.234;42.019;1018.990;-224.197;-33.625;1032.752;-193.159;-179.690;1011.621;-190.329;-172.613;943.200;-216.194;-150.896;979.802;112.733;-123.762;870.241;-152.068;-91.797;869.997;96.921;75.985;939.930;-96.287;94.871;948.715
-4.246;38.407;1597.784;74.082;-26.158;1544.052;-74.326;-36.650;1539.660;55.781;87.454;1449.767;-68.469;77.059;1452.256;3.221;114.051;1275.787;18.008;108.634;1110.543;68.421;123.958;1190.481;-53.780;125.324;1172.180;3.611;-66.127;1278.471;-6.393;-142.454;1089.509;48.314;-106.682;1207.220;-70.714;-92.822;1215.711;165.927;-46.850;1239.088;164.756;30.355;1305.507;176.810;87.161;1238.990;225.661;52.755;1156.563;188.523;68.372;984.633;238.399;18.886;1007.863;251.526;-63.784;946.079;206.092;-216.779;959.451;204.969;-197.649;891.079;229.419;-177.982;933.244;-176.615;-29.916;1242.553;-163.683;35.821;1309.656;-169.636;105.559;1247.189;-231.127;22.595;1157.881;-210.093;91.016;989.220;-252.161;38.407;1019.234;-224.685;-36.992;1033.972;-193.110;-183.203;1013.817;-190.768;-176.371;945.347;-216.682;-154.703;981.705;112.489;-123.860;870.289;-152.214;-91.455;870.143;97.019;75.985;939.930;-96.140;95.213;948.715
-6.100;40.164;1597.442;72.569;-24.889;1544.833;-75.790;-35.430;1539.611;54.854;87.795;1449.279;-69.397;77.400;1451.182;3.465;114.392;1275.884;18.496;108.975;1110.640;68.860;124.006;1190.725;-53.536;126.007;1172.082;3.075;-65.737;1278.666;-6.881;-141.868;1089.558;47.777;-106.682;1207.513;-71.202;-91.992;1215.663;165.244;-47.777;1240.308;164.463;29.916;1306.044;176.957;86.233;1239.234;225.857;49.778;1156.954;190.524;63.443;985.999;239.472;12.396;1007.960;254.211;-64.468;936.514;209.752;-219.024;927.339;210.581;-190.133;862.628;233.665;-176.322;907.623;-176.322;-29.281;1243.529;-163.683;36.943;1309.802;-169.880;105.901;1246.408;-231.664;20.058;1158.564;-212.778;82.378;987.561;-253.967;30.501;1019.966;-225.417;-44.264;1036.851;-190.475;-190.426;1020.649;-193.696;-185.741;952.082;-217.219;-163.439;988.879;111.952;-123.958;870.436;-152.507;-90.430;870.289;97.409;76.034;939.881;-95.750;96.043;948.666
