UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-1.837;19.811;1598.171;77.011;-44.836;1545.192;-71.351;-54.072;1537.843;61.569;69.911;1451.795;-62.860;60.477;1451.696;10.179;99.554;1277.713;25.521;98.958;1111.972;75.571;111.917;1193.154;-46.078;113.456;1173.939;10.427;-79.792;1275.975;-0.248;-150.646;1085.160;55.263;-118.422;1203.631;-63.903;-105.214;1212.370;172.990;-59.583;1235.607;172.146;14.995;1305.071;183.566;74.231;1240.026;232.772;44.439;1156.709;195.632;65.889;983.669;246.923;17.527;1008.247;251.987;-73.436;969.618;198.412;-212.464;1022.597;191.610;-212.861;952.041;220.607;-184.460;986.202;-170.954;-44.390;1238.388;-157.945;20.209;1307.057;-162.662;90.864;1245.985;-222.891;13.009;1152.786;-191.213;83.764;983.272;-240.816;36.942;1013.511;-224.380;-35.800;1036.301;-214.202;-185.949;1032.279;-187.737;-187.439;968.327;-221.302;-158.988;993.103;116.783;-131.083;867.879;-147.915;-96.376;868.475;102.880;67.975;940.621;-90.070;88.531;950.154
-1.738;19.911;1598.121;77.111;-44.687;1545.092;-71.252;-54.022;1537.793;61.569;70.060;1451.745;-62.811;60.576;1451.646;10.030;99.703;1277.663;25.373;99.007;1111.873;75.422;112.016;1193.055;-46.376;113.605;1173.839;10.477;-79.643;1275.875;-0.099;-150.597;1085.110;55.313;-118.273;1203.631;-63.804;-105.065;1212.270;172.940;-59.285;1235.756;172.047;15.293;1305.121;183.467;74.479;1239.977;232.772;44.538;1156.709;195.532;65.641;983.719;246.774;17.279;1008.198;252.186;-73.486;968.525;199.058;-213.407;1019.866;192.156;-212.960;949.359;221.153;-184.807;983.868;-170.905;-44.439;1238.288;-157.995;20.109;1306.908;-162.861;90.616;1245.885;-223.338;12.413;1152.935;-192.553;82.870;983.272;-241.809;35.800;1013.858;-224.976;-36.743;1036.599;-214.251;-186.893;1032.776;-187.240;-188.382;969.072;-221.103;-159.981;993.550;116.733;-131.133;867.879;-147.965;-96.525;868.475;102.831;67.975;940.621;-90.169;88.431;950.154
-1.490;20.109;1597.972;77.309;-44.489;1544.943;-71.103;-53.625;1537.595;61.917;70.408;1451.745;-62.413;61.073;1451.596;9.980;100.050;1277.564;25.323;99.057;1111.773;75.373;112.215;1192.807;-46.525;114.003;1173.790;10.626;-79.196;1275.727;0.050;-150.348;1085.110;55.512;-117.975;1203.631;-63.605;-104.519;1212.072;173.089;-58.838;1236.054;172.047;15.889;1305.220;183.367;74.876;1239.927;232.821;44.489;1156.759;195.880;64.846;983.918;246.923;16.435;1008.247;252.732;-73.933;966.291;200.001;-215.592;1014.057;193.248;-213.159;943.649;222.146;-185.850;978.853;-170.408;-44.489;1238.487;-157.796;20.109;1306.759;-163.159;90.269;1245.488;-224.331;10.775;1153.581;-197.270;79.345;982.875;-245.185;31.778;1014.951;-227.211;-40.169;1038.337;-215.493;-190.021;1035.656;-185.353;-191.957;973.391;-221.054;-163.705;996.132;116.585;-131.282;867.929;-148.114;-96.426;868.475;102.831;67.925;940.621;-90.169;88.481;950.154
-0.695;20.854;1597.824;77.756;-44.092;1544.745;-70.656;-52.533;1537.446;62.910;70.854;1451.547;-61.520;62.116;1451.497;10.278;100.745;1277.514;25.571;99.504;1111.773;75.621;112.662;1192.658;-46.326;115.095;1173.740;11.023;-78.352;1275.478;0.199;-149.703;1085.110;55.760;-117.429;1203.532;-63.258;-103.129;1211.774;173.387;-58.441;1236.451;172.196;16.584;1305.270;183.516;75.224;1239.679;232.821;44.191;1156.610;197.072;63.059;984.166;247.668;14.300;1008.297;254.073;-75.174;961.822;201.093;-219.862;1002.438;195.483;-213.507;932.180;223.884;-187.935;968.972;-169.365;-44.439;1239.480;-157.250;20.854;1306.710;-163.357;89.822;1244.296;-226.367;7.200;1155.219;-206.754;69.117;981.435;-252.285;21.698;1017.135;-233.169;-48.908;1043.153;-219.465;-198.313;1045.139;-183.268;-201.143;986.301;-222.295;-173.486;1004.821;116.237;-131.381;868.028;-148.362;-95.879;868.574;103.029;67.975;940.571;-89.921;88.928;950.104
0.943;22.344;1597.575;78.700;-43.396;1544.397;-69.812;-50.646;1537.644;64.449;71.401;1450.951;-59.980;63.704;1451.298;11.122;101.887;1277.315;26.316;100.298;1111.575;76.465;113.307;1192.211;-45.680;116.585;1173.541;11.470;-77.111;1275.329;0.000;-148.114;1084.911;55.909;-116.485;1203.432;-62.860;-101.192;1211.675;173.586;-58.392;1236.749;172.642;17.081;1305.071;184.162;75.025;1238.884;233.368;42.900;1156.510;200.249;59.881;984.365;249.604;10.030;1008.198;256.406;-77.557;954.523;201.937;-225.820;982.130;198.114;-212.960;912.666;225.920;-190.766;951.941;-168.124;-44.390;1242.360;-156.108;22.691;1307.008;-163.258;89.127;1241.863;-229.346;0.497;1158.794;-219.812;47.518;979.796;-262.613;3.029;1022.001;-241.262;-64.350;1054.424;-223.735;-211.520;1071.207;-187.389;-219.961;1012.816;-227.310;-191.262;1028.555;115.641;-131.331;868.128;-148.710;-94.340;868.872;103.675;68.173;940.372;-89.127;90.318;949.955
2.979;24.280;1597.476;79.842;-42.403;1544.099;-68.769;-48.163;1538.091;66.286;72.294;1450.405;-58.243;65.790;1451.398;12.512;103.526;1276.670;27.607;101.490;1110.929;77.955;113.953;1191.615;-44.489;118.173;1172.747;11.619;-75.522;1275.429;-0.844;-146.426;1085.060;55.661;-115.443;1203.432;-62.811;-99.454;1212.370;172.990;-58.888;1237.196;173.189;17.180;1304.773;185.304;74.032;1237.891;234.857;39.672;1156.510;205.612;54.916;984.811;252.534;2.632;1008.148;259.535;-81.033;944.642;201.937;-231.580;951.842;201.242;-209.485;884.712;227.856;-192.851;927.363;-166.932;-43.694;1248.616;-154.519;26.614;1307.951;-161.967;88.630;1237.246;-232.970;-9.335;1165.895;-234.857;11.222;981.733;-274.579;-26.018;1033.074;-249.405;-86.098;1075.676;-226.416;-226.019;1118.030;-194.192;-246.426;1060.383;-233.318;-214.798;1072.597;114.896;-131.133;868.227;-149.206;-92.056;869.170;104.618;68.570;940.174;-87.935;92.354;949.806
5.015;26.366;1597.774;80.884;-41.063;1543.901;-67.726;-45.383;1538.737;67.925;73.784;1450.355;-56.604;68.521;1452.043;13.654;105.462;1275.627;28.600;102.384;1110.135;79.246;114.598;1190.671;-43.794;119.365;1171.555;11.619;-73.734;1276.124;-2.036;-145.383;1085.855;55.015;-114.400;1204.028;-62.910;-98.412;1214.008;171.600;-59.385;1238.189;173.536;17.726;1304.624;186.247;73.138;1236.749;236.297;34.856;1156.610;211.769;47.567;986.102;255.513;-8.193;1008.247;262.812;-84.856;933.173;200.746;-233.566;911.971;205.463;-200.001;849.955;229.693;-191.808;896.281;-165.393;-43.099;1258.348;-152.781;31.132;1310.037;-162.116;88.034;1234.118;-236.148;-21.649;1178.209;-248.114;-36.544;993.600;-284.808;-61.768;1053.829;-255.215;-109.732;1107.553;-224.827;-233.467;1180.840;-200.299;-269.664;1127.811;-237.092;-234.212;1135.060;114.201;-130.835;868.277;-149.703;-89.871;869.369;105.562;68.819;940.323;-86.793;94.141;949.906
6.753;28.600;1598.221;81.828;-39.375;1543.950;-66.833;-42.453;1539.531;69.315;75.621;1450.504;-55.263;71.351;1452.838;13.555;107.002;1274.684;27.954;102.682;1109.539;78.848;115.145;1189.529;-45.134;119.315;1170.810;11.867;-72.245;1277.067;-2.880;-145.383;1087.096;54.519;-113.754;1204.971;-62.364;-98.859;1216.193;169.862;-59.534;1239.679;173.536;19.067;1304.277;186.198;72.940;1235.359;236.794;28.699;1156.064;217.677;37.190;987.791;257.151;-22.344;1008.198;265.493;-88.183;921.206;198.710;-227.360;865.099;212.414;-182.126;812.566;231.828;-184.907;861.623;-163.904;-43.794;1270.513;-150.696;33.665;1313.612;-163.953;85.750;1233.571;-237.936;-34.856;1195.736;-257.548;-87.091;1018.426;-291.660;-98.213;1084.415;-256.456;-129.842;1146.034;-212.563;-226.118;1246.829;-200.249;-278.949;1204.475;-233.318;-239.872;1205.269;114.003;-130.438;868.426;-149.753;-88.729;869.518;105.860;69.017;940.819;-86.396;94.886;950.402
8.540;31.182;1598.519;82.870;-37.537;1544.149;-65.790;-39.623;1540.475;70.705;77.160;1450.305;-53.873;73.784;1453.285;12.413;107.399;1273.691;25.224;102.831;1108.645;76.217;115.294;1188.189;-48.858;117.925;1171.108;12.959;-71.897;1277.862;-2.880;-146.376;1088.238;54.866;-113.804;1205.617;-60.676;-100.447;1218.229;167.876;-59.484;1239.927;173.784;20.804;1302.589;185.155;72.890;1232.429;236.347;22.046;1153.780;220.657;25.174;986.946;256.158;-36.693;1006.808;266.585;-88.431;910.481;197.518;-209.087;817.879;222.692;-154.916;780.093;234.957;-169.812;829.200;-159.534;-45.780;1282.628;-148.362;33.218;1318.130;-167.181;81.430;1235.955;-237.489;-48.362;1216.888;-262.961;-133.814;1053.680;-294.589;-131.530;1121.654;-253.229;-144.986;1185.607;-193.546;-206.952;1302.291;-190.269;-271.153;1277.961;-220.855;-231.630;1269.917;114.350;-129.991;868.426;-149.206;-88.829;869.716;105.363;69.315;941.316;-86.892;94.737;950.799
