UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-2.148;21.677;1596.756;76.894;-44.623;1546.225;-71.572;-54.143;1538.756;61.515;67.081;1449.071;-62.736;57.463;1448.924;11.327;100.133;1279.758;25.241;101.988;1114.009;75.478;113.071;1194.906;-45.892;117.123;1176.793;10.155;-79.579;1275.266;-1.806;-145.000;1082.812;54.387;-117.416;1202.083;-65.128;-102.623;1211.749;172.193;-59.367;1233.817;172.193;13.816;1305.047;183.520;74.599;1241.872;233.025;45.258;1157.850;200.705;73.428;985.218;249.038;21.433;1009.189;246.500;-69.864;970.864;178.150;-202.707;1021.736;177.906;-203.927;950.799;205.880;-177.906;987.268;-170.241;-38.374;1239.968;-155.399;23.678;1310.466;-160.916;96.422;1251.051;-226.092;21.628;1160.536;-211.592;105.747;998.351;-252.602;49.407;1023.591;-224.969;-27.779;1029.011;-189.037;-168.581;993.273;-174.879;-154.862;927.267;-207.345;-137.286;960.514;115.560;-128.059;868.437;-148.954;-90.808;869.755;103.550;71.523;940.107;-89.148;93.981;950.017
-2.246;22.018;1596.756;76.845;-44.281;1546.323;-71.621;-53.899;1538.805;61.515;67.276;1449.071;-62.736;57.609;1448.827;11.180;100.133;1279.807;25.094;101.939;1114.058;75.332;113.119;1194.955;-46.087;117.025;1176.842;10.253;-79.579;1275.413;-1.709;-145.244;1083.007;54.485;-117.416;1202.229;-65.030;-102.818;1211.945;172.242;-59.220;1234.061;172.145;14.012;1305.194;183.422;74.697;1241.970;232.976;45.306;1157.997;200.900;73.183;985.218;249.234;21.237;1009.384;246.841;-70.108;971.255;178.589;-202.951;1022.420;178.394;-204.269;951.531;206.320;-178.101;987.952;-170.241;-38.618;1240.163;-155.399;23.483;1310.515;-161.062;96.178;1251.148;-226.141;21.237;1160.633;-211.641;105.161;998.302;-252.651;48.870;1023.640;-224.921;-28.219;1029.255;-188.842;-169.118;993.908;-174.683;-155.545;927.901;-207.150;-137.921;961.100;115.609;-127.961;868.437;-148.906;-90.857;869.755;103.502;71.621;940.107;-89.197;93.933;950.066
-2.343;22.507;1596.658;76.747;-43.939;1546.470;-71.621;-53.460;1538.805;61.613;67.422;1449.022;-62.638;57.853;1448.680;11.082;100.133;1279.855;24.948;101.890;1114.155;75.185;113.168;1195.004;-46.283;116.927;1176.940;10.350;-79.579;1275.559;-1.513;-145.439;1083.202;54.680;-117.416;1202.376;-64.835;-103.013;1212.091;172.340;-59.074;1234.256;172.145;14.256;1305.291;183.374;74.892;1242.019;233.025;45.404;1158.095;200.998;72.939;985.266;249.380;21.140;1009.531;247.183;-70.205;971.499;179.028;-203.195;1022.713;178.980;-204.562;951.824;206.808;-178.296;988.245;-170.143;-39.008;1240.261;-155.399;23.239;1310.564;-161.160;95.837;1251.197;-226.141;20.749;1160.633;-211.544;104.527;998.204;-252.554;48.236;1023.640;-224.969;-28.756;1029.401;-189.037;-169.899;994.445;-174.781;-156.278;928.438;-207.345;-138.653;961.539;115.609;-127.863;868.485;-148.857;-90.906;869.755;103.453;71.670;940.155;-89.295;93.884;950.115
-2.343;23.044;1596.560;76.699;-43.646;1546.616;-71.670;-52.971;1538.853;61.857;67.520;1448.875;-62.394;58.146;1448.436;10.985;100.133;1279.855;24.850;101.842;1114.155;75.136;113.217;1195.004;-46.332;116.879;1176.988;10.545;-79.628;1275.608;-1.269;-145.635;1083.349;54.875;-117.465;1202.473;-64.640;-103.160;1212.140;172.535;-58.928;1234.403;172.145;14.451;1305.340;183.325;75.039;1242.019;233.025;45.453;1158.095;200.949;72.793;985.266;249.429;21.042;1009.531;247.476;-70.254;971.255;179.663;-203.634;1022.029;179.614;-204.806;951.238;207.394;-178.540;987.756;-170.045;-39.350;1240.212;-155.448;22.897;1310.466;-161.257;95.544;1251.197;-226.043;20.261;1160.389;-210.811;103.794;997.765;-252.212;47.943;1023.347;-225.555;-29.000;1029.792;-191.087;-171.461;995.617;-176.246;-157.059;929.805;-209.005;-139.629;962.418;115.658;-127.815;868.485;-148.808;-91.003;869.755;103.404;71.719;940.204;-89.343;93.835;950.164
-2.148;23.532;1596.463;76.796;-43.402;1546.762;-71.572;-52.434;1538.853;62.247;67.569;1448.729;-62.003;58.391;1448.192;10.985;99.938;1279.904;24.899;101.646;1114.253;75.136;113.119;1195.004;-46.185;116.976;1177.086;10.594;-79.677;1275.608;-1.025;-145.635;1083.300;55.071;-117.611;1202.522;-64.444;-103.257;1212.091;172.730;-59.220;1234.598;172.242;14.451;1305.194;183.422;74.648;1241.970;232.634;45.062;1158.339;200.656;72.744;985.559;249.234;21.189;1009.677;248.062;-69.864;970.571;180.835;-204.318;1020.125;181.323;-204.904;949.432;208.858;-178.638;986.194;-169.996;-39.790;1240.163;-155.448;22.800;1310.125;-161.209;95.544;1251.148;-225.848;19.968;1160.096;-210.518;102.818;997.032;-252.505;47.699;1023.396;-226.873;-29.146;1031.354;-194.212;-173.951;999.620;-178.980;-158.328;933.369;-211.885;-141.241;965.738;115.707;-127.668;868.485;-148.808;-91.101;869.657;103.355;71.816;940.253;-89.441;93.737;950.164
-1.513;23.874;1596.463;77.236;-43.305;1546.714;-71.182;-51.995;1539.000;62.833;67.618;1448.631;-61.466;58.781;1448.241;11.229;99.889;1280.295;25.241;101.451;1114.741;75.429;112.826;1195.394;-45.648;117.172;1177.574;10.790;-79.872;1275.559;-0.830;-145.635;1083.251;55.217;-117.904;1202.522;-64.200;-103.257;1212.042;173.023;-59.904;1235.233;172.291;14.207;1305.487;183.715;74.209;1242.312;231.902;44.574;1159.120;200.705;72.939;986.633;249.624;21.677;1010.800;250.259;-68.789;969.839;183.618;-205.538;1015.585;186.400;-204.709;945.038;212.618;-178.638;982.874;-169.704;-40.229;1240.701;-154.911;22.848;1310.174;-160.818;95.788;1251.344;-226.336;19.431;1161.122;-215.010;100.914;997.472;-256.557;46.185;1025.691;-230.779;-30.025;1035.357;-197.092;-178.101;1006.894;-181.274;-159.890;940.644;-215.059;-143.779;972.573;115.756;-127.571;868.534;-148.759;-91.052;869.608;103.453;71.914;940.302;-89.392;93.835;950.213
-0.293;24.020;1596.707;78.017;-43.549;1546.762;-70.401;-51.360;1539.146;64.200;67.618;1448.827;-60.197;59.513;1448.534;11.717;100.084;1281.125;25.680;101.598;1115.815;75.966;112.680;1195.980;-45.306;116.976;1178.502;11.473;-80.165;1275.754;-0.391;-145.830;1083.447;55.754;-118.294;1202.766;-63.566;-103.257;1212.238;174.000;-60.050;1236.355;172.584;14.207;1306.414;184.106;74.062;1242.995;231.853;45.062;1160.682;202.072;72.890;988.635;251.333;22.116;1012.704;255.336;-66.983;967.837;189.232;-207.784;1004.649;197.678;-203.879;934.736;220.575;-178.735;974.965;-168.971;-40.864;1242.312;-153.592;22.360;1311.443;-160.476;95.104;1252.125;-229.510;18.064;1165.467;-227.703;98.571;1001.182;-267.102;43.549;1032.428;-239.372;-31.734;1043.608;-203.097;-182.544;1016.512;-187.426;-160.818;951.336;-222.284;-146.757;982.972;115.853;-127.473;868.681;-148.613;-90.808;869.608;103.843;72.061;940.351;-88.953;93.981;950.310
1.709;24.118;1597.000;79.384;-44.135;1546.958;-69.082;-50.433;1539.244;66.788;67.374;1449.266;-57.707;60.587;1448.924;12.352;100.035;1281.418;25.534;101.402;1116.303;76.308;112.534;1195.785;-45.795;116.098;1179.430;13.084;-80.555;1276.145;0.342;-146.123;1083.837;56.926;-118.392;1202.962;-62.345;-103.697;1213.068;175.269;-59.660;1236.648;173.463;14.744;1306.561;184.741;74.209;1242.605;233.220;45.599;1161.561;205.734;72.500;989.905;254.848;21.872;1013.925;263.441;-64.640;963.199;197.483;-210.421;985.120;214.668;-200.803;917.356;232.293;-178.150;961.100;-168.092;-42.084;1245.485;-151.249;20.993;1314.275;-160.183;93.200;1253.980;-235.075;16.306;1173.913;-247.232;97.008;1010.312;-283.360;41.498;1044.829;-253.481;-32.955;1055.618;-216.084;-185.278;1026.521;-200.754;-159.549;962.662;-236.491;-148.271;994.494;116.390;-127.034;868.827;-148.124;-90.759;869.560;104.332;72.353;940.595;-88.562;93.981;950.554
5.175;24.362;1597.195;81.825;-44.916;1547.104;-66.690;-49.212;1539.488;70.694;66.690;1449.412;-53.899;61.662;1449.168;13.475;99.693;1281.320;24.899;100.768;1116.108;76.601;112.289;1195.004;-46.722;114.731;1180.211;15.379;-80.995;1276.438;1.513;-146.757;1084.179;58.830;-118.294;1202.864;-60.441;-104.478;1214.190;176.978;-58.928;1235.623;175.172;15.476;1305.438;185.619;74.502;1240.701;234.783;46.185;1160.926;210.567;71.768;989.709;259.340;20.993;1013.681;273.107;-61.564;955.290;208.810;-211.641;956.364;234.685;-193.138;893.287;246.353;-175.660;940.497;-167.165;-43.646;1250.221;-147.929;19.333;1318.327;-159.353;90.857;1257.153;-241.910;14.695;1186.362;-271.985;96.715;1026.179;-303.230;39.790;1063.137;-270.618;-34.224;1070.216;-233.806;-186.449;1033.307;-218.476;-155.887;971.499;-254.995;-147.685;1003.965;117.465;-126.301;868.925;-147.197;-91.199;869.315;104.429;72.939;941.083;-88.611;93.542;950.799
