UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
6.741;24.814;1597.986;83.626;-41.911;1544.596;-65.064;-48.798;1540.151;68.191;71.610;1449.686;-56.321;64.234;1452.030;8.109;100.772;1276.718;19.783;99.550;1111.029;70.828;114.351;1190.210;-51.338;112.300;1174.334;14.898;-79.132;1276.425;2.003;-150.693;1085.726;59.300;-116.647;1203.301;-60.033;-107.366;1214.682;175.361;-53.048;1231.681;173.114;21.835;1301.190;180.637;81.379;1236.273;230.754;52.120;1152.304;195.096;73.955;978.604;246.092;25.156;1004.297;244.773;-68.484;974.647;183.470;-199.248;1041.812;177.217;-203.644;971.375;207.503;-174.677;1003.711;-167.741;-48.163;1244.967;-155.285;17.585;1312.279;-164.664;87.583;1250.194;-224.795;4.054;1160.608;-202.471;70.731;989.253;-248.241;21.688;1020.417;-229.679;-53.927;1038.295;-213.706;-203.400;1023.739;-189.771;-198.808;958.870;-223.720;-174.531;986.029;115.572;-130.471;867.916;-149.472;-97.841;868.893;99.746;68.728;940.210;-93.298;87.632;950.028
6.790;24.668;1597.986;83.675;-42.009;1544.596;-65.016;-49.043;1540.151;68.191;71.512;1449.686;-56.321;63.990;1452.030;8.060;100.625;1276.669;19.734;99.453;1111.029;70.731;114.253;1190.161;-51.436;112.104;1174.383;14.947;-79.279;1276.376;2.100;-150.791;1085.677;59.398;-116.696;1203.252;-59.935;-107.561;1214.633;175.410;-53.048;1231.681;173.114;21.884;1301.142;180.588;81.379;1236.224;230.656;51.973;1152.158;195.047;73.417;978.408;246.092;24.766;1004.200;244.920;-68.923;974.843;183.812;-199.541;1042.496;177.511;-204.230;972.058;207.747;-175.068;1004.297;-167.692;-48.456;1244.919;-155.334;17.243;1312.279;-164.664;87.290;1250.194;-224.795;3.810;1160.608;-202.569;70.584;989.253;-248.290;21.542;1020.417;-229.679;-54.074;1038.344;-213.657;-203.497;1023.836;-189.576;-198.954;959.016;-223.622;-174.677;986.077;115.670;-130.471;867.916;-149.375;-98.036;868.844;99.697;68.728;940.210;-93.347;87.485;950.028
6.887;24.472;1597.986;83.871;-42.057;1544.547;-64.771;-49.336;1540.151;68.142;71.463;1449.686;-56.321;63.746;1452.079;7.962;100.479;1276.669;19.588;99.306;1111.029;70.584;114.205;1190.112;-51.583;111.860;1174.432;15.045;-79.377;1276.327;2.247;-150.889;1085.628;59.545;-116.745;1203.203;-59.838;-107.757;1214.584;175.459;-52.950;1231.632;173.114;21.981;1301.044;180.490;81.428;1236.077;230.510;52.022;1151.962;194.802;73.222;978.213;245.945;24.717;1004.053;244.920;-69.021;974.940;184.154;-199.589;1042.887;177.755;-204.474;972.498;207.991;-175.215;1004.639;-167.643;-48.798;1244.870;-155.285;16.852;1312.279;-164.761;86.948;1250.292;-224.843;3.517;1160.608;-202.667;70.633;989.350;-248.339;21.542;1020.466;-229.679;-54.074;1038.344;-213.511;-203.497;1023.787;-189.332;-198.857;959.016;-223.427;-174.629;986.029;115.817;-130.520;867.867;-149.277;-98.232;868.795;99.697;68.679;940.210;-93.347;87.241;949.979
7.034;24.326;1597.937;84.066;-42.106;1544.498;-64.527;-49.580;1540.200;68.142;71.366;1449.588;-56.321;63.452;1452.079;7.864;100.332;1276.669;19.441;99.209;1111.029;70.438;114.107;1190.112;-51.680;111.665;1174.481;15.191;-79.474;1276.278;2.394;-150.987;1085.579;59.642;-116.745;1203.154;-59.740;-107.952;1214.536;175.508;-52.853;1231.534;173.114;22.030;1300.946;180.393;81.526;1235.980;230.314;52.218;1151.816;194.363;73.271;978.067;245.701;24.961;1003.907;244.822;-68.826;974.843;184.545;-199.443;1043.033;177.999;-204.425;972.693;208.235;-175.068;1004.688;-167.643;-49.091;1244.821;-155.285;16.510;1312.279;-164.810;86.606;1250.341;-224.892;3.322;1160.608;-202.716;70.682;989.497;-248.388;21.542;1020.515;-229.630;-54.074;1038.295;-213.364;-203.448;1023.690;-189.038;-198.759;958.918;-223.231;-174.580;985.980;115.963;-130.617;867.867;-149.130;-98.427;868.795;99.697;68.581;940.210;-93.396;87.094;949.979
7.181;24.082;1597.888;84.261;-42.204;1544.449;-64.332;-49.873;1540.200;68.142;71.219;1449.539;-56.272;63.208;1452.079;7.816;100.186;1276.669;19.392;99.160;1111.029;70.340;114.058;1190.112;-51.729;111.518;1174.530;15.289;-79.572;1276.230;2.491;-151.084;1085.530;59.740;-116.842;1203.057;-59.594;-108.099;1214.487;175.654;-52.804;1231.437;173.163;22.030;1300.897;180.344;81.624;1235.980;230.217;52.413;1151.718;193.972;73.515;978.067;245.408;25.254;1003.760;244.724;-68.484;974.647;184.886;-199.296;1042.838;178.097;-204.230;972.547;208.431;-174.775;1004.444;-167.546;-49.336;1244.772;-155.285;16.217;1312.279;-164.810;86.362;1250.389;-224.892;3.077;1160.608;-202.765;70.682;989.546;-248.437;21.444;1020.515;-229.582;-54.074;1038.246;-213.169;-203.497;1023.494;-188.550;-198.710;958.918;-222.890;-174.580;985.833;116.012;-130.715;867.867;-149.033;-98.622;868.795;99.697;68.435;940.210;-93.396;86.899;949.979
7.278;23.789;1597.888;84.359;-42.448;1544.352;-64.185;-50.166;1540.151;68.191;71.073;1449.588;-56.223;62.964;1452.128;7.767;100.039;1276.669;19.392;99.013;1111.029;70.291;114.009;1190.112;-51.778;111.323;1174.530;15.436;-79.719;1276.181;2.638;-151.231;1085.530;59.887;-116.891;1203.057;-59.496;-108.294;1214.438;175.801;-52.804;1231.388;173.163;22.030;1300.849;180.344;81.672;1235.980;230.217;52.511;1151.718;193.630;73.662;978.067;245.164;25.401;1003.711;244.578;-68.288;974.305;185.766;-199.443;1042.349;177.657;-204.181;972.205;208.626;-174.775;1003.760;-167.448;-49.580;1244.723;-155.236;15.924;1312.279;-164.810;86.118;1250.438;-224.843;2.833;1160.608;-202.813;70.682;989.594;-248.388;21.346;1020.515;-229.484;-54.123;1038.149;-213.022;-203.497;1023.397;-187.768;-198.710;959.065;-222.352;-174.580;985.736;116.110;-130.813;867.819;-148.984;-98.818;868.747;99.697;68.337;940.259;-93.396;86.655;949.979
7.376;23.544;1597.839;84.506;-42.644;1544.303;-63.990;-50.459;1540.053;68.288;70.877;1449.539;-56.125;62.720;1452.079;7.816;99.892;1276.718;19.392;98.964;1111.029;70.291;114.107;1190.307;-51.680;111.127;1174.481;15.582;-79.816;1276.083;2.784;-151.328;1085.481;60.033;-116.891;1202.910;-59.349;-108.441;1214.389;175.899;-52.853;1231.486;173.310;21.932;1300.849;180.490;81.672;1236.077;230.217;52.266;1151.620;192.946;73.271;978.067;244.431;24.961;1003.565;244.089;-68.728;973.426;189.771;-200.420;1041.812;174.482;-204.767;972.791;209.066;-175.459;1002.002;-167.350;-49.873;1244.674;-155.090;15.631;1312.230;-164.713;85.824;1250.487;-224.697;2.589;1160.511;-202.765;70.731;989.594;-248.241;21.297;1020.515;-229.386;-54.123;1038.051;-213.169;-203.497;1023.250;-186.010;-198.710;959.700;-221.473;-174.531;985.540;116.207;-130.910;867.819;-148.935;-98.964;868.747;99.746;68.191;940.259;-93.347;86.508;950.028
7.522;23.251;1597.839;84.701;-42.839;1544.254;-63.843;-50.752;1540.102;68.386;70.682;1449.539;-56.028;62.476;1452.128;7.864;99.697;1276.865;19.539;99.062;1111.175;70.389;114.253;1190.649;-51.680;110.834;1174.530;15.680;-79.865;1275.985;2.980;-151.328;1085.384;60.131;-116.842;1202.812;-59.203;-108.538;1214.243;175.801;-52.853;1231.925;173.359;21.932;1301.093;180.637;81.575;1236.321;230.070;51.387;1151.376;191.774;70.877;977.773;243.357;22.714;1003.174;242.966;-71.121;971.912;197.684;-203.497;1040.737;168.230;-207.112;976.503;209.505;-178.097;999.804;-167.253;-50.410;1244.528;-155.041;15.143;1312.083;-164.664;85.385;1250.536;-224.502;2.052;1160.315;-202.862;70.633;989.546;-248.144;20.955;1020.612;-229.142;-54.074;1038.784;-213.364;-203.400;1024.667;-182.835;-199.052;962.582;-219.763;-174.677;986.713;116.256;-130.862;867.819;-148.886;-99.111;868.747;99.746;68.191;940.357;-93.347;86.411;950.028
7.767;23.251;1597.839;84.896;-42.888;1544.205;-63.599;-50.850;1540.248;68.435;70.535;1449.393;-55.979;62.182;1452.177;7.669;99.648;1277.060;19.441;99.160;1111.370;70.291;114.400;1190.894;-51.876;110.639;1174.530;15.582;-79.816;1275.888;3.224;-151.035;1085.188;60.180;-116.696;1202.812;-59.154;-108.294;1213.949;175.264;-52.950;1232.951;173.212;22.177;1301.532;180.539;81.477;1236.370;229.777;48.749;1150.741;191.334;63.941;976.503;242.673;16.120;1002.637;241.158;-78.546;970.300;205.353;-210.727;1038.637;161.000;-213.951;983.977;208.724;-185.668;998.192;-167.008;-50.557;1244.430;-155.139;14.801;1311.888;-164.859;84.945;1250.487;-224.795;1.075;1160.413;-204.425;68.777;989.204;-248.876;18.708;1021.199;-229.337;-54.953;1041.763;-212.827;-203.888;1030.675;-175.996;-201.104;972.351;-215.807;-176.338;992.281;116.452;-130.422;867.965;-148.740;-99.062;868.747;99.697;68.630;940.454;-93.445;86.557;950.077
8.109;23.398;1597.937;84.994;-42.888;1544.059;-63.599;-50.654;1540.590;68.435;70.438;1449.246;-55.979;62.329;1452.372;7.620;100.088;1277.011;19.295;99.404;1111.322;70.291;114.400;1190.845;-52.022;111.127;1174.383;15.387;-79.328;1275.888;3.322;-150.156;1085.042;60.082;-116.500;1202.910;-59.252;-107.513;1213.705;174.287;-53.781;1234.710;173.065;22.470;1301.923;180.588;80.598;1235.735;229.533;43.523;1149.569;192.067;51.045;974.256;242.770;3.810;1002.392;239.546;-92.321;971.570;209.847;-223.231;1040.298;154.845;-225.283;997.068;206.233;-198.613;1001.025;-166.373;-49.971;1244.821;-155.187;15.485;1311.839;-165.396;84.994;1249.657;-225.478;-1.221;1160.950;-208.235;60.961;987.152;-251.709;11.821;1022.078;-230.705;-58.568;1048.455;-212.290;-207.698;1047.918;-169.402;-207.893;994.333;-212.241;-182.981;1008.401;116.745;-129.396;868.209;-148.447;-98.622;868.795;99.599;69.705;940.552;-93.640;87.143;950.126
8.304;23.544;1598.279;84.701;-42.985;1543.912;-63.892;-49.922;1540.786;68.533;70.877;1449.686;-55.881;63.404;1453.007;8.206;101.211;1276.718;19.832;99.746;1110.931;70.975;114.595;1190.552;-51.534;112.495;1173.992;14.850;-78.253;1276.278;2.931;-148.935;1085.286;59.496;-116.207;1203.398;-59.594;-106.096;1213.998;172.772;-55.100;1237.396;173.017;22.616;1302.509;181.321;78.888;1234.710;229.435;36.342;1148.739;193.630;34.193;972.693;243.552;-11.968;1003.614;238.960;-110.150;975.722;210.873;-238.716;1046.453;150.547;-240.035;1011.331;203.253;-214.879;1007.912;-165.690;-48.456;1247.214;-154.797;18.220;1312.425;-165.543;85.873;1247.898;-226.309;-5.275;1163.100;-213.706;43.327;984.270;-256.252;-2.296;1024.764;-233.636;-67.653;1060.130;-213.706;-216.002;1077.471;-165.885;-219.959;1028.819;-211.557;-195.779;1036.585;116.989;-128.175;868.551;-148.251;-97.401;868.942;99.795;71.073;940.698;-93.445;88.511;950.126
8.157;23.886;1598.865;83.968;-42.839;1543.961;-64.625;-48.456;1540.737;68.826;71.854;1450.614;-55.686;65.455;1453.887;9.281;102.921;1276.425;21.004;100.674;1110.735;72.440;115.035;1190.210;-50.410;114.351;1173.553;14.117;-76.690;1276.913;1.856;-147.470;1085.921;58.421;-115.377;1204.033;-60.180;-104.338;1214.878;171.209;-56.614;1240.425;173.114;22.616;1303.340;182.493;76.592;1233.488;229.972;28.869;1148.934;198.271;16.706;972.693;246.532;-29.064;1006.740;238.521;-129.347;981.290;206.965;-255.275;1053.438;143.904;-253.810;1023.983;197.684;-231.877;1015.728;-164.908;-46.551;1252.099;-153.966;22.519;1313.647;-165.152;86.704;1244.723;-227.677;-11.479;1167.789;-220.105;14.898;983.635;-261.967;-24.179;1031.115;-238.276;-82.210;1076.738;-217.516;-226.700;1116.206;-164.273;-233.538;1074.686;-212.729;-212.094;1074.344;116.842;-127.100;868.942;-148.349;-95.350;869.186;100.479;72.196;940.894;-92.761;90.416;950.224
7.718;25.010;1599.354;82.942;-42.155;1544.156;-65.748;-46.209;1540.639;69.168;73.271;1451.493;-55.393;68.142;1454.522;10.600;105.070;1275.790;22.323;101.504;1110.247;74.052;115.475;1189.526;-49.384;116.452;1172.771;13.335;-74.785;1277.646;0.537;-146.053;1086.703;57.200;-114.351;1204.815;-60.815;-102.335;1216.001;169.402;-58.079;1243.307;173.114;22.519;1304.072;183.616;74.150;1232.414;231.829;21.835;1150.546;205.402;2.247;974.354;250.684;-44.256;1011.038;237.446;-146.004;987.054;197.440;-268.317;1060.472;133.890;-263.384;1032.385;188.990;-245.506;1022.566;-163.491;-44.353;1259.182;-152.745;27.794;1315.210;-164.957;87.583;1241.255;-228.995;-19.881;1175.507;-225.332;-21.444;988.862;-266.950;-51.290;1042.740;-243.210;-100.234;1097.791;-223.427;-236.860;1160.560;-167.204;-247.411;1124.559;-216.979;-228.702;1117.867;116.256;-126.465;869.186;-148.691;-92.663;869.430;101.602;72.929;941.187;-91.442;92.663;950.419
7.083;26.671;1599.744;81.770;-40.983;1544.449;-66.921;-43.572;1540.493;69.363;74.980;1452.275;-55.197;71.073;1454.961;11.870;107.024;1275.350;23.593;102.335;1109.954;75.469;115.963;1189.086;-48.701;118.210;1172.234;12.554;-73.026;1278.232;-0.879;-144.881;1087.435;55.930;-113.374;1205.401;-61.352;-100.674;1217.027;167.204;-59.545;1245.163;173.163;22.079;1304.414;184.496;71.854;1231.437;233.734;15.533;1152.256;212.583;-8.499;976.113;253.566;-57.005;1015.044;233.782;-158.558;992.135;183.616;-276.182;1066.285;120.701;-267.340;1037.758;176.973;-253.761;1027.988;-162.514;-42.692;1266.949;-151.377;32.337;1317.066;-165.152;88.413;1239.594;-229.826;-28.869;1185.569;-228.312;-58.226;1000.976;-270.125;-78.497;1058.860;-247.215;-118.601;1120.651;-230.412;-245.262;1203.643;-173.359;-260.306;1170.817;-223.378;-243.357;1160.364;115.621;-126.075;869.333;-148.984;-89.928;869.772;102.970;73.320;941.334;-89.879;95.008;950.566
6.594;28.673;1599.989;80.940;-39.420;1544.791;-67.751;-41.032;1540.590;69.363;76.690;1452.666;-55.246;73.613;1455.206;12.798;108.538;1274.960;24.277;103.409;1109.661;76.250;116.598;1188.891;-48.652;119.285;1171.941;12.114;-71.708;1278.477;-2.100;-143.953;1087.875;54.904;-112.642;1205.743;-61.596;-99.599;1217.906;165.103;-60.375;1245.944;173.359;21.688;1304.268;184.984;70.242;1230.411;234.662;10.453;1153.086;215.269;-15.826;976.943;252.784;-66.041;1017.144;226.944;-166.618;995.505;169.060;-279.699;1070.730;106.682;-267.145;1042.447;163.785;-257.425;1032.287;-161.000;-41.325;1274.080;-149.765;35.463;1318.922;-165.641;88.706;1239.106;-229.630;-35.854;1195.974;-228.800;-88.218;1016.558;-271.199;-100.723;1075.956;-249.707;-134.037;1142.095;-235.492;-250.977;1239.741;-178.390;-270.125;1209.114;-228.214;-254.201;1196.218;115.328;-125.781;869.430;-149.033;-87.778;870.066;104.240;73.662;941.480;-88.462;96.766;950.761
6.594;30.725;1600.086;80.793;-37.515;1544.791;-67.898;-39.078;1540.981;69.119;78.497;1452.568;-55.539;75.469;1455.352;13.238;109.808;1274.715;24.130;104.142;1109.563;76.055;117.233;1188.695;-48.994;120.017;1172.087;12.309;-70.486;1278.672;-2.638;-142.976;1088.168;54.611;-111.909;1205.890;-61.352;-99.209;1218.883;164.029;-59.887;1245.896;173.749;22.274;1303.340;185.180;70.145;1228.897;233.685;7.132;1151.669;212.094;-23.202;976.357;248.388;-73.417;1017.486;218.151;-173.749;998.973;156.751;-282.288;1078.447;94.373;-267.047;1051.777;151.622;-260.355;1039.712;-158.509;-40.299;1278.525;-148.202;37.222;1319.752;-166.227;88.658;1238.813;-228.751;-40.787;1203.838;-228.019;-107.610;1029.405;-270.613;-115.817;1089.194;-250.049;-144.490;1157.482;-237.251;-254.787;1263.383;-179.953;-276.133;1234.758;-229.630;-261.039;1220.202;115.524;-125.098;869.626;-148.642;-86.704;870.359;104.875;74.394;941.480;-87.778;97.743;951.005
6.790;32.435;1599.940;81.331;-35.268;1544.547;-67.311;-37.857;1540.981;68.728;80.647;1452.324;-55.881;76.739;1455.303;12.993;111.469;1274.031;23.398;105.510;1108.879;75.420;119.089;1187.767;-49.971;120.848;1171.550;13.286;-68.923;1278.916;-1.758;-142.096;1088.608;55.393;-110.639;1206.134;-60.326;-98.915;1219.616;163.736;-57.835;1246.628;174.189;25.156;1302.021;185.180;72.001;1226.503;230.852;4.640;1148.983;205.402;-36.538;976.162;242.526;-84.017;1019.635;210.727;-185.180;1008.987;150.400;-287.270;1097.840;87.534;-272.372;1072.439;144.441;-267.487;1057.834;-157.044;-40.104;1279.600;-147.665;37.759;1319.655;-166.764;88.413;1238.373;-227.579;-43.279;1206.329;-226.309;-114.498;1033.703;-268.806;-122.167;1093.492;-248.339;-149.570;1162.171;-235.492;-258.401;1270.075;-178.292;-280.285;1241.743;-227.921;-265.338;1226.894;116.061;-123.876;869.821;-148.105;-86.655;870.603;104.582;75.713;941.334;-88.169;98.232;950.908
7.474;33.900;1599.842;82.552;-32.923;1544.010;-66.090;-37.075;1540.932;68.386;83.040;1452.079;-56.125;77.814;1455.499;11.772;113.472;1273.348;21.981;107.073;1108.049;74.248;121.434;1186.497;-51.338;121.629;1171.062;14.215;-67.018;1279.209;-0.244;-140.924;1089.047;56.272;-108.783;1206.574;-59.300;-98.134;1219.909;163.638;-54.904;1249.852;173.945;29.748;1301.532;184.838;74.492;1224.159;227.481;0.537;1148.445;198.661;-58.275;980.411;238.179;-99.892;1027.402;208.724;-202.178;1029.258;153.673;-294.646;1131.837;89.976;-283.655;1106.925;146.248;-279.455;1089.780;-156.946;-40.787;1278.183;-148.447;37.368;1319.362;-167.546;88.218;1238.471;-226.651;-43.083;1202.763;-222.987;-108.099;1027.695;-265.582;-119.041;1086.996;-244.333;-148.788;1154.649;-228.898;-261.577;1258.107;-171.454;-281.408;1228.799;-221.326;-266.657;1214.682;116.891;-122.118;870.114;-147.616;-87.436;870.701;103.263;77.520;941.138;-89.683;98.232;950.517
9.086;35.219;1599.793;84.359;-30.725;1543.228;-64.283;-36.293;1541.323;68.386;85.287;1451.737;-56.077;78.888;1456.085;10.160;115.133;1272.957;20.613;108.148;1107.512;73.124;123.144;1185.765;-52.706;121.971;1170.817;14.556;-65.260;1279.698;1.221;-139.947;1089.682;56.809;-106.975;1207.355;-58.763;-97.401;1220.153;163.443;-52.511;1256.105;172.821;34.388;1302.900;184.740;76.299;1223.230;225.478;-5.520;1152.256;194.461;-85.287;992.037;236.909;-118.699;1042.642;212.925;-220.203;1059.934;165.787;-299.140;1176.826;100.967;-295.281;1152.597;156.457;-290.787;1133.205;-158.216;-41.960;1274.520;-150.400;36.147;1318.678;-168.278;88.267;1238.959;-225.332;-40.348;1194.606;-218.151;-89.732;1014.604;-260.502;-107.708;1072.439;-237.593;-143.171;1137.211;-217.223;-264.410;1229.336;-159.046;-279.210;1198.465;-209.457;-265.045;1185.814;117.477;-120.262;870.603;-147.421;-88.853;870.798;101.162;79.474;941.040;-92.028;97.694;950.175
11.235;36.489;1599.842;86.264;-28.820;1542.251;-62.280;-35.561;1542.153;68.239;87.192;1451.102;-56.077;79.816;1457.013;8.157;116.110;1272.810;19.783;108.343;1107.316;72.245;123.974;1185.569;-53.976;121.922;1170.817;14.166;-64.136;1280.235;2.540;-139.752;1090.317;57.005;-105.412;1208.283;-58.665;-96.962;1219.958;162.661;-50.215;1264.164;170.525;38.247;1306.026;184.496;77.423;1224.354;224.892;-11.479;1160.022;194.900;-112.153;1010.452;239.644;-136.332;1063.793;222.401;-234.466;1096.032;181.711;-297.381;1224.745;116.745;-302.022;1201.200;171.502;-296.600;1180.343;-160.316;-42.985;1269.098;-153.038;34.388;1317.017;-168.718;88.560;1239.497;-223.427;-35.219;1184.250;-213.951;-63.599;1000.439;-254.738;-90.905;1055.685;-228.556;-134.330;1115.083;-199.492;-265.191;1189.282;-141.022;-272.665;1156.310;-192.311;-259.623;1146.247;117.575;-118.845;870.847;-147.616;-90.465;870.798;98.769;80.793;941.089;-94.617;96.766;950.077
12.896;37.466;1599.842;87.583;-27.354;1541.274;-60.912;-35.023;1543.130;67.653;88.511;1450.321;-56.516;80.354;1457.843;6.106;116.354;1272.761;19.295;108.148;1107.512;71.415;123.876;1185.814;-54.904;121.776;1170.622;12.993;-63.941;1280.528;3.224;-139.947;1090.562;56.467;-105.021;1209.162;-59.496;-96.424;1219.030;161.391;-48.505;1272.273;167.448;40.690;1309.885;183.958;77.911;1226.796;225.820;-15.973;1169.596;199.785;-133.646;1031.017;245.701;-149.423;1086.068;233.831;-242.428;1130.714;196.561;-288.980;1267.388;132.229;-301.436;1244.870;186.547;-295.379;1223.182;-161.977;-43.718;1262.845;-155.578;32.581;1314.526;-169.451;89.048;1239.692;-222.010;-29.601;1174.823;-211.508;-37.661;989.839;-249.462;-74.736;1041.177;-219.128;-126.075;1093.346;-177.852;-263.530;1146.198;-119.089;-260.551;1113.129;-171.356;-250.635;1104.923;117.233;-118.259;870.945;-148.105;-91.881;870.701;96.766;81.331;941.138;-96.717;95.740;950.028
13.238;38.150;1599.793;87.681;-26.524;1540.737;-60.815;-34.535;1543.717;66.774;89.244;1449.881;-57.347;80.793;1458.381;4.103;116.159;1272.908;19.148;107.903;1108.195;70.633;123.632;1186.449;-55.393;121.483;1170.671;11.626;-64.283;1280.724;3.175;-140.191;1090.610;55.588;-105.266;1210.042;-60.717;-96.229;1217.906;159.828;-47.186;1278.281;164.175;41.911;1313.207;183.275;78.497;1229.581;227.823;-18.025;1178.291;206.917;-146.883;1048.016;252.833;-156.506;1104.190;244.333;-244.040;1157.384;207.503;-277.598;1298.113;144.343;-296.160;1276.278;198.515;-289.419;1254.639;-162.905;-44.988;1257.863;-157.825;30.383;1312.328;-170.770;88.609;1239.887;-220.789;-26.671;1168.229;-208.480;-19.490;983.684;-243.943;-63.746;1030.968;-210.580;-119.187;1077.177;-160.512;-258.450;1114.399;-101.797;-248.290;1082.746;-154.504;-240.670;1075.126;116.500;-118.308;871.042;-148.837;-92.517;870.603;95.740;81.282;941.040;-97.792;95.252;949.931
