UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.955;47.864;1598.022;99.831;-19.585;1545.421;-48.938;-25.544;1539.853;85.764;93.677;1449.986;-38.828;87.181;1451.353;28.816;120.979;1277.382;42.394;118.488;1112.300;93.432;133.140;1192.253;-28.572;132.749;1174.328;30.867;-58.804;1277.480;20.953;-131.528;1087.880;76.387;-97.682;1205.342;-43.126;-85.764;1215.501;191.602;-37.266;1235.623;191.700;37.803;1303.561;202.494;96.314;1237.772;251.530;64.079;1154.059;211.236;80.880;980.870;263.008;33.602;1006.462;268.087;-58.365;969.343;213.679;-195.510;1030.980;210.602;-198.489;960.601;237.464;-168.452;991.859;-150.137;-25.153;1242.998;-136.754;40.733;1310.350;-143.543;110.234;1248.762;-205.083;28.328;1158.015;-180.174;97.291;988.782;-224.912;46.106;1017.696;-202.543;-31.649;1029.711;-173.873;-175.876;1007.732;-169.673;-172.164;939.599;-195.217;-147.890;974.325;138.708;-111.357;870.294;-126.937;-84.006;870.587;119.611;88.206;939.257;-73.847;103.836;948.342
22.906;48.304;1598.071;99.733;-19.097;1545.470;-48.938;-25.055;1539.853;85.716;94.214;1450.035;-38.877;87.669;1451.402;28.816;121.369;1277.382;42.394;118.781;1112.349;93.432;133.482;1192.253;-28.572;133.091;1174.328;30.819;-58.462;1277.627;20.953;-131.382;1088.075;76.338;-97.437;1205.489;-43.175;-85.471;1215.648;191.602;-36.972;1235.770;191.700;38.145;1303.659;202.494;96.607;1237.821;251.579;64.274;1154.157;211.334;80.978;980.968;263.105;33.749;1006.560;268.136;-58.218;969.588;213.727;-195.314;1031.274;210.650;-198.391;960.943;237.513;-168.305;992.152;-150.234;-24.811;1243.096;-136.803;41.124;1310.399;-143.592;110.624;1248.810;-205.131;28.670;1158.064;-180.174;97.584;988.831;-224.912;46.399;1017.793;-202.543;-31.405;1029.759;-173.873;-175.534;1007.830;-169.673;-171.871;939.697;-195.217;-147.646;974.374;138.708;-111.064;870.392;-126.937;-83.713;870.636;119.611;88.500;939.209;-73.798;104.129;948.342
22.857;48.841;1598.071;99.635;-18.657;1545.518;-48.987;-24.469;1539.853;85.764;94.605;1450.083;-38.828;88.206;1451.402;28.816;121.711;1277.382;42.345;119.074;1112.349;93.481;133.775;1192.253;-28.621;133.335;1174.328;30.867;-58.169;1277.773;20.953;-131.284;1088.271;76.338;-97.193;1205.635;-43.175;-85.227;1215.794;191.602;-36.679;1235.916;191.651;38.487;1303.708;202.494;96.900;1237.870;251.579;64.519;1154.206;211.432;81.173;981.016;263.203;33.944;1006.658;268.234;-58.072;969.783;213.825;-195.070;1031.615;210.748;-198.196;961.334;237.611;-168.110;992.494;-150.234;-24.469;1243.194;-136.754;41.466;1310.448;-143.592;110.917;1248.810;-205.131;28.914;1158.162;-180.223;97.779;988.880;-224.912;46.643;1017.891;-202.543;-31.160;1029.857;-173.873;-175.290;1007.976;-169.673;-171.675;939.844;-195.217;-147.402;974.521;138.708;-110.771;870.441;-126.888;-83.469;870.685;119.611;88.841;939.257;-73.798;104.373;948.293
22.809;49.476;1598.071;99.538;-18.169;1545.616;-49.085;-23.785;1539.902;85.813;94.995;1450.083;-38.731;88.793;1451.353;28.865;122.004;1277.382;42.345;119.318;1112.349;93.481;134.019;1192.253;-28.621;133.580;1174.328;30.867;-57.828;1277.871;20.953;-131.186;1088.466;76.338;-96.949;1205.782;-43.126;-84.983;1215.941;191.651;-36.386;1236.014;191.700;38.828;1303.756;202.543;97.193;1237.919;251.579;64.812;1154.304;211.627;81.418;981.065;263.350;34.189;1006.755;268.380;-57.828;969.978;213.874;-194.777;1031.957;210.895;-197.952;961.675;237.708;-167.817;992.787;-150.185;-24.225;1243.291;-136.754;41.808;1310.496;-143.543;111.211;1248.859;-205.131;29.158;1158.260;-180.271;97.926;988.977;-225.010;46.789;1017.940;-202.592;-31.014;1029.906;-173.873;-175.143;1008.025;-169.722;-171.529;939.941;-195.266;-147.255;974.569;138.757;-110.478;870.490;-126.840;-83.225;870.734;119.660;89.134;939.209;-73.798;104.666;948.293
22.711;50.160;1598.071;99.440;-17.632;1545.763;-49.232;-23.151;1539.950;85.862;95.435;1450.035;-38.682;89.281;1451.256;28.865;122.297;1277.382;42.394;119.513;1112.349;93.530;134.263;1192.253;-28.621;133.824;1174.279;30.916;-57.583;1277.968;21.050;-131.138;1088.613;76.436;-96.802;1205.879;-43.078;-84.788;1216.038;191.749;-36.142;1236.112;191.700;39.121;1303.805;202.592;97.437;1237.968;251.725;65.056;1154.450;211.823;81.662;981.163;263.545;34.482;1006.902;268.576;-57.583;970.174;213.825;-194.435;1032.250;210.943;-197.659;962.017;237.806;-167.524;993.080;-150.137;-23.981;1243.340;-136.657;42.052;1310.545;-143.543;111.406;1248.859;-205.131;29.353;1158.308;-180.369;98.072;988.977;-225.058;46.887;1018.038;-202.640;-30.916;1029.955;-173.873;-175.045;1008.074;-169.722;-171.431;939.941;-195.266;-147.157;974.618;138.806;-110.234;870.538;-126.791;-82.981;870.783;119.709;89.428;939.209;-73.750;104.959;948.342
22.662;50.794;1598.022;99.391;-17.045;1545.860;-49.232;-22.564;1539.999;85.911;95.874;1449.986;-38.633;89.721;1451.109;28.963;122.542;1277.382;42.443;119.709;1112.349;93.628;134.459;1192.253;-28.572;134.019;1174.279;31.014;-57.339;1278.017;21.099;-131.040;1088.759;76.534;-96.558;1205.977;-42.980;-84.641;1216.185;191.896;-35.898;1236.161;191.798;39.366;1303.854;202.689;97.682;1238.017;251.872;65.349;1154.499;212.018;82.004;981.261;263.740;34.775;1007.000;268.771;-57.290;970.418;213.581;-193.996;1032.592;211.285;-197.415;962.359;237.904;-167.182;993.471;-150.088;-23.834;1243.438;-136.608;42.296;1310.545;-143.494;111.601;1248.859;-205.083;29.451;1158.357;-180.418;98.121;989.026;-225.058;46.936;1018.087;-202.640;-30.819;1029.955;-173.824;-174.948;1008.025;-169.771;-171.334;939.941;-195.217;-147.060;974.618;138.806;-109.989;870.587;-126.742;-82.736;870.832;119.758;89.672;939.209;-73.701;105.203;948.342
22.760;51.429;1598.022;99.489;-16.508;1545.909;-49.134;-22.027;1540.097;86.057;96.314;1449.937;-38.535;90.160;1451.060;29.011;122.786;1277.382;42.491;119.855;1112.300;93.677;134.605;1192.155;-28.572;134.166;1174.231;31.209;-57.144;1278.066;21.197;-130.942;1088.857;76.680;-96.363;1206.026;-42.833;-84.495;1216.234;192.140;-35.703;1236.161;191.896;39.561;1303.805;202.787;97.877;1238.017;252.067;65.642;1154.597;212.360;82.199;981.309;264.082;34.921;1007.195;269.064;-57.144;971.444;211.578;-193.312;1033.618;212.506;-197.366;963.629;237.757;-166.742;995.034;-150.039;-23.785;1243.487;-136.510;42.394;1310.545;-143.397;111.699;1248.859;-205.034;29.500;1158.406;-180.418;98.170;989.075;-225.010;46.985;1018.135;-202.543;-30.672;1030.101;-173.531;-174.850;1008.318;-169.624;-171.187;940.332;-194.972;-146.962;974.911;138.854;-109.794;870.636;-126.693;-82.541;870.880;119.806;89.867;939.257;-73.652;105.398;948.342
23.102;52.162;1597.973;99.733;-15.922;1546.007;-48.890;-21.343;1540.195;86.351;96.656;1449.790;-38.242;90.649;1450.963;29.158;122.981;1277.333;42.687;119.758;1112.203;93.872;134.605;1192.057;-28.621;134.019;1174.084;31.258;-56.900;1277.968;21.343;-130.991;1088.906;76.778;-96.021;1205.977;-42.882;-84.250;1216.136;192.286;-35.556;1236.258;191.944;39.610;1303.903;202.982;97.926;1238.163;252.507;65.496;1154.841;213.679;81.662;981.407;265.059;34.042;1008.123;269.211;-57.974;975.839;205.962;-191.993;1038.648;214.265;-198.049;969.295;236.389;-166.498;1001.725;-150.185;-24.079;1243.926;-136.510;42.247;1310.838;-143.445;111.406;1249.104;-204.936;29.256;1158.699;-180.271;97.682;989.368;-224.668;46.448;1019.063;-201.615;-30.477;1032.202;-169.429;-174.655;1012.177;-172.017;-171.480;944.239;-194.289;-147.353;979.991;138.854;-109.599;870.636;-126.595;-82.394;870.880;119.855;90.062;939.257;-73.652;105.496;948.440
23.688;53.090;1598.071;100.124;-15.238;1546.104;-48.548;-20.367;1540.585;86.741;97.193;1449.644;-37.852;91.430;1451.109;29.207;123.323;1277.285;42.589;119.562;1112.203;93.921;134.459;1191.813;-28.816;134.019;1174.133;31.209;-56.509;1278.066;21.246;-130.893;1089.150;76.680;-95.630;1206.172;-43.029;-83.762;1216.282;192.042;-35.703;1236.893;191.847;39.805;1304.147;203.129;97.730;1238.163;253.240;64.177;1155.378;217.586;78.438;981.261;267.745;30.184;1009.930;268.917;-62.321;983.410;197.073;-190.674;1050.175;211.676;-201.029;982.335;231.750;-168.012;1014.375;-150.088;-24.127;1245.099;-136.412;42.443;1311.522;-143.641;111.259;1249.445;-205.278;28.181;1159.823;-182.274;94.556;989.466;-225.449;42.931;1020.773;-199.905;-31.844;1037.623;-161.468;-175.534;1023.801;-169.575;-175.387;956.254;-189.747;-150.381;991.810;138.806;-109.403;870.636;-126.595;-82.101;870.929;119.904;90.160;939.502;-73.603;105.740;948.635
