UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24.833;55.887;1597.679;101.335;-12.074;1545.167;-47.346;-18.084;1540.791;86.572;100.280;1448.683;-38.014;93.479;1451.055;29.156;126.642;1278.755;43.339;126.220;1113.783;93.531;139.559;1193.765;-28.471;140.244;1176.102;30.580;-52.723;1277.753;19.033;-123.900;1087.896;75.289;-90.052;1205.100;-44.657;-78.505;1215.171;193.179;-29.789;1234.784;191.017;44.604;1304.537;203.196;104.392;1242.270;248.644;78.400;1158.704;209.945;102.547;986.193;265.094;59.261;1009.813;280.911;-28.365;968.583;236.992;-176.149;1014.241;242.317;-173.407;943.750;261.983;-143.197;981.658;-151.422;-19.613;1243.483;-136.132;45.817;1311.865;-142.670;116.835;1252.341;-205.674;40.544;1160.918;-181.000;119.999;995.050;-227.976;69.753;1022.730;-208.943;-6.274;1035.911;-191.808;-153.531;1014.927;-175.780;-149.735;947.863;-205.358;-123.637;979.075;134.656;-105.921;871.255;-129.911;-71.862;872.310;120.684;94.850;938.161;-72.337;115.464;947.599
24.622;56.520;1597.679;101.071;-11.494;1545.272;-47.609;-17.451;1540.791;86.572;100.860;1448.788;-38.066;94.164;1451.003;29.209;127.222;1278.808;43.550;126.800;1113.836;93.690;140.086;1193.870;-28.418;140.824;1176.050;30.580;-52.196;1277.859;19.086;-123.426;1088.002;75.289;-89.683;1205.259;-44.604;-77.978;1215.223;193.232;-29.420;1234.995;191.017;45.026;1304.748;203.302;104.814;1242.534;248.855;78.716;1158.967;210.314;102.916;986.403;265.305;59.472;1010.024;280.647;-28.313;968.847;236.623;-176.096;1014.400;241.157;-173.355;943.750;261.350;-143.039;981.606;-151.369;-19.139;1243.430;-136.079;46.397;1311.813;-142.617;117.310;1252.182;-205.885;40.966;1160.971;-181.843;120.262;994.892;-228.714;70.069;1022.994;-209.418;-5.747;1036.807;-192.019;-153.056;1016.719;-176.096;-149.682;949.655;-205.674;-123.478;980.657;134.708;-105.500;871.361;-129.752;-71.229;872.363;120.948;95.324;938.161;-72.073;116.044;947.546
24.516;57.152;1597.732;100.913;-10.861;1545.272;-47.767;-16.661;1540.738;86.519;101.545;1448.894;-38.066;94.955;1451.055;29.103;127.854;1278.755;43.602;127.222;1113.678;93.742;140.508;1193.765;-28.576;141.141;1175.786;30.580;-51.616;1277.859;19.297;-123.057;1088.107;75.447;-89.155;1205.311;-44.551;-77.504;1215.171;193.284;-28.787;1235.258;190.964;45.659;1305.011;203.302;105.394;1242.798;249.277;79.138;1159.389;211.527;103.074;986.772;266.095;59.050;1010.393;279.593;-29.525;968.741;238.679;-176.676;1015.190;233.354;-174.778;944.383;258.820;-143.777;980.287;-151.527;-18.980;1243.219;-136.185;46.555;1311.444;-142.722;117.521;1251.972;-206.096;41.177;1160.707;-182.581;120.631;994.576;-229.083;70.280;1023.415;-209.734;-4.745;1039.074;-190.437;-151.896;1022.150;-175.516;-149.787;954.875;-204.725;-123.162;985.454;134.867;-104.972;871.466;-129.542;-70.808;872.415;121.159;95.851;938.161;-71.862;116.519;947.546
24.411;58.312;1597.732;100.702;-9.859;1545.378;-47.978;-15.448;1540.843;86.414;102.389;1448.841;-38.119;96.009;1451.055;28.682;128.540;1278.597;43.444;127.433;1113.467;93.848;140.455;1193.501;-28.945;141.193;1175.470;30.369;-50.931;1277.859;19.877;-122.477;1088.160;75.658;-88.312;1205.575;-44.499;-76.818;1214.854;193.232;-27.996;1236.840;190.437;46.502;1306.382;203.354;106.080;1243.852;251.175;78.136;1160.760;214.954;100.385;987.563;267.941;54.991;1011.447;276.482;-35.588;968.056;243.793;-180.736;1015.349;213.530;-179.049;951.606;251.965;-148.258;978.917;-151.685;-18.875;1242.587;-136.607;46.502;1310.864;-143.092;117.310;1251.602;-206.887;40.913;1160.391;-184.058;119.630;993.521;-230.191;69.595;1024.417;-209.207;-3.269;1045.348;-184.269;-149.629;1038.336;-175.622;-151.053;970.059;-202.511;-123.373;1000.217;135.183;-104.129;871.572;-129.225;-70.544;872.468;121.317;96.642;938.267;-71.809;116.888;947.546
24.200;60.737;1597.679;100.069;-8.172;1545.589;-48.558;-13.234;1541.529;85.992;103.496;1448.314;-38.594;97.538;1450.897;28.418;129.752;1278.439;43.708;128.118;1113.362;94.217;140.613;1193.818;-28.892;141.932;1174.626;29.947;-49.718;1278.122;20.668;-121.369;1088.423;75.711;-87.468;1206.260;-44.340;-75.342;1214.696;192.704;-27.996;1240.372;189.752;47.346;1308.807;203.513;106.132;1245.487;253.231;73.971;1162.447;218.064;91.106;987.722;269.101;44.446;1012.449;272.264;-47.820;966.896;248.169;-191.386;1012.818;195.446;-188.486;967.159;244.321;-159.436;978.917;-151.369;-17.293;1242.587;-136.870;48.189;1310.336;-143.619;118.311;1250.021;-207.941;39.437;1160.285;-188.381;111.141;989.672;-233.354;63.532;1026.051;-208.890;-4.376;1056.789;-174.673;-147.626;1070.286;-177.836;-157.749;1002.379;-200.349;-126.800;1031.218;135.974;-102.811;871.835;-128.487;-70.439;872.521;121.264;97.960;938.531;-71.968;117.204;947.757
23.146;64.112;1597.732;98.487;-5.589;1545.958;-50.140;-9.701;1542.109;85.096;105.552;1448.050;-39.490;100.438;1450.739;29.051;131.861;1277.806;45.079;129.067;1112.782;95.746;141.193;1193.870;-27.733;143.408;1173.150;28.945;-47.662;1278.861;20.826;-119.999;1089.161;75.131;-86.256;1207.262;-44.604;-73.180;1215.381;190.754;-29.420;1244.538;189.383;47.557;1310.811;204.620;104.603;1246.225;254.338;65.166;1162.500;219.910;73.707;986.298;268.732;26.309;1013.134;265.515;-69.120;964.523;243.635;-209.892;1011.025;179.629;-205.200;983.504;231.931;-178.574;980.446;-151.053;-14.130;1244.959;-136.765;53.040;1310.231;-143.724;120.789;1246.646;-208.890;35.377;1161.287;-195.024;88.312;982.871;-238.046;46.871;1028.635;-209.207;-12.232;1072.290;-163.812;-145.095;1114.416;-180.842;-169.401;1052.835;-197.871;-132.389;1076.824;137.292;-100.860;872.204;-127.380;-70.069;872.626;121.369;99.858;938.689;-71.968;117.890;947.863
20.931;69.015;1597.627;95.904;-1.793;1546.854;-52.776;-4.481;1542.109;84.199;108.663;1448.050;-40.439;104.867;1450.001;30.896;134.919;1276.435;46.818;129.805;1111.305;98.013;141.668;1192.763;-25.887;145.780;1171.041;27.943;-44.815;1279.704;20.299;-118.839;1090.321;73.971;-85.043;1208.422;-44.973;-70.544;1216.647;187.326;-31.634;1248.597;189.646;47.504;1311.760;206.465;101.335;1244.643;254.813;52.354;1161.340;219.541;49.982;984.400;265.463;1.213;1013.820;254.233;-97.222;968.583;226.711;-232.669;1021.781;160.438;-226.395;1000.902;213.741;-202.774;991.465;-150.051;-9.965;1250.390;-135.710;60.474;1310.389;-143.250;123.267;1240.900;-209.734;27.680;1164.978;-201.931;49.560;978.969;-243.108;19.297;1034.751;-209.418;-26.098;1090.901;-151.369;-139.875;1161.076;-183.372;-178.311;1115.101;-193.759;-135.025;1128.862;138.610;-99.120;872.468;-126.325;-69.384;872.626;121.791;101.598;938.794;-71.598;118.839;947.810
18.348;75.500;1597.363;92.793;3.111;1548.014;-55.834;2.267;1542.056;83.303;112.617;1447.839;-41.335;110.403;1448.788;33.216;138.715;1274.590;49.191;130.860;1109.618;100.913;142.037;1191.129;-23.673;148.575;1168.458;26.625;-41.441;1280.759;18.980;-118.153;1092.009;72.126;-83.988;1209.951;-45.553;-67.591;1218.229;183.056;-33.796;1252.973;189.963;47.557;1312.498;208.310;97.064;1241.849;253.600;37.381;1160.549;215.586;23.040;984.136;257.554;-26.625;1017.088;238.785;-127.011;978.126;204.462;-255.814;1040.972;137.977;-247.800;1021.465;192.177;-227.765;1009.022;-148.206;-5.378;1257.718;-134.181;69.279;1310.336;-142.353;125.904;1233.940;-210.050;17.399;1172.359;-207.467;0.738;985.085;-246.851;-15.606;1048.248;-207.730;-44.604;1112.307;-137.081;-135.499;1202.570;-182.212;-179.734;1178.053;-186.219;-134.023;1178.211;139.348;-98.277;872.732;-125.640;-68.382;872.784;122.846;102.442;938.952;-70.544;119.893;947.810
15.870;82.934;1596.836;89.788;8.963;1548.963;-58.734;9.965;1541.845;82.460;117.362;1447.417;-42.179;116.835;1447.417;34.587;142.722;1272.586;51.616;132.283;1107.826;102.916;143.461;1189.494;-22.513;151.000;1165.927;25.307;-37.750;1281.866;17.188;-117.468;1094.012;69.595;-82.934;1211.954;-46.291;-64.903;1220.021;178.627;-34.745;1257.771;189.699;48.875;1313.078;209.207;94.059;1239.160;250.753;23.146;1161.234;209.259;-3.691;986.667;247.537;-53.514;1023.099;221.913;-154.954;990.674;181.474;-276.745;1062.642;115.043;-266.254;1044.188;169.980;-250.226;1029.320;-146.360;-1.634;1265.521;-132.969;76.344;1310.178;-142.617;127.960;1229.511;-209.101;6.063;1182.957;-209.207;-46.449;1002.273;-247.484;-50.404;1068.441;-203.354;-62.319;1134.767;-124.111;-131.440;1238.369;-175.516;-174.778;1232.727;-176.044;-130.701;1219.388;139.454;-98.857;872.995;-125.376;-67.328;873.101;124.375;101.914;938.900;-68.804;120.789;947.652
14.235;90.790;1595.992;87.521;15.501;1549.279;-61.001;17.979;1541.582;81.827;122.688;1446.416;-42.864;123.478;1445.941;34.903;145.991;1270.267;53.040;133.390;1105.875;103.496;144.410;1187.702;-22.197;152.740;1163.818;24.147;-34.428;1282.657;15.132;-116.782;1095.646;66.748;-82.143;1213.958;-47.082;-62.741;1221.656;174.673;-34.376;1262.200;189.014;50.931;1313.658;210.156;92.372;1237.631;247.695;11.810;1163.818;204.409;-26.889;991.623;238.205;-76.449;1031.904;206.676;-177.731;1004.698;159.541;-292.773;1083.309;93.795;-279.645;1064.065;149.576;-267.572;1048.512;-142.722;1.318;1272.376;-132.178;81.352;1310.178;-144.093;128.803;1226.612;-206.571;-3.691;1194.661;-207.256;-83.145;1024.259;-244.953;-78.769;1091.060;-196.606;-76.133;1155.435;-111.088;-124.164;1266.154;-162.705;-166.764;1273.588;-163.812;-126.167;1250.548;139.085;-100.596;873.206;-125.535;-66.801;873.364;126.009;100.385;938.531;-66.959;121.053;947.335
13.603;98.751;1594.674;86.361;22.249;1549.068;-62.108;25.782;1541.265;81.458;128.065;1444.781;-43.181;129.805;1444.201;34.956;148.627;1267.999;53.672;133.232;1104.451;103.496;144.779;1185.856;-22.249;153.531;1162.394;23.198;-31.476;1282.973;13.550;-116.308;1096.912;64.586;-80.983;1215.276;-47.557;-60.948;1222.815;171.404;-33.479;1265.732;188.170;53.093;1314.133;210.894;91.528;1236.787;245.217;3.902;1167.034;200.296;-43.444;997.106;230.665;-92.424;1040.287;194.497;-193.284;1016.930;141.773;-302.738;1100.128;76.818;-287.290;1080.040;133.127;-278.538;1064.223;-139.770;4.218;1277.015;-131.492;85.254;1310.020;-145.306;130.016;1224.924;-202.933;-9.490;1203.835;-202.195;-105.447;1042.501;-239.101;-97.591;1109.302;-189.172;-84.621;1170.936;-99.542;-115.781;1284.133;-148.100;-159.647;1298.105;-151.896;-122.002;1270.267;138.294;-103.338;873.364;-126.062;-67.170;873.628;127.116;98.013;937.792;-65.588;120.526;946.650
13.919;106.185;1592.987;86.203;28.682;1548.383;-62.266;32.899;1540.685;81.774;133.074;1442.620;-42.811;135.447;1442.145;35.325;151.158;1265.891;54.411;133.443;1102.764;103.813;145.570;1183.853;-21.933;154.954;1160.549;22.829;-28.945;1283.078;12.548;-116.150;1098.019;63.374;-79.771;1216.172;-47.504;-59.419;1223.554;170.139;-32.003;1267.578;187.906;55.412;1313.974;211.474;92.002;1235.891;243.741;0.422;1168.616;196.975;-53.040;1000.902;225.498;-101.440;1045.770;185.639;-201.773;1025.524;128.909;-306.692;1112.096;64.586;-289.505;1091.376;121.211;-283.283;1075.401;-138.610;6.907;1278.491;-131.018;88.523;1308.913;-145.570;132.020;1223.290;-199.189;-11.283;1207.420;-194.761;-115.306;1051.570;-231.825;-106.660;1118.107;-182.212;-88.365;1178.475;-90.843;-110.139;1292.358;-137.292;-155.112;1308.860;-142.933;-119.155;1279.124;137.292;-106.712;873.470;-126.800;-68.646;873.944;127.591;95.060;936.843;-64.903;119.050;945.754
14.973;112.934;1590.825;86.994;34.587;1547.328;-61.476;39.068;1539.789;82.776;137.345;1439.983;-41.862;140.034;1439.614;35.799;153.267;1263.676;55.201;133.601;1100.761;104.445;146.466;1181.691;-21.195;156.272;1158.387;23.198;-26.731;1282.657;12.285;-116.150;1098.599;63.163;-78.505;1216.436;-47.188;-58.365;1223.817;170.244;-30.105;1267.630;188.170;57.785;1313.183;212.265;93.373;1234.731;243.108;-0.105;1168.668;194.866;-56.572;1002.168;222.493;-104.603;1047.774;179.840;-204.356;1029.953;120.895;-305.902;1119.108;56.889;-287.659;1098.335;113.619;-283.072;1081.938;-138.399;8.752;1276.962;-130.912;90.790;1306.329;-145.306;133.918;1220.707;-196.289;-10.914;1205.311;-187.274;-117.784;1051.886;-225.235;-109.296;1117.790;-176.729;-88.944;1178.370;-85.676;-106.607;1292.990;-131.281;-152.160;1310.231;-137.503;-116.888;1279.599;136.343;-110.087;873.417;-127.591;-70.913;874.261;127.433;92.055;935.578;-64.850;117.046;944.699
16.713;119.050;1588.242;88.523;39.806;1546.010;-59.999;44.446;1538.629;84.199;140.666;1436.925;-40.386;143.619;1436.767;36.010;154.743;1261.462;55.887;133.865;1098.704;104.920;147.520;1179.688;-20.562;157.116;1155.962;24.253;-24.991;1281.866;12.812;-116.150;1098.704;64.006;-77.293;1216.172;-46.397;-57.627;1223.395;171.457;-27.838;1266.787;188.908;60.368;1312.024;213.161;95.588;1233.413;243.793;1.213;1167.772;193.548;-56.467;1001.851;221.175;-104.340;1047.668;176.307;-203.671;1031.587;116.466;-302.896;1122.799;52.565;-283.863;1102.395;109.190;-280.436;1085.313;-137.925;9.174;1274.115;-130.912;91.686;1303.166;-144.884;134.498;1217.649;-193.917;-10.914;1201.357;-181.632;-118.997;1049.250;-220.700;-110.772;1114.311;-173.249;-88.839;1175.153;-82.723;-102.653;1290.512;-127.169;-149.155;1308.122;-134.181;-114.463;1276.804;135.447;-113.039;873.364;-128.382;-73.391;874.577;127.011;89.630;933.785;-65.219;114.990;943.381
18.980;124.638;1585.711;90.632;44.499;1544.956;-57.890;49.244;1537.575;86.414;143.250;1433.920;-38.172;146.413;1433.868;35.905;155.587;1259.669;55.623;134.234;1097.017;104.762;148.311;1177.842;-20.984;157.063;1154.380;25.940;-23.989;1281.128;14.077;-116.361;1098.652;65.430;-76.185;1215.698;-44.710;-57.890;1223.290;173.144;-25.676;1266.154;189.804;63.110;1310.864;213.899;97.907;1232.095;244.215;2.636;1167.034;193.653;-57.732;1002.220;221.070;-105.078;1048.617;174.357;-204.198;1033.960;113.725;-301.315;1126.859;49.824;-281.491;1107.140;106.396;-279.118;1089.320;-136.396;7.909;1273.905;-130.385;90.895;1302.006;-144.990;133.021;1216.436;-191.808;-13.234;1201.146;-177.994;-124.638;1051.886;-217.906;-115.043;1115.998;-171.140;-90.473;1176.208;-81.194;-98.066;1292.305;-124.955;-144.620;1311.655;-132.389;-111.247;1278.650;135.130;-114.937;873.312;-128.803;-75.869;874.735;126.273;88.259;931.782;-66.010;113.145;941.958
22.249;129.647;1583.760;93.637;48.664;1544.323;-54.780;53.514;1537.206;89.314;145.359;1431.442;-35.272;148.733;1431.706;35.377;155.534;1258.773;54.358;134.181;1096.226;103.813;148.311;1176.893;-22.829;155.692;1154.380;28.576;-23.673;1280.969;15.606;-116.572;1098.915;67.539;-75.395;1215.329;-41.652;-59.367;1224.555;174.726;-24.200;1267.156;191.070;65.535;1310.389;214.637;99.436;1231.146;244.057;2.003;1167.772;192.652;-63.532;1005.278;220.068;-109.718;1052.782;171.826;-209.049;1040.498;111.088;-303.213;1136.349;47.029;-283.072;1117.210;103.443;-281.702;1098.494;-132.916;4.640;1279.335;-128.645;88.523;1304.062;-145.991;128.645;1218.176;-189.804;-19.929;1209.635;-176.518;-140.613;1068.388;-217.063;-126.853;1131.129;-170.086;-96.695;1188.229;-79.876;-92.688;1304.642;-123.162;-137.977;1327.999;-130.965;-107.767;1292.147;135.499;-115.570;873.364;-128.645;-78.400;874.946;125.166;87.837;930.517;-67.275;111.299;941.167
26.414;133.970;1582.969;97.749;52.460;1544.429;-50.720;57.047;1537.891;92.741;147.362;1430.124;-31.845;150.684;1430.862;34.112;154.374;1258.562;51.827;133.285;1096.121;101.809;147.731;1176.472;-26.678;152.634;1155.962;32.003;-24.306;1281.971;17.399;-117.362;1099.970;70.069;-75.289;1215.803;-37.434;-62.108;1227.192;176.571;-23.146;1270.477;192.335;68.171;1310.284;214.954;100.596;1230.197;243.108;-0.738;1170.092;188.697;-76.924;1013.451;216.377;-120.895;1062.536;166.712;-220.700;1054.733;106.027;-310.225;1155.382;41.968;-290.506;1135.927;98.171;-290.243;1116.525;-127.011;-0.211;1291.198;-125.535;84.252;1309.862;-148.206;121.053;1223.606;-187.537;-31.160;1230.302;-174.357;-166.659;1103.819;-215.375;-147.046;1164.714;-167.713;-109.296;1215.856;-77.556;-90.157;1331.742;-120.473;-132.652;1360.582;-128.540;-107.240;1321.039;136.343;-114.937;873.575;-128.013;-80.667;875.051;123.689;88.365;930.675;-69.015;109.559;941.483
30.949;137.819;1583.286;102.284;55.992;1545.589;-46.238;59.841;1540.053;96.115;148.944;1429.755;-28.471;151.896;1431.390;32.161;152.318;1259.406;47.662;131.387;1097.861;98.118;146.308;1176.366;-32.267;147.889;1159.442;35.905;-26.414;1284.080;19.139;-119.050;1101.551;72.442;-76.185;1217.280;-33.058;-65.957;1231.146;178.047;-22.197;1275.328;193.390;70.913;1309.862;214.374;101.176;1228.457;240.577;-6.274;1173.941;181.632;-97.222;1026.842;209.207;-137.450;1078.511;159.119;-238.152;1076.613;99.700;-322.457;1182.746;35.483;-303.529;1163.132;91.370;-304.373;1142.939;-117.362;-5.536;1307.858;-120.420;78.453;1319.247;-150.631;111.141;1233.307;-182.687;-42.284;1260.565;-167.713;-193.601;1154.591;-208.469;-168.135;1213.589;-160.385;-125.640;1259.406;-72.495;-95.799;1375.819;-115.728;-135.183;1408.666;-123.109;-113.830;1366.171;137.714;-112.776;874.155;-126.958;-82.249;875.051;121.949;89.894;932.573;-71.071;108.083;943.065
