UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20.306;20.892;1598.205;98.259;-44.370;1544.609;-50.374;-51.790;1537.824;83.664;71.119;1451.915;-40.807;63.114;1452.256;30.068;103.091;1279.364;44.126;103.726;1113.891;94.354;116.075;1194.431;-25.529;118.955;1175.931;29.043;-75.708;1275.069;18.451;-144.972;1084.165;74.243;-112.317;1202.192;-45.444;-98.503;1212.052;190.318;-54.670;1232.553;190.806;18.305;1304.063;202.814;78.636;1240.314;250.211;51.350;1157.773;213.650;78.050;984.637;264.903;29.678;1008.213;267.490;-62.040;970.286;212.381;-198.567;1027.592;203.156;-201.496;957.741;233.663;-171.770;990.494;-151.561;-36.560;1239.094;-136.674;26.310;1309.432;-141.018;98.698;1249.882;-203.595;25.870;1157.432;-173.869;103.286;992.008;-223.022;55.695;1019.245;-208.525;-21.819;1031.692;-203.742;-170.354;1007.627;-183.485;-164.399;941.585;-213.650;-138.773;973.117;137.357;-122.762;867.342;-128.034;-91.962;868.562;121.005;75.317;940.852;-72.193;93.573;949.883
19.281;21.233;1598.156;97.331;-44.175;1544.853;-51.253;-51.546;1537.726;83.078;71.168;1451.964;-41.344;63.212;1451.964;30.019;103.189;1279.608;44.419;104.214;1114.184;94.549;116.222;1194.822;-25.333;119.394;1176.127;28.653;-75.512;1275.069;18.158;-144.337;1084.018;73.853;-112.121;1202.192;-45.786;-98.112;1211.906;190.025;-54.718;1232.700;190.562;18.012;1304.405;202.814;78.490;1240.851;250.259;51.399;1158.359;214.090;78.831;985.271;265.147;30.263;1008.750;267.588;-61.308;970.481;211.991;-197.884;1027.299;202.863;-200.569;957.449;233.419;-171.037;990.299;-151.757;-36.023;1238.997;-136.918;26.798;1309.335;-140.969;99.235;1249.882;-203.205;26.603;1157.090;-172.648;104.116;991.861;-221.997;56.573;1018.805;-207.549;-20.940;1031.252;-202.619;-169.573;1007.237;-182.508;-163.374;941.145;-212.625;-137.894;972.776;137.308;-122.518;867.439;-128.034;-91.279;868.659;121.298;75.659;940.804;-71.803;94.256;949.834
18.353;21.477;1598.107;96.453;-44.077;1545.097;-52.131;-51.155;1537.482;82.688;71.217;1452.061;-41.734;63.504;1451.671;30.019;103.433;1279.706;44.663;104.751;1114.379;94.647;116.514;1195.066;-25.236;119.834;1176.224;28.457;-75.268;1275.020;18.060;-143.752;1083.872;73.706;-111.828;1202.143;-45.981;-97.673;1211.808;189.928;-54.621;1232.797;190.416;18.012;1304.649;202.814;78.539;1241.144;250.406;51.546;1158.750;214.529;79.368;985.662;265.489;30.654;1009.141;267.832;-60.869;970.628;211.942;-197.445;1027.055;202.863;-199.934;957.253;233.419;-170.549;990.153;-151.806;-35.682;1238.948;-137.064;27.237;1309.237;-141.018;99.577;1249.686;-203.058;26.847;1156.895;-172.502;104.116;991.617;-221.753;56.476;1018.561;-207.256;-20.989;1031.008;-201.935;-169.720;1007.042;-181.776;-163.423;941.048;-211.991;-137.992;972.629;137.308;-122.225;867.488;-127.985;-90.546;868.708;121.591;76.049;940.755;-71.461;94.891;949.785
17.621;21.721;1598.058;95.623;-44.126;1545.341;-52.912;-50.667;1537.287;82.590;71.168;1452.256;-41.832;63.944;1451.475;29.971;103.774;1279.755;44.712;105.190;1114.477;94.695;116.856;1195.212;-25.236;120.273;1176.273;28.457;-74.927;1274.971;18.158;-143.215;1083.774;73.755;-111.438;1202.095;-45.932;-97.282;1211.711;189.879;-54.328;1232.944;190.367;18.353;1304.746;202.814;78.880;1241.340;250.406;51.838;1158.945;214.871;79.661;985.857;265.733;30.947;1009.336;268.027;-60.576;970.872;212.040;-197.152;1027.103;203.009;-199.641;957.302;233.517;-170.256;990.299;-151.757;-35.486;1238.997;-137.064;27.530;1309.188;-141.116;99.772;1249.540;-203.107;26.798;1156.846;-172.892;103.774;991.373;-221.948;56.036;1018.464;-207.256;-21.380;1031.057;-201.691;-170.256;1007.432;-181.776;-163.862;941.389;-211.991;-138.529;973.020;137.406;-121.786;867.537;-127.888;-89.912;868.757;121.835;76.537;940.755;-71.217;95.525;949.736
17.084;21.819;1598.107;95.037;-44.224;1545.487;-53.498;-50.276;1537.043;82.541;71.217;1452.501;-41.881;64.334;1451.378;29.922;104.116;1279.852;44.712;105.629;1114.575;94.647;117.295;1195.310;-25.285;120.663;1176.322;28.555;-74.536;1275.020;18.402;-142.726;1083.774;73.901;-110.999;1202.143;-45.786;-96.941;1211.711;189.928;-53.840;1233.090;190.367;18.841;1304.893;202.814;79.320;1241.437;250.406;52.229;1159.042;214.871;79.905;985.906;265.782;31.240;1009.482;268.222;-60.283;971.116;212.381;-196.859;1027.592;203.400;-199.446;957.790;233.859;-169.964;990.690;-151.659;-35.291;1239.143;-137.064;27.774;1309.286;-141.213;99.967;1249.491;-203.205;26.700;1156.943;-173.332;103.384;991.275;-222.290;55.646;1018.610;-207.598;-21.673;1031.350;-202.033;-170.696;1008.116;-182.411;-164.350;941.975;-212.479;-139.017;973.654;137.552;-121.347;867.586;-127.692;-89.424;868.806;121.981;77.074;940.706;-71.070;96.013;949.736
16.694;21.917;1598.156;94.695;-44.126;1545.585;-53.840;-50.081;1536.848;82.492;71.461;1452.696;-41.930;64.676;1451.378;29.824;104.555;1279.852;44.663;106.069;1114.623;94.549;117.784;1195.310;-25.382;121.054;1176.371;28.653;-74.097;1275.069;18.646;-142.336;1083.823;74.048;-110.559;1202.241;-45.639;-96.599;1211.759;190.074;-53.303;1233.237;190.367;19.427;1304.942;202.716;79.954;1241.486;250.357;52.766;1159.042;214.773;80.149;985.808;265.782;31.630;1009.482;268.418;-59.990;971.311;213.065;-196.469;1028.226;203.790;-199.300;958.474;234.298;-169.671;991.227;-151.561;-35.145;1239.241;-137.064;28.018;1309.335;-141.311;100.114;1249.442;-203.302;26.798;1157.041;-173.673;103.189;991.227;-222.583;55.597;1018.805;-208.135;-21.575;1031.741;-203.156;-170.647;1008.994;-183.582;-164.643;942.854;-213.504;-139.114;974.484;137.748;-120.907;867.683;-127.497;-89.131;868.855;122.030;77.514;940.755;-71.022;96.355;949.736
16.547;22.161;1598.156;94.647;-43.736;1545.585;-53.791;-49.886;1536.799;82.346;71.851;1452.793;-42.076;64.920;1451.378;29.727;104.946;1279.852;44.614;106.459;1114.575;94.500;118.272;1195.261;-25.480;121.347;1176.322;28.750;-73.706;1275.117;18.841;-141.994;1083.921;74.194;-110.120;1202.241;-45.542;-96.306;1211.759;190.172;-52.766;1233.237;190.416;20.013;1304.893;202.716;80.491;1241.437;250.308;53.352;1158.994;214.675;80.491;985.662;265.782;32.216;1009.433;268.613;-59.551;971.458;214.773;-195.932;1029.007;203.497;-199.104;959.548;234.932;-169.231;991.617;-151.561;-34.852;1239.192;-137.015;28.262;1309.335;-141.311;100.309;1249.394;-203.400;27.091;1157.090;-173.966;103.433;991.178;-222.973;56.085;1019.049;-208.769;-20.940;1032.229;-204.669;-170.208;1010.263;-184.998;-164.643;944.123;-214.920;-138.724;975.607;137.992;-120.517;867.732;-127.302;-89.033;868.904;122.030;77.904;940.755;-71.070;96.550;949.736
16.645;22.551;1598.107;94.842;-43.150;1545.585;-53.644;-49.642;1536.799;82.248;72.388;1452.696;-42.174;65.164;1451.378;29.727;105.336;1279.755;44.565;106.752;1114.477;94.451;118.662;1195.212;-25.529;121.591;1176.175;28.897;-73.316;1275.069;19.037;-141.701;1083.969;74.341;-109.632;1202.241;-45.395;-95.965;1211.759;190.269;-52.131;1233.188;190.416;20.550;1304.893;202.716;81.126;1241.437;250.455;53.937;1158.945;214.578;80.638;985.564;265.782;32.558;1009.385;268.710;-59.404;971.555;218.288;-195.492;1030.081;201.643;-199.153;961.744;235.518;-169.036;991.959;-151.610;-34.559;1239.094;-137.015;28.506;1309.237;-141.311;100.602;1249.345;-203.595;27.628;1157.139;-174.259;104.067;991.178;-223.462;57.061;1019.391;-209.501;-19.525;1033.205;-206.280;-169.378;1012.801;-186.901;-163.960;946.661;-216.677;-137.943;977.901;138.236;-120.224;867.830;-127.107;-89.082;868.904;121.981;78.197;940.755;-71.119;96.599;949.687
16.791;23.088;1598.058;95.135;-42.515;1545.536;-53.303;-49.300;1536.848;82.248;72.974;1452.647;-42.174;65.506;1451.378;29.629;105.776;1279.706;44.565;107.045;1114.379;94.451;119.053;1195.115;-25.578;121.835;1176.029;28.994;-72.779;1275.117;19.330;-141.457;1084.067;74.487;-109.046;1202.290;-45.298;-95.623;1211.759;190.367;-51.301;1233.530;190.367;21.233;1305.186;202.765;81.809;1241.681;250.748;54.133;1159.042;214.578;79.759;985.418;265.733;31.825;1009.580;268.222;-60.625;972.043;222.681;-195.932;1032.082;197.835;-200.276;966.284;235.421;-169.817;993.179;-151.757;-34.364;1238.948;-137.015;28.653;1309.091;-141.311;100.748;1249.296;-203.888;28.116;1157.139;-174.650;104.751;991.178;-224.243;58.379;1019.928;-210.917;-17.524;1035.304;-209.111;-168.597;1017.683;-189.196;-162.886;951.347;-219.264;-136.918;982.050;138.382;-119.980;867.878;-126.960;-89.131;868.952;121.981;78.441;940.706;-71.168;96.599;949.687
