UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25.920;43.834;1597.560;102.069;-24.455;1545.037;-46.714;-29.434;1540.254;88.401;88.401;1449.070;-36.219;82.641;1451.072;33.925;117.347;1279.688;47.983;117.689;1114.602;99.237;129.502;1195.144;-22.845;132.821;1176.448;31.582;-62.579;1277.882;20.550;-133.065;1087.413;76.393;-100.507;1205.004;-43.102;-86.155;1215.109;193.252;-43.200;1236.293;193.740;30.899;1305.706;206.968;90.890;1243.323;257.392;57.551;1158.778;222.784;84.252;987.151;270.035;31.777;1009.507;268.522;-57.844;961.475;210.971;-195.692;1005.553;193.496;-192.617;937.312;228.885;-167.332;968.650;-149.271;-23.040;1243.079;-132.772;41.247;1311.905;-137.653;112.271;1251.621;-202.233;37.098;1160.828;-177.778;114.028;995.742;-223.906;62.969;1021.222;-204.528;-16.792;1026.055;-189.932;-160.693;988.713;-169.528;-150.540;923.937;-201.306;-128.428;956.886;138.581;-112.661;869.608;-126.182;-79.273;870.926;124.523;86.741;939.655;-68.534;107.047;948.832
25.920;44.225;1597.512;102.020;-24.114;1545.086;-46.763;-29.044;1540.254;88.401;88.694;1449.022;-36.219;82.934;1451.023;33.925;117.542;1279.591;47.983;117.786;1114.504;99.237;129.648;1195.046;-22.845;132.919;1176.302;31.582;-62.383;1277.882;20.502;-132.919;1087.462;76.393;-100.311;1205.053;-43.151;-86.009;1215.109;193.301;-43.053;1236.293;193.740;31.094;1305.608;207.017;91.086;1243.225;257.344;57.648;1158.680;222.686;84.105;987.053;269.986;31.729;1009.458;268.571;-57.941;961.621;211.215;-195.790;1006.041;193.642;-192.861;937.800;229.081;-167.478;969.041;-149.320;-22.893;1243.079;-132.821;41.442;1311.856;-137.653;112.466;1251.523;-202.233;37.196;1160.731;-177.729;113.979;995.595;-223.858;62.969;1021.125;-204.528;-16.792;1026.055;-190.128;-160.742;988.908;-169.626;-150.687;924.181;-201.452;-128.477;957.082;138.581;-112.661;869.608;-126.182;-79.322;870.975;124.474;86.741;939.655;-68.534;106.999;948.783
26.017;44.713;1597.463;102.069;-23.674;1544.989;-46.665;-28.605;1540.254;88.401;89.035;1448.875;-36.171;83.324;1450.974;33.828;117.786;1279.493;47.983;117.884;1114.358;99.237;129.746;1194.851;-23.040;133.016;1176.156;31.485;-62.090;1277.834;20.550;-132.772;1087.511;76.344;-100.067;1205.053;-43.200;-85.667;1215.011;193.398;-42.712;1236.489;193.642;31.387;1305.657;207.017;91.281;1243.225;257.441;57.697;1158.729;222.588;83.422;986.955;269.937;31.143;1009.507;268.473;-58.674;962.109;211.313;-196.522;1007.066;193.740;-193.691;938.874;229.178;-168.210;969.968;-149.466;-22.991;1243.079;-132.967;41.491;1311.759;-137.751;112.368;1251.474;-202.233;37.049;1160.535;-177.973;113.735;995.498;-223.858;62.627;1021.417;-204.723;-16.841;1026.787;-190.323;-161.084;990.470;-169.333;-151.175;925.792;-201.355;-128.818;958.400;138.581;-112.661;869.657;-126.182;-79.370;870.975;124.474;86.741;939.655;-68.534;106.999;948.783
26.262;45.494;1597.365;102.215;-22.942;1544.891;-46.519;-27.824;1540.400;88.450;89.670;1448.680;-36.122;84.008;1450.925;33.730;118.177;1279.493;47.935;117.982;1114.358;99.237;129.599;1194.656;-23.479;133.358;1176.302;31.338;-61.505;1277.736;20.550;-132.382;1087.559;76.246;-99.579;1205.102;-43.297;-84.789;1214.718;193.252;-42.565;1237.221;193.398;31.582;1306.145;207.066;91.281;1243.567;257.783;56.965;1159.169;223.223;81.030;987.151;270.474;28.946;1010.337;268.863;-61.212;964.013;211.117;-198.963;1010.288;193.984;-196.132;941.949;229.618;-170.651;972.946;-149.515;-23.186;1243.567;-133.211;41.442;1312.003;-138.239;112.026;1251.670;-202.819;36.024;1161.023;-179.389;111.197;995.156;-224.443;59.943;1022.394;-204.723;-18.159;1030.936;-186.125;-164.061;1000.525;-170.505;-154.543;934.383;-200.330;-132.040;967.284;138.483;-112.563;869.706;-126.182;-79.175;871.073;124.571;86.839;939.704;-68.485;107.194;948.832
26.701;47.056;1597.219;102.410;-21.771;1544.793;-46.324;-26.408;1540.791;88.547;90.402;1448.143;-36.024;84.935;1450.779;33.730;118.860;1279.640;48.081;118.567;1114.553;99.530;129.648;1194.802;-23.674;134.090;1176.253;31.094;-60.577;1277.785;20.453;-131.308;1087.608;76.100;-98.652;1205.297;-43.444;-83.568;1214.620;192.715;-42.712;1238.685;193.154;31.777;1307.219;207.359;90.793;1244.006;258.369;54.427;1160.047;226.640;74.294;987.199;273.110;22.405;1012.338;270.474;-68.827;969.675;208.481;-206.431;1019.660;194.179;-201.745;950.736;229.715;-177.631;981.928;-149.222;-22.893;1244.543;-133.309;42.223;1312.247;-138.776;111.929;1250.937;-203.795;32.900;1161.756;-184.026;101.971;992.520;-227.323;51.303;1024.102;-203.454;-23.040;1041.480;-172.213;-172.360;1027.324;-176.753;-165.135;958.741;-198.182;-142.047;994.570;138.239;-112.173;869.852;-126.231;-78.296;871.268;124.816;87.278;939.753;-68.241;108.073;948.832
27.043;49.448;1597.072;102.459;-19.867;1544.891;-46.275;-24.309;1541.376;88.498;91.671;1447.508;-36.073;86.399;1450.535;33.730;120.569;1279.298;48.423;119.788;1114.309;99.921;130.527;1194.705;-23.821;135.359;1175.814;30.850;-58.918;1278.322;20.306;-129.502;1087.999;75.905;-97.236;1205.834;-43.493;-82.055;1215.206;191.592;-42.663;1241.516;192.715;33.144;1308.391;207.652;90.646;1243.762;259.052;49.301;1160.975;234.792;60.333;986.370;278.431;8.249;1015.950;272.134;-85.277;979.877;199.109;-219.660;1037.575;190.469;-212.972;967.332;225.908;-191.446;999.110;-148.441;-22.503;1247.374;-133.114;44.420;1312.735;-139.606;111.978;1248.887;-205.065;26.066;1163.757;-191.885;80.981;988.176;-232.156;32.754;1027.568;-201.696;-34.316;1057.686;-151.321;-182.415;1066.228;-182.415;-183.391;1004.479;-192.129;-156.886;1039.332;137.995;-111.245;870.145;-126.426;-76.686;871.610;125.206;88.450;939.606;-67.850;109.732;948.735
27.384;52.621;1597.170;102.361;-17.133;1544.940;-46.324;-21.087;1541.913;88.547;94.112;1447.264;-35.975;89.182;1450.681;33.730;122.961;1278.517;48.520;121.106;1113.577;100.165;131.942;1193.924;-24.163;137.019;1174.984;30.801;-56.819;1279.249;20.062;-127.940;1088.780;75.661;-95.820;1206.810;-43.297;-80.835;1216.475;189.640;-42.565;1244.933;192.422;35.146;1308.976;207.993;90.012;1242.053;259.882;41.394;1161.609;246.312;39.246;985.735;284.874;-13.424;1021.125;270.474;-109.146;994.180;181.244;-230.106;1062.958;176.997;-227.665;991.251;213.509;-208.481;1022.687;-146.635;-22.698;1252.109;-132.674;47.544;1313.223;-140.582;111.197;1244.982;-206.724;14.693;1167.857;-203.405;47.544;985.686;-238.453;3.222;1034.744;-197.840;-51.693;1077.260;-123.205;-185.881;1106.841;-175.825;-202.819;1063.348;-175.191;-168.992;1090.244;137.849;-109.927;870.487;-126.475;-74.733;871.902;125.548;89.816;939.704;-67.411;111.636;948.735
27.921;57.209;1597.121;102.410;-13.326;1545.184;-46.226;-16.548;1542.597;89.035;97.138;1446.776;-35.487;92.892;1450.437;33.486;125.792;1277.638;48.374;122.961;1112.796;100.116;133.895;1192.801;-24.944;138.630;1174.252;31.094;-54.524;1280.177;19.965;-126.573;1089.902;75.514;-94.405;1207.884;-42.809;-80.054;1217.988;186.760;-41.833;1248.497;192.227;37.977;1309.123;208.384;88.889;1238.734;261.541;31.777;1162.634;257.344;11.959;986.907;289.414;-40.515;1028.739;262.811;-136.287;1012.631;158.301;-235.914;1093.808;152.493;-238.892;1021.759;192.715;-223.614;1050.998;-143.120;-23.918;1257.674;-132.284;50.034;1313.809;-142.095;109.146;1240.931;-206.968;-1.513;1174.642;-213.509;5.516;988.908;-241.577;-33.291;1046.654;-192.422;-72.195;1097.127;-98.456;-187.541;1146.282;-153.762;-213.656;1116.701;-153.420;-175.679;1134.957;137.800;-108.561;870.829;-126.426;-73.025;872.195;125.841;91.183;939.948;-67.069;113.344;948.832
29.044;62.774;1596.975;102.947;-8.835;1545.477;-45.738;-11.227;1543.524;89.816;100.604;1445.898;-34.755;97.138;1450.096;32.656;128.769;1276.662;47.544;124.816;1111.820;98.993;136.384;1191.678;-26.652;140.045;1173.568;31.826;-52.084;1281.202;20.648;-125.694;1091.318;75.953;-92.599;1209.202;-41.687;-79.663;1219.795;183.294;-40.661;1252.988;191.885;41.687;1309.269;208.091;88.108;1234.927;262.371;20.697;1164.733;264.812;-19.281;991.593;289.560;-69.949;1040.015;250.022;-162.548;1034.988;133.114;-235.622;1126.415;123.888;-244.457;1055.001;167.478;-233.962;1081.995;-138.874;-25.676;1264.068;-131.796;51.400;1314.639;-144.585;106.218;1238.197;-204.528;-17.622;1183.624;-215.608;-38.416;998.915;-239.234;-69.608;1063.104;-184.368;-92.745;1117.628;-79.614;-187.736;1183.868;-133.553;-221.807;1162.976;-135.213;-181.292;1172.397;137.946;-107.145;871.219;-126.133;-71.707;872.537;125.889;92.745;939.997;-67.021;114.760;948.930
